 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  v   
 -2.9522 -2.7543 -2.5950 -2.4660 -2.3583 -2.2658 -2.1842 -2.1098 -2.0414 -1.9834
 -6.9725 -6.6859 -6.4421 -6.2441 -6.0900 -5.9750 -5.8941 -5.8402 -5.7898 -5.7239
 -5.6400 -5.5384 -5.4175 -5.2742 -5.1054 -4.6196 -4.1683 -3.7888 -3.4631 -3.1818
 -2.9476 -2.7578 -2.6059 -2.4848 -2.3862 -2.3032 -2.2320 -2.1692 -2.1132 -2.0627
 -2.0190
 -7.3447 -6.9969 -6.6942 -6.4331 -6.2136 -6.0341 -5.8903 -5.7782 -5.6960 -5.6303
 -5.5608 -5.4723 -5.3593 -5.2251 -5.0715 -4.6111 -4.1572 -3.7780 -3.4588 -3.1845
 -2.9552 -2.7687 -2.6208 -2.5048 -2.4128 -2.3379 -2.2750 -2.2212 -2.1744 -2.1338
 -2.0988
 -7.8209 -7.3880 -7.0155 -6.6940 -6.4163 -6.1794 -5.9811 -5.8176 -5.6849 -5.5771
 -5.4838 -5.3950 -5.3010 -5.1902 -5.0547 -4.6288 -4.1719 -3.7864 -3.4677 -3.1968
 -2.9683 -2.7828 -2.6360 -2.5222 -2.4350 -2.3668 -2.3119 -2.2659 -2.2269 -2.1938
 -2.1663
 -8.4980 -7.9398 -7.4630 -7.0577 -6.7109 -6.4136 -6.1589 -5.9425 -5.7602 -5.6069
 -5.4753 -5.3567 -5.2434 -5.1307 -5.0136 -4.6567 -4.2188 -3.8217 -3.4971 -3.2250
 -2.9946 -2.8053 -2.6554 -2.5402 -2.4539 -2.3897 -2.3409 -2.3024 -2.2710 -2.2451
 -2.2240
 -9.3877 -8.6967 -8.0936 -7.5718 -7.1289 -6.7518 -6.4296 -6.1534 -5.9163 -5.7127
 -5.5369 -5.3820 -5.2406 -5.1064 -4.9758 -4.6497 -4.2751 -3.8783 -3.5418 -3.2638
 -3.0291 -2.8337 -2.6773 -2.5568 -2.4677 -2.4042 -2.3592 -2.3266 -2.3021 -2.2836
 -2.2719
-10.4900 -9.6082 -8.8935 -8.2596 -7.7032 -7.2246 -6.8150 -6.4637 -6.1615 -5.9001
 -5.6729 -5.4738 -5.2965 -5.1348 -4.9413 -4.6078 -4.3408 -3.9562 -3.6018
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  v   
 -8.0149 -8.0415 -8.0527 -8.0475 -8.0177 -7.9607 -7.8761 -7.7638 -7.6277 -7.4824
 -7.3292 -7.1636 -6.9820 -6.7812 -6.5628 -5.9794 -5.3948 -4.8295 -4.2731
 -7.4627 -7.4894 -7.5052 -7.5068 -7.4908 -7.4539 -7.3924 -7.3013 -7.1880 -7.0579
 -6.9123 -6.7498 -6.5687 -6.3680 -6.1506 -5.5836 -5.0331 -4.5182 -4.0474 -3.6262
 -6.9830 -7.0071 -7.0244 -7.0311 -7.0238 -6.9997 -6.9558 -6.8874 -6.7959 -6.6841
 -6.5527 -6.4016 -6.2302 -6.0388 -5.8308 -5.2889 -4.7722 -4.2984 -3.8716 -3.4960
 -3.1746
 -6.6003 -6.6128 -6.6256 -6.6332 -6.6311 -6.6161 -6.5852 -6.5345 -6.4620 -6.3683
 -6.2536 -6.1179 -5.9607 -5.7826 -5.5866 -5.0699 -4.5816 -4.1403 -3.7457 -3.4012
 -3.1085 -2.8648
 -6.3587 -6.3299 -6.3211 -6.3193 -6.3156 -6.3045 -6.2818 -6.2436 -6.1866 -6.1094
 -6.0114 -5.8922 -5.7512 -5.5882 -5.4054 -4.9109 -4.4433 -4.0274 -3.6576 -3.3357
 -3.0635 -2.8378 -2.6526 -2.5000
 -6.4250 -6.2707 -6.1718 -6.1146 -6.0850 -6.0661 -6.0443 -6.0125 -5.9663 -5.9025
 -5.8196 -5.7166 -5.5922 -5.4454 -5.2770 -4.8032 -4.3482 -3.9499 -3.5999 -3.2943
 -3.0365 -2.8239 -2.6502 -2.5088 -2.3916 -2.2917 -2.2043 -2.1245 -2.0513 -1.9889
