 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.8687  0.8220  0.7742  0.7262  0.6782  0.5581  0.4393  0.3212  0.2023  0.0826
 -0.0369
  0.9674  0.9738  0.9788  0.9829  0.9851  0.9833  0.9752  0.9579  0.9319  0.8986
  0.8593  0.8155  0.7690  0.7211  0.6727  0.5510  0.4307  0.3121  0.1940  0.0757
 -0.0419 -0.1577
  0.9445  0.9366  0.9255  0.9338  0.9443  0.9482  0.9436  0.9306  0.9096  0.8814
  0.8472  0.8076  0.7639  0.7173  0.6691  0.5467  0.4251  0.3057  0.1877  0.0703
 -0.0461 -0.1605 -0.2723 -0.3816
  0.9337  0.9110  0.8945  0.8830  0.8774  0.8778  0.8836  0.8871  0.8798  0.8603
  0.8318  0.7969  0.7571  0.7131  0.6662  0.5441  0.4216  0.3014  0.1832  0.0663
 -0.0493 -0.1630 -0.2739 -0.3819 -0.4875 -0.5910 -0.6929 -0.7937 -0.8929 -0.9879
  0.9312  0.9098  0.8873  0.8658  0.8470  0.8318  0.8197  0.8104  0.8056  0.8043
  0.7976  0.7781  0.7463  0.7069  0.6628  0.5425  0.4197  0.2988  0.1803  0.0636
 -0.0515 -0.1648 -0.2753 -0.3827 -0.4874 -0.5895 -0.6898 -0.7882 -0.8855 -0.9816
 -1.0741
  0.9316  0.9114  0.8879  0.8626  0.8373  0.8135  0.7919  0.7723  0.7541  0.7379
  0.7263  0.7194  0.7093  0.6881  0.6545  0.5412  0.4187  0.2975  0.1788  0.0622
 -0.0527 -0.1657 -0.2762 -0.3835 -0.4878 -0.5892 -0.6883 -0.7853 -0.8805 -0.9747
 -1.0681
  0.9255  0.9093  0.8879  0.8629  0.8357  0.8080  0.7810  0.7553  0.7309  0.7074
  0.6849  0.6645  0.6484  0.6354  0.6189  0.5361  0.4170  0.2957  0.1767  0.0601
 -0.0545 -0.1674 -0.2781 -0.3859 -0.4904 -0.5918 -0.6905 -0.7867 -0.8808 -0.9732
 -1.0647
