 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -1.2762 -1.2456 -1.2273 -1.2164 -1.2084 -1.2011 -1.1941 -1.1869 -1.1804 -1.1754
 -1.1731
 -5.9794 -5.3986 -4.8519 -4.3428 -3.8931 -3.5094 -3.1911 -2.9305 -2.7170 -2.5404
 -2.3918 -2.2648 -2.1548 -2.0585 -1.9734 -1.7974 -1.6430 -1.5066 -1.4003 -1.3244
 -1.2738 -1.2427 -1.2259 -1.2184 -1.2157 -1.2143 -1.2129 -1.2109 -1.2085 -1.2062
 -1.2049
 -5.9581 -5.4196 -4.8963 -4.4063 -3.9581 -3.5673 -3.2367 -2.9621 -2.7367 -2.5511
 -2.3963 -2.2652 -2.1525 -2.0542 -1.9666 -1.7717 -1.6398 -1.5124 -1.4039
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  V   
 -7.5714 -7.2465 -6.9627 -6.7141 -6.4411 -6.0802 -5.5792 -4.8963 -4.0845 -3.4404
 -2.9871 -2.6724 -2.4465 -2.2745 -2.1343 -1.8641 -1.6632 -1.5064 -1.3799
 -7.2478 -6.8751 -6.5531 -6.2753 -6.0196 -5.7286 -5.2796 -4.5932 -3.9066 -3.3364
 -2.9120 -2.6078 -2.3867 -2.2184 -2.0819 -1.8204 -1.6296 -1.4849 -1.3713 -1.2808
 -7.0434 -6.6214 -6.2510 -5.9296 -5.6440 -5.3536 -4.9663 -4.3954 -3.8061 -3.2918
 -2.8877 -2.5864 -2.3636 -2.1941 -2.0581 -1.7997 -1.6132 -1.4749 -1.3687 -1.2851
 -1.2191
 -6.8993 -6.4445 -6.0328 -5.6664 -5.3409 -5.0366 -4.7038 -4.2378 -3.7310 -3.2683
 -2.8860 -2.5884 -2.3623 -2.1892 -2.0515 -1.7931 -1.6075 -1.4718 -1.3701 -1.2913
 -1.2294 -1.1800
 -6.6560 -6.2395 -5.8386 -5.4597 -5.1064 -4.7775 -4.4609 -4.0881 -3.6577 -3.2458
 -2.8896 -2.6002 -2.3728 -2.1957 -2.0552 -1.7952 -1.6086 -1.4730 -1.3736 -1.2980
 -1.2395 -1.1934 -1.1558 -1.1234
 -6.2099 -5.8105 -5.4737 -5.1684 -4.8673 -4.5581 -4.2436 -3.9278 -3.5719 -3.2124
 -2.8871 -2.6116 -2.3871 -2.2082 -2.0648 -1.8020 -1.6138 -1.4767 -1.3778 -1.3045
 -1.2488 -1.2058 -1.1715 -1.1426 -1.1180 -1.0973 -1.0818 -1.0731 -1.0725 -1.0774
 -5.9790 -5.4954 -5.0913 -4.7590 -4.4750 -4.2162 -3.9655 -3.7068 -3.4314 -3.1427
 -2.8634 -2.6129 -2.3989 -2.2218 -2.0770 -1.8113 -1.6215 -1.4821 -1.3820 -1.3097
 -1.2563 -1.2163 -1.1856 -1.1604 -1.1386 -1.1196 -1.1042 -1.0926 -1.0876 -1.0913
 -1.1011
 -5.9430 -5.3966 -4.9224 -4.5228 -4.1905 -3.9081 -3.6564 -3.4210 -3.1903 -2.9651
 -2.7576 -2.5662 -2.3889 -2.2285 -2.0884 -1.8217 -1.6307 -1.4886 -1.3862 -1.3135
 -1.2615 -1.2242 -1.1970 -1.1758 -1.1581 -1.1423 -1.1286 -1.1173 -1.1095 -1.1082
 -1.1160
 -6.0107 -5.4264 -4.9004 -4.4436 -4.0577 -3.7350 -3.4621 -3.2232 -3.0053 -2.8007
 -2.6132 -2.4508 -2.3138 -2.1930 -2.0798 -1.8298 -1.6384 -1.4943 -1.3891 -1.3150
 -1.2636 -1.2283 -1.2045 -1.1879 -1.1747 -1.1631 -1.1527 -1.1435 -1.1362 -1.1323
 -1.1341
 -6.1183 -5.5222 -4.9678 -4.4713 -4.0408 -3.6771 -3.3740 -3.1194 -2.9008 -2.7077
 -2.5343 -2.3803 -2.2476 -2.1360 -2.0409 -1.8329 -1.6482 -1.5023 -1.3940 -1.3168
 -1.2644 -1.2299 -1.2084 -1.1956 -1.1873 -1.1808 -1.1749 -1.1693 -1.1644 -1.1614
 -1.1605
 -6.1928 -5.6133 -5.0607 -4.5451 -4.0875 -3.6920 -3.3595 -3.0832 -2.8531 -2.6585
 -2.4909 -2.3445 -2.2164 -2.1054 -2.0097 -1.8190 -1.6542 -1.5104 -1.3993 -1.3188
 -1.2638 -1.2288 -1.2083 -1.1982 -1.1943 -1.1931 -1.1926 -1.1918 -1.1909 -1.1902
 -1.1952
 -6.2342 -5.6712 -5.1361 -4.6303 -4.1628 -3.7499 -3.3955 -3.0982 -2.8521 -2.6478
 -2.4764 -2.3303 -2.2040 -2.0941 -1.9862 -1.7881 -1.6564 -1.5186 -1.4050
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  V   
 -7.6558 -7.3709 -7.1389 -6.9453 -6.7349 -6.4268 -5.9493 -5.2440 -4.3568 -3.6114
 -3.0827 -2.7191 -2.4649 -2.2771 -2.1293 -1.8532 -1.6527 -1.4974 -1.3701
 -7.3391 -7.0119 -6.7411 -6.5218 -6.3287 -6.0987 -5.6952 -4.9806 -4.2078 -3.5310
 -3.0268 -2.6701 -2.4175 -2.2313 -2.0855 -1.8160 -1.6228 -1.4773 -1.3634 -1.2719
 -7.1379 -6.7596 -6.4391 -6.1753 -5.9535 -5.7265 -5.3859 -4.7987 -4.1310 -3.5146
 -3.0259 -2.6665 -2.4071 -2.2161 -2.0684 -1.7994 -1.6088 -1.4681 -1.3606 -1.2757
 -1.2080
 -7.0139 -6.5924 -6.2214 -5.9055 -5.6400 -5.3985 -5.1132 -4.6443 -4.0746 -3.5180
 -3.0501 -2.6885 -2.4197 -2.2203 -2.0677 -1.7957 -1.6049 -1.4656 -1.3617 -1.2810
 -1.2173 -1.1665
 -6.8749 -6.4487 -6.0561 -5.7035 -5.3928 -5.1177 -4.8492 -4.4863 -4.0099 -3.5180
 -3.0787 -2.7216 -2.4460 -2.2375 -2.0778 -1.7999 -1.6073 -1.4673 -1.3649 -1.2872
 -1.2265 -1.1786 -1.1402 -1.1081
 -6.4977 -6.1501 -5.8215 -5.5016 -5.1906 -4.8922 -4.6076 -4.3091 -3.9234 -3.4989
 -3.0982 -2.7546 -2.4778 -2.2621 -2.0952 -1.8088 -1.6139 -1.4718 -1.3692 -1.2931
 -1.2349 -1.1897 -1.1541 -1.1251 -1.1011 -1.0816 -1.0674 -1.0604 -1.0608 -1.0664
 -6.1286 -5.7155 -5.3843 -5.1130 -4.8716 -4.6341 -4.3804 -4.1060 -3.8010 -3.4500
 -3.0970 -2.7779 -2.5081 -2.2900 -2.1169 -1.8207 -1.6231 -1.4784 -1.3740 -1.2984
 -1.2420 -1.1992 -1.1666 -1.1408 -1.1196 -1.1018 -1.0877 -1.0778 -1.0746 -1.0793
