 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  Hp  
 -2.5258 -2.4623 -2.4036 -2.3482 -2.2951 -2.1676 -2.0552 -1.9650 -1.8982 -1.8530
 -1.8250 -1.8080 -1.7969 -1.7879 -1.7792 -1.7697 -1.7597 -1.7493 -1.7390 -1.7298
 -1.7216
 -3.3485 -3.2274 -3.1159 -3.0161 -2.9283 -2.8500 -2.7772 -2.7066 -2.6370 -2.5686
 -2.5023 -2.4394 -2.3811 -2.3270 -2.2759 -2.1555 -2.0474 -1.9595 -1.8934 -1.8472
 -1.8181 -1.8018 -1.7939 -1.7904 -1.7882 -1.7856 -1.7821 -1.7774 -1.7718 -1.7661
 -1.7612
 -3.2260 -3.1223 -3.0278 -2.9376 -2.8570 -2.7849 -2.7189 -2.6563 -2.5948 -2.5337
 -2.4730 -2.4137 -2.3570 -2.3040 -2.2566 -2.1439 -2.0394 -1.9533 -1.8885
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  Hp  
 -5.1921 -4.9876 -4.8112 -4.6731 -4.5051 -4.3183 -4.1067 -3.8871 -3.6711 -3.4785
 -3.3043 -3.1452 -3.0001 -2.8678 -2.7199 -2.4556
 -4.9762 -4.7593 -4.5448 -4.3375 -4.1435 -3.9590 -3.7783 -3.5991 -3.4290 -3.2762
 -3.1353 -3.0005 -2.8699 -2.7470 -2.6252 -2.3826 -2.1841 -2.0249 -1.9022
 -4.7750 -4.5293 -4.2905 -4.0667 -3.8642 -3.6847 -3.5245 -3.3741 -3.2364 -3.1126
 -2.9975 -2.8843 -2.7691 -2.6558 -2.5501 -2.3252 -2.1472 -2.0062 -1.8971 -1.8133
 -1.7468
 -4.5885 -4.2976 -4.0483 -3.8607 -3.6671 -3.4954 -3.3453 -3.2121 -3.0933 -2.9877
 -2.8909 -2.7966 -2.6977 -2.5942 -2.4946 -2.2834 -2.1204 -1.9935 -1.8956 -1.8199
 -1.7589 -1.7098 -1.6685
 -4.4574 -4.1320 -3.8670 -3.6549 -3.4831 -3.3395 -3.2140 -3.0987 -2.9906 -2.8931
 -2.8059 -2.7248 -2.6426 -2.5518 -2.4587 -2.2572 -2.1037 -1.9868 -1.8977 -1.8288
 -1.7734 -1.7271 -1.6873 -1.6524 -1.6229
 -4.4073 -4.0762 -3.7834 -3.5467 -3.3598 -3.2115 -3.0920 -2.9934 -2.9087 -2.8299
 -2.7471 -2.6687 -2.5948 -2.5187 -2.4345 -2.2413 -2.0938 -1.9834 -1.9012 -1.8385
 -1.7882 -1.7457 -1.7088 -1.6761 -1.6472 -1.6223
 -4.3813 -4.0503 -3.7543 -3.5030 -3.2963 -3.1299 -2.9979 -2.8945 -2.8139 -2.7513
 -2.6932 -2.6274 -2.5581 -2.4884 -2.4146 -2.2312 -2.0876 -1.9812 -1.9039 -1.8469
 -1.8020 -1.7641 -1.7307 -1.7008 -1.6736 -1.6492 -1.6282 -1.6128 -1.6050 -1.6066
 -4.3452 -4.0302 -3.7424 -3.4945 -3.2874 -3.1167 -2.9771 -2.8638 -2.7720 -2.6962
 -2.6320 -2.5753 -2.5182 -2.4583 -2.3939 -2.2237 -2.0829 -1.9787 -1.9043 -1.8519
 -1.8127 -1.7802 -1.7514 -1.7252 -1.7009 -1.6784 -1.6583 -1.6410 -1.6297 -1.6275
 -1.6352
 -4.2860 -3.9938 -3.7239 -3.4877 -3.2867 -3.1182 -2.9767 -2.8576 -2.7578 -2.6739
 -2.6014 -2.5368 -2.4775 -2.4219 -2.3669 -2.2146 -2.0785 -1.9754 -1.9022 -1.8523
 -1.8180 -1.7915 -1.7684 -1.7472 -1.7270 -1.7077 -1.6898 -1.6737 -1.6607 -1.6531
 -1.6566
 -4.1973 -3.9302 -3.6839 -3.4650 -3.2767 -3.1159 -2.9781 -2.8587 -2.7548 -2.6646
 -2.5860 -2.5163 -2.4525 -2.3930 -2.3380 -2.2001 -2.0720 -1.9704 -1.8974 -1.8484
 -1.8171 -1.7960 -1.7792 -1.7641 -1.7493 -1.7347 -1.7204 -1.7068 -1.6947 -1.6856
 -1.6824
 -4.0884 -3.8537 -3.6321 -3.4319 -3.2573 -3.1067 -2.9756 -2.8598 -2.7563 -2.6636
 -2.5805 -2.5063 -2.4394 -2.3775 -2.3198 -2.1865 -2.0657 -1.9664 -1.8931 -1.8432
 -1.8123 -1.7942 -1.7829 -1.7743 -1.7660 -1.7573 -1.7482 -1.7388 -1.7297 -1.7216
 -1.7145
 -3.9701 -3.7640 -3.5676 -3.3869 -3.2265 -3.0864 -2.9633 -2.8533 -2.7533 -2.6615
 -2.5773 -2.5004 -2.4305 -2.3668 -2.3078 -2.1750 -2.0582 -1.9619 -1.8887 -1.8376
 -1.8056 -1.7881 -1.7799 -1.7766 -1.7748 -1.7728 -1.7701 -1.7663 -1.7618 -1.7572
 -1.7534
 -3.8447 -3.6650 -3.4955 -3.3360 -3.1892 -3.0576 -2.9420 -2.8381 -2.7427 -2.6543
 -2.5715 -2.4943 -2.4230 -2.3576 -2.3020 -2.1656 -2.0495 -1.9569 -1.8842
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  Hp  
 -5.7247 -5.5823 -5.4386 -5.2797 -5.1207 -4.9024 -4.5932 -4.1960 -3.8238 -3.5189
 -3.2769 -3.0851 -2.9280 -2.7942 -2.6755 -2.4258
 -5.4657 -5.2854 -5.1056 -4.9189 -4.7272 -4.5060 -4.2284 -3.8975 -3.5948 -3.3422
 -3.1358 -2.9654 -2.8209 -2.6955 -2.5842 -2.3523 -2.1669 -2.0162 -1.8967
 -5.2588 -5.0501 -4.8418 -4.6314 -4.4171 -4.1950 -3.9465 -3.6697 -3.4188 -3.2055
 -3.0269 -2.8749 -2.7421 -2.6241 -2.5185 -2.2997 -2.1299 -1.9955 -1.8889 -1.8050
 -1.7376
 -5.1040 -4.8764 -4.6472 -4.4172 -4.1904 -3.9693 -3.7475 -3.5126 -3.2958 -3.1088
 -2.9502 -2.8136 -2.6916 -2.5800 -2.4784 -2.2680 -2.1075 -1.9834 -1.8863 -1.8099
 -1.7489 -1.6986 -1.6570
 -4.9389 -4.6804 -4.4602 -4.2409 -4.0191 -3.8016 -3.5950 -3.3926 -3.2021 -3.0344
 -2.8907 -2.7669 -2.6562 -2.5525 -2.4551 -2.2503 -2.0954 -1.9777 -1.8873 -1.8169
 -1.7609 -1.7145 -1.6750 -1.6407 -1.6120
 -4.8100 -4.5134 -4.2502 -4.0168 -3.8098 -3.6264 -3.4593 -3.2907 -3.1260 -2.9751
 -2.8425 -2.7277 -2.6267 -2.5326 -2.4412 -2.2413 -2.0896 -1.9758 -1.8902 -1.8248
 -1.7735 -1.7311 -1.6945 -1.6626 -1.6346 -1.6109
 -4.7685 -4.4402 -4.1354 -3.8653 -3.6339 -3.4382 -3.2754 -3.1414 -3.0248 -2.9140
 -2.8026 -2.6966 -2.6006 -2.5138 -2.4304 -2.2370 -2.0870 -1.9755 -1.8931 -1.8318
 -1.7852 -1.7472 -1.7144 -1.6853 -1.6592 -1.6360 -1.6165 -1.6024 -1.5952 -1.5963
 -4.7684 -4.4264 -4.1007 -3.8093 -3.5592 -3.3497 -3.1758 -3.0312 -2.9107 -2.8123
 -2.7313 -2.6554 -2.5761 -2.4962 -2.4187 -2.2346 -2.0858 -1.9753 -1.8949 -1.8367
 -1.7942 -1.7612 -1.7331 -1.7078 -1.6846 -1.6634 -1.6449 -1.6296 -1.6191 -1.6169
 -1.6241
 -4.7746 -4.4363 -4.1050 -3.8020 -3.5395 -3.3194 -3.1368 -2.9855 -2.8601 -2.7551
 -2.6669 -2.5929 -2.5291 -2.4667 -2.4016 -2.2321 -2.0849 -1.9744 -1.8947 -1.8384
 -1.7968 -1.7711 -1.7483 -1.7280 -1.7089 -1.6910 -1.6747 -1.6593 -1.6475 -1.6423
 -1.6456
 -4.7543 -4.4346 -4.1105 -3.8093 -3.5431 -3.3172 -3.1291 -2.9723 -2.8415 -2.7317
 -2.6385 -2.5582 -2.4880 -2.4262 -2.3692 -2.2230 -2.0821 -1.9716 -1.8917 -1.8363
 -1.7993 -1.7752 -1.7580 -1.7434 -1.7298 -1.7165 -1.7037 -1.6918 -1.6814 -1.6739
 -1.6715
 -4.7048 -4.4074 -4.1065 -3.8168 -3.5559 -3.3305 -3.1405 -2.9805 -2.8456 -2.7308
 -2.6323 -2.5469 -2.4718 -2.4046 -2.3440 -2.2084 -2.0786 -1.9696 -1.8888 -1.8326
 -1.7960 -1.7741 -1.7614 -1.7528 -1.7454 -1.7378 -1.7302 -1.7223 -1.7149 -1.7086
 -1.7031
 -4.6322 -4.3575 -4.0816 -3.8099 -3.5616 -3.3428 -3.1548 -2.9951 -2.8587 -2.7410
 -2.6382 -2.5479 -2.4680 -2.3967 -2.3322 -2.1936 -2.0720 -1.9667 -1.8855 -1.8280
 -1.7905 -1.7689 -1.7588 -1.7550 -1.7537 -1.7526 -1.7511 -1.7487 -1.7457 -1.7428
 -1.7406
 -4.5414 -4.2898 -4.0382 -3.7900 -3.5578 -3.3492 -3.1668 -3.0093 -2.8731 -2.7544
 -2.6495 -2.5561 -2.4722 -2.3968 -2.3338 -2.1786 -2.0623 -1.9629 -1.8818
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  Hp  
 -6.3286 -6.1858 -6.0418 -5.8884 -5.7841 -5.5882 -5.2135 -4.6725 -4.1724 -3.6371
 -3.3010 -3.0604 -2.8826 -2.7404 -2.6211 -2.3817
 -6.0055 -5.8431 -5.6868 -5.5292 -5.3826 -5.1820 -4.8538 -4.3817 -3.9019 -3.4989
 -3.1931 -2.9672 -2.7973 -2.6622 -2.5487 -2.3217 -2.1461 -2.0035 -1.8865
 -5.7519 -5.5692 -5.3966 -5.2280 -5.0544 -4.8531 -4.5660 -4.1595 -3.7524 -3.3998
 -3.1192 -2.9045 -2.7397 -2.6087 -2.4988 -2.2801 -2.1136 -1.9829 -1.8783 -1.7941
 -1.7266
 -5.5678 -5.3641 -5.1712 -4.9848 -4.7994 -4.6016 -4.3501 -4.0059 -3.6542 -3.3398
 -3.0793 -2.8723 -2.7098 -2.5799 -2.4714 -2.2569 -2.0960 -1.9722 -1.8750 -1.7973
 -1.7349 -1.6838 -1.6419
 -5.4246 -5.2078 -4.9987 -4.7944 -4.5929 -4.3901 -4.1689 -3.8820 -3.5772 -3.2957
 -3.0543 -2.8559 -2.6958 -2.5662 -2.4581 -2.2456 -2.0875 -1.9676 -1.8753 -1.8025
 -1.7445 -1.6973 -1.6578 -1.6242 -1.5964
 -5.2353 -5.0239 -4.8271 -4.6302 -4.4256 -4.2175 -4.0053 -3.7684 -3.5066 -3.2558
 -3.0335 -2.8453 -2.6893 -2.5608 -2.4530 -2.2414 -2.0844 -1.9667 -1.8776 -1.8086
 -1.7545 -1.7110 -1.6745 -1.6433 -1.6163 -1.5940
 -5.0950 -4.8297 -4.5961 -4.3913 -4.2061 -4.0286 -3.8439 -3.6448 -3.4283 -3.2109
 -3.0102 -2.8343 -2.6846 -2.5588 -2.4521 -2.2412 -2.0844 -1.9675 -1.8804 -1.8144
 -1.7638 -1.7241 -1.6913 -1.6630 -1.6382 -1.6168 -1.5994 -1.5867 -1.5809 -1.5824
 -5.0491 -4.7444 -4.4631 -4.2125 -3.9933 -3.7983 -3.6196 -3.4518 -3.2866 -3.1244
 -2.9656 -2.8146 -2.6769 -2.5566 -2.4520 -2.2430 -2.0859 -1.9689 -1.8827 -1.8189
 -1.7713 -1.7354 -1.7068 -1.6824 -1.6607 -1.6414 -1.6248 -1.6117 -1.6032 -1.6021
 -1.6088
 -5.0625 -4.7370 -4.4245 -4.1372 -3.8824 -3.6613 -3.4677 -3.2942 -3.1339 -2.9870
 -2.8590 -2.7481 -2.6453 -2.5452 -2.4495 -2.2455 -2.0881 -1.9702 -1.8840 -1.8213
 -1.7760 -1.7436 -1.7194 -1.6997 -1.6822 -1.6661 -1.6520 -1.6398 -1.6312 -1.6263
 -1.6294
 -5.0960 -4.7662 -4.4396 -4.1284 -3.8459 -3.5995 -3.3883 -3.2061 -3.0464 -2.9042
 -2.7779 -2.6689 -2.5777 -2.4996 -2.4257 -2.2450 -2.0888 -1.9700 -1.8830 -1.8208
 -1.7772 -1.7474 -1.7275 -1.7129 -1.7006 -1.6891 -1.6785 -1.6689 -1.6610 -1.6558
 -1.6554
 -5.1234 -4.8054 -4.4793 -4.1597 -3.8612 -3.5954 -3.3667 -3.1729 -3.0078 -2.8657
 -2.7417 -2.6334 -2.5394 -2.4586 -2.3891 -2.2366 -2.0908 -1.9710 -1.8825 -1.8194
 -1.7761 -1.7479 -1.7311 -1.7212 -1.7144 -1.7084 -1.7028 -1.6971 -1.6920 -1.6883
 -1.6869
 -5.1276 -4.8230 -4.5110 -4.1963 -3.8948 -3.6197 -3.3794 -3.1746 -3.0016 -2.8550
 -2.7292 -2.6202 -2.5249 -2.4415 -2.3680 -2.2187 -2.0880 -1.9716 -1.8816 -1.8169
 -1.7728 -1.7450 -1.7299 -1.7236 -1.7219 -1.7218 -1.7219 -1.7214 -1.7208 -1.7203
 -1.7206
 -5.1149 -4.8210 -4.5214 -4.2215 -3.9269 -3.6531 -3.4090 -3.1974 -3.0176 -2.8652
 -2.7352 -2.6229 -2.5248 -2.4385 -2.3624 -2.1913 -2.0804 -1.9718 -1.8803
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  Hp  
 -6.5515 -6.4053 -6.2566 -6.0977 -5.9917 -5.7829 -5.3776 -4.7962 -4.2466 -3.6714
 -3.3104 -3.0553 -2.8691 -2.7235 -2.6029 -2.3645
 -6.2116 -6.0462 -5.8880 -5.7300 -5.5851 -5.3807 -5.0355 -4.5275 -3.9971 -3.5489
 -3.2138 -2.9711 -2.7919 -2.6526 -2.5372 -2.3102 -2.1364 -1.9970 -1.8819
 -5.9425 -5.7570 -5.5845 -5.4191 -5.2506 -5.0524 -4.7574 -4.3202 -3.8648 -3.4658
 -3.1524 -2.9179 -2.7420 -2.6054 -2.4928 -2.2728 -2.1069 -1.9773 -1.8733 -1.7890
 -1.7206
 -5.7442 -5.5377 -5.3461 -5.1650 -4.9882 -4.7980 -4.5433 -4.1743 -3.7810 -3.4221
 -3.1262 -2.8957 -2.7194 -2.5819 -2.4697 -2.2523 -2.0906 -1.9667 -1.8694 -1.7913
 -1.7281 -1.6766 -1.6346
 -5.5937 -5.3714 -5.1622 -4.9630 -4.7707 -4.5776 -4.3585 -4.0525 -3.7131 -3.3918
 -3.1148 -2.8900 -2.7128 -2.5732 -2.4599 -2.2429 -2.0829 -1.9620 -1.8690 -1.7954
 -1.7365 -1.6886 -1.6482 -1.6145 -1.5874
 -5.4114 -5.2029 -4.9998 -4.7980 -4.5948 -4.3929 -4.1855 -3.9366 -3.6468 -3.3617
 -3.1061 -2.8903 -2.7145 -2.5732 -2.4582 -2.2402 -2.0805 -1.9610 -1.8707 -1.8005
 -1.7452 -1.7007 -1.6639 -1.6327 -1.6064 -1.5847
 -5.2180 -4.9694 -4.7572 -4.5717 -4.3979 -4.2189 -4.0238 -3.8127 -3.5718 -3.3238
 -3.0924 -2.8895 -2.7185 -2.5773 -2.4611 -2.2414 -2.0812 -1.9619 -1.8730 -1.8055
 -1.7533 -1.7123 -1.6790 -1.6508 -1.6265 -1.6055 -1.5888 -1.5776 -1.5726 -1.5747
 -5.1407 -4.8443 -4.5775 -4.3465 -4.1459 -3.9653 -3.7956 -3.6257 -3.4438 -3.2515
 -3.0595 -2.8793 -2.7194 -2.5820 -2.4658 -2.2446 -2.0836 -1.9636 -1.8752 -1.8094
 -1.7599 -1.7223 -1.6929 -1.6685 -1.6473 -1.6287 -1.6133 -1.6010 -1.5938 -1.5935
 -1.6007
 -5.1396 -4.8159 -4.5111 -4.2352 -3.9941 -3.7847 -3.5983 -3.4251 -3.2581 -3.0987
 -2.9552 -2.8238 -2.6985 -2.5791 -2.4692 -2.2489 -2.0868 -1.9657 -1.8766 -1.8117
