 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -0.9478 -1.0875 -1.2223 -1.3529 -1.4793 -1.6014 -1.7196 -1.8339 -1.9448 -2.0525
 -2.1571
  0.4902  0.4475  0.4069  0.3658  0.3232  0.2780  0.2305  0.1823  0.1357  0.0930
  0.0547  0.0192 -0.0158 -0.0524 -0.0915 -0.2024 -0.3349 -0.4907 -0.6484 -0.8001
 -0.9454 -1.0852 -1.2201 -1.3507 -1.4771 -1.5993 -1.7176 -1.8318 -1.9424 -2.0495
 -2.1492
  0.4790  0.4369  0.3965  0.3570  0.3173  0.2753  0.2310  0.1847  0.1374  0.0909
  0.0468  0.0055 -0.0335 -0.0714 -0.1091 -0.2253 -0.3424 -0.4876 -0.6446
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F322W2
  0.5729  0.5678  0.5805  0.6000  0.6156  0.6188  0.6024  0.5606  0.4931  0.4174
  0.3390  0.2608  0.1843  0.1101  0.0385 -0.1315 -0.2919 -0.4468 -0.5999
  0.5142  0.5044  0.5027  0.5087  0.5219  0.5381  0.5461  0.5203  0.4664  0.3982
  0.3235  0.2468  0.1705  0.0958  0.0231 -0.1497 -0.3129 -0.4686 -0.6183 -0.7638
  0.4651  0.4492  0.4422  0.4444  0.4551  0.4723  0.4874  0.4772  0.4382  0.3803
  0.3117  0.2382  0.1632  0.0887  0.0156 -0.1594 -0.3249 -0.4823 -0.6321 -0.7768
 -0.9203
  0.4257  0.4022  0.3880  0.3836  0.3892  0.4038  0.4226  0.4264  0.4030  0.3580
  0.2983  0.2303  0.1583  0.0851  0.0123 -0.1640 -0.3313 -0.4904 -0.6413 -0.7860
 -0.9284 -1.0696
  0.4006  0.3674  0.3435  0.3298  0.3270  0.3352  0.3526  0.3665  0.3582  0.3273
  0.2791  0.2191  0.1524  0.0822  0.0108 -0.1654 -0.3340 -0.4946 -0.6470 -0.7924
 -0.9343 -1.0741 -1.2108 -1.3438
  0.4249  0.3594  0.3192  0.2909  0.2749  0.2719  0.2817  0.2986  0.3031  0.2862
  0.2508  0.2013  0.1422  0.0773  0.0090 -0.1652 -0.3345 -0.4963 -0.6501 -0.7965
 -0.9384 -1.0773 -1.2128 -1.3447 -1.4731 -1.5981 -1.7198 -1.8382 -1.9530 -2.0629
  0.4740  0.4093  0.3460  0.2912  0.2501  0.2257  0.2191  0.2282  0.2392  0.2346
  0.2118  0.1740  0.1248  0.0675  0.0046 -0.1643 -0.3335 -0.4962 -0.6513 -0.7989
 -0.9410 -1.0794 -1.2141 -1.3451 -1.4722 -1.5959 -1.7163 -1.8335 -1.9477 -2.0580
 -2.1637
  0.5094  0.4553  0.3975  0.3377  0.2809  0.2320  0.1958  0.1781  0.1789  0.1776
  0.1637  0.1365  0.0978  0.0499 -0.0053 -0.1640 -0.3317 -0.4949 -0.6511 -0.7998
 -0.9424 -1.0807 -1.2149 -1.3451 -1.4715 -1.5942 -1.7136 -1.8296 -1.9426 -2.0525
 -2.1586
  0.5154  0.4687  0.4192  0.3664  0.3116  0.2583  0.2113  0.1751  0.1521  0.1394
  0.1219  0.0958  0.0624  0.0223 -0.0245 -0.1678 -0.3315 -0.4950 -0.6521 -0.8020
 -0.9454 -1.0839 -1.2178 -1.3477 -1.4736 -1.5957 -1.7144 -1.8298 -1.9419 -2.0508
 -2.1567
  0.5071  0.4646  0.4203  0.3741  0.3249  0.2739  0.2240  0.1793  0.1434  0.1169
  0.0938  0.0663  0.0326 -0.0060 -0.0487 -0.1747 -0.3295 -0.4917 -0.6493 -0.8001
 -0.9443 -1.0830 -1.2168 -1.3464 -1.4720 -1.5937 -1.7119 -1.8265 -1.9379 -2.0480
 -2.1506
  0.4947  0.4524  0.4112  0.3693  0.3253  0.2786  0.2304  0.1830  0.1394  0.1019
  0.0701  0.0396  0.0063 -0.0312 -0.0725 -0.1901 -0.3298 -0.4884 -0.6459 -0.7973
 -0.9421 -1.0811 -1.2151 -1.3446 -1.4699 -1.5915 -1.7095 -1.8239 -1.9348 -2.0424
 -2.1404
  0.4840  0.4418  0.4005  0.3606  0.3196  0.2768  0.2318  0.1854  0.1392  0.0953
  0.0553  0.0185 -0.0172 -0.0542 -0.0959 -0.2140 -0.3324 -0.4851 -0.6419
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F322W2
  0.6072  0.6048  0.6252  0.6516  0.6671  0.6640  0.6446  0.5852  0.5067  0.4249
  0.3430  0.2624  0.1840  0.1082  0.0352 -0.1365 -0.2966 -0.4500 -0.6016
  0.5445  0.5391  0.5408  0.5497  0.5652  0.5835  0.5902  0.5546  0.4878  0.4110
  0.3310  0.2509  0.1721  0.0956  0.0216 -0.1531 -0.3163 -0.4712 -0.6199 -0.7639
  0.4900  0.4793  0.4771  0.4836  0.4982  0.5185  0.5347  0.5199  0.4691  0.4005
  0.3243  0.2456  0.1672  0.0904  0.0156 -0.1613 -0.3271 -0.4840 -0.6333 -0.7766
 -0.9174
  0.4438  0.4262  0.4178  0.4189  0.4297  0.4487  0.4703  0.4747  0.4435  0.3873
  0.3179  0.2425  0.1655  0.0889  0.0139 -0.1648 -0.3324 -0.4912 -0.6418 -0.7853
 -0.9255 -1.0648
  0.4083  0.3823  0.3654  0.3586  0.3623  0.3765  0.3985  0.4157  0.4059  0.3663
  0.3075  0.2381  0.1642  0.0890  0.0143 -0.1654 -0.3344 -0.4947 -0.6467 -0.7912
 -0.9312 -1.0693 -1.2052 -1.3381
  0.3948  0.3557  0.3266  0.3082  0.3013  0.3064  0.3230  0.3450  0.3532  0.3332
  0.2889  0.2289  0.1606  0.0885  0.0153 -0.1643 -0.3342 -0.4957 -0.6492 -0.7949
 -0.9351 -1.0725 -1.2072 -1.3386 -1.4667 -1.5915 -1.7135 -1.8326 -1.9477 -2.0579
  0.4383  0.3744  0.3214  0.2819  0.2567  0.2463  0.2509  0.2685  0.2861  0.2849
  0.2580  0.2111  0.1516  0.0850  0.0150 -0.1623 -0.3328 -0.4952 -0.6498 -0.7968
 -0.9376 -1.0747 -1.2085 -1.3388 -1.4656 -1.5892 -1.7097 -1.8273 -1.9419 -2.0527
 -2.1588
  0.4947  0.4358  0.3736  0.3129  0.2599  0.2203  0.1988  0.1982  0.2124  0.2223
  0.2126  0.1813  0.1337  0.0756  0.0112 -0.1603 -0.3306 -0.4936 -0.6492 -0.7973
 -0.9389 -1.0760 -1.2092 -1.3387 -1.4646 -1.5870 -1.7064 -1.8228 -1.9362 -2.0466
 -2.1533
  0.5158  0.4637  0.4110  0.3549  0.2983  0.2461  0.2028  0.1770  0.1651  0.1613
  0.1573  0.1380  0.1031  0.0558 -0.0004 -0.1613 -0.3297 -0.4933 -0.6499 -0.7992
 -0.9418 -1.0792 -1.2123 -1.3413 -1.4664 -1.5881 -1.7067 -1.8221 -1.9346 -2.0441
 -2.1506
  0.5100  0.4668  0.4207  0.3719  0.3204  0.2682  0.2194  0.1823  0.1552  0.1344
  0.1165  0.0969  0.0668  0.0274 -0.0197 -0.1636 -0.3267 -0.4898 -0.6470 -0.7972
