 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -3.8264 -3.6801 -3.5521 -3.4417 -3.3473 -3.1627 -3.0062 -2.8730 -2.7717 -2.6974
 -2.6445 -2.6088 -2.5863 -2.5740 -2.5683 -2.5658 -2.5649 -2.5642 -2.5636 -2.5636
 -2.5681
 -7.4881 -6.9401 -6.4232 -5.9326 -5.4776 -5.0743 -4.7268 -4.4341 -4.1907 -3.9877
 -3.8164 -3.6698 -3.5430 -3.4328 -3.3253 -3.1331 -3.0065 -2.8757 -2.7721
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.7743 -8.4992 -8.2738 -8.0875 -7.8984 -7.6240 -7.1873 -6.5257 -5.6757 -4.9418
 -4.4150 -4.0535 -3.8040 -3.6239 -3.4855 -3.2319 -3.0458 -2.8980 -2.7743
 -8.4591 -8.1525 -7.8939 -7.6849 -7.5060 -7.3002 -6.9332 -6.2624 -5.5247 -4.8625
 -4.3623 -4.0079 -3.7594 -3.5800 -3.4432 -3.1957 -3.0161 -2.8766 -2.7648 -2.6733
 -8.2417 -7.9010 -7.6025 -7.3535 -7.1463 -6.9397 -6.6283 -6.0773 -5.4423 -4.8435
 -4.3614 -4.0051 -3.7492 -3.5639 -3.4241 -3.1768 -3.0001 -2.8651 -2.7592 -2.6737
 -2.6040
 -8.0829 -7.7198 -7.3858 -7.0933 -6.8450 -6.6217 -6.3602 -5.9199 -5.3795 -4.8422
 -4.3835 -4.0262 -3.7607 -3.5659 -3.4200 -3.1686 -2.9928 -2.8599 -2.7575 -2.6762
 -2.6104 -2.5568
 -7.9171 -7.5552 -7.2110 -6.8928 -6.6064 -6.3505 -6.1021 -5.7615 -5.3096 -4.8369
 -4.4087 -4.0573 -3.7851 -3.5804 -3.4262 -3.1672 -2.9906 -2.8586 -2.7582 -2.6799
 -2.6172 -2.5666 -2.5254 -2.4909
 -7.6010 -7.2808 -6.9812 -6.6908 -6.4074 -6.1327 -5.8677 -5.5877 -5.2208 -4.8134
 -4.4245 -4.0878 -3.8150 -3.6026 -3.4399 -3.1701 -2.9918 -2.8595 -2.7600 -2.6837
 -2.6237 -2.5760 -2.5378 -2.5064 -2.4803 -2.4586 -2.4417 -2.4301 -2.4250 -2.4266
 -7.2982 -6.9061 -6.5910 -6.3340 -6.1074 -5.8862 -5.6501 -5.3913 -5.1002 -4.7626
 -4.4205 -4.1087 -3.8434 -3.6284 -3.4587 -3.1762 -2.9949 -2.8617 -2.7621 -2.6870
 -2.6292 -2.5842 -2.5491 -2.5211 -2.4980 -2.4786 -2.4629 -2.4508 -2.4438 -2.4436
 -2.4503
 -7.2067 -6.7377 -6.3399 -6.0157 -5.7527 -5.5294 -5.3226 -5.1138 -4.8815 -4.6256
 -4.3588 -4.0980 -3.8587 -3.6516 -3.4799 -3.1849 -2.9992 -2.8645 -2.7642 -2.6894
 -2.6332 -2.5906 -2.5585 -2.5341 -2.5147 -2.4986 -2.4852 -2.4744 -2.4671 -2.4645
 -2.4691
 -7.2581 -6.7360 -6.2731 -5.8779 -5.5496 -5.2783 -5.0458 -4.8328 -4.6219 -4.4022
 -4.1847 -3.9845 -3.8038 -3.6387 -3.4881 -3.1938 -3.0030 -2.8663 -2.7649 -2.6898
 -2.6346 -2.5940 -2.5648 -2.5440 -2.5288 -2.5167 -2.5069 -2.4996 -2.4948 -2.4922
 -2.4915
 -7.3951 -6.8415 -6.3344 -5.8835 -5.4962 -5.1698 -4.8964 -4.6613 -4.4493 -4.2473
 -4.0510 -3.8681 -3.7076 -3.5715 -3.4538 -3.2034 -3.0098 -2.8703 -2.7670 -2.6906
 -2.6353 -2.5959 -2.5687 -2.5509 -2.5396 -2.5320 -2.5266 -2.5223 -2.5192 -2.5181
 -2.5189
 -7.5241 -6.9753 -6.4492 -5.9670 -5.5362 -5.1639 -4.8480 -4.5820 -4.3543 -4.1535
 -3.9707 -3.8026 -3.6511 -3.5195 -3.4080 -3.1929 -3.0163 -2.8747 -2.7691 -2.6909
 -2.6346 -2.5954 -2.5695 -2.5539 -2.5460 -2.5427 -2.5420 -2.5424 -2.5434 -2.5450
 -2.5513
 -7.6012 -7.0750 -6.5621 -6.0732 -5.6205 -5.2194 -4.8706 -4.5743 -4.3247 -4.1126
 -3.9293 -3.7677 -3.6241 -3.4972 -3.3507 -3.1623 -3.0225 -2.8795 -2.7712
