 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.0082  1.0156  1.0202  1.0096  0.9718  0.9592  0.9721  0.9799  0.9812  0.9799
  0.9763  0.9731  0.9690  0.9627  0.9545  0.9224  0.8724  0.8101  0.7396  0.6636
  0.5838  0.5012  0.4164  0.3301  0.2433  0.1563  0.0687 -0.0201 -0.1105 -0.1993
 -0.2854
  1.0304  1.0319  1.0367  1.0388  1.0325  1.0115  0.9863  0.9830  0.9855  0.9829
  0.9774  0.9707  0.9647  0.9580  0.9496  0.9181  0.8693  0.8072  0.7369  0.6612
  0.5817  0.4995  0.4152  0.3295  0.2434  0.1575  0.0715 -0.0148 -0.1022 -0.1909
 -0.2781
  1.0545  1.0533  1.0532  1.0541  1.0526  1.0463  1.0331  1.0139  0.9971  0.9892
  0.9829  0.9737  0.9638  0.9553  0.9463  0.9151  0.8672  0.8053  0.7350  0.6593
  0.5799  0.4977  0.4135  0.3280  0.2421  0.1565  0.0712 -0.0140 -0.0994 -0.1854
 -0.2724
  1.0926  1.0811  1.0741  1.0711  1.0677  1.0623  1.0539  1.0420  1.0268  1.0099
  0.9944  0.9813  0.9687  0.9560  0.9450  0.9135  0.8671  0.8060  0.7357  0.6602
  0.5810  0.4989  0.4148  0.3293  0.2435  0.1578  0.0726 -0.0120 -0.0964 -0.1813
 -0.2669
  1.1379  1.1153  1.1002  1.0918  1.0854  1.0779  1.0685  1.0572  1.0438  1.0288
  1.0125  0.9956  0.9792  0.9632  0.9477  0.9131  0.8680  0.8080  0.7381  0.6627
  0.5837  0.5018  0.4176  0.3321  0.2460  0.1599  0.0743 -0.0105 -0.0945 -0.1781
 -0.2612
  1.1904  1.1559  1.1335  1.1171  1.1060  1.0962  1.0850  1.0721  1.0575  1.0418
  1.0253  1.0080  0.9903  0.9724  0.9544  0.9139  0.8699  0.8113  0.7422
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  J   
  0.9226  0.9388  0.9523  0.9634  0.9915  1.0083  1.0212  1.0327  1.0417  1.0467
  1.0476  1.0463  1.0432  1.0373  1.0285  0.9953  0.9432  0.8823  0.8111
  0.8947  0.9194  0.9389  0.9537  0.9723  0.9903  1.0035  1.0142  1.0242  1.0292
  1.0302  1.0289  1.0254  1.0194  1.0106  0.9753  0.9248  0.8635  0.7931  0.7146
  0.8613  0.8959  0.9241  0.9456  0.9597  0.9778  0.9910  0.9999  1.0092  1.0152
  1.0164  1.0147  1.0109  1.0048  0.9961  0.9609  0.9103  0.8489  0.7790  0.7021
  0.6196
  0.8560  0.8741  0.9085  0.9361  0.9552  0.9685  0.9823  0.9910  0.9961  1.0033
  1.0048  1.0030  0.9989  0.9928  0.9842  0.9500  0.8997  0.8384  0.7688  0.6927
  0.6117  0.5268
  0.9541  0.8874  0.8964  0.9271  0.9510  0.9659  0.9768  0.9849  0.9895  0.9914
  0.9949  0.9931  0.9888  0.9825  0.9740  0.9410  0.8916  0.8306  0.7612  0.6857
  0.6057  0.5222  0.4357  0.3468
  0.9885  0.9853  0.9311  0.9223  0.9468  0.9655  0.9759  0.9822  0.9855  0.9860
  0.9859  0.9848  0.9803  0.9737  0.9653  0.9335  0.8852  0.8246  0.7556  0.6805
  0.6011  0.5185  0.4335  0.3463  0.2578  0.1684  0.0771 -0.0160 -0.1066 -0.1952
  1.0029  1.0119  1.0120  0.9790  0.9495  0.9647  0.9780  0.9840  0.9853  0.9844
  0.9811  0.9780  0.9736  0.9667  0.9581  0.9271  0.8801  0.8201  0.7514  0.6767
  0.5978  0.5158  0.4317  0.3458  0.2588  0.1714  0.0833 -0.0065 -0.0977 -0.1867
 -0.2734
  1.0183  1.0262  1.0327  1.0328  1.0163  0.9843  0.9801  0.9878  0.9894  0.9862
  0.9812  0.9746  0.9686  0.9615  0.9525  0.9219  0.8762  0.8168  0.7485  0.6741
  0.5956  0.5141  0.4305  0.3454  0.2595  0.1734  0.0872  0.0003 -0.0882 -0.1778
 -0.2653
  1.0354  1.0422  1.0469  1.0497  1.0479  1.0378  1.0170  0.9988  0.9950  0.9927
  0.9859  0.9766  0.9668  0.9581  0.9488  0.9179  0.8732  0.8145  0.7462  0.6720
  0.5936  0.5122  0.4288  0.3440  0.2586  0.1731  0.0876  0.0021 -0.0839 -0.1709
 -0.2590
  1.0651  1.0633  1.0631  1.0643  1.0630  1.0581  1.0486  1.0342  1.0169  1.0029
  0.9934  0.9833  0.9707  0.9581  0.9470  0.9156  0.8721  0.8144  0.7464  0.6723
  0.5943  0.5132  0.4300  0.3454  0.2602  0.1749  0.0899  0.0051 -0.0796 -0.1646
 -0.2502
  1.0999  1.0895  1.0833  1.0809  1.0782  1.0728  1.0643  1.0532  1.0394  1.0238
  1.0080  0.9933  0.9793  0.9643  0.9489  0.9146  0.8721  0.8157  0.7482  0.6743
  0.5965  0.5157  0.4327  0.3481  0.2628  0.1774  0.0922  0.0076 -0.0766 -0.1607
 -0.2447
  1.1400  1.1208  1.1073  1.1013  1.0953  1.0888  1.0795  1.0676  1.0536  1.0384
  1.0222  1.0055  0.9887  0.9723  0.9545  0.9149  0.8732  0.8184  0.7516
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  J   
  0.9518  0.9534  0.9610  0.9740  0.9992  1.0217  1.0381  1.0492  1.0559  1.0588
  1.0585  1.0554  1.0502  1.0430  1.0340  0.9997  0.9484  0.8838  0.8147
  0.9166  0.9393  0.9543  0.9624  0.9808  0.9978  1.0111  1.0217  1.0337  1.0387
  1.0392  1.0368  1.0323  1.0255  1.0163  0.9811  0.9313  0.8696  0.8007  0.7240
  0.8891  0.9189  0.9411  0.9565  0.9682  0.9858  0.9980  1.0076  1.0183  1.0243
  1.0251  1.0227  1.0181  1.0113  1.0021  0.9674  0.9177  0.8576  0.7890  0.7133
  0.6317
  0.8635  0.8948  0.9256  0.9488  0.9626  0.9759  0.9895  0.9981  1.0034  1.0118
  1.0132  1.0108  1.0059  0.9990  0.9901  0.9565  0.9076  0.8478  0.7796  0.7047
  0.6246  0.5403
  0.9146  0.8822  0.9106  0.9393  0.9600  0.9708  0.9827  0.9913  0.9961  0.9990
  1.0027  1.0004  0.9954  0.9884  0.9795  0.9471  0.8995  0.8402  0.7725  0.6982
  0.6191  0.5362  0.4503  0.3617
  0.9849  0.9555  0.9101  0.9314  0.9558  0.9721  0.9797  0.9874  0.9910  0.9918
  0.9927  0.9915  0.9865  0.9792  0.9703  0.9389  0.8927  0.8342  0.7670  0.6933
  0.6148  0.5329  0.4484  0.3616  0.2732  0.1830  0.0907 -0.0023 -0.0930 -0.1822
  1.0007  1.0081  0.9938  0.9454  0.9530  0.9716  0.9831  0.9872  0.9894  0.9891
  0.9861  0.9837  0.9791  0.9716  0.9625  0.9317  0.8869  0.8294  0.7626  0.6895
  0.6117  0.5305  0.4469  0.3614  0.2745  0.1868  0.0981  0.0075 -0.0838 -0.1728
 -0.2602
  1.0137  1.0231  1.0289  1.0225  0.9875  0.9734  0.9852  0.9920  0.9923  0.9896
  0.9852  0.9788  0.9733  0.9658  0.9563  0.9255  0.8822  0.8256  0.7594  0.6868
  0.6094  0.5288  0.4459  0.3613  0.2757  0.1894  0.1027  0.0153 -0.0736 -0.1636
 -0.2512
  1.0250  1.0361  1.0430  1.0461  1.0416  1.0221  0.9984  0.9966  0.9988  0.9957
  0.9890  0.9799  0.9703  0.9618  0.9520  0.9207  0.8782  0.8225  0.7567  0.6842
  0.6071  0.5268  0.4442  0.3601  0.2751  0.1897  0.1042  0.0185 -0.0679 -0.1556
 -0.2443
  1.0466  1.0521  1.0565  1.0599  1.0593  1.0536  1.0409  1.0222  1.0082  1.0026
  0.9961  0.9857  0.9733  0.9609  0.9497  0.9177  0.8760  0.8215  0.7562  0.6840
  0.6073  0.5274  0.4452  0.3614  0.2768  0.1920  0.1071  0.0224 -0.0624 -0.1478
 -0.2342
  1.0707  1.0711  1.0722  1.0739  1.0733  1.0687  1.0605  1.0486  1.0334  1.0179
  1.0053  0.9943  0.9814  0.9661  0.9508  0.9163  0.8750  0.8219  0.7573  0.6854
  0.6089  0.5293  0.4474  0.3638  0.2794  0.1946  0.1099  0.0256 -0.0586 -0.1428
 -0.2273
  1.0972  1.0931  1.0901  1.0895  1.0881  1.0835  1.0751  1.0638  1.0500  1.0349
  1.0191  1.0038  0.9894  0.9746  0.9553  0.9165  0.8752  0.8237  0.7600
