 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  o   
 -1.9702 -1.8896 -1.8187 -1.7566 -1.7018 -1.5910 -1.5097 -1.4540 -1.4203 -1.4053
 -2.6839 -2.5931 -2.5212 -2.4623 -2.4105 -2.3582 -2.2918 -2.2081 -2.1205 -2.0354
 -1.9550 -1.8808 -1.8135 -1.7534 -1.7002 -1.5930 -1.5156 -1.4631 -1.4322 -1.4182
 -1.4160
 -2.5818 -2.4970 -2.4241 -2.3630 -2.3111 -2.2637 -2.2125 -2.1486 -2.0784 -2.0076
 -1.9384 -1.8721 -1.8096 -1.7521 -1.7003 -1.5960 -1.5214 -1.4713 -1.4421 -1.4292
 -1.4279 -1.4332
 -2.5135 -2.4056 -2.3063 -2.2544 -2.2169 -2.1801 -2.1389 -2.0901 -2.0344 -1.9761
 -1.9176 -1.8601 -1.8040 -1.7504 -1.7006 -1.5989 -1.5263 -1.4780 -1.4502 -1.4383
 -1.4380 -1.4446 -1.4548 -1.4678
 -2.4795 -2.3461 -2.2433 -2.1631 -2.1034 -2.0618 -2.0356 -2.0132 -1.9822 -1.9405
 -1.8928 -1.8434 -1.7944 -1.7462 -1.6996 -1.6009 -1.5301 -1.4830 -1.4562 -1.4452
 -1.4461 -1.4544 -1.4664 -1.4804 -1.4964 -1.5141 -1.5348 -1.5597 -1.5889 -1.6198
 -2.4684 -2.3385 -2.2267 -2.1329 -2.0565 -1.9959 -1.9482 -1.9108 -1.8838 -1.8654
 -1.8460 -1.8171 -1.7791 -1.7376 -1.6957 -1.6014 -1.5321 -1.4860 -1.4599 -1.4497
 -1.4517 -1.4619 -1.4763 -1.4925 -1.5099 -1.5285 -1.5489 -1.5714 -1.5975 -1.6287
 -1.6626
 -2.4655 -2.3382 -2.2252 -2.1264 -2.0419 -1.9713 -1.9132 -1.8651 -1.8250 -1.7922
 -1.7679 -1.7516 -1.7365 -1.7146 -1.6847 -1.5997 -1.5322 -1.4870 -1.4611 -1.4514
 -1.4543 -1.4664 -1.4836 -1.5029 -1.5227 -1.5429 -1.5640 -1.5864 -1.6106 -1.6384
 -1.6719
 -2.4484 -2.3295 -2.2215 -2.1240 -2.0377 -1.9630 -1.8992 -1.8451 -1.7991 -1.7599
 -1.7264 -1.6987 -1.6777 -1.6625 -1.6477 -1.5925 -1.5294 -1.4853 -1.4597 -1.4501
 -1.4537 -1.4674 -1.4876 -1.5105 -1.5337 -1.5568 -1.5800 -1.6033 -1.6275 -1.6535
 -1.6830
 -2.4114 -2.3071 -2.2079 -2.1171 -2.0340 -1.9599 -1.8948 -1.8379 -1.7884 -1.7454
 -1.7079 -1.6752 -1.6470 -1.6236 -1.6053 -1.5685 -1.5237 -1.4816 -1.4562 -1.4462
 -1.4497 -1.4643 -1.4867 -1.5132 -1.5406 -1.5674 -1.5936 -1.6192 -1.6447 -1.6708
 -1.6983
 -2.3552 -2.2650 -2.1790 -2.0969 -2.0213 -1.9517 -1.8890 -1.8327 -1.7827 -1.7381
 -1.6984 -1.6631 -1.6317 -1.6043 -1.5806 -1.5384 -1.5063 -1.4747 -1.4505 -1.4402
 -1.4431 -1.4576 -1.4813 -1.5108 -1.5423 -1.5734 -1.6037 -1.6327 -1.6608 -1.6885
 -1.7164
