 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.6180 -5.0381 -4.5180 -4.0797 -3.7184 -3.4253 -3.1899 -2.9972 -2.8365 -2.6996
 -2.5812 -2.4773 -2.3848 -2.3018 -2.2266 -2.0537 -1.8866 -1.7493 -1.6466 -1.5713
 -1.5171 -1.4792 -1.4535 -1.4349 -1.4200 -1.4068 -1.3947 -1.3832 -1.3726 -1.3637
 -1.3573
 -5.5449 -5.0166 -4.5346 -4.1161 -3.7604 -3.4659 -3.2239 -3.0239 -2.8563 -2.7131
 -2.5885 -2.4789 -2.3813 -2.2937 -2.2141 -2.0417 -1.8873 -1.7513 -1.6462 -1.5690
 -1.5137 -1.4760 -1.4519 -1.4371 -1.4274 -1.4200 -1.4137 -1.4076 -1.4016 -1.3962
 -1.3919
 -5.4557 -4.9788 -4.5418 -4.1521 -3.8124 -3.5210 -3.2743 -3.0661 -2.8899 -2.7390
 -2.6076 -2.4918 -2.3886 -2.2961 -2.2171 -2.0246 -1.8861 -1.7542 -1.6464
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = G_BP 
 -7.6781 -7.2630 -6.8683 -6.4884 -6.1144 -5.6813 -5.1218 -4.4468 -3.8670 -3.4272
 -3.1097 -2.8781 -2.6994 -2.5527 -2.4270 -2.1760 -1.9809 -1.8203 -1.6825
 -7.3039 -6.8480 -6.4167 -6.0101 -5.6196 -5.2101 -4.7127 -4.1699 -3.6909 -3.3096
 -3.0193 -2.8003 -2.6288 -2.4874 -2.3658 -2.1218 -1.9365 -1.7882 -1.6658 -1.5626
 -7.0289 -6.5461 -6.0868 -5.6544 -5.2507 -4.8602 -4.4359 -3.9857 -3.5779 -3.2384
 -2.9684 -2.7574 -2.5896 -2.4506 -2.3307 -2.0897 -1.9095 -1.7691 -1.6549 -1.5598
 -1.4808
 -6.6813 -6.2356 -5.7983 -5.3749 -4.9713 -4.5914 -4.2217 -3.8425 -3.4901 -3.1867
 -2.9360 -2.7334 -2.5690 -2.4316 -2.3128 -2.0729 -1.8942 -1.7577 -1.6490 -1.5600
 -1.4865 -1.4253
 -6.3434 -5.8084 -5.3375 -4.9906 -4.6727 -4.3547 -4.0326 -3.7134 -3.4104 -3.1405
 -2.9099 -2.7175 -2.5578 -2.4227 -2.3051 -2.0657 -1.8866 -1.7516 -1.6465 -1.5620
 -1.4932 -1.4362 -1.3881 -1.3466
 -6.0900 -5.4518 -4.9699 -4.5781 -4.2563 -3.9860 -3.7533 -3.5325 -3.3072 -3.0852
 -2.8814 -2.7030 -2.5499 -2.4185 -2.3028 -2.0643 -1.8840 -1.7489 -1.6458 -1.5646
 -1.4998 -1.4471 -1.4029 -1.3648 -1.3316 -1.3024 -1.2778 -1.2587 -1.2461 -1.2422
 -5.9735 -5.3417 -4.8059 -4.3683 -4.0168 -3.7305 -3.4906 -3.2843 -3.1084 -2.9595
 -2.8201 -2.6788 -2.5411 -2.4153 -2.3027 -2.0662 -1.8844 -1.7481 -1.6457 -1.5667
 -1.5051 -1.4564 -1.4166 -1.3827 -1.3528 -1.3264 -1.3036 -1.2844 -1.2700 -1.2632
 -1.2653
 -5.9996 -5.3394 -4.7657 -4.2918 -3.9111 -3.6077 -3.3615 -3.1560 -2.9805 -2.8309
 -2.7065 -2.6031 -2.5063 -2.4050 -2.3017 -2.0699 -1.8868 -1.7486 -1.6456 -1.5677
 -1.5085 -1.4632 -1.4279 -1.3986 -1.3731 -1.3502 -1.3300 -1.3126 -1.2983 -1.2890
 -1.2879
 -6.0283 -5.3671 -4.7802 -4.2839 -3.8810 -3.5602 -3.3039 -3.0950 -2.9206 -2.7721
 -2.6445 -2.5352 -2.4425 -2.3611 -2.2810 -2.0718 -1.8889 -1.7486 -1.6441 -1.5664
 -1.5087 -1.4662 -1.4348 -1.4105 -1.3901 -1.3719 -1.3556 -1.3410 -1.3285 -1.3190
 -1.3144
 -6.0296 -5.4007 -4.8205 -4.3198 -3.9041 -3.5683 -3.3004 -3.0830 -2.9040 -2.7532
 -2.6236 -2.5109 -2.4121 -2.3253 -2.2482 -2.0687 -1.8938 -1.7513 -1.6444 -1.5655
 -1.5078 -1.4666 -1.4380 -1.4181 -1.4029 -1.3901 -1.3787 -1.3682 -1.3589 -1.3513
 -1.3463
 -5.9893 -5.4016 -4.8562 -4.3679 -3.9527 -3.6091 -3.3299 -3.1025 -2.9156 -2.7587
 -2.6243 -2.5073 -2.4043 -2.3127 -2.2306 -2.0560 -1.8966 -1.7550 -1.6454 -1.5643
 -1.5055 -1.4644 -1.4373 -1.4204 -1.4098 -1.4024 -1.3967 -1.3914 -1.3866 -1.3825
 -1.3796
 -5.9220 -5.3810 -4.8749 -4.4154 -4.0139 -3.6711 -3.3845 -3.1469 -2.9497 -2.7841
 -2.6425 -2.5193 -2.4107 -2.3143 -2.2282 -2.0337 -1.8973 -1.7597 -1.6471
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -7.8770 -7.5037 -7.1521 -6.8220 -6.5205 -6.1391 -5.5601 -4.7749 -4.0600 -3.5208
 -3.1468 -2.8837 -2.6897 -2.5367 -2.4092 -2.1577 -1.9667 -1.8112 -1.6783
 -7.5097 -7.1027 -6.7211 -6.3679 -6.0330 -5.6635 -5.1442 -4.5020 -3.9020 -3.4241
 -3.0727 -2.8194 -2.6304 -2.4813 -2.3564 -2.1108 -1.9267 -1.7815 -1.6610 -1.5588
 -7.2488 -6.8155 -6.4035 -6.0196 -5.6615 -5.3004 -4.8537 -4.3197 -3.8074 -3.3758
 -3.0413 -2.7908 -2.6019 -2.4527 -2.3285 -2.0841 -1.9030 -1.7632 -1.6500 -1.5551
 -1.4756
 -7.0150 -6.5767 -6.1533 -5.7505 -5.3706 -5.0074 -4.6211 -4.1739 -3.7329 -3.3452
 -3.0289 -2.7822 -2.5916 -2.4410 -2.3161 -2.0712 -1.8902 -1.7528 -1.6439 -1.5543
 -1.4798 -1.4176
 -6.6087 -6.2023 -5.8375 -5.4823 -5.1257 -4.7696 -4.4160 -4.0397 -3.6609 -3.3154
 -3.0213 -2.7821 -2.5917 -2.4393 -2.3132 -2.0669 -1.8845 -1.7475 -1.6412 -1.5554
 -1.4851 -1.4268 -1.3778 -1.3359
 -6.2967 -5.7911 -5.3738 -5.0302 -4.7363 -4.4658 -4.1881 -3.8861 -3.5732 -3.2745
 -3.0084 -2.7823 -2.5956 -2.4429 -2.3158 -2.0679 -1.8835 -1.7455 -1.6404 -1.5573
 -1.4904 -1.4359 -1.3907 -1.3521 -1.3189 -1.2906 -1.2668 -1.2480 -1.2363 -1.2328
 -6.1870 -5.6047 -5.1094 -4.7017 -4.3676 -4.0849 -3.8352 -3.6055 -3.3882 -3.1769
 -2.9684 -2.7718 -2.5975 -2.4480 -2.3211 -2.0721 -1.8856 -1.7457 -1.6405 -1.5592
 -1.4950 -1.4439 -1.4025 -1.3679 -1.3381 -1.3122 -1.2901 -1.2721 -1.2588 -1.2527
 -1.2550
 -6.2082 -5.5747 -5.0199 -4.5547 -4.1758 -3.8664 -3.6062 -3.3778 -3.1729 -2.9939
 -2.8425 -2.7083 -2.5774 -2.4477 -2.3265 -2.0781 -1.8898 -1.7474 -1.6410 -1.5603
 -1.4981 -1.4499 -1.4123 -1.3820 -1.3563 -1.3341 -1.3148 -1.2984 -1.2851 -1.2773
 -1.2768
 -6.2768 -5.6180 -5.0269 -4.5191 -4.1001 -3.7612 -3.4859 -3.2562 -3.0584 -2.8852
 -2.7354 -2.6094 -2.5041 -2.4095 -2.3148 -2.0831 -1.8937 -1.7489 -1.6406 -1.5596
 -1.4986 -1.4527 -1.4185 -1.3926 -1.3717 -1.3538 -1.3384 -1.3250 -1.3138 -1.3058
 -1.3026
 -6.3311 -5.6889 -5.0849 -4.5544 -4.1061 -3.7403 -3.4458 -3.2063 -3.0075 -2.8382
 -2.6916 -2.5645 -2.4550 -2.3613 -2.2792 -2.0853 -1.9009 -1.7534 -1.6423 -1.5597
 -1.4985 -1.4538 -1.4219 -1.3996 -1.3834 -1.3705 -1.3598 -1.3504 -1.3424 -1.3363
 -1.3329
 -6.3396 -5.7269 -5.1479 -4.6139 -4.1542 -3.7706 -3.4576 -3.2045 -2.9976 -2.8248
 -2.6775 -2.5497 -2.4380 -2.3400 -2.2537 -2.0732 -1.9066 -1.7590 -1.6449 -1.5598
 -1.4974 -1.4527 -1.4221 -1.4023 -1.3900 -1.3820 -1.3765 -1.3721 -1.3685 -1.3658
 -1.3645
 -6.3093 -5.7323 -5.1834 -4.6764 -4.2216 -3.8327 -3.5076 -3.2407 -3.0215 -2.8399
 -2.6865 -2.5545 -2.4392 -2.3375 -2.2383 -2.0468 -1.9108 -1.7657 -1.6484
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = G_BP 
 -8.0113 -7.6707 -7.3570 -7.0738 -6.8431 -6.5237 -5.9590 -5.1165 -4.2948 -3.6582
 -3.2165 -2.9130 -2.6965 -2.5323 -2.3989 -2.1440 -1.9545 -1.8025 -1.6741
 -7.6500 -7.2802 -6.9412 -6.6390 -6.3634 -6.0544 -5.5597 -4.8613 -4.1549 -3.5771
 -3.1573 -2.8610 -2.6474 -2.4855 -2.3545 -2.1038 -1.9191 -1.7750 -1.6567 -1.5555
 -7.3944 -7.0008 -6.6321 -6.2980 -5.9976 -5.6927 -5.2677 -4.6865 -4.0786 -3.5502
 -3.1436 -2.8464 -2.6293 -2.4649 -2.3330 -2.0820 -1.8986 -1.7585 -1.6459 -1.5515
 -1.4715
 -7.1938 -6.7868 -6.3970 -6.0341 -5.7017 -5.3873 -5.0239 -4.5396 -4.0189 -3.5411
 -3.1510 -2.8530 -2.6301 -2.4607 -2.3261 -2.0725 -1.8881 -1.7492 -1.6400 -1.5501
 -1.4747 -1.4114
 -6.9293 -6.5478 -6.1742 -5.8130 -5.4664 -5.1342 -4.8004 -4.3990 -3.9546 -3.5293
 -3.1631 -2.8693 -2.6420 -2.4670 -2.3285 -2.0710 -1.8844 -1.7449 -1.6374 -1.5507
 -1.4790 -1.4193 -1.3690 -1.3258
 -6.5315 -6.1155 -5.7748 -5.4807 -5.1977 -4.9029 -4.5888 -4.2496 -3.8754 -3.5035
 -3.1680 -2.8858 -2.6588 -2.4795 -2.3368 -2.0746 -1.8852 -1.7439 -1.6368 -1.5523
 -1.4836 -1.4272 -1.3802 -1.3406 -1.3066 -1.2779 -1.2544 -1.2361 -1.2247 -1.2216
 -6.3403 -5.8264 -5.3981 -5.0508 -4.7638 -4.5123 -4.2738 -4.0203 -3.7382 -3.4406
 -3.1523 -2.8939 -2.6745 -2.4947 -2.3486 -2.0811 -1.8891 -1.7452 -1.6375 -1.5541
 -1.4877 -1.4342 -1.3907 -1.3545 -1.3239 -1.2978 -1.2760 -1.2585 -1.2458 -1.2402
 -1.2428
 -6.3223 -5.7404 -5.2351 -4.8135 -4.4687 -4.1813 -3.9291 -3.6933 -3.4655 -3.2518
 -3.0514 -2.8585 -2.6740 -2.5066 -2.3620 -2.0899 -1.8952 -1.7485 -1.6388 -1.5556
 -1.4909 -1.4398 -1.3994 -1.3670 -1.3402 -1.3176 -1.2986 -1.2829 -1.2708 -1.2635
 -1.2635
 -6.3963 -5.7743 -5.2136 -4.7307 -4.3290 -3.9991 -3.7240 -3.4840 -3.2648 -3.0636
 -2.8859 -2.7353 -2.6047 -2.4825 -2.3622 -2.0980 -1.9009 -1.7515 -1.6396 -1.5556
 -1.4917 -1.4427 -1.4052 -1.3765 -1.3539 -1.3354 -1.3202 -1.3074 -1.2973 -1.2903
 -1.2882
 -6.5015 -5.8685 -5.2787 -4.7537 -4.3049 -3.9339 -3.6301 -3.3777 -3.1614 -2.9703
 -2.8006 -2.6524 -2.5269 -2.4209 -2.3273 -2.1061 -1.9101 -1.7579 -1.6428 -1.5568
 -1.4925 -1.4445 -1.4090 -1.3833 -1.3646 -1.3506 -1.3398 -1.3309 -1.3239 -1.3190
 -1.3169
 -6.5653 -5.9530 -5.3659 -4.8225 -4.3462 -3.9429 -3.6109 -3.3399 -3.1154 -2.9256
 -2.7611 -2.6173 -2.4918 -2.3836 -2.2902 -2.0968 -1.9189 -1.7653 -1.6470 -1.5582
 -1.4925 -1.4444 -1.4100 -1.3865 -1.3711 -1.3613 -1.3551 -1.3509 -1.3481 -1.3465
 -1.3465
 -6.5818 -5.9978 -5.4334 -4.9028 -4.4187 -3.9992 -3.6461 -3.3552 -3.1165 -2.9188
 -2.7518 -2.6080 -2.4825 -2.3726 -2.2509 -2.0701 -1.9273 -1.7737 -1.6522
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -8.0936 -7.7792 -7.4998 -7.2612 -7.0449 -6.7721 -6.2428 -5.3812 -4.5173 -3.8025
 -3.2992 -2.9554 -2.7146 -2.5352 -2.3952 -2.1344 -1.9447 -1.7947 -1.6687
 -7.7414 -7.3999 -7.0982 -6.8438 -6.6210 -6.3624 -5.8903 -5.1655 -4.3959 -3.7366
 -3.2530 -2.9139 -2.6737 -2.4961 -2.3569 -2.0996 -1.9133 -1.7691 -1.6515 -1.5508
