 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.7708 -5.4635 -5.1721 -4.9043 -4.6561 -4.3976 -4.0485 -3.5259 -2.9756 -2.4864
 -2.0962 -1.8013 -1.5807 -1.4116 -1.2753 -1.0126 -0.8145 -0.6579 -0.5300 -0.4226
 -0.3316
 -5.5425 -5.2219 -4.9097 -4.6142 -4.3387 -4.0723 -3.7750 -3.3518 -2.8832 -2.4474
 -2.0815 -1.7924 -1.5694 -1.3967 -1.2580 -0.9939 -0.7970 -0.6437 -0.5209 -0.4194
 -0.3342 -0.2625
 -5.3234 -5.0003 -4.6868 -4.3824 -4.0885 -3.8054 -3.5253 -3.1890 -2.7943 -2.4098
 -2.0719 -1.7931 -1.5705 -1.3944 -1.2525 -0.9854 -0.7879 -0.6360 -0.5162 -0.4190
 -0.3385 -0.2713 -0.2145 -0.1652
 -5.0542 -4.6929 -4.3887 -4.1172 -3.8536 -3.5840 -3.3068 -3.0226 -2.6973 -2.3638
 -2.0575 -1.7942 -1.5761 -1.3992 -1.2548 -0.9836 -0.7845 -0.6324 -0.5143 -0.4201
 -0.3434 -0.2803 -0.2277 -0.1826 -0.1432 -0.1086 -0.0785 -0.0529 -0.0340 -0.0249
 -4.9272 -4.4794 -4.1009 -3.7873 -3.5203 -3.2796 -3.0492 -2.8127 -2.5589 -2.2897
 -2.0263 -1.7872 -1.5803 -1.4062 -1.2611 -0.9864 -0.7849 -0.6317 -0.5140 -0.4217
 -0.3480 -0.2885 -0.2400 -0.1991 -0.1636 -0.1320 -0.1044 -0.0803 -0.0606 -0.0479
 -0.0448
 -4.9451 -4.4327 -3.9844 -3.6038 -3.2856 -3.0154 -2.7757 -2.5529 -2.3357 -2.1233
 -1.9257 -1.7408 -1.5672 -1.4085 -1.2682 -0.9925 -0.7884 -0.6330 -0.5146 -0.4231
 -0.3513 -0.2949 -0.2502 -0.2137 -0.1826 -0.1551 -0.1306 -0.1089 -0.0901 -0.0765
 -0.0698
 -5.0547 -4.4979 -3.9956 -3.5574 -3.1852 -2.8730 -2.6086 -2.3776 -2.1674 -1.9705
 -1.7898 -1.6320 -1.4968 -1.3753 -1.2594 -0.9983 -0.7923 -0.6345 -0.5145 -0.4229
 -0.3525 -0.2983 -0.2568 -0.2247 -0.1984 -0.1756 -0.1553 -0.1370 -0.1209 -0.1079
 -0.0993
 -5.2086 -4.6292 -4.0922 -3.6112 -3.1931 -2.8386 -2.5421 -2.2925 -2.0778 -1.8881
 -1.7177 -1.5659 -1.4339 -1.3215 -1.2239 -1.0025 -0.8006 -0.6397 -0.5171 -0.4241
 -0.3536 -0.3004 -0.2611 -0.2323 -0.2104 -0.1927 -0.1774 -0.1635 -0.1510 -0.1406
 -0.1324
 -5.3269 -4.7573 -4.2154 -3.7106 -3.2625 -2.8745 -2.5472 -2.2740 -2.0452 -1.8510
 -1.6830 -1.5358 -1.4063 -1.2933 -1.1947 -0.9921 -0.8086 -0.6467 -0.5209 -0.4255
 -0.3539 -0.3007 -0.2623 -0.2357 -0.2174 -0.2044 -0.1943 -0.1856 -0.1778 -0.1711
 -0.1691
 -5.4096 -4.8396 -4.3138 -3.8167 -3.3573 -2.9510 -2.6010 -2.3058 -2.0598 -1.8539
 -1.6797 -1.5301 -1.4000 -1.2861 -1.1718 -0.9671 -0.8163 -0.6555 -0.5259
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.5396 -6.3047 -6.1052 -5.9316 -5.7431 -5.4644 -5.0257 -4.3707 -3.5379 -2.8230
 -2.3083 -1.9511 -1.7002 -1.5148 -1.3689 -1.0938 -0.8859 -0.7153 -0.5665
 -6.1680 -5.9129 -5.6883 -5.4976 -5.3237 -5.1142 -4.7483 -4.0946 -3.3739 -2.7299
 -2.2422 -1.8932 -1.6439 -1.4593 -1.3146 -1.0442 -0.8418 -0.6797 -0.5446 -0.4292
 -5.8808 -5.6050 -5.3524 -5.1319 -4.9377 -4.7337 -4.4267 -3.8942 -3.2773 -2.6965
 -2.2281 -1.8788 -1.6236 -1.4341 -1.2867 -1.0154 -0.8151 -0.6575 -0.5291 -0.4213
 -0.3296
 -5.6531 -5.3641 -5.0870 -4.8341 -4.6096 -4.3972 -4.1422 -3.7207 -3.2000 -2.6811
 -2.2371 -1.8887 -1.6261 -1.4287 -1.2760 -1.0003 -0.8000 -0.6444 -0.5200 -0.4173
 -0.3309 -0.2577
 -5.4549 -5.1593 -4.8716 -4.5979 -4.3436 -4.1082 -3.8715 -3.5475 -3.1162 -2.6624
 -2.2499 -1.9091 -1.6420 -1.4367 -1.2772 -0.9943 -0.7924 -0.6374 -0.5153 -0.4162
 -0.3339 -0.2648 -0.2064 -0.1564
 -5.2142 -4.9178 -4.6449 -4.3823 -4.1254 -3.8739 -3.6271 -3.3623 -3.0154 -2.6271
 -2.2542 -1.9295 -1.6636 -1.4529 -1.2869 -0.9948 -0.7902 -0.6344 -0.5133 -0.4167
 -0.3376 -0.2722 -0.2176 -0.1713 -0.1315 -0.0970 -0.0675 -0.0425 -0.0240 -0.0152
 -5.0082 -4.6285 -4.3197 -4.0665 -3.8442 -3.6300 -3.4051 -3.1618 -2.8873 -2.5673
 -2.2407 -1.9413 -1.6842 -1.4728 -1.3019 -1.0000 -0.7917 -0.6343 -0.5131 -0.4179
 -0.3414 -0.2791 -0.2281 -0.1857 -0.1496 -0.1183 -0.0913 -0.0682 -0.0493 -0.0371
 -0.0343
 -4.9659 -4.5091 -4.1180 -3.7956 -3.5313 -3.3062 -3.0997 -2.8955 -2.6746 -2.4318
 -2.1766 -1.9254 -1.6933 -1.4905 -1.3196 -1.0090 -0.7963 -0.6364 -0.5142 -0.4193
 -0.3445 -0.2847 -0.2371 -0.1985 -0.1666 -0.1391 -0.1154 -0.0947 -0.0774 -0.0645
 -0.0584
 -5.0458 -4.5328 -4.0770 -3.6855 -3.3576 -3.0847 -2.8505 -2.6377 -2.4310 -2.2195
 -2.0108 -1.8174 -1.6408 -1.4772 -1.3258 -1.0188 -0.8018 -0.6389 -0.5148 -0.4196
 -0.3457 -0.2879 -0.2430 -0.2082 -0.1806 -0.1576 -0.1379 -0.1212 -0.1073 -0.0960
 -0.0869
 -5.2124 -4.6595 -4.1557 -3.7083 -3.3227 -2.9964 -2.7219 -2.4860 -2.2747 -2.0759
 -1.8846 -1.7067 -1.5495 -1.4144 -1.2950 -1.0302 -0.8121 -0.6456 -0.5185 -0.4215
 -0.3473 -0.2905 -0.2475 -0.2154 -0.1916 -0.1731 -0.1581 -0.1452 -0.1340 -0.1251
