 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  2.3699  2.3134  2.2517  2.1878  2.1235  1.9659  1.8137  1.6665  1.5256  1.3905
  1.2594  1.1312  1.0056  0.8825  0.7617  0.6432  0.5270  0.4134  0.3026  0.1944
  0.0905
  2.3916  2.3621  2.3386  2.3242  2.3201  2.3229  2.3277  2.3329  2.3350  2.3301
  2.3145  2.2851  2.2412  2.1865  2.1260  1.9698  1.8169  1.6687  1.5264  1.3902
  1.2590  1.1313  1.0068  0.8849  0.7655  0.6483  0.5331  0.4203  0.3101  0.2026
  0.0980
  2.4091  2.3744  2.3419  2.3134  2.2905  2.2736  2.2612  2.2498  2.2363  2.2204
  2.2031  2.1853  2.1658  2.1403  2.1051  1.9733  1.8217  1.6731  1.5299  1.3929
  1.2615  1.1344  1.0108  0.8901  0.7721  0.6563  0.5426  0.4310  0.3217  0.2148
  0.1106
  2.4305  2.3943  2.3582  2.3230  2.2901  2.2601  2.2333  2.2091  2.1852  2.1596
  2.1315  2.1022  2.0746  2.0498  2.0266  1.9514  1.8248  1.6775  1.5338  1.3962
  1.2644  1.1376  1.0147  0.8950  0.7782  0.6637  0.5513  0.4410  0.3328  0.2268
  0.1233
  2.4478  2.4132  2.3767  2.3396  2.3019  2.2648  2.2289  2.1947  2.1615  2.1286
  2.0947  2.0595  2.0236  1.9890  1.8905  1.9041  1.8262  1.6819  1.5381
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value =  H   
  2.8023  2.7942  2.7714  2.7356  2.6881  2.6300  2.5625  2.4880  2.4133  2.3401
  2.2689  2.1999  2.1338  2.0707  2.0107  1.8730  1.7485  1.6295  1.5093
  2.7819  2.7749  2.7568  2.7283  2.6889  2.6385  2.5771  2.5064  2.4331  2.3602
  2.2887  2.2192  2.1521  2.0878  2.0262  1.8831  1.7528  1.6303  1.5050  1.3757
  2.7499  2.7511  2.7412  2.7209  2.6895  2.6465  2.5912  2.5253  2.4542  2.3820
  2.3105  2.2405  2.1726  2.1072  2.0442  1.8962  1.7599  1.6322  1.5068  1.3785
  1.2474
  2.7085  2.7164  2.7152  2.7037  2.6813  2.6471  2.6005  2.5415  2.4740  2.4033
  2.3322  2.2620  2.1934  2.1270  2.0627  1.9105  1.7687  1.6357  1.5074  1.3789
  1.2486  1.1178
  2.6604  2.6736  2.6793  2.6760  2.6625  2.6379  2.6011  2.5512  2.4898  2.4219
  2.3520  2.2819  2.2130  2.1457  2.0804  1.9250  1.7786  1.6407  1.5091  1.3798
  1.2503  1.1210  0.9930  0.8668
  2.6025  2.6212  2.6336  2.6378  2.6327  2.6172  2.5904  2.5510  2.4983  2.4356
  2.3680  2.2989  2.2300  2.1623  2.0962  1.9383  1.7887  1.6467  1.5119  1.3813
  1.2523  1.1242  0.9976  0.8731  0.7507  0.6306  0.5126  0.3974  0.2868  0.1819
  2.4933  2.5090  2.5669  2.5842  2.5895  2.5838  2.5669  2.5383  2.4965  2.4418
  2.3787  2.3117  2.2436  2.1759  2.1094  1.9497  1.7980  1.6532  1.5155  1.3835
  1.2546  1.1274  1.0022  0.8790  0.7581  0.6393  0.5228  0.4086  0.2970  0.1903
  0.0888
  2.4016  2.4015  2.4228  2.4595  2.4962  2.5188  2.5215  2.5072  2.4788  2.4364
  2.3815  2.3190  2.2530  2.1861  2.1196  1.9588  1.8058  1.6592  1.5194  1.3861
  1.2570  1.1307  1.0066  0.8848  0.7653  0.6478  0.5324  0.4194  0.3088  0.2008
  0.0973
  2.3918  2.3680  2.3545  2.3548  2.3666  2.3836  2.4016  2.4146  2.4142  2.3965
  2.3616  2.3125  2.2540  2.1906  2.1255  1.9645  1.8103  1.6625  1.5211  1.3862
  1.2567  1.1309  1.0079  0.8874  0.7692  0.6532  0.5390  0.4268  0.3170  0.2096
  0.1050
  2.4040  2.3716  2.3434  2.3219  2.3090  2.3039  2.3025  2.3009  2.2976  2.2908
  2.2769  2.2535  2.2200  2.1762  2.1233  1.9705  1.8160  1.6674  1.5249  1.3890
  1.2591  1.1336  1.0116  0.8924  0.7757  0.6613  0.5487  0.4379  0.3291  0.2224
  0.1182
  2.4257  2.3900  2.3550  2.3230  2.2951  2.2724  2.2544  2.2390  2.2228  2.2039
  2.1821  2.1578  2.1317  2.1035  2.0716  1.9648  1.8211  1.6723  1.5289  1.3921
  1.2615  1.1362  1.0149  0.8967  0.7814  0.6684  0.5574  0.4482  0.3407  0.2350
  0.1315
  2.4495  2.4128  2.3756  2.3385  2.3029  2.2694  2.2387  2.2107  2.1839  2.1567
  2.1273  2.0952  2.0618  2.0287  1.9704  1.9474  1.8256  1.6772  1.5331
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value =  H   
  2.8156  2.7964  2.7656  2.7244  2.6738  2.6149  2.5486  2.4754  2.3978  2.3222
  2.2488  2.1777  2.1096  2.0445  1.9829  1.8436  1.7207  1.6056  1.4912
  2.8015  2.7900  2.7672  2.7342  2.6910  2.6369  2.5715  2.4965  2.4202  2.3449
  2.2713  2.1997  2.1306  2.0644  2.0012  1.8560  1.7269  1.6078  1.4901  1.3673
  2.7752  2.7719  2.7577  2.7325  2.6962  2.6484  2.5887  2.5187  2.4442  2.3695
  2.2958  2.2238  2.1540  2.0867  2.0221  1.8719  1.7364  1.6117  1.4909  1.3677
  1.2405
  2.7388  2.7434  2.7378  2.7215  2.6939  2.6546  2.6029  2.5390  2.4676  2.3940
  2.3206  2.2484  2.1780  2.1097  2.0438  1.8894  1.7480  1.6173  1.4927  1.3686
  1.2422  1.1146
  2.6936  2.7047  2.7070  2.6996  2.6814  2.6516  2.6095  2.5542  2.4879  2.4164
  2.3438  2.2717  2.2009  2.1319  2.0650  1.9070  1.7607  1.6245  1.4958  1.3702
  1.2444  1.1180  0.9922  0.8679
  2.6408  2.6569  2.6660  2.6665  2.6572  2.6371  2.6052  2.5603  2.5022  2.4348
  2.3640  2.2924  2.2215  2.1520  2.0843  1.9235  1.7735  1.6327  1.5000  1.3725
  1.2467  1.1213  0.9969  0.8740  0.7531  0.6341  0.5170  0.4026  0.2933  0.1888
  2.5672  2.5942  2.6119  2.6209  2.6205  2.6097  2.5879  2.5541  2.5068  2.4467
  2.3793  2.3091  2.2387  2.1691  2.1008  1.9380  1.7854  1.6413  1.5051  1.3755
  1.2493  1.1246  1.0014  0.8799  0.7605  0.6430  0.5276  0.4142  0.3033  0.1974
  0.0962
  2.4304  2.4677  2.5059  2.5422  2.5648  2.5662  2.5549  2.5323  2.4973  2.4485
  2.3879  2.3209  2.2518  2.1825  2.1141  1.9498  1.7954  1.6491  1.5104  1.3788
  1.2520  1.1280  1.0059  0.8857  0.7676  0.6516  0.5374  0.4254  0.3154  0.2079
  0.1050
  2.3950  2.3809  2.3844  2.4029  2.4323  2.4627  2.4819  2.4820  2.4635  2.4297
  2.3820  2.3231  2.2581  2.1906  2.1228  1.9576  1.8016  1.6538  1.5132  1.3797
  1.2520  1.1282  1.0070  0.8881  0.7715  0.6569  0.5441  0.4332  0.3242  0.2173
  0.1129
  2.3984  2.3699  2.3484  2.3372  2.3376  2.3458  2.3560  2.3655  2.3702  2.3633
  2.3401  2.3010  2.2498  2.1911  2.1280  1.9655  1.8084  1.6593  1.5175  1.3827
  1.2543  1.1307  1.0105  0.8930  0.7779  0.6650  0.5539  0.4445  0.3367  0.2308
  0.1267
  2.4171  2.3827  2.3509  2.3239  2.3034  2.2903  2.2827  2.2766  2.2688  2.2586
  2.2443  2.2226  2.1920  2.1529  2.1068  1.9682  1.8146  1.6645  1.5214  1.3855
  1.2562  1.1325  1.0130  0.8967  0.7830  0.6717  0.5623  0.4547  0.3485  0.2437
  0.1405
  2.4423  2.4055  2.3693  2.3345  2.3025  2.2745  2.2508  2.2307  2.2115  2.1910
  2.1675  2.1408  2.1112  2.0787  2.0592  1.9657  1.8202  1.6694  1.5249
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value =  H   
  2.8212  2.7990  2.7652  2.7211  2.6678  2.6062  2.5371  2.4614  2.3813  2.3034
  2.2280  2.1551  2.0850  2.0183  1.9551  1.8135  1.6916  1.5793  1.4689
  2.8136  2.8021  2.7769  2.7393  2.6907  2.6322  2.5638  2.4854  2.4064  2.3288
  2.2530  2.1796  2.1086  2.0405  1.9757  1.8280  1.6994  1.5831  1.4699  1.3528
  2.7937  2.7890  2.7681  2.7386  2.6983  2.6467  2.5844  2.5107  2.4332  2.3561
  2.2804  2.2064  2.1346  2.0655  1.9992  1.8463  1.7110  1.5887  1.4719  1.3534
  1.2313
  2.7624  2.7637  2.7542  2.7335  2.7014  2.6578  2.6018  2.5343  2.4596  2.3835
  2.3080  2.2338  2.1615  2.0914  2.0238  1.8666  1.7250  1.5962  1.4750  1.3550
  1.2334  1.1094
  2.7203  2.7295  2.7288  2.7173  2.6947  2.6604  2.6137  2.5539  2.4837  2.4093
  2.3344  2.2602  2.1876  2.1168  2.0482  1.8872  1.7403  1.6055  1.4795  1.3576
  1.2357  1.1127  0.9896  0.8674
  2.6700  2.6850  2.6919  2.6893  2.6762  2.6517  2.6153  2.5657  2.5028  2.4317
  2.3581  2.2843  2.2115  2.1403  2.0709  1.9068  1.7558  1.6159  1.4852  1.3607
  1.2384  1.1162  0.9943  0.8736  0.7546  0.6370  0.5210  0.4084  0.3003  0.1966
  2.6088  2.6302  2.6435  2.6489  2.6448  2.6301  2.6041  2.5656  2.5132  2.4485
  2.3775  2.3047  2.2322  2.1608  2.0909  1.9245  1.7703  1.6265  1.4918  1.3645
  1.2413  1.1196  0.9988  0.8794  0.7618  0.6459  0.5318  0.4195  0.3101  0.2052
  0.1045
  2.4871  2.5414  2.5762  2.5940  2.5989  2.5937  2.5777  2.5504  2.5103  2.4562
  2.3909  2.3204  2.2487  2.1774  2.1073  1.9393  1.7828  1.6364  1.4986  1.3686
  1.2443  1.1228  1.0031  0.8849  0.7686  0.6542  0.5417  0.4310  0.3220  0.2156
  0.1136
  2.4028  2.4051  2.4316  2.4716  2.5118  2.5333  2.5327  2.5160  2.4875  2.4466
  2.3924  2.3279  2.2589  2.1886  2.1186  1.9495  1.7911  1.6428  1.5027  1.3705
  1.2447  1.1231  1.0042  0.8872  0.7723  0.6594  0.5482  0.4389  0.3313  0.2253
  0.1217
  2.3930  2.3706  2.3589  2.3621  2.3784  2.4006  2.4228  2.4371  2.4347  2.4129
  2.3742  2.3218  2.2607  2.1952  2.1277  1.9593  1.7993  1.6493  1.5078  1.3740
  1.2472  1.1255  1.0074  0.8918  0.7784  0.6672  0.5578  0.4501  0.3439  0.2391
  0.1358
  2.4059  2.3746  2.3474  2.3274  2.3169  2.3156  2.3190  2.3226  2.3240  2.3213
  2.3084  2.2800  2.2364  2.1826  2.1233  1.9657  1.8066  1.6549  1.5119  1.3767
  1.2488  1.1268  1.0092  0.8948  0.7829  0.6734  0.5658  0.4600  0.3556  0.2523
  0.1503
  2.4295  2.3945  2.3604  2.3291  2.3025  2.2818  2.2670  2.2558  2.2446  2.2312
  2.2151  2.1948  2.1672  2.1306  2.1054  1.9687  1.8130  1.6596  1.5150
