 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.4718 -2.2942 -2.1365 -1.9971 -1.8728 -1.7656 -1.6753 -1.6003 -1.5388 -1.4884
 -1.4467 -1.4121 -1.3834 -1.3594 -1.3464 -1.2891 -1.2839 -1.2966 -1.2937
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  i   
 -3.5036 -3.4111 -3.3208 -3.2225 -3.0865 -2.9070 -2.6853 -2.4229 -2.1453 -1.9391
 -1.7972 -1.6944 -1.6143 -1.5488 -1.4931 -1.3837 -1.3057 -1.2551 -1.2304
 -3.2509 -3.1482 -3.0565 -2.9660 -2.8652 -2.7388 -2.5617 -2.3205 -2.0912 -1.9113
 -1.7811 -1.6846 -1.6085 -1.5461 -1.4934 -1.3912 -1.3200 -1.2745 -1.2526 -1.2514
 -3.0527 -2.9358 -2.8371 -2.7485 -2.6606 -2.5603 -2.4266 -2.2392 -2.0496 -1.8912
 -1.7707 -1.6792 -1.6063 -1.5461 -1.4954 -1.3983 -1.3320 -1.2902 -1.2702 -1.2685
 -1.2816
 -2.9041 -2.7716 -2.6615 -2.5678 -2.4835 -2.3993 -2.3008 -2.1611 -2.0070 -1.8696
 -1.7595 -1.6736 -1.6042 -1.5464 -1.4973 -1.4042 -1.3416 -1.3026 -1.2842 -1.2824
 -1.2941 -1.3160
 -2.7753 -2.6414 -2.5247 -2.4241 -2.3363 -2.2566 -2.1776 -2.0783 -1.9577 -1.8417
 -1.7436 -1.6645 -1.5998 -1.5450 -1.4979 -1.4083 -1.3487 -1.3120 -1.2950 -1.2936
 -1.3046 -1.3253 -1.3528 -1.3849
 -2.6341 -2.4902 -2.3767 -2.2855 -2.2062 -2.1324 -2.0615 -1.9885 -1.8992 -1.8054
 -1.7208 -1.6499 -1.5908 -1.5403 -1.4961 -1.4101 -1.3533 -1.3187 -1.3028 -1.3020
 -1.3129 -1.3332 -1.3602 -1.3917 -1.4267 -1.4654 -1.5085 -1.5565 -1.6085 -1.6594
 -2.5767 -2.4074 -2.2658 -2.1515 -2.0604 -1.9876 -1.9286 -1.8763 -1.8197 -1.7546
 -1.6885 -1.6283 -1.5760 -1.5307 -1.4905 -1.4094 -1.3553 -1.3226 -1.3078 -1.3076
 -1.3189 -1.3394 -1.3667 -1.3983 -1.4328 -1.4698 -1.5101 -1.5535 -1.6015 -1.6535
 -1.7051
 -2.5630 -2.3809 -2.2231 -2.0891 -1.9787 -1.8890 -1.8161 -1.7562 -1.7053 -1.6599
 -1.6207 -1.5850 -1.5497 -1.5141 -1.4798 -1.4059 -1.3544 -1.3237 -1.3099 -1.3103
 -1.3221 -1.3432 -1.3714 -1.4040 -1.4392 -1.4759 -1.5146 -1.5557 -1.5997 -1.6474
 -1.6996
 -2.5679 -2.3796 -2.2127 -2.0675 -1.9439 -1.8412 -1.7574 -1.6891 -1.6326 -1.5842
 -1.5432 -1.5114 -1.4884 -1.4703 -1.4520 -1.3976 -1.3499 -1.3213 -1.3089 -1.3100
 -1.3227 -1.3447 -1.3741 -1.4086 -1.4453 -1.4831 -1.5219 -1.5618 -1.6034 -1.6477
 -1.6956
 -2.5856 -2.3938 -2.2216 -2.0695 -1.9375 -1.8256 -1.7329 -1.6572 -1.5956 -1.5449
 -1.5025 -1.4670 -1.4386 -1.4174 -1.4026 -1.3759 -1.3423 -1.3160 -1.3050 -1.3067
 -1.3197 -1.3424 -1.3730 -1.4092 -1.4483 -1.4880 -1.5281 -1.5683 -1.6093 -1.6518
 -1.6958
 -2.6027 -2.4101 -2.2370 -2.0803 -1.9433 -1.8252 -1.7261 -1.6444 -1.5778 -1.5236
 -1.4792 -1.4424 -1.4118 -1.3867 -1.3668 -1.3386 -1.3236 -1.3069 -1.2978 -1.3004
 -1.3137 -1.3368 -1.3682 -1.4060 -1.4474 -1.4899 -1.5324 -1.5743 -1.6160 -1.6579
 -1.7002
 -2.6192 -2.4273 -2.2504 -2.0930 -1.9523 -1.8303 -1.7267 -1.6406 -1.5701 -1.5126
 -1.4655 -1.4268 -1.3948 -1.3681 -1.3446 -1.2857 -1.2938 -1.2940 -1.2873
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  i   
 -3.7564 -3.6904 -3.6219 -3.5380 -3.3902 -3.1747 -2.9000 -2.5736 -2.2302 -1.9762
 -1.8087 -1.6943 -1.6098 -1.5426 -1.4868 -1.3786 -1.3018 -1.2506 -1.2244
 -3.4965 -3.4149 -3.3401 -3.2600 -3.1583 -3.0136 -2.7965 -2.4890 -2.1914 -1.9590
 -1.7988 -1.6878 -1.6057 -1.5407 -1.4869 -1.3848 -1.3139 -1.2678 -1.2443 -1.2406
 -3.2796 -3.1793 -3.0940 -3.0139 -2.9268 -2.8155 -2.6543 -2.4165 -2.1645 -1.9526
 -1.7972 -1.6872 -1.6058 -1.5416 -1.4890 -1.3907 -1.3241 -1.2817 -1.2606 -1.2571
 -1.2683
 -3.1080 -2.9872 -2.8871 -2.8009 -2.7196 -2.6305 -2.5149 -2.3402 -2.1344 -1.9453
 -1.7973 -1.6884 -1.6071 -1.5434 -1.4914 -1.3957 -1.3325 -1.2927 -1.2733 -1.2703
 -1.2804 -1.3011
 -2.9731 -2.8369 -2.7219 -2.6249 -2.5402 -2.4601 -2.3727 -2.2515 -2.0918 -1.9304
 -1.7935 -1.6879 -1.6077 -1.5446 -1.4931 -1.3995 -1.3388 -1.3012 -1.2831 -1.2807
 -1.2902 -1.3097 -1.3368 -1.3693
 -2.8087 -2.6870 -2.5792 -2.4810 -2.3922 -2.3116 -2.2348 -2.1493 -2.0334 -1.9027
 -1.7821 -1.6831 -1.6055 -1.5439 -1.4934 -1.4015 -1.3431 -1.3074 -1.2903 -1.2884
 -1.2979 -1.3167 -1.3430 -1.3748 -1.4109 -1.4509 -1.4955 -1.5453 -1.5986 -1.6504
 -2.6862 -2.5322 -2.4096 -2.3133 -2.2353 -2.1673 -2.1019 -2.0354 -1.9567 -1.8593
 -1.7594 -1.6712 -1.5986 -1.5398 -1.4911 -1.4016 -1.3451 -1.3113 -1.2951 -1.2937
 -1.3036 -1.3223 -1.3484 -1.3800 -1.4153 -1.4537 -1.4954 -1.5406 -1.5904 -1.6439
 -1.6963
 -2.6462 -2.4697 -2.3194 -2.1958 -2.0962 -2.0159 -1.9491 -1.8921 -1.8381 -1.7778
 -1.7114 -1.6449 -1.5837 -1.5306 -1.4853 -1.3993 -1.3445 -1.3125 -1.2975 -1.2965
 -1.3068 -1.3260 -1.3525 -1.3846 -1.4202 -1.4581 -1.4984 -1.5410 -1.5867 -1.6365
 -1.6903
 -2.6419 -2.4533 -2.2878 -2.1455 -2.0261 -1.9282 -1.8478 -1.7805 -1.7221 -1.6680
 -1.6175 -1.5739 -1.5368 -1.5027 -1.4694 -1.3934 -1.3408 -1.3106 -1.2970 -1.2967
 -1.3077 -1.3277 -1.3551 -1.3882 -1.4250 -1.4637 -1.5039 -1.5462 -1.5907 -1.6369
 -1.6848
 -2.6627 -2.4649 -2.2896 -2.1354 -2.0026 -1.8905 -1.7976 -1.7209 -1.6569 -1.6016
 -1.5519 -1.5086 -1.4733 -1.4465 -1.4259 -1.3804 -1.3348 -1.3061 -1.2938 -1.2943
 -1.3057 -1.3264 -1.3546 -1.3888 -1.4271 -1.4673 -1.5085 -1.5504 -1.5930 -1.6373
 -1.6833
 -2.6940 -2.4912 -2.3080 -2.1460 -2.0037 -1.8814 -1.7782 -1.6927 -1.6223 -1.5640
 -1.5145 -1.4719 -1.4355 -1.4055 -1.3821 -1.3469 -1.3221 -1.2984 -1.2876 -1.2890
 -1.3009 -1.3221 -1.3511 -1.3864 -1.4262 -1.4684 -1.5116 -1.5548 -1.5981 -1.6418
 -1.6858
 -2.7374 -2.5256 -2.3365 -2.1678 -2.0177 -1.8877 -1.7766 -1.6836 -1.6069 -1.5441
 -1.4923 -1.4491 -1.4127 -1.3820 -1.3380 -1.2929 -1.3027 -1.2875 -1.2784
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  i   
 -3.9410 -3.9096 -3.9013 -3.8677 -3.7608 -3.5423 -3.1817 -2.7102 -2.3160 -2.0216
 -1.8249 -1.6962 -1.6054 -1.5356 -1.4788 -1.3715 -1.2950 -1.2436 -1.2161
 -3.6897 -3.6440 -3.5968 -3.5430 -3.4567 -3.3036 -3.0447 -2.6614 -2.2962 -2.0143
 -1.8212 -1.6931 -1.6031 -1.5347 -1.4793 -1.3763 -1.3053 -1.2586 -1.2338 -1.2282
 -3.4691 -3.3969 -3.3375 -3.2788 -3.2040 -3.0892 -2.9015 -2.6080 -2.2895 -2.0220
 -1.8288 -1.6975 -1.6057 -1.5368 -1.4818 -1.3814 -1.3140 -1.2707 -1.2484 -1.2437
 -1.2534
 -3.2859 -3.1880 -3.1088 -3.0403 -2.9704 -2.8823 -2.7514 -2.5398 -2.2770 -2.0318
 -1.8410 -1.7059 -1.6108 -1.5405 -1.4850 -1.3860 -1.3213 -1.2805 -1.2599 -1.2559
 -1.2648 -1.2844
 -3.1395 -3.0181 -2.9180 -2.8346 -2.7605 -2.6849 -2.5912 -2.4479 -2.2462 -2.0331
 -1.8514 -1.7150 -1.6168 -1.5445 -1.4883 -1.3897 -1.3271 -1.2882 -1.2688 -1.2654
 -1.2740 -1.2923 -1.3189 -1.3515
 -2.9660 -2.8745 -2.7630 -2.6662 -2.5824 -2.5063 -2.4293 -2.3327 -2.1904 -2.0180
 -1.8542 -1.7215 -1.6220 -1.5479 -1.4908 -1.3922 -1.3313 -1.2941 -1.2756 -1.2725
 -1.2812 -1.2988 -1.3243 -1.3560 -1.3927 -1.4342 -1.4806 -1.5317 -1.5860 -1.6386
 -2.8077 -2.6845 -2.5885 -2.5059 -2.4279 -2.3523 -2.2790 -2.2044 -2.1089 -1.9812
