 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -5.4276 -5.2249 -4.9863 -4.7266 -4.4625 -3.8357 -3.2739 -2.7818 -2.3661 -2.0316
 -1.7790 -1.6064 -1.5006 -1.4410 -1.4106 -1.3975 -1.3944 -1.3961 -1.3985 -1.3981
 -1.3908
 -6.7639 -6.6800 -6.5543 -6.3765 -6.1721 -5.9760 -5.8015 -5.6433 -5.4907 -5.3419
 -5.2038 -5.0684 -4.9102 -4.7151 -4.4838 -3.8572 -3.2841 -2.7832 -2.3592 -2.0132
 -1.7450 -1.5537 -1.4317 -1.3613 -1.3247 -1.3088 -1.3053 -1.3090 -1.3159 -1.3226
 -1.3269
 -6.6713 -6.5922 -6.4989 -6.3583 -6.1680 -5.9557 -5.7517 -5.5674 -5.3967 -5.2280
 -5.0584 -4.8948 -4.7389 -4.5864 -4.4209 -3.8992 -3.3220 -2.8116 -2.3773 -2.0190
 -1.7339 -1.5207 -1.3774 -1.2913 -1.2446 -1.2232 -1.2176 -1.2213 -1.2300 -1.2401
 -1.2508
 -6.6084 -6.5084 -6.4302 -6.3275 -6.1754 -5.9770 -5.7590 -5.5477 -5.3541 -5.1735
 -4.9958 -4.8170 -4.6399 -4.4690 -4.3069 -3.8925 -3.3882 -2.8728 -2.4279 -2.0559
 -1.7533 -1.5169 -1.3475 -1.2387 -1.1759 -1.1440 -1.1322 -1.1330 -1.1414 -1.1538
 -1.1676
 -6.6074 -6.4466 -6.3576 -6.2762 -6.1651 -6.0049 -5.8014 -5.5794 -5.3623 -5.1606
 -4.9720 -4.7889 -4.6054 -4.4220 -4.2431 -3.8332 -3.4178 -2.9488 -2.4978 -2.1128
 -1.7940 -1.5371 -1.3418 -1.2070 -1.1229 -1.0757 -1.0539 -1.0484 -1.0536 -1.0655
 -1.0805
 -6.7017 -6.4360 -6.3014 -6.2162 -6.1305 -6.0129 -5.8477 -5.6417 -5.4173 -5.1955
 -4.9872 -4.7921 -4.6045 -4.4184 -4.2326 -3.7939 -3.4036 -3.0017 -2.5764
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  u   
 -7.8433 -7.6590 -7.4585 -7.2661 -7.0543 -6.8006 -6.5785 -6.3916 -6.2270 -6.0611
 -5.8973 -5.7335 -5.5690 -5.4027 -5.2328 -4.7806 -4.2894 -3.7835 -3.2709
 -7.6279 -7.5699 -7.3974 -7.2046 -7.0088 -6.7676 -6.5152 -6.2983 -6.1038 -5.9181
 -5.7337 -5.5495 -5.3649 -5.1793 -4.9907 -4.5034 -3.9981 -3.4991 -3.0394 -2.6560
 -7.3307 -7.3055 -7.2767 -7.1280 -6.9481 -6.7478 -6.4942 -6.2401 -6.0162 -5.8079
 -5.6038 -5.3999 -5.1968 -4.9944 -4.7914 -4.2803 -3.7690 -3.2823 -2.8495 -2.4927
 -2.2289
 -7.1967 -7.0422 -6.9679 -6.9566 -6.8518 -6.6894 -6.4889 -6.2274 -5.9681 -5.7358
 -5.5146 -5.2938 -5.0743 -4.8572 -4.6422 -4.1132 -3.5986 -3.1193 -2.7015 -2.3602
 -2.1055 -1.9345
 -7.1099 -6.9306 -6.7588 -6.6454 -6.6060 -6.5557 -6.4220 -6.2290 -5.9672 -5.7038
 -5.4653 -5.2321 -4.9999 -4.7705 -4.5448 -3.9996 -3.4809 -3.0037 -2.5916 -2.2567
 -2.0037 -1.8315 -1.7238 -1.6578
 -7.0315 -6.8671 -6.6700 -6.4869 -6.3480 -6.2607 -6.2113 -6.1268 -5.9606 -5.7154
 -5.4508 -5.2082 -4.9680 -4.7298 -4.4953 -3.9346 -3.4097 -2.9304 -2.5172 -2.1810
 -1.9239 -1.7444 -1.6313 -1.5649 -1.5267 -1.5059 -1.4950 -1.4878 -1.4784 -1.4609
 -6.9498 -6.8160 -6.6306 -6.4229 -6.2288 -6.0724 -5.9486 -5.8536 -5.7733 -5.6556
 -5.4566 -5.2106 -4.9683 -4.7260 -4.4861 -3.9119 -3.3794 -2.8952 -2.4763 -2.1331
 -1.8668 -1.6750 -1.5507 -1.4773 -1.4373 -1.4173 -1.4086 -1.4055 -1.4037 -1.3991
 -1.3877
 -6.8641 -6.7572 -6.6076 -6.4060 -6.1864 -5.9856 -5.8154 -5.6673 -5.5337 -5.4140
