 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.5183 -0.5080 -0.4951 -0.4756 -0.4458 -0.3724 -0.3232 -0.2995 -0.2983 -0.3118
 -0.3322 -0.3563 -0.3835 -0.4134 -0.4462 -0.4819
 -0.8597 -0.7710 -0.6925 -0.6250 -0.5692 -0.5256 -0.4941 -0.4741 -0.4647 -0.4655
 -0.4702 -0.4704 -0.4661 -0.4562 -0.4377 -0.3750 -0.3296 -0.3072 -0.3066 -0.3217
 -0.3440 -0.3693 -0.3968 -0.4264 -0.4579 -0.4918 -0.5285 -0.5701 -0.6174 -0.6663
 -0.8301 -0.7547 -0.6855 -0.6241 -0.5704 -0.5247 -0.4873 -0.4586 -0.4386 -0.4256
 -0.4188 -0.4174 -0.4180 -0.4180 -0.4131 -0.3714 -0.3305 -0.3097 -0.3098 -0.3267
 -0.3519 -0.3798 -0.4089 -0.4392 -0.4707 -0.5036 -0.5385 -0.5758 -0.6182 -0.6670
 -0.7183
 -0.7752 -0.7154 -0.6592 -0.6080 -0.5618 -0.5203 -0.4834 -0.4516 -0.4259 -0.4063
 -0.3918 -0.3812 -0.3743 -0.3716 -0.3713 -0.3548 -0.3257 -0.3072 -0.3076 -0.3257
 -0.3543 -0.3861 -0.4182 -0.4504 -0.4830 -0.5162 -0.5506 -0.5864 -0.6248 -0.6677
 -0.7181
 -0.6953 -0.6510 -0.6094 -0.5708 -0.5352 -0.5023 -0.4712 -0.4420 -0.4155 -0.3927
 -0.3741 -0.3595 -0.3477 -0.3387 -0.3341 -0.3243 -0.3112 -0.2995 -0.3010 -0.3195
 -0.3506 -0.3868 -0.4233 -0.4591 -0.4941 -0.5289 -0.5640 -0.5996 -0.6365 -0.6758
 -0.7198
 -0.5988 -0.5692 -0.5411 -0.5145 -0.4901 -0.4674 -0.4451 -0.4227 -0.4002 -0.3786
 -0.3590 -0.3424 -0.3286 -0.3173 -0.3088 -0.2963 -0.2891 -0.2862 -0.2908 -0.3089
 -0.3405 -0.3799 -0.4211 -0.4616 -0.5005 -0.5383 -0.5753 -0.6120 -0.6489 -0.6868
 -0.7263
 -0.4947 -0.4748 -0.4578 -0.4419 -0.4277 -0.4149 -0.4022 -0.3886 -0.3735 -0.3571
 -0.3403 -0.3244 -0.3104 -0.2987 -0.2892 -0.2744 -0.2676 -0.2691 -0.2780 -0.2966
 -0.3275 -0.3677 -0.4122 -0.4574 -0.5012 -0.5431 -0.5835 -0.6227 -0.6611 -0.6993
 -0.7383
 -0.3847 -0.3745 -0.3658 -0.3585 -0.3525 -0.3477 -0.3437 -0.3389 -0.3324 -0.3238
 -0.3130 -0.3012 -0.2894 -0.2786 -0.2753 -0.2586 -0.2467 -0.2482 -0.2626
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.4707 -1.4194 -1.3728 -1.3256 -1.2824 -1.2222 -1.1341 -1.0185 -0.9048 -0.8041
 -0.7136 -0.6322 -0.5596 -0.4950 -0.4371 -0.3213
 -1.3022 -1.2439 -1.1958 -1.1525 -1.1123 -1.0648 -0.9987 -0.9126 -0.8291 -0.7530
 -0.6819 -0.6142 -0.5501 -0.4915 -0.4390 -0.3343 -0.2635 -0.2255 -0.2173
 -1.1716 -1.1053 -1.0533 -1.0104 -0.9721 -0.9335 -0.8851 -0.8229 -0.7625 -0.7060
 -0.6515 -0.5970 -0.5422 -0.4898 -0.4421 -0.3467 -0.2829 -0.2485 -0.2403 -0.2501
 -0.2703
 -1.0789 -1.0036 -0.9453 -0.8993 -0.8617 -0.8283 -0.7933 -0.7494 -0.7050 -0.6631
 -0.6224 -0.5806 -0.5359 -0.4899 -0.4464 -0.3585 -0.2998 -0.2679 -0.2595 -0.2687
 -0.2880 -0.3130 -0.3430
 -1.0182 -0.9248 -0.8571 -0.8115 -0.7743 -0.7431 -0.7148 -0.6840 -0.6516 -0.6204
 -0.5904 -0.5599 -0.5263 -0.4884 -0.4494 -0.3680 -0.3135 -0.2836 -0.2753 -0.2841
 -0.3031 -0.3277 -0.3562 -0.3881 -0.4243
 -0.9903 -0.8804 -0.7953 -0.7320 -0.6878 -0.6604 -0.6444 -0.6260 -0.6036 -0.5798
 -0.5565 -0.5336 -0.5098 -0.4819 -0.4491 -0.3744 -0.3235 -0.2955 -0.2878 -0.2965
 -0.3159 -0.3407 -0.3687 -0.3997 -0.4336 -0.4711
 -0.9900 -0.8764 -0.7789 -0.6984 -0.6360 -0.5901 -0.5607 -0.5465 -0.5401 -0.5338
 -0.5223 -0.5059 -0.4874 -0.4676 -0.4433 -0.3769 -0.3296 -0.3035 -0.2967 -0.3059
 -0.3263 -0.3521 -0.3806 -0.4113 -0.4442 -0.4795 -0.5178 -0.5609 -0.6090 -0.6576
 -0.9885 -0.8773 -0.7791 -0.6948 -0.6246 -0.5688 -0.5265 -0.4958 -0.4749 -0.4637
 -0.4609 -0.4605 -0.4556 -0.4451 -0.4295 -0.3751 -0.3316 -0.3074 -0.3016 -0.3116
 -0.3333 -0.3612 -0.3913 -0.4228 -0.4556 -0.4900 -0.5266 -0.5659 -0.6093 -0.6584
 -0.7093
 -0.9748 -0.8715 -0.7778 -0.6949 -0.6240 -0.5646 -0.5162 -0.4778 -0.4487 -0.4270
 -0.4118 -0.4033 -0.4010 -0.4006 -0.3980 -0.3679 -0.3294 -0.3074 -0.3025 -0.3131
 -0.3335 -0.3665 -0.3992 -0.4327 -0.4666 -0.5013 -0.5373 -0.5744 -0.6144 -0.6590
 -0.7095
 -0.9359 -0.8481 -0.7630 -0.6868 -0.6195 -0.5617 -0.5125 -0.4711 -0.4372 -0.4100
 -0.3887 -0.3724 -0.3605 -0.3538 -0.3516 -0.3445 -0.3219 -0.3030 -0.2993 -0.3104
 -0.3344 -0.3673 -0.4036 -0.4403 -0.4767 -0.5129 -0.5496 -0.5868 -0.6254 -0.6663
 -0.7113
 -0.8733 -0.8011 -0.7300 -0.6639 -0.6041 -0.5515 -0.5058 -0.4658 -0.4312 -0.4014
 -0.3765 -0.3560 -0.3395 -0.3266 -0.3178 -0.3097 -0.3034 -0.2943 -0.2924 -0.3035
 -0.3275 -0.3618 -0.4014 -0.4422 -0.4822 -0.5213 -0.5598 -0.5981 -0.6366 -0.6762
 -0.7173
 -0.7928 -0.7344 -0.6771 -0.6218 -0.5716 -0.5268 -0.4874 -0.4523 -0.4209 -0.3925
 -0.3671 -0.3448 -0.3258 -0.3100 -0.2975 -0.2807 -0.2770 -0.2778 -0.2818 -0.2938
 -0.3172 -0.3516 -0.3934 -0.4380 -0.4824 -0.5254 -0.5672 -0.6077 -0.6477 -0.6876
 -0.7281
 -0.6994 -0.6527 -0.6070 -0.5628 -0.5221 -0.4858 -0.4539 -0.4256 -0.4000 -0.3761
 -0.3537 -0.3328 -0.3137 -0.2968 -0.2907 -0.2575 -0.2427 -0.2535 -0.2675
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.9415 -1.8870 -1.8284 -1.7591 -1.6885 -1.5810 -1.4135 -1.1966 -1.0138 -0.8364
 -0.7189 -0.6274 -0.5537 -0.4904 -0.4353 -0.3260
