 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  G   
 -0.0922 -0.0829 -0.0802 -0.0803 -0.0813 -0.0823 -0.0838 -0.0858 -0.0889 -0.0948
 -0.1038
 -1.6802 -1.5438 -1.4051 -1.2714 -1.1459 -1.0320 -0.9319 -0.8437 -0.7658 -0.6967
 -0.6350 -0.5799 -0.5307 -0.4872 -0.4491 -0.3654 -0.2793 -0.2021 -0.1458 -0.1091
 -0.0885 -0.0807 -0.0816 -0.0866 -0.0927 -0.0986 -0.1044 -0.1097 -0.1153 -0.1217
 -0.1300
 -1.6189 -1.4956 -1.3701 -1.2481 -1.1320 -1.0250 -0.9285 -0.8422 -0.7649 -0.6950
 -0.6314 -0.5736 -0.5212 -0.4738 -0.4312 -0.3428 -0.2666 -0.1967 -0.1413 -0.1037
 -0.0825 -0.0749 -0.0778 -0.0867 -0.0980 -0.1094 -0.1204 -0.1303 -0.1397 -0.1488
 -0.1584
 -1.5530 -1.4404 -1.3267 -1.2152 -1.1088 -1.0100 -0.9195 -0.8370 -0.7619 -0.6933
 -0.6299 -0.5714 -0.5173 -0.4677 -0.4297 -0.3189 -0.2465 -0.1887 -0.1356
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  G   
 -2.4510 -2.3490 -2.2558 -2.1632 -2.0678 -1.9473 -1.7783 -1.5584 -1.3405 -1.1493
 -0.9919 -0.8647 -0.7595 -0.6693 -0.5902 -0.4286 -0.3028 -0.2041 -0.1268
 -2.2794 -2.1672 -2.0695 -1.9783 -1.8860 -1.7797 -1.6344 -1.4524 -1.2676 -1.0994
 -0.9545 -0.8335 -0.7318 -0.6444 -0.5675 -0.4103 -0.2905 -0.1989 -0.1291 -0.0766
 -2.1555 -2.0318 -1.9256 -1.8300 -1.7383 -1.6414 -1.5197 -1.3688 -1.2117 -1.0632
 -0.9303 -0.8152 -0.7164 -0.6307 -0.5551 -0.4005 -0.2843 -0.1970 -0.1316 -0.0828
 -0.0461
 -2.0324 -1.9166 -1.8100 -1.7112 -1.6171 -1.5229 -1.4190 -1.2939 -1.1604 -1.0303
 -0.9101 -0.8026 -0.7076 -0.6238 -0.5493 -0.3965 -0.2822 -0.1975 -0.1352 -0.0891
 -0.0553 -0.0295
 -1.9416 -1.7949 -1.6579 -1.5711 -1.4961 -1.4164 -1.3257 -1.2221 -1.1092 -0.9961
 -0.8887 -0.7900 -0.7007 -0.6199 -0.5469 -0.3958 -0.2825 -0.1992 -0.1389 -0.0953
 -0.0640 -0.0408 -0.0228 -0.0089
 -1.8895 -1.7080 -1.5612 -1.4385 -1.3378 -1.2558 -1.1889 -1.1231 -1.0454 -0.9561
 -0.8637 -0.7748 -0.6920 -0.6159 -0.5455 -0.3965 -0.2838 -0.2012 -0.1422 -0.1005
 -0.0716 -0.0513 -0.0362 -0.0245 -0.0156 -0.0091 -0.0059 -0.0071 -0.0132 -0.0247
 -1.8698 -1.6901 -1.5269 -1.3825 -1.2588 -1.1540 -1.0645 -0.9868 -0.9213 -0.8669
 -0.8126 -0.7493 -0.6792 -0.6094 -0.5429 -0.3974 -0.2851 -0.2027 -0.1444 -0.1042
 -0.0774 -0.0600 -0.0483 -0.0397 -0.0333 -0.0287 -0.0264 -0.0267 -0.0307 -0.0407
 -0.0567
 -1.8695 -1.6900 -1.5208 -1.3657 -1.2280 -1.1095 -1.0082 -0.9207 -0.8441 -0.7777
 -0.7231 -0.6797 -0.6383 -0.5903 -0.5353 -0.3975 -0.2860 -0.2034 -0.1452 -0.1057
 -0.0806 -0.0659 -0.0580 -0.0533 -0.0502 -0.0484 -0.0479 -0.0491 -0.0525 -0.0598
 -0.0739
 -1.8582 -1.6861 -1.5202 -1.3628 -1.2192 -1.0929 -0.9840 -0.8903 -0.8090 -0.7378
 -0.6754 -0.6216 -0.5772 -0.5399 -0.5031 -0.3934 -0.2849 -0.2022 -0.1436 -0.1045
 -0.0805 -0.0682 -0.0637 -0.0635 -0.0648 -0.0668 -0.0694 -0.0726 -0.0770 -0.0837
 -0.0943
 -1.8303 -1.6726 -1.5149 -1.3630 -1.2203 -1.0917 -0.9794 -0.8815 -0.7966 -0.7222
 -0.6564 -0.5980 -0.5464 -0.5016 -0.4632 -0.3764 -0.2829 -0.2009 -0.1416 -0.1018
 -0.0780 -0.0669 -0.0652 -0.0691 -0.0753 -0.0819 -0.0886 -0.0951 -0.1020 -0.1098
 -0.1194
 -1.7868 -1.6421 -1.4976 -1.3542 -1.2182 -1.0926 -0.9804 -0.8815 -0.7948 -0.7183
 -0.6500 -0.5889 -0.5339 -0.4847 -0.4408 -0.3518 -0.2727 -0.1980 -0.1384 -0.0977
 -0.0732 -0.0623 -0.0622 -0.0693 -0.0801 -0.0918 -0.1035 -0.1145 -0.1250 -0.1355
 -0.1466
 -1.7344 -1.6023 -1.4686 -1.3353 -1.2079 -1.0888 -0.9803 -0.8829 -0.7965 -0.7194
 -0.6500 -0.5872 -0.5300 -0.4781 -0.4359 -0.3196 -0.2543 -0.1935 -0.1340
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  G   
 -2.6961 -2.5959 -2.5000 -2.3996 -2.2908 -2.1473 -1.9418 -1.6728 -1.4080 -1.1818
 -1.0035 -0.8639 -0.7526 -0.6603 -0.5810 -0.4200 -0.2963 -0.1988 -0.1219
 -2.4986 -2.3876 -2.2886 -2.1932 -2.0928 -1.9720 -1.8001 -1.5773 -1.3485 -1.1438
 -0.9743 -0.8388 -0.7296 -0.6390 -0.5611 -0.4039 -0.2846 -0.1932 -0.1232 -0.0698
 -2.3521 -2.2276 -2.1201 -2.0229 -1.9282 -1.8241 -1.6842 -1.5008 -1.3051 -1.1205
 -0.9603 -0.8276 -0.7190 -0.6287 -0.5512 -0.3956 -0.2789 -0.1911 -0.1252 -0.0753
 -0.0377
 -2.2365 -2.1042 -1.9885 -1.8853 -1.7891 -1.6925 -1.5786 -1.4291 -1.2631 -1.0997
 -0.9512 -0.8231 -0.7154 -0.6251 -0.5476 -0.3926 -0.2772 -0.1914 -0.1281 -0.0808
 -0.0456 -0.0192
 -2.0790 -1.9564 -1.8570 -1.7641 -1.6715 -1.5776 -1.4775 -1.3561 -1.2170 -1.0748
 -0.9403 -0.8195 -0.7147 -0.6248 -0.5475 -0.3929 -0.2779 -0.1930 -0.1313 -0.0861
 -0.0532 -0.0290 -0.0108  0.0031
 -1.9909 -1.8292 -1.6976 -1.5933 -1.5110 -1.4407 -1.3662 -1.2736 -1.1622 -1.0422
 -0.9235 -0.8128 -0.7131 -0.6255 -0.5487 -0.3946 -0.2797 -0.1951 -0.1343 -0.0908
 -0.0598 -0.0380 -0.0223 -0.0106 -0.0021  0.0033  0.0053  0.0035 -0.0034 -0.0154
 -1.9638 -1.7834 -1.6253 -1.4903 -1.3776 -1.2827 -1.2006 -1.1266 -1.0546 -0.9774
 -0.8902 -0.7976 -0.7076 -0.6245 -0.5497 -0.3967 -0.2819 -0.1971 -0.1366 -0.0942
 -0.0650 -0.0455 -0.0327 -0.0240 -0.0179 -0.0142 -0.0129 -0.0145 -0.0197 -0.0305
 -0.0467
 -1.9627 -1.7749 -1.6035 -1.4497 -1.3159 -1.2012 -1.1018 -1.0129 -0.9315 -0.8593
 -0.7980 -0.7423 -0.6825 -0.6161 -0.5481 -0.3985 -0.2837 -0.1986 -0.1378 -0.0959
 -0.0680 -0.0507 -0.0410 -0.0358 -0.0330 -0.0320 -0.0326 -0.0351 -0.0398 -0.0486
 -0.0633
 -1.9656 -1.7779 -1.6028 -1.4402 -1.2932 -1.1642 -1.0527 -0.9556 -0.8692 -0.7913
 -0.7222 -0.6635 -0.6153 -0.5722 -0.5265 -0.3977 -0.2839 -0.1984 -0.1371 -0.0953
 -0.0684 -0.0530 -0.0461 -0.0447 -0.0460 -0.0486 -0.0523 -0.0568 -0.0627 -0.0709
 -0.0829
 -1.9597 -1.7819 -1.6090 -1.4455 -1.2930 -1.1559 -1.0358 -0.9317 -0.8410 -0.7610
 -0.6896 -0.6261 -0.5707 -0.5236 -0.4834 -0.3876 -0.2843 -0.1985 -0.1363 -0.0937
 -0.0668 -0.0525 -0.0478 -0.0498 -0.0554 -0.0623 -0.0698 -0.0776 -0.0859 -0.0953
 -0.1065
 -1.9383 -1.7713 -1.6092 -1.4493 -1.2985 -1.1592 -1.0348 -0.9259 -0.8314 -0.7487
 -0.6755 -0.6102 -0.5518 -0.4998 -0.4542 -0.3627 -0.2783 -0.1975 -0.1345 -0.0908
 -0.0633 -0.0492 -0.0458 -0.0503 -0.0598 -0.0712 -0.0835 -0.0955 -0.1073 -0.1193
 -0.1321
 -1.9034 -1.7490 -1.5962 -1.4462 -1.3001 -1.1641 -1.0398 -0.9294 -0.8324 -0.7474
 -0.6722 -0.6052 -0.5449 -0.4905 -0.4389 -0.3230 -0.2659 -0.1954 -0.1317
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  G   
 -2.9418 -2.8529 -2.7634 -2.6625 -2.5416 -2.3711 -2.1214 -1.7961 -1.4870 -1.2293
 -1.0284 -0.8744 -0.7546 -0.6581 -0.5764 -0.4147 -0.2917 -0.1949 -0.1182
 -2.7244 -2.6227 -2.5290 -2.4338 -2.3263 -2.1879 -1.9844 -1.7157 -1.4417 -1.2010
 -1.0067 -0.8549 -0.7358 -0.6400 -0.5596 -0.4006 -0.2811 -0.1892 -0.1187 -0.0642
 -2.5551 -2.4373 -2.3343 -2.2387 -2.1415 -2.0280 -1.8677 -1.6490 -1.4115 -1.1896
 -1.0016 -0.8501 -0.7298 -0.6329 -0.5521 -0.3938 -0.2759 -0.1872 -0.1203 -0.0693
 -0.0306
 -2.4266 -2.2936 -2.1785 -2.0763 -1.9803 -1.8809 -1.7564 -1.5816 -1.3807 -1.1812
 -1.0027 -0.8531 -0.7314 -0.6326 -0.5507 -0.3918 -0.2746 -0.1873 -0.1227 -0.0743
 -0.0377 -0.0103
 -2.2907 -2.1664 -2.0505 -1.9440 -1.8449 -1.7486 -1.6450 -1.5082 -1.3416 -1.1672
 -1.0027 -0.8582 -0.7366 -0.6363 -0.5529 -0.3929 -0.2757 -0.1889 -0.1257 -0.0791
 -0.0445 -0.0190  0.0001  0.0147
 -2.1260 -1.9847 -1.8762 -1.7903 -1.7109 -1.6272 -1.5349 -1.4260 -1.2913 -1.1428
 -0.9958 -0.8606 -0.7421 -0.6416 -0.5571 -0.3956 -0.2780 -0.1913 -0.1286 -0.0834
 -0.0505 -0.0269 -0.0100  0.0023  0.0111  0.0164  0.0180  0.0154  0.0081 -0.0043
 -2.0621 -1.8879 -1.7417 -1.6232 -1.5280 -1.4498 -1.3807 -1.3063 -1.2125 -1.0991
 -0.9763 -0.8558 -0.7446 -0.6465 -0.5617 -0.3988 -0.2809 -0.1937 -0.1310 -0.0867
 -0.0553 -0.0336 -0.0191 -0.0094 -0.0030  0.0007  0.0015 -0.0008 -0.0069 -0.0183
 -0.0348
 -2.0474 -1.8577 -1.6896 -1.5440 -1.4211 -1.3173 -1.2271 -1.1438 -1.0630 -0.9848
 -0.9065 -0.8234 -0.7348 -0.6468 -0.5654 -0.4022 -0.2837 -0.1960 -0.1328 -0.0886
 -0.0585 -0.0386 -0.0264 -0.0197 -0.0163 -0.0152 -0.0164 -0.0196 -0.0255 -0.0352
 -0.0505
 -2.0518 -1.8567 -1.6778 -1.5162 -1.3734 -1.2496 -1.1427 -1.0473 -0.9583 -0.8743
 -0.7981 -0.7325 -0.6747 -0.6175 -0.5561 -0.4037 -0.2849 -0.1966 -0.1329 -0.0886
 -0.0592 -0.0410 -0.0313 -0.0276 -0.0278 -0.0301 -0.0341 -0.0395 -0.0465 -0.0559
 -0.0691
 -2.0634 -1.8691 -1.6872 -1.5183 -1.3635 -1.2254 -1.1047 -0.9993 -0.9057 -0.8203
 -0.7418 -0.6714 -0.6106 -0.5594 -0.5144 -0.4008 -0.2868 -0.1979 -0.1331 -0.0879
 -0.0585 -0.0413 -0.0334 -0.0324 -0.0361 -0.0423 -0.0500 -0.0585 -0.0678 -0.0785
 -0.0912
 -2.0646 -1.8777 -1.6996 -1.5294 -1.3705 -1.2245 -1.0942 -0.9803 -0.8808 -0.7930
 -0.7143 -0.6434 -0.5798 -0.5239 -0.4757 -0.3782 -0.2851 -0.1982 -0.1324 -0.0861
 -0.0561 -0.0391 -0.0323 -0.0335 -0.0403 -0.0504 -0.0622 -0.0747 -0.0875 -0.1007
 -0.1148
 -2.0513 -1.8753 -1.7043 -1.5398 -1.3811 -1.2336 -1.0989 -0.9791 -0.8745 -0.7831
 -0.7026 -0.6309 -0.5666 -0.5088 -0.4400 -0.3359 -0.2798 -0.1975 -0.1308
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  G   
 -3.1575 -3.0880 -3.0146 -2.9235 -2.7934 -2.5859 -2.2794 -1.8950 -1.5524 -1.2682
 -1.0485 -0.8815 -0.7533 -0.6509 -0.5672 -0.4042 -0.2825 -0.1872 -0.1109
 -2.9327 -2.8484 -2.7683 -2.6811 -2.5703 -2.4112 -2.1631 -1.8387 -1.5219 -1.2498
 -1.0340 -0.8673 -0.7385 -0.6367 -0.5530 -0.3921 -0.2727 -0.1809 -0.1101 -0.0549
 -2.7479 -2.6449 -2.5535 -2.4649 -2.3676 -2.2423 -2.0530 -1.7896 -1.5082 -1.2508
