 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -1.1583 -1.1224 -1.0936 -1.0686 -1.0454 -1.0232 -1.0021 -0.9821 -0.9639 -0.9488
 -0.9395
 -4.1962 -3.8222 -3.4946 -3.2148 -2.9795 -2.7817 -2.6134 -2.4679 -2.3404 -2.2282
 -2.1288 -2.0399 -1.9589 -1.8832 -1.8119 -1.6448 -1.4932 -1.3682 -1.2735 -1.2043
 -1.1554 -1.1216 -1.0974 -1.0782 -1.0612 -1.0450 -1.0293 -1.0139 -0.9992 -0.9858
 -0.9735
 -4.0773 -3.7511 -3.4559 -3.1964 -2.9733 -2.7825 -2.6182 -2.4743 -2.3464 -2.2318
 -2.1287 -2.0359 -1.9518 -1.8744 -1.8021 -1.6365 -1.4899 -1.3674 -1.2720 -1.2013
 -1.1513 -1.1176 -1.0954 -1.0806 -1.0694 -1.0596 -1.0502 -1.0406 -1.0308 -1.0213
 -1.0128
 -3.9544 -3.6723 -3.4142 -3.1787 -2.9672 -2.7812 -2.6202 -2.4780 -2.3505 -2.2350
 -2.1299 -2.0341 -1.9471 -1.8677 -1.7986 -1.6293 -1.4851 -1.3670 -1.2712
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -7.0424 -6.6904 -6.3426 -5.9836 -5.6321 -5.2208 -4.7187 -4.1340 -3.6343 -3.2491
 -2.9559 -2.7287 -2.5449 -2.3899 -2.2529 -1.9628
 -6.5839 -6.1613 -5.7597 -5.3740 -5.0061 -4.6253 -4.1984 -3.7323 -3.3357 -3.0211
 -2.7728 -2.5721 -2.4039 -2.2588 -2.1304 -1.8619 -1.6440 -1.4618 -1.3121
 -6.2083 -5.7442 -5.3083 -4.9037 -4.5277 -4.1713 -3.8065 -3.4310 -3.1092 -2.8465
 -2.6326 -2.4540 -2.2996 -2.1630 -2.0411 -1.7880 -1.5889 -1.4268 -1.2935 -1.1852
 -1.0969
