 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.6793 -2.5988 -2.5349 -2.4781 -2.4235 -2.3698 -2.3163 -2.2624 -2.2089 -2.1563
 -2.1056 -2.0580 -2.0145 -1.9757 -1.9419 -1.8765 -1.8312 -1.7968 -1.7720
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  G   
 -3.6149 -3.4285 -3.2343 -3.0616 -2.9058 -2.7636 -2.6542 -2.5641 -2.4858 -2.4083
 -2.3359 -2.2676 -2.2031 -2.1424 -2.0856 -1.9602 -1.8613 -1.7898 -1.7427
 -3.4607 -3.4040 -3.2365 -3.0576 -2.8988 -2.7550 -2.6385 -2.5449 -2.4629 -2.3868
 -2.3160 -2.2495 -2.1868 -2.1280 -2.0728 -1.9532 -1.8610 -1.7956 -1.7545 -1.7329
 -3.2338 -3.2208 -3.2003 -3.0608 -2.9006 -2.7567 -2.6320 -2.5317 -2.4475 -2.3716
 -2.3024 -2.2378 -2.1770 -2.1200 -2.0666 -1.9512 -1.8632 -1.8018 -1.7637 -1.7437
 -1.7363
 -3.1594 -3.0432 -2.9944 -2.9949 -2.9010 -2.7630 -2.6348 -2.5255 -2.4366 -2.3603
 -2.2922 -2.2292 -2.1703 -2.1151 -2.0634 -1.9515 -1.8664 -1.8076 -1.7716 -1.7529
 -1.7467 -1.7476
 -3.1178 -2.9902 -2.8763 -2.8021 -2.7823 -2.7458 -2.6403 -2.5281 -2.4313 -2.3520
 -2.2835 -2.2219 -2.1646 -2.1111 -2.0610 -1.9524 -1.8697 -1.8127 -1.7780 -1.7605
 -1.7554 -1.7577 -1.7638 -1.7727
 -3.0764 -2.9592 -2.8401 -2.7317 -2.6476 -2.5962 -2.5721 -2.5208 -2.4329 -2.3474
 -2.2761 -2.2148 -2.1589 -2.1069 -2.0583 -1.9530 -1.8722 -1.8165 -1.7829 -1.7662
 -1.7622 -1.7662 -1.7742 -1.7845 -1.7968 -1.8118 -1.8306 -1.8538 -1.8811 -1.9106
 -3.0295 -2.9263 -2.8168 -2.7074 -2.6069 -2.5222 -2.4563 -2.4121 -2.3820 -2.3362
 -2.2700 -2.2075 -2.1525 -2.1018 -2.0546 -1.9523 -1.8735 -1.8188 -1.7857 -1.7698
 -1.7667 -1.7726 -1.7830 -1.7955 -1.8096 -1.8254 -1.8429 -1.8635 -1.8885 -1.9183
 -1.9511
 -2.9774 -2.8864 -2.7897 -2.6893 -2.5904 -2.4983 -2.4176 -2.3495 -2.2948 -2.2547
 -2.2235 -2.1864 -2.1416 -2.0947 -2.0495 -1.9503 -1.8732 -1.8194 -1.7865 -1.7708
 -1.7685 -1.7761 -1.7894 -1.8049 -1.8214 -1.8388 -1.8577 -1.8778 -1.9003 -1.9268
 -1.9594
 -2.9248 -2.8406 -2.7538 -2.6646 -2.5739 -2.4852 -2.4019 -2.3270 -2.2617 -2.2057
 -2.1598 -2.1242 -2.0952 -2.0663 -2.0339 -1.9451 -1.8703 -1.8173 -1.7847 -1.7690
 -1.7673 -1.7764 -1.7925 -1.8117 -1.8317 -1.8519 -1.8726 -1.8938 -1.9162 -1.9407
 -1.9691
 -2.8766 -2.7938 -2.7141 -2.6338 -2.5527 -2.4715 -2.3925 -2.3177 -2.2494 -2.1883
 -2.1347 -2.0889 -2.0509 -2.0205 -1.9949 -1.9319 -1.8660 -1.8139 -1.7812 -1.7650
 -1.7630 -1.7727 -1.7910 -1.8139 -1.8380 -1.8619 -1.8856 -1.9091 -1.9327 -1.9572
 -1.9834
 -2.8376 -2.7509 -2.6732 -2.5981 -2.5243 -2.4512 -2.3790 -2.3089 -2.2423 -2.1804
 -2.1243 -2.0745 -2.0309 -1.9940 -1.9632 -1.9046 -1.8539 -1.8081 -1.7757 -1.7589
 -1.7563 -1.7659 -1.7853 -1.8111 -1.8393 -1.8675 -1.8953 -1.9222 -1.9484 -1.9744
 -2.0002
 -2.8121 -2.7158 -2.6355 -2.5620 -2.4920 -2.4245 -2.3589 -2.2949 -2.2330 -2.1738
 -2.1183 -2.0674 -2.0217 -1.9815 -1.9468 -1.8812 -1.8349 -1.7971 -1.7682
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  G   
 -3.5892 -3.3814 -3.1889 -3.0243 -2.8766 -2.7417 -2.6347 -2.5414 -2.4624 -2.3892
 -2.3190 -2.2528 -2.1907 -2.1324 -2.0776 -1.9564 -1.8589 -1.7859 -1.7364
 -3.4458 -3.3957 -3.2031 -3.0238 -2.8682 -2.7310 -2.6189 -2.5249 -2.4436 -2.3698
 -2.3010 -2.2365 -2.1760 -2.1192 -2.0658 -1.9492 -1.8573 -1.7903 -1.7465 -1.7223
 -3.3021 -3.3200 -3.2092 -3.0366 -2.8736 -2.7299 -2.6115 -2.5131 -2.4302 -2.3560
 -2.2886 -2.2259 -2.1671 -2.1119 -2.0601 -1.9469 -1.8586 -1.7952 -1.7547 -1.7324
 -1.7235
 -3.1804 -3.0914 -3.0991 -3.0335 -2.8861 -2.7403 -2.6132 -2.5078 -2.4209 -2.3457
 -2.2792 -2.2180 -2.1609 -2.1073 -2.0570 -1.9470 -1.8611 -1.8002 -1.7617 -1.7407
 -1.7328 -1.7332
 -3.1447 -3.0079 -2.9080 -2.8807 -2.8609 -2.7503 -2.6232 -2.5100 -2.4165 -2.3386
 -2.2712 -2.2111 -2.1555 -2.1035 -2.0548 -1.9479 -1.8640 -1.8046 -1.7676 -1.7477
 -1.7405 -1.7420 -1.7484 -1.7577
 -3.1189 -2.9828 -2.8549 -2.7523 -2.6923 -2.6726 -2.6204 -2.5186 -2.4189 -2.3349
 -2.2647 -2.2046 -2.1500 -2.0995 -2.0522 -1.9485 -1.8666 -1.8084 -1.7721 -1.7531
 -1.7467 -1.7493 -1.7571 -1.7679 -1.7810 -1.7972 -1.8170 -1.8412 -1.8695 -1.8996
 -3.0893 -2.9641 -2.8382 -2.7205 -2.6206 -2.5463 -2.5002 -2.4706 -2.4166 -2.3365
 -2.2613 -2.1984 -2.1442 -2.0947 -2.0488 -1.9480 -1.8682 -1.8109 -1.7751 -1.7566
 -1.7509 -1.7547 -1.7644 -1.7771 -1.7918 -1.8085 -1.8275 -1.8496 -1.8758 -1.9065
 -1.9396
 -3.0565 -2.9412 -2.8246 -2.7099 -2.6026 -2.5085 -2.4315 -2.3717 -2.3289 -2.2952
 -2.2510 -2.1929 -2.1380 -2.0892 -2.0442 -1.9463 -1.8684 -1.8120 -1.7763 -1.7580
 -1.7529 -1.7578 -1.7696 -1.7849 -1.8019 -1.8201 -1.8401 -1.8616 -1.8857 -1.9140
 -1.9473
 -3.0201 -2.9119 -2.8046 -2.6978 -2.5941 -2.4972 -2.4106 -2.3362 -2.2739 -2.2230
 -2.1834 -2.1507 -2.1156 -2.0769 -2.0363 -1.9420 -1.8661 -1.8106 -1.7753 -1.7569
 -1.7523 -1.7583 -1.7721 -1.7905 -1.8106 -1.8314 -1.8533 -1.8757 -1.8996 -1.9261
 -1.9561
 -2.9868 -2.8816 -2.7807 -2.6819 -2.5851 -2.4921 -2.4052 -2.3261 -2.2565 -2.1961
 -2.1444 -2.1013 -2.0661 -2.0368 -2.0094 -1.9353 -1.8631 -1.8084 -1.7728 -1.7540
 -1.7491 -1.7557 -1.7710 -1.7921 -1.8158 -1.8400 -1.8647 -1.8894 -1.9147 -1.9405
 -1.9689
 -2.9603 -2.8528 -2.7547 -2.6610 -2.5706 -2.4836 -2.4006 -2.3228 -2.2514 -2.1872
 -2.1304 -2.0809 -2.0381 -2.0022 -1.9726 -1.9132 -1.8559 -1.8042 -1.7686 -1.7492
 -1.7437 -1.7502 -1.7664 -1.7895 -1.8165 -1.8447 -1.8730 -1.9009 -1.9286 -1.9563
 -1.9837
 -2.9446 -2.8297 -2.7302 -2.6384 -2.5518 -2.4696 -2.3917 -2.3178 -2.2485 -2.1843
 -2.1257 -2.0732 -2.0269 -1.9864 -1.9517 -1.8870 -1.8386 -1.7963 -1.7628
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  G   
 -3.5333 -3.3258 -3.1437 -2.9896 -2.8443 -2.7144 -2.6134 -2.5244 -2.4434 -2.3714
