 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -1.9549 -1.7210 -1.5336 -1.3809 -1.2521 -0.9952 -0.8009 -0.6494 -0.5279 -0.4275
 -0.3440 -0.2740
 -5.1164 -4.7556 -4.4238 -4.1006 -3.7779 -3.4638 -3.1594 -2.8388 -2.5023 -2.1920
 -1.9247 -1.7026 -1.5202 -1.3692 -1.2409 -0.9840 -0.7901 -0.6409 -0.5233 -0.4279
 -0.3495 -0.2844 -0.2291 -0.1812
 -4.8933 -4.4526 -4.0800 -3.7621 -3.4802 -3.2167 -2.9536 -2.6845 -2.4059 -2.1363
 -1.8943 -1.6862 -1.5109 -1.3634 -1.2367 -0.9801 -0.7854 -0.6368 -0.5214 -0.4297
 -0.3555 -0.2948 -0.2440 -0.1999 -0.1608 -0.1261 -0.0959 -0.0700 -0.0507 -0.0413
 -4.8312 -4.3209 -3.8798 -3.5073 -3.1932 -2.9213 -2.6784 -2.4563 -2.2441 -2.0406
 -1.8455 -1.6638 -1.5008 -1.3592 -1.2354 -0.9808 -0.7846 -0.6353 -0.5209 -0.4315
 -0.3608 -0.3042 -0.2578 -0.2181 -0.1828 -0.1511 -0.1229 -0.0983 -0.0781 -0.0649
 -0.0617
 -4.8873 -4.3253 -3.8286 -3.4034 -3.0463 -2.7477 -2.4936 -2.2711 -2.0705 -1.8901
 -1.7340 -1.5983 -1.4720 -1.3497 -1.2339 -0.9845 -0.7868 -0.6357 -0.5210 -0.4327
 -0.3644 -0.3112 -0.2691 -0.2341 -0.2034 -0.1756 -0.1505 -0.1281 -0.1093 -0.0942
 -0.0867
 -4.9972 -4.4034 -3.8680 -3.3998 -3.0029 -2.6731 -2.3996 -2.1697 -1.9720 -1.7989
 -1.6471 -1.5164 -1.4059 -1.3091 -1.2158 -0.9869 -0.7892 -0.6360 -0.5200 -0.4321
 -0.3652 -0.3144 -0.2761 -0.2458 -0.2203 -0.1974 -0.1766 -0.1574 -0.1404 -0.1264
 -0.1169
 -5.1013 -4.5106 -3.9574 -3.4628 -3.0356 -2.6768 -2.3804 -2.1360 -1.9319 -1.7589
 -1.6097 -1.4803 -1.3677 -1.2699 -1.1837 -0.9861 -0.7956 -0.6398 -0.5215 -0.4323
 -0.3654 -0.3158 -0.2798 -0.2535 -0.2329 -0.2154 -0.1997 -0.1850 -0.1716 -0.1600
 -0.1508
 -5.1509 -4.5806 -4.0444 -3.5453 -3.1037 -2.7254 -2.4096 -2.1489 -1.9333 -1.7533
 -1.6005 -1.4692 -1.3549 -1.2543 -1.1647 -0.9750 -0.8009 -0.6454 -0.5240 -0.4327
 -0.3647 -0.3150 -0.2800 -0.2562 -0.2398 -0.2274 -0.2172 -0.2079 -0.1993 -0.1915
 -0.1850
 -5.1373 -4.6116 -4.0997 -3.6203 -3.1811 -2.7968 -2.4696 -2.1950 -1.9669 -1.7767
 -1.6161 -1.4787 -1.3595 -1.2548 -1.1588 -0.9536 -0.8051 -0.6528 -0.5275
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.4117 -6.1492 -5.9081 -5.6892 -5.4477 -5.1228 -4.6621 -4.0231 -3.2529 -2.6301
 -2.1866 -1.8764 -1.6534 -1.4836 -1.3452 -1.0747 -0.8644 -0.6904 -0.5408
 -6.0311 -5.7440 -5.4796 -5.2405 -5.0135 -4.7516 -4.3440 -3.7102 -3.0632 -2.5159
 -2.1029 -1.8035 -1.5846 -1.4174 -1.2817 -1.0175 -0.8154 -0.6526 -0.5165 -0.4007
 -5.7417 -5.4343 -5.1430 -4.8751 -4.6269 -4.3684 -4.0194 -3.4967 -2.9464 -2.4573
 -2.0670 -1.7721 -1.5515 -1.3824 -1.2461 -0.9834 -0.7853 -0.6288 -0.5008 -0.3934
 -0.3025
 -5.5133 -5.1927 -4.8805 -4.5851 -4.3096 -4.0431 -3.7458 -3.3226 -2.8540 -2.4182
 -2.0523 -1.7632 -1.5403 -1.3675 -1.2288 -0.9648 -0.7678 -0.6145 -0.4917 -0.3902
 -0.3051 -0.2333
 -5.2943 -4.9711 -4.6576 -4.3532 -4.0593 -3.7763 -3.4961 -3.1598 -2.7651 -2.3806
 -2.0428 -1.7640 -1.5413 -1.3653 -1.2234 -0.9563 -0.7587 -0.6068 -0.4870 -0.3898
 -0.3094 -0.2421 -0.1853 -0.1361
 -5.0250 -4.6637 -4.3595 -4.0880 -3.8244 -3.5548 -3.2777 -2.9934 -2.6681 -2.3346
 -2.0284 -1.7650 -1.5470 -1.3700 -1.2256 -0.9545 -0.7553 -0.6032 -0.4851 -0.3909
 -0.3142 -0.2511 -0.1985 -0.1534 -0.1140 -0.0795 -0.0494 -0.0238 -0.0048  0.0043
 -4.8980 -4.4502 -4.0717 -3.7582 -3.4911 -3.2504 -3.0200 -2.7835 -2.5297 -2.2605
 -1.9971 -1.7580 -1.5511 -1.3770 -1.2320 -0.9572 -0.7557 -0.6025 -0.4848 -0.3925
 -0.3188 -0.2593 -0.2108 -0.1700 -0.1344 -0.1028 -0.0752 -0.0511 -0.0314 -0.0188
 -0.0157
 -4.9159 -4.4035 -3.9553 -3.5746 -3.2565 -2.9862 -2.7466 -2.5237 -2.3065 -2.0941
 -1.8965 -1.7117 -1.5381 -1.3794 -1.2390 -0.9634 -0.7592 -0.6039 -0.4854 -0.3939
 -0.3222 -0.2658 -0.2210 -0.1845 -0.1535 -0.1259 -0.1014 -0.0797 -0.0609 -0.0473
 -0.0407
 -5.0255 -4.4687 -3.9664 -3.5282 -3.1561 -2.8438 -2.5794 -2.3484 -2.1383 -1.9413
 -1.7606 -1.6028 -1.4677 -1.3462 -1.2302 -0.9691 -0.7631 -0.6053 -0.4853 -0.3937
 -0.3234 -0.2691 -0.2277 -0.1955 -0.1692 -0.1464 -0.1261 -0.1078 -0.0918 -0.0787
 -0.0701
 -5.1794 -4.6001 -4.0631 -3.5820 -3.1639 -2.8094 -2.5129 -2.2633 -2.0486 -1.8590
 -1.6885 -1.5367 -1.4047 -1.2923 -1.1947 -0.9733 -0.7714 -0.6105 -0.4879 -0.3949
 -0.3244 -0.2713 -0.2319 -0.2031 -0.1813 -0.1635 -0.1482 -0.1343 -0.1219 -0.1116
 -0.1033
