 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  v   
 -8.6071 -8.6265 -8.6387 -8.6379 -8.6218 -8.5791 -8.5006 -8.3876 -8.2219 -8.0844
 -7.9099 -7.7187 -7.5069 -7.2748 -7.0245 -6.3735
 -7.9871 -8.0120 -8.0289 -8.0336 -8.0229 -7.9904 -7.9298 -7.8375 -7.7154 -7.5663
 -7.3928 -7.1946 -6.9725 -6.7322 -6.4810 -5.8554 -5.2531 -4.6704 -4.1153
 -7.4527 -7.4743 -7.4907 -7.4976 -7.4909 -7.4665 -7.4198 -7.3451 -7.2415 -7.1080
 -6.9442 -6.7509 -6.5308 -6.2921 -6.0454 -5.4463 -4.8889 -4.3707 -3.8944 -3.4742
 -3.1335
 -7.0039 -7.0134 -7.0241 -7.0299 -7.0258 -7.0074 -6.9706 -6.9104 -6.8243 -6.7095
 -6.5641 -6.3876 -6.1818 -5.9545 -5.7177 -5.1462 -4.6285 -4.1584 -3.7337 -3.3614
 -3.0506 -2.8015 -2.5968
 -6.6904 -6.6642 -6.6550 -6.6512 -6.6444 -6.6283 -6.5981 -6.5488 -6.4773 -6.3805
 -6.2557 -6.1009 -5.9157 -5.7049 -5.4799 -4.9319 -4.4440 -4.0091 -3.6200 -3.2814
 -2.9980 -2.7694 -2.5842 -2.4300 -2.2967
 -6.6448 -6.5131 -6.4313 -6.3854 -6.3590 -6.3369 -6.3075 -6.2643 -6.2033 -6.1211
 -6.0146 -5.8813 -5.7186 -5.5274 -5.3160 -4.7855 -4.3171 -3.9074 -3.5438 -3.2284
 -2.9653 -2.7528 -2.5830 -2.4439 -2.3255 -2.2215
 -6.8776 -6.6347 -6.4456 -6.3083 -6.2150 -6.1522 -6.1076 -6.0616 -6.0030 -5.9284
 -5.8345 -5.7185 -5.5768 -5.4067 -5.2112 -4.6947 -4.2363 -3.8433 -3.4978 -3.1985
 -2.9494 -2.7483 -2.5890 -2.4609 -2.3542 -2.2626 -2.1815 -2.1074 -2.0392 -1.9817
 -7.1989 -6.8900 -6.6254 -6.4066 -6.2326 -6.0985 -6.0003 -5.9330 -5.8778 -5.8089
 -5.7191 -5.6095 -5.4803 -5.3287 -5.1514 -4.6505 -4.1939 -3.8093 -3.4765 -3.1877
 -2.9473 -2.7538 -2.6011 -2.4807 -2.3829 -2.3005 -2.2297 -2.1674 -2.1116 -2.0614
 -2.0181
 -7.5896 -7.2126 -6.8864 -6.6050 -6.3668 -6.1701 -6.0107 -5.8841 -5.7868 -5.7083
 -5.6324 -5.5424 -5.4264 -5.2854 -5.1234 -4.6451 -4.1846 -3.8006 -3.4747 -3.1929
