 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -2.3800 -2.2290 -2.1129 -2.0210 -1.9446 -1.7959 -1.6899 -1.6170 -1.5704 -1.5438
 -1.5318
 -4.3554 -4.1588 -3.9703 -3.7858 -3.6014 -3.4140 -3.2134 -2.9859 -2.7569 -2.5476
 -2.3685 -2.2230 -2.1083 -2.0174 -1.9423 -1.7979 -1.6953 -1.6249 -1.5803 -1.5550
 -1.5439 -1.5416
 -4.2037 -3.9620 -3.7400 -3.5809 -3.4325 -3.2732 -3.0959 -2.9035 -2.7067 -2.5213
 -2.3572 -2.2187 -2.1063 -2.0160 -1.9418 -1.8005 -1.7006 -1.6319 -1.5887 -1.5645
 -1.5543 -1.5530 -1.5569 -1.5652
 -4.1021 -3.8055 -3.5645 -3.3590 -3.1848 -3.0352 -2.9037 -2.7725 -2.6301 -2.4813
 -2.3389 -2.2117 -2.1034 -2.0144 -1.9410 -1.8022 -1.7045 -1.6372 -1.5950 -1.5717
 -1.5626 -1.5629 -1.5682 -1.5770 -1.5890 -1.6040 -1.6238 -1.6502 -1.6826 -1.7156
 -4.0577 -3.7610 -3.4880 -3.2465 -3.0408 -2.8664 -2.7157 -2.5825 -2.4672 -2.3703
 -2.2804 -2.1877 -2.0951 -2.0109 -1.9387 -1.8020 -1.7064 -1.6402 -1.5986 -1.5762
 -1.5683 -1.5704 -1.5781 -1.5885 -1.6013 -1.6164 -1.6345 -1.6561 -1.6834 -1.7177
 -1.7536
 -4.0623 -3.7589 -3.4690 -3.2048 -2.9756 -2.7831 -2.6216 -2.4833 -2.3627 -2.2592
 -2.1749 -2.1092 -2.0518 -1.9928 -1.9316 -1.7994 -1.7056 -1.6407 -1.5994 -1.5775
 -1.5706 -1.5746 -1.5853 -1.5987 -1.6135 -1.6296 -1.6476 -1.6678 -1.6910 -1.7197
 -1.7560
 -4.0626 -3.7621 -3.4700 -3.1958 -2.9529 -2.7474 -2.5766 -2.4339 -2.3128 -2.2087
 -2.1195 -2.0453 -1.9863 -1.9398 -1.8981 -1.7918 -1.7010 -1.6375 -1.5967 -1.5751
 -1.5691 -1.5750 -1.5887 -1.6060 -1.6242 -1.6428 -1.6622 -1.6826 -1.7046 -1.7296
 -1.7595
 -4.0549 -3.7632 -3.4751 -3.2023 -2.9553 -2.7425 -2.5654 -2.4177 -2.2943 -2.1893
 -2.0989 -2.0213 -1.9555 -1.9012 -1.8575 -1.7715 -1.6934 -1.6319 -1.5917 -1.5699
