 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -4.1915 -4.3370 -4.4777 -4.6130 -4.7427 -4.8672 -4.9871 -5.1028 -5.2149 -5.3236
 -5.4291
 -1.8956 -2.0043 -2.1082 -2.2088 -2.3062 -2.4009 -2.4934 -2.5839 -2.6724 -2.7587
 -2.8421 -2.9223 -2.9992 -3.0738 -3.1487 -3.3472 -3.5434 -3.7184 -3.8840 -4.0416
 -4.1922 -4.3372 -4.4777 -4.6132 -4.7434 -4.8682 -4.9883 -5.1038 -5.2156 -5.3239
 -5.4289
 -1.8976 -2.0047 -2.1080 -2.2084 -2.3055 -2.4000 -2.4919 -2.5812 -2.6685 -2.7538
 -2.8368 -2.9173 -2.9947 -3.0693 -3.1422 -3.3318 -3.5315 -3.7171 -3.8839 -4.0418
 -4.1924 -4.3370 -4.4771 -4.6127 -4.7433 -4.8687 -4.9892 -5.1050 -5.2167 -5.3248
 -5.4294
 -1.9042 -2.0076 -2.1093 -2.2087 -2.3055 -2.3996 -2.4911 -2.5799 -2.6663 -2.7506
 -2.8328 -2.9131 -2.9911 -3.0666 -3.1440 -3.3163 -3.5090 -3.7143 -3.8832
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F1500W
 -1.8752 -1.9716 -2.0598 -2.1405 -2.2139 -2.2871 -2.3676 -2.4585 -2.5525 -2.6454
 -2.7347 -2.8201 -2.9019 -2.9808 -3.0573 -3.2400 -3.4143 -3.5838 -3.7492
 -1.9231 -2.0278 -2.1241 -2.2115 -2.2910 -2.3639 -2.4383 -2.5224 -2.6097 -2.6974
 -2.7831 -2.8659 -2.9463 -3.0251 -3.1024 -3.2884 -3.4648 -3.6349 -3.7996 -3.9591
 -1.9439 -2.0550 -2.1577 -2.2517 -2.3365 -2.4120 -2.4842 -2.5644 -2.6479 -2.7324
 -2.8157 -2.8964 -2.9748 -3.0524 -3.1295 -3.3174 -3.4956 -3.6665 -3.8305 -3.9882
 -4.1409
 -1.9362 -2.0565 -2.1681 -2.2704 -2.3628 -2.4447 -2.5177 -2.5950 -2.6759 -2.7581
 -2.8395 -2.9187 -2.9953 -3.0709 -3.1468 -3.3349 -3.5145 -3.6859 -3.8498 -4.0067
 -4.1587 -4.3052
 -1.9191 -2.0343 -2.1455 -2.2581 -2.3639 -2.4593 -2.5408 -2.6181 -2.6977 -2.7783
