 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.0823  1.0791  1.0751  1.0690  1.0609  1.0289  0.9791  0.9170  0.8467  0.7708
  0.6911  0.6086  0.5239  0.4377  0.3510  0.2640  0.1765  0.0878 -0.0026 -0.0913
 -0.1774
  1.1362  1.1378  1.1427  1.1447  1.1385  1.1175  1.0922  1.0888  1.0914  1.0888
  1.0834  1.0768  1.0709  1.0643  1.0559  1.0247  0.9760  0.9141  0.8440  0.7684
  0.6891  0.6069  0.5227  0.4371  0.3511  0.2652  0.1792  0.0930  0.0057 -0.0830
 -0.1702
  1.1603  1.1592  1.1592  1.1602  1.1587  1.1524  1.1393  1.1200  1.1031  1.0952
  1.0889  1.0798  1.0700  1.0616  1.0527  1.0216  0.9739  0.9123  0.8420  0.7665
  0.6872  0.6051  0.5209  0.4355  0.3497  0.2642  0.1789  0.0938  0.0085 -0.0775
 -0.1645
  1.1980  1.1870  1.1802  1.1772  1.1739  1.1685  1.1601  1.1483  1.1331  1.1162
  1.1006  1.0875  1.0750  1.0623  1.0514  1.0201  0.9738  0.9129  0.8428  0.7674
  0.6883  0.6063  0.5222  0.4369  0.3511  0.2655  0.1803  0.0957  0.0115 -0.0734
 -0.1590
  1.2438  1.2212  1.2062  1.1980  1.1916  1.1842  1.1749  1.1636  1.1502  1.1352
  1.1190  1.1021  1.0856  1.0696  1.0541  1.0197  0.9747  0.9149  0.8452  0.7699
  0.6910  0.6092  0.5251  0.4396  0.3536  0.2676  0.1820  0.0973  0.0133 -0.0702
 -0.1533
  1.2975  1.2618  1.2395  1.2232  1.2123  1.2025  1.1914  1.1785  1.1640  1.1483
  1.1318  1.1146  1.0969  1.0790  1.0608  1.0204  0.9766  0.9183  0.8492
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  J   
  1.0267  1.0433  1.0570  1.0681  1.0963  1.1133  1.1264  1.1381  1.1472  1.1523
  1.1533  1.1522  1.1491  1.1432  1.1345  1.1017  1.0499  0.9893  0.9181
  0.9993  1.0240  1.0436  1.0586  1.0772  1.0954  1.1087  1.1196  1.1297  1.1349
  1.1360  1.1347  1.1313  1.1255  1.1168  1.0817  1.0315  0.9705  0.9002  0.8219
  0.9661  1.0007  1.0289  1.0505  1.0647  1.0829  1.0963  1.1053  1.1147  1.1209
  1.1222  1.1206  1.1169  1.1109  1.1023  1.0674  1.0170  0.9558  0.8861  0.8093
  0.7270
  0.9611  0.9791  1.0135  1.0411  1.0603  1.0737  1.0876  1.0965  1.1016  1.1090
  1.1106  1.1089  1.1050  1.0989  1.0904  1.0564  1.0064  0.9453  0.8758  0.7999
  0.7191  0.6343
  1.0595  0.9927  1.0016  1.0323  1.0562  1.0712  1.0822  1.0904  1.0951  1.0971
  1.1008  1.0990  1.0948  1.0886  1.0803  1.0475  0.9983  0.9375  0.8683  0.7929
  0.7130  0.6296  0.5433  0.4544
  1.0941  1.0908  1.0366  1.0277  1.0522  1.0709  1.0813  1.0878  1.0912  1.0918
  1.0918  1.0908  1.0864  1.0799  1.0716  1.0400  0.9919  0.9315  0.8626  0.7876
  0.7084  0.6260  0.5410  0.4539  0.3655  0.2761  0.1849  0.0919  0.0013 -0.0873
  1.1086  1.1176  1.1177  1.0847  1.0551  1.0703  1.0836  1.0897  1.0910  1.0902
  1.0870  1.0840  1.0797  1.0729  1.0644  1.0336  0.9868  0.9270  0.8584  0.7839
  0.7051  0.6232  0.5392  0.4533  0.3665  0.2791  0.1911  0.1014  0.0102 -0.0787
 -0.1654
  1.1241  1.1320  1.1385  1.1387  1.1222  1.0901  1.0858  1.0936  1.0953  1.0921
  1.0871  1.0806  1.0747  1.0677  1.0588  1.0284  0.9829  0.9237  0.8555  0.7813
  0.7029  0.6215  0.5380  0.4530  0.3671  0.2811  0.1950  0.1081  0.0197 -0.0699
 -0.1574
  1.1414  1.1481  1.1528  1.1557  1.1540  1.1439  1.1230  1.1047  1.1009  1.0986
  1.0919  1.0827  1.0730  1.0644  1.0551  1.0245  0.9799  0.9213  0.8532  0.7791
  0.7009  0.6196  0.5363  0.4516  0.3662  0.2808  0.1954  0.1099  0.0239 -0.0630
 -0.1510
  1.1709  1.1692  1.1691  1.1704  1.1691  1.1643  1.1549  1.1404  1.1230  1.1090
  1.0995  1.0894  1.0769  1.0644  1.0534  1.0221  0.9788  0.9212  0.8534  0.7795
  0.7016  0.6206  0.5375  0.4530  0.3678  0.2826  0.1976  0.1129  0.0283 -0.0567
 -0.1423
  1.2055  1.1953  1.1893  1.1871  1.1844  1.1790  1.1706  1.1595  1.1457  1.1302
  1.1143  1.0996  1.0856  1.0706  1.0553  1.0212  0.9788  0.9226  0.8552  0.7815
  0.7038  0.6231  0.5401  0.4556  0.3704  0.2851  0.2000  0.1153  0.0312 -0.0528
 -0.1368
  1.2454  1.2264  1.2132  1.2073  1.2015  1.1951  1.1858  1.1740  1.1601  1.1449
  1.1287  1.1120  1.0952  1.0788  1.0608  1.0218  0.9799  0.9255  0.8586
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  J   
  1.0562  1.0579  1.0656  1.0787  1.1040  1.1266  1.1430  1.1543  1.1611  1.1641
  1.1639  1.1611  1.1560  1.1490  1.1402  1.1061  1.0548  0.9909  0.9217
  1.0211  1.0439  1.0590  1.0672  1.0857  1.1028  1.1163  1.1270  1.1392  1.1443
  1.1449  1.1426  1.1382  1.1316  1.1225  1.0875  1.0379  0.9765  0.9077  0.8312
  0.9937  1.0236  1.0459  1.0614  1.0732  1.0909  1.1032  1.1130  1.1238  1.1300
  1.1309  1.1286  1.1241  1.1173  1.1083  1.0739  1.0244  0.9644  0.8960  0.8205
  0.7390
  0.9684  0.9997  1.0305  1.0538  1.0676  1.0811  1.0948  1.1035  1.1089  1.1175
  1.1190  1.1167  1.1119  1.1052  1.0963  1.0629  1.0143  0.9546  0.8866  0.8119
  0.7319  0.6478
  1.0199  0.9873  1.0156  1.0444  1.0652  1.0761  1.0881  1.0968  1.1016  1.1047
  1.1085  1.1063  1.1015  1.0945  1.0857  1.0536  1.0062  0.9471  0.8795  0.8054
  0.7264  0.6436  0.5579  0.4693
  1.0904  1.0609  1.0154  1.0367  1.0611  1.0775  1.0851  1.0929  1.0966  1.0976
  1.0985  1.0974  1.0925  1.0854  1.0765  1.0454  0.9994  0.9411  0.8740  0.8004
  0.7221  0.6403  0.5559  0.4692  0.3810  0.2908  0.1985  0.1056  0.0149 -0.0743
  1.1063  1.1137  1.0995  1.0509  1.0585  1.0771  1.0886  1.0928  1.0951  1.0949
  1.0919  1.0897  1.0852  1.0778  1.0687  1.0381  0.9936  0.9362  0.8697  0.7967
  0.7189  0.6379  0.5544  0.4690  0.3822  0.2946  0.2059  0.1154  0.0241 -0.0649
 -0.1522
  1.1194  1.1288  1.1347  1.1283  1.0933  1.0791  1.0908  1.0977  1.0981  1.0954
  1.0911  1.0848  1.0794  1.0720  1.0626  1.0320  0.9889  0.9324  0.8664  0.7939
  0.7167  0.6362  0.5534  0.4689  0.3833  0.2971  0.2105  0.1232  0.0343 -0.0556
 -0.1432
  1.1306  1.1419  1.1489  1.1520  1.1475  1.1281  1.1042  1.1024  1.1046  1.1017
  1.0950  1.0859  1.0764  1.0680  1.0583  1.0272  0.9849  0.9294  0.8637  0.7913
  0.7144  0.6342  0.5517  0.4676  0.3827  0.2974  0.2119  0.1263  0.0400 -0.0476
 -0.1363
  1.1523  1.1579  1.1624  1.1659  1.1653  1.1597  1.1471  1.1282  1.1142  1.1086
  1.1021  1.0918  1.0795  1.0671  1.0560  1.0242  0.9827  0.9284  0.8632  0.7912
  0.7146  0.6348  0.5527  0.4690  0.3844  0.2997  0.2148  0.1302  0.0455 -0.0399
 -0.1262
  1.1758  1.1768  1.1782  1.1800  1.1795  1.1750  1.1667  1.1549  1.1397  1.1241
  1.1116  1.1005  1.0876  1.0724  1.0572  1.0228  0.9817  0.9288  0.8643  0.7925
  0.7162  0.6367  0.5549  0.4714  0.3870  0.3023  0.2177  0.1334  0.0493 -0.0349
 -0.1193
  1.2012  1.1986  1.1963  1.1955  1.1942  1.1897  1.1814  1.1701  1.1565  1.1413
  1.1256  1.1102  1.0958  1.0810  1.0619  1.0230  0.9819  0.9306  0.8670
