 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -4.8971 -4.6438 -4.3904 -4.1353 -3.8790 -3.6228 -3.3574 -3.0690 -2.7881 -2.5370
 -2.3229 -2.1449 -1.9969 -1.8709 -1.7609 -1.5375 -1.3712 -1.2452 -1.1460 -1.0657
 -0.9999 -0.9451
 -4.7081 -4.3917 -4.0966 -3.8741 -3.6638 -3.4430 -3.2074 -2.9621 -2.7194 -2.4957
 -2.2991 -2.1308 -1.9876 -1.8641 -1.7552 -1.5322 -1.3656 -1.2412 -1.1454 -1.0694
 -1.0082 -0.9576 -0.9146 -0.8774
 -4.5756 -4.1863 -3.8663 -3.5920 -3.3583 -3.1575 -2.9820 -2.8112 -2.6307 -2.4467
 -2.2729 -2.1172 -1.9807 -1.8611 -1.7543 -1.5321 -1.3643 -1.2398 -1.1460 -1.0733
 -1.0161 -0.9698 -0.9308 -0.8968 -0.8670 -0.8408 -0.8189 -0.8025 -0.7925 -0.7909
 -4.5182 -4.1268 -3.7659 -3.4500 -3.1835 -2.9595 -2.7677 -2.6002 -2.4559 -2.3327
 -2.2156 -2.0938 -1.9719 -1.8583 -1.7548 -1.5347 -1.3655 -1.2398 -1.1467 -1.0763
 -1.0224 -0.9803 -0.9458 -0.9160 -0.8895 -0.8659 -0.8456 -0.8288 -0.8167 -0.8122
 -0.8165
 -4.5319 -4.1287 -3.7442 -3.4004 -3.1078 -2.8653 -2.6636 -2.4922 -2.3438 -2.2159
 -2.1089 -2.0200 -1.9361 -1.8466 -1.7533 -1.5387 -1.3683 -1.2406 -1.1469 -1.0777
 -1.0263 -0.9878 -0.9581 -0.9332 -0.9111 -0.8911 -0.8733 -0.8580 -0.8457 -0.8384
 -0.8393
 -4.5441 -4.1443 -3.7548 -3.3968 -3.0870 -2.8295 -2.6176 -2.4413 -2.2919 -2.1631
 -2.0512 -1.9548 -1.8729 -1.8011 -1.7302 -1.5403 -1.3704 -1.2406 -1.1455 -1.0764
 -1.0267 -0.9912 -0.9659 -0.9463 -0.9296 -0.9143 -0.9004 -0.8877 -0.8771 -0.8693
 -0.8665
 -4.5447 -4.1610 -3.7777 -3.4196 -3.1026 -2.8346 -2.6138 -2.4305 -2.2770 -2.1458
 -2.0316 -1.9314 -1.8428 -1.7649 -1.6958 -1.5346 -1.3746 -1.2428 -1.1452 -1.0749
 -1.0253 -0.9915 -0.9694 -0.9547 -0.9437 -0.9340 -0.9251 -0.9167 -0.9090 -0.9030
 -0.8994
 -4.5324 -4.1599 -3.7939 -3.4447 -3.1309 -2.8599 -2.6325 -2.4429 -2.2841 -2.1486
 -2.0309 -1.9271 -1.8346 -1.7518 -1.6774 -1.5196 -1.3753 -1.2457 -1.1454 -1.0728
 -1.0221 -0.9886 -0.9683 -0.9573 -0.9515 -0.9478 -0.9448 -0.9417 -0.9386 -0.9359
 -0.9343
 -4.5147 -4.1518 -3.7991 -3.4647 -3.1613 -2.8940 -2.6647 -2.4703 -2.3060 -2.1656
 -2.0434 -1.9355 -1.8389 -1.7521 -1.6750 -1.4953 -1.3725 -1.2493 -1.1461
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -5.8619 -5.6338 -5.4184 -5.2057 -4.9997 -4.7321 -4.3284 -3.7777 -3.2410 -2.8108
 -2.4985 -2.2708 -2.0984 -1.9598 -1.8429 -1.6099 -1.4320 -1.2874 -1.1649
 -5.5782 -5.3297 -5.1002 -4.8810 -4.6609 -4.4079 -4.0473 -3.5813 -3.1196 -2.7330
 -2.4371 -2.2167 -2.0479 -1.9122 -1.7973 -1.5691 -1.3974 -1.2625 -1.1516 -1.0585
 -5.3757 -5.1073 -4.8589 -4.6240 -4.3948 -4.1516 -3.8377 -3.4432 -3.0442 -2.6930
 -2.4107 -2.1927 -2.0239 -1.8880 -1.7734 -1.5461 -1.3774 -1.2477 -1.1437 -1.0574
 -0.9857
 -5.2046 -4.9308 -4.6713 -4.4221 -4.1790 -3.9351 -3.6618 -3.3282 -2.9828 -2.6666
 -2.3998 -2.1856 -2.0157 -1.8787 -1.7635 -1.5355 -1.3670 -1.2397 -1.1400 -1.0588
 -0.9918 -0.9362
 -4.9315 -4.6797 -4.4540 -4.2293 -3.9960 -3.7538 -3.5018 -3.2194 -2.9217 -2.6398
 -2.3923 -2.1854 -2.0164 -1.8781 -1.7621 -1.5328 -1.3629 -1.2362 -1.1391 -1.0615
 -0.9986 -0.9469 -0.9032 -0.8658
 -4.7433 -4.4219 -4.1470 -3.9142 -3.7118 -3.5226 -3.3222 -3.0942 -2.8474 -2.6035
 -2.3798 -2.1849 -2.0199 -1.8821 -1.7654 -1.5349 -1.3631 -1.2354 -1.1395 -1.0647
 -1.0052 -0.9572 -0.9173 -0.8831 -0.8536 -0.8284 -0.8075 -0.7915 -0.7824 -0.7814
 -4.6787 -4.3099 -3.9778 -3.6896 -3.4444 -3.2316 -3.0404 -2.8619 -2.6897 -2.5180
 -2.3435 -2.1745 -2.0212 -1.8870 -1.7709 -1.5396 -1.3658 -1.2363 -1.1404 -1.0674
 -1.0107 -0.9662 -0.9303 -0.9002 -0.8740 -0.8511 -0.8317 -0.8162 -0.8053 -0.8015
 -0.8060
 -4.6864 -4.2920 -3.9220 -3.5905 -3.3063 -3.0656 -2.8583 -2.6731 -2.5045 -2.3554
 -2.2282 -2.1143 -2.0008 -1.8857 -1.7760 -1.5459 -1.3703 -1.2384 -1.1412 -1.0689
 -1.0144 -0.9729 -0.9411 -0.9154 -0.8935 -0.8742 -0.8575 -0.8434 -0.8323 -0.8265
 -0.8281
