 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.0468  0.9599  0.8736  0.7891  0.7063  0.6249  0.5441  0.4637  0.3831  0.3012
  0.2172
  1.9374  1.8935  1.8515  1.8120  1.7753  1.7415  1.7100  1.6796  1.6495  1.6193
  1.5894  1.5602  1.5315  1.5035  1.4774  1.4185  1.3560  1.2869  1.2116  1.1308
  1.0457  0.9579  0.8700  0.7839  0.7000  0.6180  0.5375  0.4580  0.3791  0.2997
  0.2198
  1.9650  1.9169  1.8711  1.8275  1.7869  1.7495  1.7155  1.6841  1.6542  1.6251
  1.5962  1.5677  1.5398  1.5127  1.4864  1.4242  1.3602  1.2896  1.2139  1.1333
  1.0485  0.9604  0.8711  0.7830  0.6973  0.6141  0.5329  0.4535  0.3754  0.2980
  0.2205
  1.9960  1.9469  1.8988  1.8521  1.8080  1.7672  1.7299  1.6958  1.6642  1.6342
  1.6051  1.5764  1.5481  1.5204  1.4936  1.4290  1.3648  1.2942  1.2177  1.1373
  1.0528  0.9650  0.8751  0.7853  0.6974  0.6122  0.5294  0.4491  0.3708  0.2938
  0.2177
  2.0264  1.9792  1.9309  1.8832  1.8373  1.7939  1.7533  1.7159  1.6813  1.6490
  1.6182  1.5883  1.5589  1.5300  1.4990  1.4329  1.3698  1.3007  1.2230
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  J   
  2.0151  1.9581  1.8998  1.8421  1.7864  1.7342  1.6869  1.6458  1.6126  1.5882
  1.5724  1.5625  1.5553  1.5477  1.5380  1.5023  1.4499  1.3832  1.3045
  2.0332  1.9771  1.9181  1.8585  1.7999  1.7440  1.6921  1.6457  1.6065  1.5758
  1.5542  1.5402  1.5303  1.5210  1.5101  1.4723  1.4198  1.3547  1.2790  1.1943
  2.0458  1.9941  1.9378  1.8790  1.8198  1.7620  1.7071  1.6566  1.6122  1.5755
  1.5475  1.5280  1.5146  1.5033  1.4913  1.4516  1.3983  1.3338  1.2597  1.1777
  1.0911
  2.0340  1.9945  1.9484  1.8961  1.8399  1.7828  1.7270  1.6743  1.6262  1.5844
  1.5503  1.5245  1.5062  1.4922  1.4788  1.4374  1.3832  1.3184  1.2451  1.1648
  1.0798  0.9933
  2.0000  1.9652  1.9361  1.8943  1.8451  1.7942  1.7424  1.6915  1.6431  1.5989
  1.5604  1.5288  1.5048  1.4868  1.4713  1.4279  1.3727  1.3075  1.2343  1.1548
  1.0709  0.9853  0.8997  0.8141
  1.9604  1.9273  1.9018  1.8728  1.8384  1.7970  1.7484  1.6973  1.6504  1.6088
  1.5715  1.5382  1.5097  1.4868  1.4682  1.4221  1.3659  1.3002  1.2267  1.1474
  1.0640  0.9788  0.8937  0.8092  0.7248  0.6403  0.5551  0.4684  0.3808  0.2957
  1.9340  1.9046  1.8757  1.8468  1.8165  1.7833  1.7464  1.7057  1.6614  1.6165
  1.5766  1.5440  1.5163  1.4915  1.4695  1.4195  1.3620  1.2957  1.2220  1.1426
  1.0593  0.9739  0.8885  0.8041  0.7206  0.6377  0.5546  0.4713  0.3867  0.3009
  0.2171
  1.9318  1.8976  1.8640  1.8316  1.8002  1.7687  1.7360  1.7014  1.6651  1.6280
  1.5908  1.5548  1.5231  1.4969  1.4738  1.4198  1.3607  1.2936  1.2197  1.1403
  1.0569  0.9710  0.8848  0.7997  0.7161  0.6337  0.5520  0.4706  0.3891  0.3064
  0.2221
  1.9397  1.9015  1.8639  1.8275  1.7929  1.7599  1.7280  1.6962  1.6638  1.6308
  1.5981  1.5663  1.5356  1.5065  1.4806  1.4227  1.3614  1.2932  1.2187  1.1392
  1.0556  0.9692  0.8817  0.7952  0.7105  0.6277  0.5462  0.4658  0.3859  0.3059
  0.2249
  1.9573  1.9149  1.8740  1.8340  1.7960  1.7602  1.7268  1.6951  1.6644  1.6338
  1.6034  1.5734  1.5444  1.5164  1.4896  1.4281  1.3651  1.2957  1.2208  1.1414
  1.0579  0.9712  0.8829  0.7948  0.7085  0.6245  0.5424  0.4621  0.3830  0.3046
  0.2263
  1.9815  1.9360  1.8919  1.8495  1.8084  1.7697  1.7337  1.7002  1.6689  1.6388
  1.6095  1.5803  1.5517  1.5238  1.4968  1.4329  1.3700  1.3001  1.2246  1.1450
  1.0618  0.9753  0.8865  0.7971  0.7090  0.6231  0.5396  0.4584  0.3791  0.3012
  0.2242
  2.0093  1.9627  1.9168  1.8725  1.8293  1.7881  1.7494  1.7134  1.6799  1.6485
  1.6186  1.5893  1.5605  1.5320  1.5022  1.4371  1.3761  1.3064  1.2301
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  J   
  2.0176  1.9612  1.9045  1.8489  1.7959  1.7466  1.7020  1.6629  1.6302  1.6047
  1.5862  1.5732  1.5631  1.5535  1.5425  1.5055  1.4528  1.3871  1.3105
  2.0413  1.9842  1.9253  1.8665  1.8094  1.7554  1.7057  1.6610  1.6227  1.5917
  1.5684  1.5518  1.5394  1.5282  1.5163  1.4771  1.4242  1.3596  1.2854  1.2026
  2.0619  2.0071  1.9489  1.8894  1.8305  1.7736  1.7199  1.6705  1.6268  1.5902
  1.5613  1.5400  1.5244  1.5114  1.4984  1.4577  1.4041  1.3397  1.2666  1.1863
  1.1003
  2.0697  2.0232  1.9699  1.9127  1.8542  1.7962  1.7403  1.6876  1.6396  1.5977
  1.5632  1.5364  1.5165  1.5009  1.4865  1.4442  1.3899  1.3253  1.2526  1.1736
  1.0896  1.0030
  2.0409  2.0120  1.9714  1.9244  1.8726  1.8176  1.7622  1.7084  1.6578  1.6120
  1.5724  1.5400  1.5149  1.4956  1.4791  1.4350  1.3799  1.3150  1.2424  1.1640
  1.0812  0.9958  0.9097  0.8234
  1.9913  1.9705  1.9456  1.9138  1.8732  1.8248  1.7734  1.7225  1.6739  1.6281
  1.5863  1.5497  1.5194  1.4955  1.4760  1.4293  1.3733  1.3080  1.2352  1.1569
  1.0747  0.9900  0.9046  0.8194  0.7343  0.6489  0.5626  0.4749  0.3866  0.3013
  1.9620  1.9368  1.9112  1.8843  1.8538  1.8185  1.7776  1.7308  1.6813  1.6351
  1.5950  1.5596  1.5281  1.5004  1.4771  1.4264  1.3694  1.3035  1.2306  1.1523
  1.0702  0.9857  0.9004  0.8154  0.7311  0.6471  0.5632  0.4787  0.3930  0.3068
  0.2230
  1.9513  1.9210  1.8911  1.8617  1.8320  1.8005  1.7663  1.7287  1.6880  1.6456
  1.6037  1.5657  1.5338  1.5065  1.4819  1.4263  1.3679  1.3014  1.2283  1.1499
  1.0678  0.9832  0.8974  0.8119  0.7275  0.6442  0.5614  0.4790  0.3963  0.3127
  0.2280
  1.9512  1.9176  1.8836  1.8503  1.8179  1.7860  1.7537  1.7202  1.6847  1.6482
  1.6117  1.5763  1.5431  1.5132  1.4872  1.4288  1.3682  1.3008  1.2271  1.1486
