 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F460M
 -0.4745 -0.5464 -0.6187 -0.6912 -0.7640 -0.9462 -1.1250 -1.2947 -1.4519 -1.5987
 -1.7373 -1.8714 -2.0055 -2.1389 -2.2684 -2.3928 -2.5124 -2.6274 -2.7384 -2.8457
 -2.9493
  0.0454 -0.0042 -0.0471 -0.0879 -0.1314 -0.1790 -0.2312 -0.2879 -0.3488 -0.4135
 -0.4809 -0.5499 -0.6196 -0.6898 -0.7602 -0.9364 -1.1111 -1.2815 -1.4424
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F460M
  0.1933  0.1342  0.0697  0.0022 -0.0646 -0.1302 -0.1998 -0.2689 -0.3298 -0.4025
 -0.4848 -0.5656 -0.6443 -0.7206 -0.7945 -0.9682 -1.1279 -1.2716 -1.4005
  0.2114  0.1452  0.0795  0.0067 -0.0689 -0.1426 -0.2170 -0.2904 -0.3542 -0.4334
 -0.5163 -0.5979 -0.6778 -0.7556 -0.8310 -1.0085 -1.1703 -1.3146 -1.4387 -1.5575
  0.2555  0.1683  0.0888  0.0190 -0.0594 -0.1403 -0.2195 -0.2971 -0.3695 -0.4432
 -0.5258 -0.6077 -0.6881 -0.7667 -0.8431 -1.0234 -1.1875 -1.3329 -1.4583 -1.5787
 -1.7041
  0.2567  0.1976  0.1192  0.0285 -0.0471 -0.1282 -0.2123 -0.2941 -0.3722 -0.4439
 -0.5249 -0.6065 -0.6870 -0.7659 -0.8429 -1.0253 -1.1917 -1.3399 -1.4696 -1.5931
 -1.7187 -1.8479
  0.2468  0.1937  0.1332  0.0585 -0.0310 -0.1179 -0.1996 -0.2843 -0.3668 -0.4434
 -0.5192 -0.5999 -0.6801 -0.7591 -0.8364 -1.0202 -1.1890 -1.3408 -1.4759 -1.6028
 -1.7291 -1.8573 -1.9897 -2.1212
  0.2335  0.1809  0.1260  0.0627 -0.0119 -0.0960 -0.1865 -0.2728 -0.3561 -0.4379
 -0.5131 -0.5910 -0.6705 -0.7492 -0.8266 -1.0116 -1.1825 -1.3380 -1.4784 -1.6089
 -1.7364 -1.8642 -1.9954 -2.1265 -2.2544 -2.3785 -2.4991 -2.6163 -2.7299 -2.8393
  0.2171  0.1659  0.1119  0.0535 -0.0123 -0.0871 -0.1682 -0.2539 -0.3421 -0.4271
 -0.5075 -0.5824 -0.6601 -0.7382 -0.8154 -1.0010 -1.1738 -1.3327 -1.4778 -1.6122
 -1.7413 -1.8693 -1.9994 -2.1300 -2.2574 -2.3808 -2.5006 -2.6169 -2.7295 -2.8385
 -2.9440
  0.1971  0.1486  0.0961  0.0398 -0.0219 -0.0899 -0.1642 -0.2431 -0.3249 -0.4085
 -0.4928 -0.5739 -0.6503 -0.7273 -0.8039 -0.9897 -1.1639 -1.3257 -1.4748 -1.6130
 -1.7441 -1.8726 -2.0022 -2.1324 -2.2596 -2.3827 -2.5020 -2.6175 -2.7294 -2.8379
 -2.9427
