 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -3.8506 -3.6858 -3.5282 -3.3744 -3.2241 -2.8809 -2.5881 -2.3278 -2.1089
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  B   
 -7.7105 -7.1912 -6.6721 -6.2138 -5.8118 -5.4539 -5.1592 -4.8979 -4.6624 -4.4435
 -4.2380 -4.0452 -3.8661 -3.7010 -3.5488 -3.2089 -2.8979 -2.5963 -2.3008
 -7.2824 -7.0339 -6.6023 -6.1471 -5.7323 -5.3573 -5.0413 -4.7696 -4.5237 -4.3007
 -4.0910 -3.8948 -3.7127 -3.5457 -3.3928 -3.0594 -2.7646 -2.4877 -2.2260 -1.9864
 -6.7907 -6.6271 -6.4732 -6.1160 -5.7112 -5.3303 -4.9890 -4.6998 -4.4456 -4.2167
 -4.0038 -3.8041 -3.6184 -3.4478 -3.2921 -2.9578 -2.6715 -2.4110 -2.1712 -1.9530
 -1.7615
 -6.6443 -6.2731 -6.0723 -5.9689 -5.6990 -5.3418 -4.9935 -4.6801 -4.4122 -4.1759
 -3.9597 -3.7568 -3.5672 -3.3921 -3.2321 -2.8917 -2.6085 -2.3582 -2.1337 -1.9321
 -1.7542 -1.6026
 -6.6054 -6.1798 -5.8430 -5.6144 -5.4855 -5.3177 -5.0205 -4.7055 -4.4172 -4.1682
 -3.9469 -3.7410 -3.5477 -3.3680 -3.2027 -2.8524 -2.5678 -2.3233 -2.1092 -1.9204
 -1.7541 -1.6113 -1.4905 -1.3869
 -6.6053 -6.1678 -5.7867 -5.4777 -5.2411 -5.0651 -4.9258 -4.7240 -4.4545 -4.1904
 -3.9575 -3.7481 -3.5515 -3.3674 -3.1967 -2.8337 -2.5438 -2.3015 -2.0944 -1.9151
 -1.7588 -1.6240 -1.5100 -1.4124 -1.3267 -1.2500 -1.1799 -1.1145 -1.0567 -1.0200
 -6.6289 -6.1909 -5.7929 -5.4488 -5.1628 -4.9306 -4.7340 -4.5673 -4.4127 -4.2175
 -3.9879 -3.7722 -3.5729 -3.3850 -3.2092 -2.8318 -2.5332 -2.2899 -2.0867 -1.9142
 -1.7660 -1.6386 -1.5309 -1.4395 -1.3600 -1.2890 -1.2247 -1.1661 -1.1123 -1.0660
 -1.0391
 -6.6603 -6.2337 -5.8310 -5.4670 -5.1521 -4.8881 -4.6656 -4.4680 -4.2879 -4.1254
 -3.9683 -3.7914 -3.6027 -3.4157 -3.2368 -2.8448 -2.5344 -2.2867 -2.0848 -1.9165
 -1.7743 -1.6532 -1.5514 -1.4659 -1.3926 -1.3276 -1.2693 -1.2165 -1.1681 -1.1243
 -1.0890
 -6.6939 -6.2770 -5.8816 -5.5100 -5.1766 -4.8877 -4.6427 -4.4315 -4.2401 -4.0607
 -3.8934 -3.7385 -3.5878 -3.4298 -3.2646 -2.8680 -2.5442 -2.2889 -2.0855 -1.9192
 -1.7810 -1.6650 -1.5683 -1.4885 -1.4215 -1.3630 -1.3108 -1.2633 -1.2200 -1.1812
 -1.1475
 -6.7262 -6.3261 -5.9426 -5.5736 -5.2304 -4.9233 -4.6565 -4.4273 -4.2272 -4.0443
 -3.8711 -3.7067 -3.5525 -3.4062 -3.2633 -2.9015 -2.5690 -2.3030 -2.0943 -1.9271
 -1.7902 -1.6771 -1.5841 -1.5088 -1.4474 -1.3953 -1.3497 -1.3085 -1.2707 -1.2367
 -1.2064
 -6.7571 -6.3605 -5.9949 -5.6397 -5.2984 -4.9816 -4.6975 -4.4492 -4.2337 -4.0435
 -3.8692 -3.7040 -3.5458 -3.3946 -3.2502 -2.9166 -2.6019 -2.3262 -2.1090 -1.9379
 -1.8001 -1.6878 -1.5969 -1.5246 -1.4676 -1.4215 -1.3827 -1.3483 -1.3170 -1.2885
 -1.2616
 -6.7978 -6.3849 -6.0285 -5.6922 -5.3649 -5.0510 -4.7585 -4.4947 -4.2620 -4.0582
 -3.8770 -3.7109 -3.5538 -3.4023 -3.2557 -2.9197 -2.6253 -2.3571 -2.1305
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  B   
 -7.5902 -7.0243 -6.5081 -6.0733 -5.6973 -5.3617 -5.0775 -4.8142 -4.5790 -4.3720
 -4.1753 -3.9906 -3.8189 -3.6602 -3.5136 -3.1887 -2.8957 -2.6123 -2.3332
 -7.2108 -6.9826 -6.4955 -6.0341 -5.6291 -5.2743 -4.9733 -4.7049 -4.4637 -4.2501
 -4.0495 -3.8618 -3.6872 -3.5261 -3.3782 -3.0565 -2.7745 -2.5096 -2.2568 -2.0208
 -6.8820 -6.7816 -6.4728 -6.0481 -5.6305 -5.2516 -4.9283 -4.6477 -4.4000 -4.1799
 -3.9761 -3.7852 -3.6073 -3.4428 -3.2918 -2.9670 -2.6900 -2.4368 -2.2014 -1.9849
 -1.7909
 -6.6451 -6.3412 -6.2434 -6.0276 -5.6613 -5.2837 -4.9366 -4.6357 -4.3762 -4.1473
 -3.9401 -3.7461 -3.5645 -3.3959 -3.2406 -2.9084 -2.6321 -2.3861 -2.1627 -1.9608
 -1.7804 -1.6234
 -6.6164 -6.1881 -5.8900 -5.7465 -5.6157 -5.3202 -4.9834 -4.6647 -4.3862 -4.1448
 -3.9316 -3.7344 -3.5492 -3.3763 -3.2161 -2.8733 -2.5938 -2.3517 -2.1366 -1.9457
 -1.7768 -1.6289 -1.5022 -1.3942
 -6.6492 -6.1826 -5.7971 -5.5098 -5.3202 -5.1969 -5.0046 -4.7181 -4.4291 -4.1700
 -3.9446 -3.7433 -3.5547 -3.3777 -3.2126 -2.8570 -2.5710 -2.3297 -2.1201 -1.9374
 -1.7779 -1.6384 -1.5184 -1.4158 -1.3274 -1.2490 -1.1767 -1.1087 -1.0509 -1.0137
 -6.7158 -6.2322 -5.8093 -5.4588 -5.1854 -4.9766 -4.8152 -4.6702 -4.4690 -4.2196
 -3.9797 -3.7685 -3.5765 -3.3959 -3.2264 -2.8568 -2.5610 -2.3176 -2.1111 -1.9343
 -1.7820 -1.6499 -1.5364 -1.4396 -1.3565 -1.2833 -1.2186 -1.1594 -1.1039 -1.0577
 -1.0303
 -6.8001 -6.3128 -5.8704 -5.4851 -5.1651 -4.9053 -4.6948 -4.5140 -4.3550 -4.2003
 -4.0160 -3.8079 -3.6113 -3.4277 -3.2543 -2.8712 -2.5630 -2.3143 -2.1083 -1.9350
 -1.7879 -1.6621 -1.5544 -1.4633 -1.3860 -1.3187 -1.2594 -1.2052 -1.1565 -1.1141
 -1.0787
 -6.8819 -6.4032 -5.9551 -5.5492 -5.1962 -4.9003 -4.6573 -4.4526 -4.2700 -4.1020
 -3.9468 -3.7952 -3.6319 -3.4607 -3.2894 -2.8957 -2.5740 -2.3169 -2.1087 -1.9368
 -1.7931 -1.6720 -1.5696 -1.4840 -1.4125 -1.3514 -1.2981 -1.2503 -1.2074 -1.1694
 -1.1360
 -6.9619 -6.4970 -6.0563 -5.6436 -5.2701 -4.9452 -4.6709 -4.4414 -4.2449 -4.0671
 -3.9006 -3.7444 -3.5979 -3.4554 -3.3095 -2.9348 -2.6002 -2.3321 -2.1181 -1.9447
 -1.8020 -1.6834 -1.5848 -1.5035 -1.4371 -1.3819 -1.3348 -1.2933 -1.2560 -1.2220
 -1.1933
 -7.0343 -6.5783 -6.1524 -5.7466 -5.3664 -5.0228 -4.7224 -4.4661 -4.2488 -4.0604
 -3.8893 -3.7285 -3.5761 -3.4322 -3.2944 -2.9614 -2.6366 -2.3565 -2.1339 -1.9563
 -1.8123 -1.6942 -1.5977 -1.5196 -1.4572 -1.4072 -1.3663 -1.3311 -1.3001 -1.2724
 -1.2462
 -7.1093 -6.6424 -6.2303 -5.8406 -5.4682 -5.1192 -4.8024 -4.5233 -4.2825 -4.0756
 -3.8947 -3.7307 -3.5767 -3.4300 -3.2893 -2.9640 -2.6661 -2.3899 -2.1570
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  B   
 -7.4343 -6.8606 -6.3651 -5.9567 -5.5942 -5.2748 -5.0059 -4.7548 -4.5216 -4.3209
