 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
 -0.5207 -0.5523 -0.5891 -0.6288 -0.6708 -0.7150 -0.7618 -0.8117 -0.8653 -0.9227
 -0.9796
 -1.1408 -0.9919 -0.8676 -0.7669 -0.6877 -0.6287 -0.5873 -0.5608 -0.5461 -0.5411
 -0.5446 -0.5534 -0.5620 -0.5656 -0.5627 -0.5334 -0.5024 -0.4871 -0.4870 -0.4999
 -0.5236 -0.5560 -0.5939 -0.6347 -0.6771 -0.7210 -0.7667 -0.8144 -0.8650 -0.9184
 -0.9761
 -1.1340 -0.9846 -0.8596 -0.7573 -0.6763 -0.6142 -0.5684 -0.5365 -0.5163 -0.5050
 -0.5003 -0.5009 -0.5060 -0.5143 -0.5221 -0.5212 -0.4978 -0.4850 -0.4861 -0.4996
 -0.5239 -0.5570 -0.5965 -0.6393 -0.6832 -0.7277 -0.7733 -0.8199 -0.8682 -0.9189
 -0.9728
 -1.1173 -0.9760 -0.8531 -0.7517 -0.6706 -0.6078 -0.5606 -0.5260 -0.5018 -0.4862
 -0.4770 -0.4725 -0.4709 -0.4719 -0.4756 -0.4892 -0.4883 -0.4796 -0.4820 -0.4958
 -0.5202 -0.5538 -0.5946 -0.6395 -0.6858 -0.7320 -0.7784 -0.8249 -0.8722 -0.9209
 -0.9715
 -1.0815 -0.9512 -0.8379 -0.7409 -0.6619 -0.6003 -0.5535 -0.5186 -0.4929 -0.4745
 -0.4619 -0.4539 -0.4491 -0.4465 -0.4453 -0.4511 -0.4630 -0.4693 -0.4747 -0.4892
 -0.5135 -0.5472 -0.5887 -0.6355 -0.6844 -0.7334 -0.7817 -0.8295 -0.8770 -0.9249
 -0.9736
 -1.0288 -0.9112 -0.8075 -0.7191 -0.6451 -0.5865 -0.5416 -0.5078 -0.4825 -0.4635
 -0.4493 -0.4391 -0.4321 -0.4275 -0.4312 -0.4069 -0.4219 -0.4541 -0.4642
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  I   
 -2.1232 -2.0536 -1.9849 -1.9061 -1.7835 -1.6189 -1.4229 -1.2045 -0.9915 -0.8562
 -0.7737 -0.7153 -0.6666 -0.6229 -0.5828 -0.5006 -0.4432 -0.4096 -0.3992
 -1.8886 -1.8084 -1.7376 -1.6660 -1.5818 -1.4718 -1.3185 -1.1201 -0.9503 -0.8352
 -0.7619 -0.7096 -0.6655 -0.6251 -0.5877 -0.5114 -0.4595 -0.4301 -0.4222 -0.4328
 -1.7011 -1.6059 -1.5279 -1.4587 -1.3886 -1.3063 -1.1966 -1.0495 -0.9136 -0.8146
 -0.7486 -0.7019 -0.6627 -0.6260 -0.5914 -0.5199 -0.4721 -0.4460 -0.4397 -0.4498
 -0.4732
 -1.5598 -1.4480 -1.3579 -1.2842 -1.2197 -1.1558 -1.0811 -0.9783 -0.8727 -0.7894
 -0.7313 -0.6903 -0.6566 -0.6245 -0.5931 -0.5262 -0.4817 -0.4581 -0.4532 -0.4632
 -0.4854 -0.5166
 -1.4371 -1.3232 -1.2257 -1.1448 -1.0780 -1.0210 -0.9671 -0.9011 -0.8241 -0.7573
 -0.7081 -0.6733 -0.6455 -0.6191 -0.5920 -0.5304 -0.4888 -0.4672 -0.4634 -0.4737
 -0.4952 -0.5255 -0.5617 -0.6021
 -1.3037 -1.1809 -1.0865 -1.0138 -0.9542 -0.9030 -0.8588 -0.8170 -0.7667 -0.7173
 -0.6782 -0.6500 -0.6285 -0.6086 -0.5869 -0.5321 -0.4934 -0.4737 -0.4708 -0.4816
 -0.5029 -0.5327 -0.5686 -0.6086 -0.6520 -0.6987 -0.7491 -0.8036 -0.8611 -0.9171
 -1.2485 -1.1044 -0.9866 -0.8944 -0.8245 -0.7737 -0.7389 -0.7156 -0.6934 -0.6670
 -0.6415 -0.6210 -0.6053 -0.5917 -0.5766 -0.5311 -0.4955 -0.4776 -0.4756 -0.4868
 -0.5084 -0.5381 -0.5742 -0.6143 -0.6572 -0.7026 -0.7509 -0.8020 -0.8567 -0.9145
 -0.9713
 -1.2291 -1.0756 -0.9467 -0.8411 -0.7578 -0.6943 -0.6479 -0.6162 -0.5968 -0.5856
 -0.5805 -0.5781 -0.5745 -0.5684 -0.5597 -0.5266 -0.4950 -0.4790 -0.4779 -0.4895
 -0.5114 -0.5415 -0.5781 -0.6188 -0.6622 -0.7073 -0.7543 -0.8034 -0.8551 -0.9098
 -0.9679
 -1.2220 -1.0644 -0.9300 -0.8185 -0.7285 -0.6581 -0.6051 -0.5671 -0.5414 -0.5251
 -0.5165 -0.5151 -0.5193 -0.5254 -0.5291 -0.5167 -0.4910 -0.4773 -0.4775 -0.4896
 -0.5121 -0.5429 -0.5805 -0.6227 -0.6671 -0.7127 -0.7596 -0.8077 -0.8574 -0.9094
 -0.9643
 -1.2218 -1.0629 -0.9255 -0.8107 -0.7172 -0.6433 -0.5865 -0.5443 -0.5146 -0.4948
 -0.4827 -0.4764 -0.4744 -0.4762 -0.4810 -0.4923 -0.4835 -0.4727 -0.4743 -0.4869
 -0.5096 -0.5409 -0.5792 -0.6228 -0.6690 -0.7160 -0.7635 -0.8114 -0.8601 -0.9104
 -0.9622
 -1.2113 -1.0577 -0.9229 -0.8067 -0.7118 -0.6360 -0.5775 -0.5332 -0.5008 -0.4779
 -0.4627 -0.4535 -0.4483 -0.4459 -0.4455 -0.4535 -0.4639 -0.4645 -0.4681 -0.4815
 -0.5043 -0.5358 -0.5748 -0.6195 -0.6675 -0.7167 -0.7659 -0.8148 -0.8636 -0.9130
 -0.9616
 -1.1905 -1.0404 -0.9115 -0.8000 -0.7056 -0.6295 -0.5702 -0.5251 -0.4915 -0.4670
 -0.4493 -0.4374 -0.4297 -0.4252 -0.4226 -0.4003 -0.4322 -0.4527 -0.4589
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  I   
 -2.3572 -2.3145 -2.2691 -2.2066 -2.0748 -1.8758 -1.6256 -1.3379 -1.0519 -0.8706
 -0.7680 -0.7036 -0.6552 -0.6136 -0.5759 -0.4974 -0.4418 -0.4081 -0.3967
 -2.1156 -2.0588 -2.0074 -1.9482 -1.8644 -1.7358 -1.5391 -1.2671 -1.0231 -0.8580
 -0.7603 -0.6992 -0.6541 -0.6153 -0.5798 -0.5062 -0.4554 -0.4259 -0.4164 -0.4247
 -1.9099 -1.8344 -1.7727 -1.7140 -1.6451 -1.5497 -1.4079 -1.2032 -0.9997 -0.8489
 -0.7538 -0.6942 -0.6516 -0.6155 -0.5824 -0.5130 -0.4658 -0.4394 -0.4322 -0.4408
 -0.4624
 -1.7457 -1.6488 -1.5719 -1.5076 -1.4459 -1.3743 -1.2773 -1.1329 -0.9706 -0.8366
 -0.7455 -0.6872 -0.6467 -0.6136 -0.5833 -0.5182 -0.4739 -0.4498 -0.4441 -0.4531
 -0.4738 -0.5039
 -1.6173 -1.5038 -1.4107 -1.3351 -1.2712 -1.2109 -1.1433 -1.0493 -0.9287 -0.8165
 -0.7327 -0.6768 -0.6386 -0.6088 -0.5816 -0.5216 -0.4799 -0.4577 -0.4531 -0.4626
 -0.4828 -0.5119 -0.5478 -0.5885
 -1.4631 -1.3623 -1.2743 -1.1955 -1.1267 -1.0670 -1.0124 -0.9523 -0.8716 -0.7848
 -0.7129 -0.6616 -0.6265 -0.6001 -0.5767 -0.5229 -0.4841 -0.4635 -0.4597 -0.4696
 -0.4897 -0.5181 -0.5534 -0.5936 -0.6378 -0.6856 -0.7374 -0.7936 -0.8523 -0.9092
 -1.3497 -1.2195 -1.1177 -1.0400 -0.9796 -0.9301 -0.8859 -0.8453 -0.7980 -0.7395
 -0.6836 -0.6401 -0.6092 -0.5868 -0.5677 -0.5217 -0.4860 -0.4673 -0.4642 -0.4743
 -0.4947 -0.5229 -0.5579 -0.5979 -0.6415 -0.6881 -0.7377 -0.7903 -0.8468 -0.9060
 -0.9636
 -1.3090 -1.1603 -1.0359 -0.9357 -0.8572 -0.7967 -0.7504 -0.7164 -0.6912 -0.6646
 -0.6357 -0.6083 -0.5855 -0.5680 -0.5535 -0.5173 -0.4855 -0.4687 -0.4666 -0.4770
 -0.4976 -0.5261 -0.5612 -0.6014 -0.6451 -0.6912 -0.7396 -0.7901 -0.8434 -0.9001
 -0.9596
 -1.2955 -1.1373 -1.0019 -0.8889 -0.7971 -0.7246 -0.6687 -0.6262 -0.5952 -0.5726
 -0.5559 -0.5457 -0.5404 -0.5364 -0.5311 -0.5084 -0.4820 -0.4674 -0.4666 -0.4776
 -0.4986 -0.5278 -0.5634 -0.6043 -0.6487 -0.6952 -0.7433 -0.7934 -0.8456 -0.8994
 -0.9547
 -1.2996 -1.1341 -0.9918 -0.8713 -0.7719 -0.6918 -0.6291 -0.5811 -0.5457 -0.5203
 -0.5022 -0.4906 -0.4852 -0.4851 -0.4881 -0.4909 -0.4754 -0.4636 -0.4641 -0.4757
 -0.4970 -0.5266 -0.5628 -0.6044 -0.6498 -0.6972 -0.7458 -0.7951 -0.8455 -0.8975
 -0.9510
 -1.3060 -1.1393 -0.9920 -0.8668 -0.7623 -0.6775 -0.6105 -0.5587 -0.5198 -0.4917
 -0.4722 -0.4592 -0.4513 -0.4474 -0.4468 -0.4552 -0.4612 -0.4565 -0.4589 -0.4713
 -0.4929 -0.5228 -0.5595 -0.6019 -0.6484 -0.6972 -0.7470 -0.7971 -0.8475 -0.8984
 -0.9485
 -1.3060 -1.1418 -0.9955 -0.8683 -0.7600 -0.6720 -0.6017 -0.5472 -0.5060 -0.4755
 -0.4537 -0.4389 -0.4294 -0.4237 -0.4072 -0.4013 -0.4394 -0.4461 -0.4510
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  I   
 -2.5337 -2.5239 -2.5332 -2.5160 -2.4274 -2.2316 -1.8998 -1.4647 -1.1186 -0.8924
 -0.7644 -0.6908 -0.6411 -0.6011 -0.5656 -0.4916 -0.4375 -0.4042 -0.3920
 -2.2985 -2.2773 -2.2523 -2.2186 -2.1499 -2.0143 -1.7767 -1.4260 -1.1064 -0.8885
 -0.7613 -0.6881 -0.6401 -0.6023 -0.5687 -0.4985 -0.4487 -0.4191 -0.4088 -0.4154
 -2.0872 -2.0406 -2.0055 -1.9686 -1.9121 -1.8132 -1.6439 -1.3794 -1.1019 -0.8925
 -0.7623 -0.6862 -0.6381 -0.6020 -0.5705 -0.5039 -0.4571 -0.4304 -0.4223 -0.4299
 -0.4501
 -1.9096 -1.8374 -1.7835 -1.7382 -1.6883 -1.6166 -1.5020 -1.3161 -1.0899 -0.8962
 -0.7646 -0.6845 -0.6350 -0.6000 -0.5705 -0.5081 -0.4638 -0.4391 -0.4325 -0.4408
 -0.4606 -0.4897
 -1.7680 -1.6713 -1.5958 -1.5361 -1.4838 -1.4267 -1.3494 -1.2286 -1.0597 -0.8920
 -0.7646 -0.6819 -0.6305 -0.5959 -0.5685 -0.5108 -0.4691 -0.4460 -0.4403 -0.4491
 -0.4686 -0.4967 -0.5321 -0.5729
 -1.6054 -1.5339 -1.4448 -1.3701 -1.3079 -1.2524 -1.1943 -1.1181 -1.0052 -0.8728
 -0.7581 -0.6765 -0.6239 -0.5894 -0.5638 -0.5117 -0.4728 -0.4513 -0.4463 -0.4552
 -0.4748 -0.5023 -0.5368 -0.5769 -0.6217 -0.6709 -0.7242 -0.7814 -0.8410 -0.8985
 -1.4594 -1.3580 -1.2817 -1.2177 -1.1581 -1.1016 -1.0485 -0.9953 -0.9263 -0.8341
 -0.7403 -0.6657 -0.6141 -0.5802 -0.5562 -0.5103 -0.4747 -0.4549 -0.4506 -0.4596
 -0.4792 -0.5066 -0.5405 -0.5800 -0.6239 -0.6713 -0.7220 -0.7764 -0.8346 -0.8947
 -0.9528
