 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -5.5995 -5.4581 -5.3252 -5.1976 -5.0626 -4.6319 -4.1528 -3.7280 -3.3640 -3.0590
 -2.8150 -2.6334 -2.5126 -2.4413 -2.4041 -2.3890 -2.3880 -2.3956 -2.4077 -2.4206
 -2.4335
 -8.3326 -7.9526 -7.5785 -7.2321 -6.9177 -6.6363 -6.3863 -6.1621 -5.9594 -5.7743
 -5.6034 -5.4434 -5.2914 -5.1459 -5.0050 -4.6389 -4.2024 -3.7710 -3.3988 -3.0834
 -2.8240 -2.6216 -2.4776 -2.3863 -2.3348 -2.3104 -2.3038 -2.3085 -2.3203 -2.3356
 -2.3518
 -8.2282 -7.8941 -7.5680 -7.2628 -6.9797 -6.7189 -6.4765 -6.2493 -6.0362 -5.8362
 -5.6482 -5.4711 -5.3029 -5.1419 -4.9867 -4.6203 -4.2422 -3.8319 -3.4514 -3.1258
 -2.8525 -2.6315 -2.4646 -2.3501 -2.2796 -2.2414 -2.2256 -2.2246 -2.2333 -2.2481
 -2.2658
 -8.0770 -7.7721 -7.4861 -7.2231 -6.9830 -6.7604 -6.5476 -6.3380 -6.1300 -5.9251
 -5.7260 -5.5346 -5.3514 -5.1762 -5.0077 -4.5761 -4.2722 -3.9107 -3.5218
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  u   
 -8.8076 -8.7123 -8.6099 -8.4921 -8.3584 -8.1771 -7.9142 -7.5715 -7.2453 -6.9722
 -6.7520 -6.5703 -6.4081 -6.2512 -6.0924 -5.6717 -5.2074 -4.7227 -4.2597
 -8.3526 -8.2484 -8.1449 -8.0335 -7.9068 -7.7528 -7.5408 -7.2808 -7.0221 -6.7887
 -6.5823 -6.3966 -6.2201 -6.0441 -5.8645 -5.3983 -4.9162 -4.4490 -4.0346 -3.6969
 -8.0114 -7.8747 -7.7552 -7.6406 -7.5202 -7.3853 -7.2164 -7.0138 -6.8039 -6.6014
 -6.4088 -6.2228 -6.0370 -5.8472 -5.6533 -5.1631 -4.6811 -4.2336 -3.8471 -3.5362
 -3.3062
 -7.8366 -7.6436 -7.4777 -7.3341 -7.2037 -7.0740 -6.9316 -6.7669 -6.5920 -6.4157
 -6.2394 -6.0607 -5.8750 -5.6802 -5.4793 -4.9785 -4.5019 -4.0682 -3.6989 -3.4038
 -3.1846 -3.0369
 -7.8114 -7.5361 -7.2902 -7.1161 -6.9730 -6.8377 -6.7019 -6.5579 -6.4053 -6.2483
 -6.0876 -5.9208 -5.7430 -5.5515 -5.3498 -4.8450 -4.3731 -3.9483 -3.5870 -3.2988
 -3.0830 -2.9365 -2.8459 -2.7928
 -7.9027 -7.5440 -7.2362 -6.9831 -6.7793 -6.6183 -6.4922 -6.3795 -6.2561 -6.1167
 -5.9671 -5.8101 -5.6430 -5.4609 -5.2639 -4.7586 -4.2884 -3.8682 -3.5086 -3.2201
 -3.0019 -2.8504 -2.7562 -2.7026 -2.6745 -2.6608 -2.6550 -2.6523 -2.6476 -2.6338
 -8.0782 -7.6581 -7.2927 -6.9819 -6.7239 -6.5119 -6.3375 -6.1930 -6.0742 -5.9719
 -5.8627 -5.7291 -5.5736 -5.4025 -5.2152 -4.7140 -4.2421 -3.8228 -3.4616 -3.1674
 -2.9414 -2.7800 -2.6768 -2.6176 -2.5873 -2.5744 -2.5714 -2.5729 -2.5754 -2.5745
 -2.5658
 -8.3005 -7.8343 -7.4200 -7.0623 -6.7597 -6.5071 -6.2962 -6.1183 -5.9658 -5.8332
 -5.7178 -5.6132 -5.4999 -5.3589 -5.1904 -4.7056 -4.2304 -3.8086 -3.4436 -3.1405
 -2.9026 -2.7270 -2.6099 -2.5403 -2.5038 -2.4881 -2.4850 -2.4889 -2.4954 -2.5017
 -2.5045
