 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  K   
  2.7157  2.6598  2.5953  2.5264  2.4555  2.2788  2.1089  1.9469  1.7926  1.6449
  1.5029  1.3657  1.2329  1.1040  0.9788  0.8570  0.7383  0.6225  0.5095  0.3993
  0.2931
  2.9013  2.8524  2.8070  2.7679  2.7384  2.7194  2.7085  2.7018  2.6943  2.6814
  2.6588  2.6237  2.5754  2.5164  2.4509  2.2786  2.1090  1.9465  1.7915  1.6434
  1.5014  1.3643  1.2320  1.1038  0.9795  0.8586  0.7410  0.6263  0.5145  0.4055
  0.2994
  2.9058  2.8572  2.8096  2.7644  2.7234  2.6886  2.6609  2.6386  2.6180  2.5958
  2.5708  2.5428  2.5113  2.4739  2.4285  2.2788  2.1118  1.9495  1.7942  1.6458
  1.5036  1.3667  1.2346  1.1069  0.9832  0.8631  0.7462  0.6325  0.5217  0.4138
  0.3086
  2.9023  2.8585  2.8130  2.7670  2.7221  2.6795  2.6403  2.6055  2.5738  2.5430
  2.5103  2.4751  2.4388  2.4024  2.3658  2.2593  2.1137  1.9531  1.7978  1.6491
  1.5068  1.3698  1.2379  1.1103  0.9869  0.8672  0.7507  0.6376  0.5275  0.4203
  0.3158
  2.8799  2.8467  2.8081  2.7667  2.7227  2.6782  2.6342  2.5918  2.5514  2.5127
  2.4745  2.4351  2.3941  2.3522  2.2628  2.2201  2.1147  1.9573  1.8023
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value =  K   
  3.3136  3.3273  3.3189  3.2907  3.2447  3.1827  3.1062  3.0191  2.9317  2.8459
  2.7622  2.6808  2.6020  2.5261  2.4530  2.2819  2.1226  1.9681  1.8130
  3.2454  3.2525  3.2495  3.2362  3.2082  3.1627  3.0982  3.0170  2.9318  2.8467
  2.7633  2.6817  2.6024  2.5255  2.4512  2.2764  2.1143  1.9596  1.8071  1.6564
  3.1710  3.1828  3.1871  3.1835  3.1677  3.1359  3.0838  3.0123  2.9312  2.8478
  2.7650  2.6835  2.6040  2.5267  2.4517  2.2742  2.1095  1.9537  1.8023  1.6535
  1.5074
  3.0961  3.1074  3.1169  3.1209  3.1155  3.0967  3.0598  3.0019  2.9282  2.8481
  2.7667  2.6857  2.6063  2.5288  2.4534  2.2742  2.1073  1.9502  1.7989  1.6514
  1.5073  1.3664
  3.0265  3.0337  3.0433  3.0512  3.0535  3.0458  3.0236  2.9818  2.9199  2.8459
  2.7672  2.6876  2.6087  2.5314  2.4558  2.2756  2.1070  1.9484  1.7969  1.6501
  1.5073  1.3681  1.2322  1.0993
  2.9656  2.9652  2.9708  2.9787  2.9849  2.9851  2.9749  2.9490  2.9026  2.8388
  2.7654  2.6884  2.6107  2.5338  2.4584  2.2777  2.1080  1.9481  1.7959  1.6494
  1.5075  1.3696  1.2353  1.1043  0.9765  0.8518  0.7297  0.6106  0.4959  0.3865
  2.9212  2.9017  2.9031  2.9074  2.9136  2.9178  2.9157  2.9027  2.8728  2.8232
  2.7588  2.6865  2.6113  2.5356  2.4607  2.2801  2.1097  1.9488  1.7959  1.6493
  1.5080  1.3710  1.2379  1.1084  0.9823  0.8593  0.7391  0.6217  0.5070  0.3967
  0.2913
  2.9002  2.8611  2.8373  2.8316  2.8372  2.8455  2.8487  2.8440  2.8279  2.7949
  2.7437  2.6797  2.6091  2.5360  2.4624  2.2825  2.1119  1.9503  1.7966  1.6499
  1.5087  1.3723  1.2401  1.1118  0.9871  0.8656  0.7470  0.6311  0.5179  0.4073
  0.3010
  2.9025  2.8550  2.8136  2.7824  2.7646  2.7585  2.7597  2.7620  2.7581  2.7419
  2.7092  2.6601  2.5992  2.5315  2.4608  2.2832  2.1125  1.9503  1.7959  1.6485
  1.5073  1.3710  1.2394  1.1118  0.9880  0.8677  0.7502  0.6357  0.5237  0.4144
  0.3078
  2.9087  2.8590  2.8119  2.7693  2.7338  2.7076  2.6901  2.6779  2.6668  2.6533
  2.6333  2.6034  2.5630  2.5124  2.4531  2.2854  2.1158  1.9535  1.7986  1.6509
  1.5095  1.3734  1.2421  1.1150  0.9920  0.8725  0.7560  0.6425  0.5317  0.4235
  0.3178
  2.9136  2.8653  2.8169  2.7703  2.7268  2.6879  2.6551  2.6282  2.6046  2.5808
  2.5540  2.5232  2.4886  2.4504  2.4080  2.2782  2.1190  1.9574  1.8024  1.6542
  1.5126  1.3764  1.2452  1.1185  0.9958  0.8768  0.7610  0.6482  0.5382  0.4308
  0.3260
  2.9107  2.8670  2.8215  2.7750  2.7290  2.6845  2.6427  2.6044  2.5696  2.5368
  2.5034  2.4673  2.4283  2.3875  2.3255  2.2616  2.1221  1.9620  1.8073
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value =  K   
  3.3620  3.3543  3.3304  3.2919  3.2405  3.1773  3.1037  3.0205  2.9309  2.8434
  2.7584  2.6757  2.5958  2.5188  2.4449  2.2729  2.1147  1.9628  1.8111
  3.2970  3.3010  3.2931  3.2731  3.2367  3.1825  3.1100  3.0227  2.9343  2.8473
  2.7624  2.6795  2.5990  2.5212  2.4460  2.2700  2.1085  1.9557  1.8062  1.6574
  3.2230  3.2337  3.2350  3.2263  3.2037  3.1637  3.1027  3.0232  2.9373  2.8512
  2.7665  2.6838  2.6031  2.5247  2.4489  2.2700  2.1055  1.9512  1.8021  1.6553
  1.5107
  3.1452  3.1582  3.1669  3.1678  3.1574  3.1317  3.0864  3.0193  2.9388  2.8546
  2.7707  2.6882  2.6075  2.5289  2.4526  2.2719  2.1049  1.9488  1.7994  1.6538
  1.5112  1.3713
  3.0696  3.0812  3.0926  3.0999  3.0994  3.0868  3.0576  3.0069  2.9364  2.8565
  2.7742  2.6925  2.6120  2.5333  2.4567  2.2749  2.1060  1.9480  1.7980  1.6529
  1.5114  1.3733  1.2383  1.1062
  3.0014  3.0072  3.0167  3.0263  3.0320  3.0296  3.0146  2.9816  2.9265  2.8548
  2.7761  2.6958  2.6161  2.5376  2.4610  2.2783  2.1081  1.9486  1.7977  1.6527
  1.5120  1.3751  1.2416  1.1112  0.9839  0.8594  0.7376  0.6187  0.5045  0.3949
  2.9439  2.9403  2.9433  2.9513  2.9594  2.9632  2.9587  2.9410  2.9042  2.8462
  2.7745  2.6975  2.6192  2.5415  2.4651  2.2820  2.1109  1.9502  1.7982  1.6529
  1.5127  1.3767  1.2445  1.1156  0.9900  0.8674  0.7476  0.6302  0.5156  0.4055
  0.2998
  2.9050  2.8810  2.8729  2.8776  2.8863  2.8919  2.8930  2.8860  2.8656  2.8256
  2.7663  2.6956  2.6204  2.5442  2.4685  2.2857  2.1140  1.9524  1.7994  1.6537
  1.5137  1.3782  1.2469  1.1192  0.9950  0.8740  0.7558  0.6402  0.5270  0.4164
  0.3100
  2.9019  2.8579  2.8245  2.8052  2.8020  2.8090  2.8171  2.8181  2.8084  2.7852
  2.7434  2.6846  2.6160  2.5432  2.4692  2.2874  2.1154  1.9531  1.7991  1.6527
  1.5124  1.3771  1.2463  1.1193  0.9962  0.8764  0.7595  0.6454  0.5336  0.4242
  0.3173
  2.9069  2.8581  2.8134  2.7759  2.7490  2.7340  2.7280  2.7264  2.7241  2.7148
  2.6925  2.6535  2.5998  2.5366  2.4681  2.2910  2.1192  1.9565  1.8021  1.6551
  1.5146  1.3795  1.2490  1.1227  1.0003  0.8815  0.7657  0.6527  0.5422  0.4340
  0.3281
  2.9144  2.8645  2.8162  2.7711  2.7312  2.6986  2.6743  2.6569  2.6422  2.6267
  2.6076  2.5809  2.5446  2.4991  2.4460  2.2907  2.1233  1.9607  1.8059  1.6584
  1.5175  1.3823  1.2520  1.1260  1.0041  0.8860  0.7709  0.6588  0.5493  0.4420
  0.3371
  2.9200  2.8718  2.8234  2.7758  2.7303  2.6882  2.6509  2.6191  2.5918  2.5662
  2.5391  2.5081  2.4728  2.4332  2.4029  2.2865  2.1277  1.9657  1.8105
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value =  K   
  3.4069  3.3880  3.3548  3.3086  3.2508  3.1827  3.1053  3.0194  2.9280  2.8390
  2.7526  2.6690  2.5880  2.5101  2.4353  2.2623  2.1047  1.9549  1.8073
  3.3457  3.3597  3.3497  3.3183  3.2676  3.1996  3.1167  3.0254  2.9347  2.8459
  2.7594  2.6756  2.5941  2.5153  2.4393  2.2620  2.1007  1.9494  1.8026  1.6567
  3.2727  3.2913  3.2790  3.2644  3.2343  3.1857  3.1166  3.0304  2.9410  2.8527
  2.7664  2.6825  2.6006  2.5213  2.4445  2.2642  2.0995  1.9464  1.7995  1.6551
  1.5126
  3.1928  3.2067  3.2137  3.2106  3.1942  3.1611  3.1072  3.0322  2.9463  2.8591
  2.7732  2.6891  2.6073  2.5276  2.4503  2.2680  2.1005  1.9452  1.7977  1.6541
  1.5133  1.3751
  3.1118  3.1270  3.1394  3.1452  3.1409  3.1225  3.0859  3.0268  2.9489  2.8643
  2.7794  2.6956  2.6139  2.5341  2.4564  2.2726  2.1031  1.9456  1.7971  1.6539
  1.5141  1.3774  1.2436  1.1124
  3.0362  3.0477  3.0607  3.0714  3.0758  3.0699  3.0495  3.0090  2.9455  2.8671
  2.7844  2.7016  2.6200  2.5404  2.4626  2.2777  2.1066  1.9473  1.7974  1.6541
  1.5150  1.3794  1.2470  1.1176  0.9912  0.8673  0.7458  0.6276  0.5139  0.4044
  2.9695  2.9740  2.9826  2.9938  3.0027  3.0055  2.9979  2.9749  2.9306  2.8646
  2.7870  2.7062  2.6256  2.5462  2.4685  2.2830  2.1106  1.9498  1.7986  1.6548
  1.5160  1.3812  1.2501  1.1221  0.9973  0.8754  0.7560  0.6390  0.5251  0.4153
  0.3096
  2.9155  2.9091  2.9101  2.9171  2.9261  2.9331  2.9338  2.9243  2.8986  2.8512
  2.7844  2.7083  2.6296  2.5511  2.4738  2.2881  2.1149  1.9530  1.8006  1.6559
  1.5172  1.3830  1.2527  1.1259  1.0024  0.8821  0.7645  0.6494  0.5366  0.4264
  0.3202
  2.8997  2.8623  2.8418  2.8381  2.8481  2.8588  2.8632  2.8599  2.8470  2.8186
  2.7694  2.7032  2.6291  2.5528  2.4764  2.2912  2.1173  1.9545  1.8009  1.6553
  1.5162  1.3820  1.2522  1.1262  1.0038  0.8847  0.7685  0.6550  0.5438  0.4346
  0.3279
  2.9024  2.8559  2.8155  2.7858  2.7707  2.7687  2.7746  2.7808  2.7791  2.7647
  2.7347  2.6856  2.6222  2.5519  2.4788  2.2960  2.1219  1.9585  1.8042  1.6579
  1.5184  1.3844  1.2550  1.1296  1.0080  0.8899  0.7749  0.6626  0.5528  0.4451
  0.3393
  2.9094  2.8601  2.8135  2.7715  2.7372  2.7133  2.6994  2.6921  2.6867  2.6794
  2.6646  2.6365  2.5922  2.5350  2.4707  2.2989  2.1268  1.9630  1.8082  1.6613
  1.5213  1.3871  1.2578  1.1328  1.0118  0.8944  0.7802  0.6689  0.5602  0.4535
  0.3489
  2.9176  2.8686  2.8198  2.7731  2.7298  2.6919  2.6610  2.6374  2.6186  2.6007
  2.5810  2.5567  2.5249  2.4837  2.4521  2.2999  2.1320  1.9680  1.8129
