 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -2.3559 -2.3268 -2.3102 -2.3009 -2.2946 -2.2892 -2.2845 -2.2801 -2.2766 -2.2749
 -2.2761
 -6.0825 -5.6222 -5.2175 -4.8513 -4.5237 -4.2396 -4.0011 -3.8033 -3.6378 -3.4964
 -3.3727 -3.2627 -3.1647 -3.0782 -3.0014 -2.8374 -2.6907 -2.5668 -2.4706 -2.4003
 -2.3524 -2.3227 -2.3073 -2.3014 -2.3003 -2.3007 -2.3014 -2.3019 -2.3022 -2.3030
 -2.3037
 -6.2763 -5.7927 -5.3792 -5.0081 -4.6704 -4.3675 -4.1028 -3.8782 -3.6904 -3.5325
 -3.3977 -3.2805 -3.1771 -3.0853 -3.0037 -2.8352 -2.6963 -2.5735 -2.4739
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  V   
 -6.0853 -5.6261 -5.2379 -4.9209 -4.6439 -4.3914 -4.1781 -3.9844 -3.8174 -3.6693
 -3.5291 -3.3990 -3.2801 -3.1726 -3.0757 -2.8738 -2.7148 -2.5837 -2.4715
 -5.8006 -5.5979 -5.2089 -4.8709 -4.5846 -4.3322 -4.1170 -3.9274 -3.7602 -3.6115
 -3.4727 -3.3445 -3.2274 -3.1216 -3.0269 -2.8329 -2.6835 -2.5625 -2.4613 -2.3765
 -5.5494 -5.4780 -5.2081 -4.8704 -4.5693 -4.3079 -4.0866 -3.8953 -3.7282 -3.5796
 -3.4426 -3.3160 -3.2002 -3.0954 -3.0016 -2.8106 -2.6657 -2.5504 -2.4558 -2.3776
 -2.3144
 -5.3678 -5.1343 -5.0639 -4.8781 -4.5861 -4.3159 -4.0822 -3.8835 -3.7131 -3.5636
 -3.4282 -3.3032 -3.1885 -3.0842 -2.9906 -2.7999 -2.6567 -2.5444 -2.4539 -2.3803
 -2.3215 -2.2745
 -5.3627 -5.0266 -4.7952 -4.6839 -4.5777 -4.3416 -4.1003 -3.8898 -3.7115 -3.5583
 -3.4233 -3.2998 -3.1860 -3.0823 -2.9886 -2.7970 -2.6533 -2.5422 -2.4542 -2.3838
 -2.3285 -2.2849 -2.2492 -2.2187
 -5.4269 -5.0399 -4.7386 -4.5148 -4.3647 -4.2690 -4.1211 -3.9144 -3.7244 -3.5628
 -3.4245 -3.3018 -3.1891 -3.0859 -2.9922 -2.7991 -2.6538 -2.5423 -2.4554 -2.3873
 -2.3347 -2.2942 -2.2618 -2.2345 -2.2112 -2.1928 -2.1807 -2.1758 -2.1784 -2.1862
 -5.5482 -5.1134 -4.7662 -4.4925 -4.2801 -4.1162 -3.9915 -3.8860 -3.7453 -3.5798
 -3.4325 -3.3075 -3.1955 -3.0929 -2.9994 -2.8047 -2.6570 -2.5439 -2.4568 -2.3901
 -2.3395 -2.3018 -2.2730 -2.2492 -2.2290 -2.2122 -2.1991 -2.1913 -2.1904 -2.1976
 -2.2105
 -5.7122 -5.2406 -4.8476 -4.5322 -4.2817 -4.0817 -3.9190 -3.7818 -3.6669 -3.5626
 -3.4445 -3.3174 -3.2045 -3.1023 -3.0088 -2.8128 -2.6626 -2.5468 -2.4584 -2.3918
 -2.3425 -2.3072 -2.2817 -2.2620 -2.2456 -2.2316 -2.2205 -2.2119 -2.2079 -2.2111
 -2.2229
 -5.8977 -5.4044 -4.9761 -4.6177 -4.3284 -4.0973 -3.9105 -3.7544 -3.6186 -3.4992
 -3.3952 -3.3002 -3.2048 -3.1097 -3.0177 -2.8209 -2.6685 -2.5497 -2.4589 -2.3914
 -2.3427 -2.3091 -2.2867 -2.2714 -2.2595 -2.2495 -2.2415 -2.2347 -2.2307 -2.2312
 -2.2374
 -6.1001 -5.5945 -5.1466 -4.7556 -4.4259 -4.1582 -3.9429 -3.7668 -3.6184 -3.4884
 -3.3724 -3.2696 -3.1788 -3.0978 -3.0194 -2.8318 -2.6774 -2.5557 -2.4615 -2.3916
 -2.3420 -2.3089 -2.2886 -2.2770 -2.2700 -2.2649 -2.2610 -2.2580 -2.2563 -2.2553
 -2.2598
 -6.3101 -5.7942 -5.3363 -4.9274 -4.5684 -4.2643 -4.0144 -3.8112 -3.6440 -3.5024
 -3.3788 -3.2689 -3.1708 -3.0842 -3.0075 -2.8384 -2.6872 -2.5629 -2.4652 -2.3920
 -2.3403 -2.3065 -2.2870 -2.2779 -2.2752 -2.2752 -2.2764 -2.2780 -2.2799 -2.2825
 -2.2850
 -6.5302 -5.9952 -5.5319 -5.1155 -4.7413 -4.4113 -4.1287 -3.8933 -3.6997 -3.5391
 -3.4032 -3.2854 -3.1814 -3.0889 -3.0069 -2.8376 -2.6959 -2.5714 -2.4705
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  V   
 -5.9169 -5.4809 -5.1299 -4.8442 -4.5818 -4.3427 -4.1411 -3.9555 -3.7869 -3.6411
 -3.5042 -3.3764 -3.2591 -3.1523 -3.0560 -2.8543 -2.6925 -2.5624 -2.4596
 -5.8412 -5.5022 -5.1237 -4.8082 -4.5397 -4.2965 -4.0918 -3.9054 -3.7378 -3.5916
 -3.4553 -3.3289 -3.2130 -3.1077 -3.0128 -2.8176 -2.6681 -2.5486 -2.4494 -2.3653
 -5.6859 -5.5057 -5.1563 -4.8188 -4.5311 -4.2802 -4.0646 -3.8781 -3.7116 -3.5645
 -3.4296 -3.3046 -3.1896 -3.0850 -2.9907 -2.7977 -2.6521 -2.5375 -2.4438 -2.3657
 -2.3016
 -5.4790 -5.2622 -5.1508 -4.8550 -4.5527 -4.2902 -4.0624 -3.8683 -3.7002 -3.5515
 -3.4177 -3.2940 -3.1800 -3.0758 -2.9816 -2.7885 -2.6440 -2.5319 -2.4417 -2.3676
 -2.3073 -2.2591
 -5.3608 -5.0460 -4.8863 -4.8150 -4.5870 -4.3185 -4.0805 -3.8752 -3.6999 -3.5483
