 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -1.8758 -1.8152 -1.7651 -1.7223 -1.6849 -1.6519 -1.6234 -1.5997 -1.5816 -1.5718
 -1.5719
 -6.9534 -6.3499 -5.8277 -5.3910 -5.0320 -4.7316 -4.4694 -4.2282 -3.9992 -3.7857
 -3.5849 -3.3902 -3.2027 -3.0311 -2.8793 -2.5744 -2.3441 -2.1718 -2.0461 -1.9525
 -1.8800 -1.8225 -1.7763 -1.7381 -1.7052 -1.6761 -1.6506 -1.6285 -1.6104 -1.5979
 -1.5939
 -7.0154 -6.3736 -5.7992 -5.3058 -4.8945 -4.5555 -4.2725 -4.0270 -3.8054 -3.6040
 -3.4265 -3.2747 -3.1405 -3.0116 -2.8823 -2.5882 -2.3556 -2.1784 -2.0483 -1.9531
 -1.8814 -1.8265 -1.7839 -1.7502 -1.7223 -1.6980 -1.6766 -1.6576 -1.6414 -1.6287
 -1.6215
 -7.1219 -6.4674 -5.8633 -5.3290 -4.8730 -4.4956 -4.1856 -3.9280 -3.7081 -3.5150
 -3.3442 -3.1948 -3.0663 -2.9551 -2.8534 -2.6023 -2.3718 -2.1900 -2.0543 -1.9553
 -1.8828 -1.8290 -1.7890 -1.7591 -1.7360 -1.7170 -1.7006 -1.6859 -1.6730 -1.6623
 -1.6546
 -7.2042 -6.5666 -5.9617 -5.4062 -4.9214 -4.5113 -4.1734 -3.8968 -3.6676 -3.4741
 -3.3067 -3.1604 -3.0316 -2.9185 -2.8184 -2.5994 -2.3883 -2.2038 -2.0625 -1.9585
 -1.8834 -1.8293 -1.7906 -1.7635 -1.7446 -1.7308 -1.7199 -1.7105 -1.7022 -1.6950
 -1.6893
 -7.2545 -6.6420 -6.0551 -5.5073 -5.0099 -4.5800 -4.2183 -3.9200 -3.6749 -3.4716
 -3.2998 -3.1517 -3.0219 -2.9070 -2.7773 -2.5795 -2.4051 -2.2198 -2.0729
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  g   
 -8.9526 -8.6262 -8.3411 -8.0932 -7.8519 -7.5162 -6.9018 -5.9626 -5.0683 -4.3619
 -3.8695 -3.5274 -3.2792 -3.0864 -2.9303 -2.6309 -2.4117 -2.2372 -2.0885
 -8.5872 -8.2189 -7.9029 -7.6346 -7.3859 -7.0777 -6.5362 -5.7435 -4.9410 -4.2837
 -3.8089 -3.4723 -3.2260 -3.0358 -2.8806 -2.5839 -2.3687 -2.2023 -2.0652 -1.9464
 -8.3405 -7.9259 -7.5659 -7.2585 -6.9878 -6.6965 -6.2486 -5.5910 -4.8845 -4.2686
