 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.9267 -2.0093 -2.0879 -2.1627 -2.2347 -2.4068 -2.5740 -2.7437 -2.9116
 -1.1509 -1.2480 -1.3368 -1.4176 -1.4926 -1.5646 -1.6406 -1.7215 -1.8049 -1.8891
 -1.9718 -2.0521 -2.1295 -2.2042 -2.2767 -2.4503 -2.6187 -2.7899 -2.9559 -3.1158
 -1.1759 -1.2792 -1.3743 -1.4607 -1.5387 -1.6103 -1.6825 -1.7594 -1.8388 -1.9194
 -1.9992 -2.0774 -2.1535 -2.2277 -2.3004 -2.4756 -2.6473 -2.8187 -2.9839 -3.1423
 -3.2949
 -1.1795 -1.2900 -1.3921 -1.4852 -1.5687 -1.6432 -1.7133 -1.7871 -1.8637 -1.9414
 -2.0187 -2.0948 -2.1691 -2.2423 -2.3147 -2.4914 -2.6654 -2.8369 -3.0020 -3.1596
 -3.3114 -3.4575
 -1.1512 -1.2697 -1.3832 -1.4884 -1.5830 -1.6658 -1.7381 -1.8098 -1.8842 -1.9597
 -2.0350 -2.1090 -2.1814 -2.2528 -2.3242 -2.5017 -2.6771 -2.8487 -3.0136 -3.1712
 -3.3222 -3.4679 -3.6076 -3.7416
 -1.1260 -1.2378 -1.3485 -1.4574 -1.5625 -1.6611 -1.7482 -1.8250 -1.9002 -1.9753
 -2.0497 -2.1225 -2.1931 -2.2624 -2.3318 -2.5084 -2.6848 -2.8565 -3.0214 -3.1789
 -3.3296 -3.4746 -3.6141 -3.7479 -3.8766 -4.0011 -4.1220 -4.2397 -4.3540 -4.4643
 -1.1162 -1.2226 -1.3272 -1.4306 -1.5327 -1.6317 -1.7252 -1.8122 -1.8957 -1.9773
 -2.0562 -2.1318 -2.2039 -2.2725 -2.3397 -2.5131 -2.6898 -2.8618 -3.0266 -3.1841
 -3.3346 -3.4790 -3.6182 -3.7520 -3.8805 -4.0045 -4.1246 -4.2413 -4.3549 -4.4649
 -4.5709
 -1.1156 -1.2191 -1.3195 -1.4181 -1.5158 -1.6121 -1.7054 -1.7937 -1.8775 -1.9590
 -2.0406 -2.1220 -2.2014 -2.2765 -2.3470 -2.5171 -2.6931 -2.8654 -3.0301 -3.1875
 -3.3379 -3.4819 -3.6207 -3.7544 -3.8831 -4.0069 -4.1266 -4.2426 -4.3553 -4.4646
 -4.5703
 -1.1198 -1.2223 -1.3206 -1.4162 -1.5102 -1.6033 -1.6949 -1.7835 -1.8684 -1.9491
 -2.0271 -2.1045 -2.1830 -2.2623 -2.3406 -2.5231 -2.6976 -2.8701 -3.0352 -3.1925
 -3.3427 -3.4866 -3.6250 -3.7588 -3.8877 -4.0117 -4.1314 -4.2470 -4.3591 -4.4680
 -4.5734
 -1.1208 -1.2242 -1.3220 -1.4163 -1.5081 -1.5985 -1.6877 -1.7752 -1.8604 -1.9421
 -2.0202 -2.0953 -2.1692 -2.2437 -2.3202 -2.5154 -2.6988 -2.8709 -3.0360 -3.1933
 -3.3433 -3.4870 -3.6251 -3.7588 -3.8879 -4.0122 -4.1320 -4.2476 -4.3592 -4.4675
 -4.5725
 -1.1207 -1.2241 -1.3228 -1.4167 -1.5078 -1.5969 -1.6843 -1.7701 -1.8544 -1.9363
 -2.0154 -2.0912 -2.1642 -2.2357 -2.3077 -2.4969 -2.6923 -2.8710 -3.0363 -3.1935
 -3.3434 -3.4869 -3.6249 -3.7583 -3.8876 -4.0123 -4.1325 -4.2482 -4.3598 -4.4679
 -4.5725
 -1.1226 -1.2239 -1.3218 -1.4162 -1.5071 -1.5958 -1.6824 -1.7671 -1.8501 -1.9314
 -2.0106 -2.0874 -2.1615 -2.2332 -2.3031 -2.4676 -2.6781 -2.8704 -3.0361
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =F1000W
 -1.0865 -1.1731 -1.2530 -1.3284 -1.4021 -1.4781 -1.5602 -1.6497 -1.7418 -1.8335
 -1.9227 -2.0082 -2.0891 -2.1654 -2.2377 -2.4078 -2.5719 -2.7382 -2.9060
 -1.1421 -1.2372 -1.3242 -1.4038 -1.4784 -1.5504 -1.6255 -1.7066 -1.7922 -1.8797
 -1.9663 -2.0504 -2.1307 -2.2072 -2.2801 -2.4522 -2.6167 -2.7859 -2.9521 -3.1116
 -1.1714 -1.2727 -1.3657 -1.4501 -1.5266 -1.5971 -1.6676 -1.7434 -1.8237 -1.9071
 -1.9911 -2.0737 -2.1535 -2.2301 -2.3037 -2.4779 -2.6452 -2.8154 -2.9810 -3.1395
 -3.2917
 -1.1830 -1.2899 -1.3887 -1.4787 -1.5595 -1.6316 -1.6993 -1.7709 -1.8469 -1.9263
 -2.0073 -2.0881 -2.1670 -2.2435 -2.3175 -2.4937 -2.6637 -2.8340 -2.9995 -3.1576
 -3.3090 -3.4548
 -1.1700 -1.2861 -1.3938 -1.4922 -1.5804 -1.6579 -1.7261 -1.7944 -1.8669 -1.9427
 -2.0204 -2.0988 -2.1763 -2.2521 -2.3261 -2.5038 -2.6757 -2.8461 -3.0113 -3.1695
 -3.3204 -3.4655 -3.6050 -3.7389
 -1.1356 -1.2518 -1.3664 -1.4767 -1.5792 -1.6702 -1.7469 -1.8154 -1.8856 -1.9586
 -2.0334 -2.1091 -2.1845 -2.2589 -2.3321 -2.5104 -2.6838 -2.8544 -3.0192 -3.1773
 -3.3280 -3.4725 -3.6116 -3.7452 -3.8737 -3.9981 -4.1191 -4.2370 -4.3517 -4.4624
 -1.1180 -1.2271 -1.3349 -1.4417 -1.5462 -1.6464 -1.7388 -1.8201 -1.8960 -1.9709
 -2.0455 -2.1199 -2.1935 -2.2661 -2.3377 -2.5147 -2.6892 -2.8600 -3.0246 -3.1825
 -3.3331 -3.4772 -3.6158 -3.7491 -3.8775 -4.0013 -4.1215 -4.2384 -4.3522 -4.4627
 -4.5693
