 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -1.5619 -1.4280 -1.3098 -1.1981 -1.0906 -0.9869 -0.8876 -0.7940 -0.7069 -0.6267
 -0.5536 -0.4878 -0.4292 -0.3779 -0.3335 -0.2413 -0.1568 -0.0807 -0.0216  0.0194
  0.0447  0.0565  0.0575  0.0508  0.0402  0.0283  0.0159  0.0038 -0.0080 -0.0200
 -0.0319
 -1.5693 -1.4192 -1.2951 -1.1832 -1.0780 -0.9782 -0.8830 -0.7924 -0.7072 -0.6275
 -0.5537 -0.4861 -0.4247 -0.3697 -0.3211 -0.2228 -0.1445 -0.0750 -0.0176
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  G   
 -2.2483 -2.0083 -1.7857 -1.5938 -1.4205 -1.2614 -1.1332 -1.0204 -0.9240 -0.8351
 -0.7497 -0.6687 -0.5925 -0.5211 -0.4541 -0.3061 -0.1848 -0.0876 -0.0113
 -2.0858 -2.0176 -1.7960 -1.5883 -1.4060 -1.2435 -1.1091 -0.9951 -0.8960 -0.8061
 -0.7215 -0.6418 -0.5668 -0.4964 -0.4306 -0.2869 -0.1715 -0.0809 -0.0114  0.0412
 -1.9269 -1.9330 -1.8005 -1.6006 -1.4103 -1.2404 -1.0982 -0.9788 -0.8775 -0.7868
 -0.7034 -0.6252 -0.5515 -0.4823 -0.4175 -0.2766 -0.1646 -0.0779 -0.0124  0.0369
  0.0739
 -1.7959 -1.6858 -1.6819 -1.5980 -1.4247 -1.2528 -1.1006 -0.9727 -0.8662 -0.7739
 -0.6912 -0.6143 -0.5420 -0.4741 -0.4104 -0.2716 -0.1615 -0.0771 -0.0142  0.0327
  0.0673  0.0930
 -1.7629 -1.5973 -1.4763 -1.4350 -1.4006 -1.2664 -1.1143 -0.9774 -0.8626 -0.7663
 -0.6826 -0.6067 -0.5357 -0.4691 -0.4065 -0.2695 -0.1607 -0.0777 -0.0165  0.0285
  0.0611  0.0847  0.1024  0.1159
 -1.7462 -1.5763 -1.4215 -1.2978 -1.2212 -1.1871 -1.1160 -0.9910 -0.8688 -0.7647
 -0.6771 -0.6010 -0.5310 -0.4655 -0.4040 -0.2690 -0.1611 -0.0789 -0.0186  0.0249
  0.0557  0.0772  0.0926  0.1039  0.1119  0.1163  0.1169  0.1133  0.1047  0.0912
 -1.7315 -1.5679 -1.4102 -1.2668 -1.1460 -1.0537 -0.9913 -0.9455 -0.8722 -0.7710
 -0.6764 -0.5969 -0.5272 -0.4626 -0.4022 -0.2689 -0.1618 -0.0800 -0.0202  0.0223
  0.0517  0.0712  0.0838  0.0924  0.0980  0.1010  0.1011  0.0978  0.0906  0.0780
  0.0601
 -1.7182 -1.5607 -1.4078 -1.2628 -1.1307 -1.0159 -0.9206 -0.8435 -0.7843 -0.7341
 -0.6716 -0.5951 -0.5241 -0.4600 -0.4004 -0.2689 -0.1624 -0.0807 -0.0208  0.0212
  0.0495  0.0671  0.0770  0.0823  0.0848  0.0853  0.0834  0.0799  0.0733  0.0622
  0.0454
 -1.7044 -1.5512 -1.4041 -1.2627 -1.1298 -1.0088 -0.9017 -0.8091 -0.7296 -0.6621
 -0.6065 -0.5579 -0.5065 -0.4520 -0.3962 -0.2673 -0.1616 -0.0797 -0.0197  0.0223
  0.0497  0.0657  0.0730  0.0748  0.0735  0.0705  0.0659  0.0603  0.0528  0.0423
  0.0282
 -1.6972 -1.5442 -1.4011 -1.2646 -1.1345 -1.0132 -0.9025 -0.8032 -0.7155 -0.6381
 -0.5701 -0.5114 -0.4613 -0.4175 -0.3755 -0.2651 -0.1615 -0.0794 -0.0186  0.0241
  0.0516  0.0668  0.0722  0.0707  0.0655  0.0584  0.0502  0.0412  0.0314  0.0208
  0.0071
 -1.7003 -1.5415 -1.3988 -1.2651 -1.1387 -1.0197 -0.9090 -0.8076 -0.7160 -0.6338
 -0.5603 -0.4949 -0.4370 -0.3868 -0.3435 -0.2499 -0.1590 -0.0783 -0.0166  0.0270
  0.0552  0.0703  0.0747  0.0709  0.0620  0.0506  0.0381  0.0251  0.0120 -0.0016
 -0.0150
 -1.7191 -1.5473 -1.4003 -1.2665 -1.1419 -1.0253 -0.9164 -0.8153 -0.7226 -0.6380
 -0.5614 -0.4924 -0.4305 -0.3753 -0.3267 -0.2293 -0.1487 -0.0752 -0.0141
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.1853 -1.9456 -1.7345 -1.5545 -1.3843 -1.2309 -1.1092 -1.0010 -0.9023 -0.8147
 -0.7314 -0.6523 -0.5780 -0.5082 -0.4431 -0.2985 -0.1793 -0.0828 -0.0056
 -2.1415 -1.9777 -1.7517 -1.5512 -1.3761 -1.2169 -1.0891 -0.9768 -0.8771 -0.7888
 -0.7061 -0.6281 -0.5549 -0.4862 -0.4218 -0.2806 -0.1660 -0.0750 -0.0046  0.0493
