 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -0.8757 -0.8603 -0.8545 -0.8557 -0.8610 -0.8682 -0.8761 -0.8842 -0.8928 -0.9026
 -0.9137
 -2.5296 -2.3982 -2.2691 -2.1409 -2.0174 -1.8998 -1.7913 -1.6934 -1.6064 -1.5289
 -1.4592 -1.3959 -1.3385 -1.2872 -1.2423 -1.1547 -1.0769 -1.0017 -0.9425 -0.9006
 -0.8732 -0.8581 -0.8532 -0.8564 -0.8650 -0.8761 -0.8884 -0.9006 -0.9127 -0.9250
 -0.9399
 -2.5069 -2.3813 -2.2621 -2.1429 -2.0232 -1.9069 -1.7965 -1.6946 -1.6030 -1.5215
 -1.4489 -1.3842 -1.3260 -1.2738 -1.2210 -1.1127 -1.0635 -0.9988 -0.9394
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F350LP
 -3.4855 -3.4592 -3.4249 -3.3746 -3.2752 -3.1181 -2.9032 -2.6306 -2.3215 -2.0546
 -1.8427 -1.6783 -1.5515 -1.4516 -1.3697 -1.2111 -1.0914 -0.9974 -0.9227
 -3.2678 -3.2304 -3.1927 -3.1462 -3.0795 -2.9760 -2.8086 -2.5496 -2.2756 -2.0273
 -1.8226 -1.6605 -1.5341 -1.4344 -1.3532 -1.1980 -1.0822 -0.9930 -0.9239 -0.8705
 -3.0808 -3.0291 -2.9835 -2.9371 -2.8814 -2.8035 -2.6799 -2.4773 -2.2424 -2.0158
 -1.8190 -1.6579 -1.5299 -1.4283 -1.3462 -1.1916 -1.0781 -0.9916 -0.9259 -0.8756
 -0.8372
 -2.9312 -2.8623 -2.8043 -2.7523 -2.6999 -2.6381 -2.5507 -2.4011 -2.2072 -2.0056
 -1.8207 -1.6627 -1.5332 -1.4291 -1.3450 -1.1895 -1.0770 -0.9922 -0.9287 -0.8806
 -0.8441 -0.8167
 -2.8176 -2.7324 -2.6601 -2.5977 -2.5408 -2.4839 -2.4174 -2.3137 -2.1613 -1.9887
 -1.8199 -1.6687 -1.5401 -1.4341 -1.3476 -1.1898 -1.0777 -0.9939 -0.9317 -0.8854
 -0.8506 -0.8250 -0.8063 -0.7926
 -2.6966 -2.6127 -2.5389 -2.4712 -2.4085 -2.3487 -2.2878 -2.2139 -2.1010 -1.9594
 -1.8111 -1.6709 -1.5465 -1.4406 -1.3524 -1.1915 -1.0794 -0.9960 -0.9346 -0.8896
 -0.8565 -0.8325 -0.8159 -0.8045 -0.7969 -0.7926 -0.7918 -0.7946 -0.8017 -0.8132
 -2.6143 -2.4975 -2.4030 -2.3289 -2.2693 -2.2167 -2.1631 -2.1030 -2.0237 -1.9149
 -1.7904 -1.6654 -1.5491 -1.4463 -1.3579 -1.1940 -1.0813 -0.9982 -0.9371 -0.8930
 -0.8613 -0.8391 -0.8246 -0.8156 -0.8104 -0.8079 -0.8081 -0.8109 -0.8172 -0.8282
 -0.8438
 -2.5889 -2.4532 -2.3325 -2.2299 -2.1455 -2.0762 -2.0168 -1.9621 -1.9032 -1.8297
 -1.7409 -1.6426 -1.5424 -1.4476 -1.3621 -1.1968 -1.0830 -0.9998 -0.9389 -0.8952
 -0.8647 -0.8441 -0.8318 -0.8255 -0.8231 -0.8232 -0.8254 -0.8293 -0.8356 -0.8454
 -0.8604
 -2.5849 -2.4417 -2.3088 -2.1881 -2.0822 -1.9918 -1.9145 -1.8454 -1.7792 -1.7096
 -1.6363 -1.5645 -1.4949 -1.4254 -1.3555 -1.1981 -1.0834 -1.0000 -0.9391 -0.8956
 -0.8659 -0.8469 -0.8366 -0.8330 -0.8339 -0.8372 -0.8423 -0.8492 -0.8577 -0.8676
 -0.8789
 -2.5936 -2.4480 -2.3107 -2.1815 -2.0625 -1.9557 -1.8619 -1.7794 -1.7045 -1.6325
 -1.5600 -1.4893 -1.4244 -1.3676 -1.3167 -1.1958 -1.0846 -1.0006 -0.9393 -0.8955
 -0.8660 -0.8479 -0.8391 -0.8377 -0.8416 -0.8484 -0.8570 -0.8663 -0.8763 -0.8877
 -0.9004
 -2.6001 -2.4587 -2.3214 -2.1905 -2.0657 -1.9494 -1.8434 -1.7488 -1.6643 -1.5877
 -1.5158 -1.4473 -1.3828 -1.3244 -1.2736 -1.1731 -1.0825 -1.0003 -0.9385 -0.8942
 -0.8645 -0.8467 -0.8389 -0.8391 -0.8455 -0.8557 -0.8680 -0.8811 -0.8945 -0.9082
 -0.9249
 -2.5950 -2.4613 -2.3304 -2.2024 -2.0769 -1.9575 -1.8451 -1.7421 -1.6494 -1.5665
 -1.4918 -1.4235 -1.3606 -1.3028 -1.2262 -1.1300 -1.0771 -0.9991 -0.9367
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F350LP
 -3.6615 -3.6590 -3.6713 -3.6591 -3.5838 -3.4145 -3.1264 -2.7419 -2.4000 -2.1111
 -1.8788 -1.6993 -1.5612 -1.4533 -1.3668 -1.2051 -1.0853 -0.9923 -0.9183
 -3.4415 -3.4302 -3.4112 -3.3816 -3.3231 -3.2106 -3.0107 -2.6947 -2.3734 -2.0945
 -1.8665 -1.6874 -1.5485 -1.4402 -1.3534 -1.1935 -1.0771 -0.9878 -0.9187 -0.8648
 -3.2421 -3.2123 -3.1860 -3.1549 -3.1076 -3.0265 -2.8834 -2.6410 -2.3593 -2.0961
 -1.8725 -1.6920 -1.5497 -1.4382 -1.3494 -1.1884 -1.0734 -0.9863 -0.9200 -0.8690
 -0.8297
 -3.0735 -3.0243 -2.9840 -2.9464 -2.9037 -2.8440 -2.7469 -2.5733 -2.3404 -2.1011
 -1.8857 -1.7051 -1.5594 -1.4437 -1.3515 -1.1874 -1.0727 -0.9867 -0.9222 -0.8732
 -0.8358 -0.8074
