 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F277W
 -0.7192 -0.8616 -0.9986 -1.1308 -1.2587 -1.3829 -1.5039 -1.6214 -1.7352 -1.8450
  0.8741  0.8784  0.8653  0.8362  0.7949  0.7466  0.6953  0.6442  0.5962  0.5520
  0.5030  0.4433  0.3777  0.3095  0.2399  0.0639 -0.1078 -0.2701 -0.4243 -0.5740
 -0.7208 -0.8631 -0.9999 -1.1315 -1.2585 -1.3816 -1.5012 -1.6174 -1.7303 -1.8400
 -1.9440
  0.8048  0.8170  0.8150  0.7965  0.7639  0.7205  0.6704  0.6167  0.5617  0.5079
  0.4574  0.4095  0.3594  0.3028  0.2394  0.0673 -0.1045 -0.2683 -0.4240 -0.5742
 -0.7207 -0.8632 -1.0002 -1.1317 -1.2583 -1.3806 -1.4992 -1.6143 -1.7261 -1.8348
 -1.9405
  0.7267  0.7444  0.7512  0.7440  0.7222  0.6876  0.6435  0.5931  0.5387  0.4823
  0.4260  0.3712  0.3190  0.2687  0.2168  0.0663 -0.1032 -0.2678 -0.4246 -0.5753
 -0.7217 -0.8643 -1.0019 -1.1340 -1.2607 -1.3828 -1.5009 -1.6152 -1.7262 -1.8340
 -1.9388
  0.6431  0.6626  0.6756  0.6780  0.6677  0.6442  0.6094  0.5659  0.5163  0.4626
  0.4066  0.3497  0.2932  0.2384  0.1851  0.0503 -0.1017 -0.2645 -0.4217 -0.5725
 -0.7184 -0.8606 -0.9986 -1.1315 -1.2589 -1.3812 -1.4990 -1.6129 -1.7231 -1.8300
 -1.9339
  0.5577  0.5760  0.5918  0.6004  0.5992  0.5867  0.5629  0.5288  0.4867  0.4387
  0.3867  0.3319  0.2757  0.2192  0.1632  0.0265 -0.1131 -0.2636 -0.4190 -0.5694
 -0.7146 -0.8560 -0.9936 -1.1271 -1.2555 -1.3786 -1.4969 -1.6107 -1.7207 -1.8272
 -1.9303
  0.4736  0.4881  0.5033  0.5153  0.5199  0.5159  0.5021  0.4785  0.4458  0.4057
  0.3600  0.3101  0.2573  0.2026  0.1470  0.0077 -0.1298 -0.2709 -0.4183
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F277W
  0.9909  0.9814  0.9617  0.9334  0.9002  0.8607  0.8067  0.7441  0.6768  0.6080
  0.5384  0.4688  0.3993  0.3298  0.2605  0.0901 -0.0729 -0.2281 -0.3763
  1.0196  1.0101  0.9824  0.9429  0.8969  0.8487  0.7924  0.7291  0.6622  0.5932
  0.5234  0.4533  0.3829  0.3124  0.2421  0.0697 -0.0935 -0.2465 -0.3930 -0.5419
  1.0346  1.0125  0.9959  0.9568  0.9034  0.8451  0.7852  0.7212  0.6543  0.5858
  0.5163  0.4462  0.3757  0.3048  0.2339  0.0597 -0.1052 -0.2588 -0.4049 -0.5522
 -0.7007
  1.0219  0.9998  0.9737  0.9508  0.9111  0.8501  0.7840  0.7178  0.6504  0.5822
  0.5132  0.4434  0.3732  0.3025  0.2316  0.0561 -0.1109 -0.2664 -0.4135 -0.5599
 -0.7069 -0.8505
  0.9992  0.9796  0.9463  0.9112  0.8804  0.8470  0.7882  0.7189  0.6493  0.5805
  0.5119  0.4428  0.3732  0.3030  0.2324  0.0565 -0.1124 -0.2703 -0.4191 -0.5654
 -0.7113 -0.8540 -0.9917 -1.1250
  0.9652  0.9532  0.9236  0.8821  0.8380  0.7974  0.7607  0.7159  0.6511  0.5805
  0.5114  0.4429  0.3740  0.3046  0.2346  0.0592 -0.1111 -0.2713 -0.4223 -0.5690
 -0.7142 -0.8562 -0.9933 -1.1256 -1.2540 -1.3787 -1.4999 -1.6177 -1.7319 -1.8415
  0.9190  0.9161  0.8955  0.8589  0.8125  0.7623  0.7130  0.6673  0.6243  0.5745
  0.5106  0.4428  0.3749  0.3064  0.2373  0.0630 -0.1080 -0.2702 -0.4233 -0.5708
 -0.7157 -0.8572 -0.9940 -1.1258 -1.2531 -1.3766 -1.4967 -1.6133 -1.7266 -1.8364
 -1.9423
  0.8614  0.8667  0.8565  0.8299  0.7896  0.7402  0.6866  0.6323  0.5792  0.5293
  0.4818  0.4304  0.3712  0.3067  0.2394  0.0673 -0.1038 -0.2674 -0.4224 -0.5710
 -0.7158 -0.8572 -0.9939 -1.1255 -1.2524 -1.3750 -1.4941 -1.6097 -1.7219 -1.8309
 -1.9367
  0.7944  0.8068  0.8048  0.7891  0.7587  0.7163  0.6657  0.6107  0.5539  0.4971
  0.4419  0.3894  0.3387  0.2869  0.2307  0.0691 -0.1012 -0.2659 -0.4224 -0.5721
 -0.7171 -0.8584 -0.9953 -1.1273 -1.2543 -1.3767 -1.4952 -1.6100 -1.7214 -1.8297
 -1.9348
  0.7207  0.7350  0.7410  0.7354  0.7164  0.6843  0.6416  0.5912  0.5362  0.4789
  0.4208  0.3632  0.3073  0.2536  0.2013  0.0632 -0.0967 -0.2611 -0.4185 -0.5689
 -0.7139 -0.8550 -0.9921 -1.1246 -1.2520 -1.3745 -1.4927 -1.6070 -1.7178 -1.8252
 -1.9296
  0.6446  0.6586  0.6682  0.6696  0.6604  0.6395  0.6071  0.5651  0.5158  0.4619
  0.4052  0.3471  0.2890  0.2317  0.1760  0.0408 -0.1013 -0.2572 -0.4144 -0.5651
 -0.7100 -0.8506 -0.9874 -1.1203 -1.2484 -1.3716 -1.4901 -1.6044 -1.7148 -1.8218
 -1.9254
  0.5679  0.5791  0.5899  0.5952  0.5928  0.5810  0.5591  0.5273  0.4867  0.4393
  0.3872  0.3319  0.2749  0.2173  0.1599  0.0201 -0.1172 -0.2603 -0.4112
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F277W
