 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -4.6621 -4.5136 -4.3654 -4.2059 -4.0364 -3.6687 -3.3842 -3.1522 -2.9561 -2.7932
 -2.6593 -2.5451 -2.4443 -2.3532 -2.2698 -2.1938
 -6.9234 -6.4903 -6.1248 -5.8181 -5.5604 -5.3430 -5.1579 -4.9979 -4.8567 -4.7287
 -4.5948 -4.4442 -4.2917 -4.1407 -3.9842 -3.6258 -3.3507 -3.1318 -2.9498 -2.7984
 -2.6741 -2.5687 -2.4755 -2.3908 -2.3126 -2.2401 -2.1737 -2.1108 -2.0537 -2.0185
 -6.9725 -6.5399 -6.1689 -5.8538 -5.5847 -5.3526 -5.1502 -4.9719 -4.8124 -4.6662
 -4.5291 -4.3961 -4.2573 -4.1126 -3.9610 -3.6052 -3.3330 -3.1214 -2.9486 -2.8055
 -2.6889 -2.5915 -2.5061 -2.4283 -2.3560 -2.2884 -2.2257 -2.1676 -2.1141 -2.0684
 -2.0429
 -7.0160 -6.5953 -6.2275 -5.9092 -5.6329 -5.3910 -5.1762 -4.9836 -4.8092 -4.6496
 -4.5003 -4.3586 -4.2224 -4.0900 -3.9543 -3.6055 -3.3276 -3.1182 -2.9505 -2.8127
 -2.7014 -2.6108 -2.5330 -2.4628 -2.3974 -2.3357 -2.2778 -2.2238 -2.1740 -2.1295
 -2.0951
 -7.0327 -6.6301 -6.2772 -5.9649 -5.6882 -5.4410 -5.2181 -5.0151 -4.8290 -4.6574
 -4.4977 -4.3475 -4.2048 -4.0690 -3.9392 -3.6143 -3.3327 -3.1188 -2.9531 -2.8183
 -2.7098 -2.6239 -2.5530 -2.4906 -2.4330 -2.3785 -2.3268 -2.2778 -2.2319 -2.1902
 -2.1546
 -7.0232 -6.6513 -6.3169 -6.0169 -5.7462 -5.4996 -5.2726 -5.0627 -4.8680 -4.6871
 -4.5183 -4.3600 -4.2108 -4.0696 -3.9361 -3.6233 -3.3492 -3.1286 -2.9603 -2.8262
 -2.7184 -2.6340 -2.5676 -2.5121 -2.4624 -2.4159 -2.3717 -2.3293 -2.2889 -2.2511
 -2.2161
