 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Btycho
 -8.8901 -8.6482 -8.4303 -8.2281 -8.0332 -7.8337 -7.6116 -7.3678 -7.1273 -6.8979
 -6.6738 -6.4483 -6.2219 -6.0032 -5.7996 -5.3637 -5.0027 -4.6879 -4.4063 -4.1536
 -3.9356
 -8.6704 -8.3902 -8.1356 -7.9065 -7.6993 -7.5060 -7.3128 -7.1081 -6.9031 -6.7038
 -6.5068 -6.3055 -6.0971 -5.8881 -5.6890 -5.2610 -4.9140 -4.6179 -4.3577 -4.1263
 -3.9247 -3.7560
 -8.5820 -8.2248 -7.8983 -7.6614 -7.4598 -7.2695 -7.0869 -6.9058 -6.7250 -6.5479
 -6.3729 -6.1946 -6.0069 -5.8113 -5.6177 -5.1939 -4.8551 -4.5719 -4.3266 -4.1112
 -3.9233 -3.7648 -3.6324 -3.5191
 -8.6165 -8.1763 -7.8067 -7.5027 -7.2561 -7.0584 -6.9004 -6.7578 -6.6046 -6.4405
 -6.2745 -6.1088 -5.9390 -5.7598 -5.5748 -5.1530 -4.8175 -4.5430 -4.3084 -4.1049
 -3.9284 -3.7786 -3.6539 -3.5478 -3.4548 -3.3715 -3.2948 -3.2221 -3.1563 -3.1131
 -8.7618 -8.2670 -7.8471 -7.4961 -7.2065 -6.9686 -6.7730 -6.6104 -6.4740 -6.3510
 -6.2163 -6.0600 -5.8938 -5.7251 -5.5514 -5.1328 -4.7959 -4.5264 -4.2997 -4.1048
 -3.9373 -3.7951 -3.6770 -3.5777 -3.4913 -3.4140 -3.3443 -3.2802 -3.2196 -3.1662
 -3.1332
 -9.0041 -8.4457 -7.9737 -7.5805 -7.2539 -6.9826 -6.7563 -6.5656 -6.4018 -6.2575
 -6.1274 -6.0030 -5.8663 -5.7089 -5.5416 -5.1302 -4.7877 -4.5191 -4.2976 -4.1090
 -3.9482 -3.8123 -3.6998 -3.6067 -3.5269 -3.4561 -3.3922 -3.3342 -3.2810 -3.2319
 -3.1901
 -9.3212 -8.7000 -8.1722 -7.7314 -7.3661 -7.0617 -6.8051 -6.5860 -6.3967 -6.2299
 -6.0788 -5.9386 -5.8061 -5.6746 -5.5319 -5.1391 -4.7895 -4.5173 -4.2983 -4.1141
 -3.9580 -3.8270 -3.7192 -3.6315 -3.5582 -3.4944 -3.4372 -3.3849 -3.3373 -3.2941
 -3.2556
 -9.6742 -9.0181 -8.4398 -7.9525 -7.5442 -7.2026 -6.9133 -6.6645 -6.4475 -6.2557
 -6.0835 -5.9257 -5.7781 -5.6383 -5.5038 -5.1570 -4.8088 -4.5276 -4.3071 -4.1248
 -3.9712 -3.8428 -3.7378 -3.6538 -3.5860 -3.5289 -3.4787 -3.4331 -3.3915 -3.3537
 -3.3196
 -9.9958 -9.3321 -8.7373 -8.2158 -7.7715 -7.3931 -7.0694 -6.7892 -6.5434 -6.3251
 -6.1294 -5.9518 -5.7883 -5.6357 -5.4916 -5.1597 -4.8380 -4.5483 -4.3212 -4.1381
 -3.9853 -3.8578 -3.7539 -3.6718 -3.6078 -3.5564 -3.5131 -3.4748 -3.4400 -3.4083
 -3.3796
-10.2538 -9.6077 -9.0164 -8.4866 -8.0227 -7.6175 -7.2640 -6.9534 -6.6785 -6.4334
 -6.2133 -6.0141 -5.8322 -5.6647 -5.4953 -5.1472 -4.8771 -4.5794 -4.3406
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =Btycho
 -9.9051 -9.7673 -9.6256 -9.4673 -9.2794 -9.0238 -8.6631 -8.2053 -7.7803 -7.4306
