 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  z   
 -1.1961 -1.1516 -1.1215 -1.0990 -1.0758 -1.0428 -0.9897 -0.9125 -0.8369 -0.7857
 -0.7588 -0.7447 -0.7338 -0.7218 -0.7082 -0.6784 -0.6639 -0.6646 -0.6790 -0.7052
 -0.7411 -0.7840
 -1.0868 -1.0482 -1.0072 -0.9789 -0.9583 -0.9383 -0.9107 -0.8663 -0.8141 -0.7732
 -0.7496 -0.7377 -0.7298 -0.7211 -0.7104 -0.6837 -0.6704 -0.6721 -0.6875 -0.7147
 -0.7513 -0.7947 -0.8425 -0.8923
 -0.9948 -0.9467 -0.9120 -0.8831 -0.8603 -0.8434 -0.8292 -0.8090 -0.7797 -0.7523
 -0.7348 -0.7264 -0.7218 -0.7167 -0.7093 -0.6869 -0.6752 -0.6779 -0.6938 -0.7215
 -0.7586 -0.8025 -0.8512 -0.9023 -0.9546 -1.0078 -1.0635 -1.1226 -1.1827 -1.2412
 -0.9360 -0.8585 -0.8047 -0.7725 -0.7569 -0.7506 -0.7472 -0.7438 -0.7349 -0.7226
 -0.7136 -0.7100 -0.7094 -0.7082 -0.7045 -0.6879 -0.6780 -0.6818 -0.6982 -0.7261
 -0.7635 -0.8079 -0.8573 -0.9098 -0.9637 -1.0182 -1.0740 -1.1321 -1.1928 -1.2546
 -1.3148
 -0.9231 -0.8344 -0.7648 -0.7137 -0.6795 -0.6596 -0.6523 -0.6559 -0.6661 -0.6757
 -0.6826 -0.6877 -0.6921 -0.6953 -0.6959 -0.6864 -0.6787 -0.6837 -0.7009 -0.7289
 -0.7664 -0.8111 -0.8611 -0.9147 -0.9702 -1.0267 -1.0840 -1.1423 -1.2019 -1.2640
 -1.3275
 -0.9199 -0.8281 -0.7536 -0.6956 -0.6525 -0.6232 -0.6057 -0.5983 -0.6003 -0.6101
 -0.6256 -0.6440 -0.6613 -0.6741 -0.6813 -0.6817 -0.6771 -0.6835 -0.7018 -0.7302
 -0.7678 -0.8130 -0.8636 -0.9182 -0.9753 -1.0336 -1.0927 -1.1523 -1.2126 -1.2741
 -1.3376
 -0.9197 -0.8267 -0.7510 -0.6909 -0.6451 -0.6119 -0.5898 -0.5774 -0.5733 -0.5763
 -0.5849 -0.5980 -0.6140 -0.6316 -0.6480 -0.6715 -0.6733 -0.6810 -0.7002 -0.7289
 -0.7665 -0.8117 -0.8628 -0.9181 -0.9763 -1.0362 -1.0969 -1.1580 -1.2194 -1.2815
 -1.3443
 -0.9088 -0.8212 -0.7465 -0.6872 -0.6414 -0.6078 -0.5847 -0.5701 -0.5629 -0.5619
 -0.5659 -0.5738 -0.5840 -0.5958 -0.6088 -0.6430 -0.6649 -0.6762 -0.6963 -0.7256
 -0.7630 -0.8081 -0.8593 -0.9151 -0.9742 -1.0355 -1.0980 -1.1607 -1.2235 -1.2864
 -1.3497
 -0.8760 -0.7989 -0.7322 -0.6767 -0.6331 -0.6013 -0.5794 -0.5653 -0.5574 -0.5543
 -0.5553 -0.5597 -0.5664 -0.5745 -0.5637 -0.5962 -0.6519 -0.6691 -0.6901
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  z   
 -1.8436 -1.8446 -1.8336 -1.7450 -1.5910 -1.4014 -1.2011 -1.0103 -0.8544 -0.7699
 -0.7323 -0.7125 -0.6970 -0.6818 -0.6660 -0.6339 -0.6172 -0.6158 -0.6225
 -1.6502 -1.6457 -1.6362 -1.6078 -1.5434 -1.4193 -1.2345 -1.0177 -0.8623 -0.7768
 -0.7384 -0.7199 -0.7065 -0.6931 -0.6791 -0.6492 -0.6340 -0.6329 -0.6437 -0.6648
 -1.4755 -1.4606 -1.4488 -1.4290 -1.3877 -1.3100 -1.1813 -1.0123 -0.8684 -0.7816
 -0.7405 -0.7219 -0.7104 -0.6994 -0.6871 -0.6592 -0.6449 -0.6450 -0.6575 -0.6807
 -0.7130
 -1.3305 -1.3000 -1.2803 -1.2627 -1.2367 -1.1899 -1.1097 -0.9899 -0.8686 -0.7839
 -0.7398 -0.7201 -0.7101 -0.7015 -0.6917 -0.6666 -0.6531 -0.6540 -0.6677 -0.6924
 -0.7264 -0.7677
 -1.2199 -1.1718 -1.1391 -1.1163 -1.0959 -1.0683 -1.0228 -0.9482 -0.8567 -0.7813
 -0.7365 -0.7156 -0.7063 -0.7001 -0.6929 -0.6719 -0.6595 -0.6609 -0.6753 -0.7010
 -0.7359 -0.7780 -0.8250 -0.8749
 -1.1221 -1.0713 -1.0292 -0.9973 -0.9736 -0.9530 -0.9281 -0.8878 -0.8291 -0.7701
 -0.7292 -0.7083 -0.6995 -0.6953 -0.6909 -0.6749 -0.6643 -0.6665 -0.6812 -0.7073
 -0.7429 -0.7856 -0.8334 -0.8844 -0.9370 -0.9910 -1.0475 -1.1081 -1.1691 -1.2288
 -1.0048 -0.9469 -0.9097 -0.8882 -0.8697 -0.8516 -0.8346 -0.8155 -0.7853 -0.7473
 -0.7156 -0.6973 -0.6898 -0.6873 -0.6856 -0.6756 -0.6673 -0.6705 -0.6856 -0.7117
 -0.7477 -0.7910 -0.8395 -0.8915 -0.9453 -1.0005 -1.0571 -1.1160 -1.1784 -1.2412
 -1.3025
 -0.9677 -0.8830 -0.8196 -0.7767 -0.7508 -0.7379 -0.7328 -0.7297 -0.7238 -0.7097
 -0.6928 -0.6810 -0.6763 -0.6761 -0.6769 -0.6735 -0.6681 -0.6728 -0.6886 -0.7147
 -0.7506 -0.7942 -0.8432 -0.8960 -0.9512 -1.0077 -1.0655 -1.1246 -1.1857 -1.2497
 -1.3143
 -0.9573 -0.8644 -0.7892 -0.7312 -0.6892 -0.6609 -0.6436 -0.6362 -0.6364 -0.6411
 -0.6461 -0.6509 -0.6556 -0.6603 -0.6646 -0.6683 -0.6666 -0.6728 -0.6899 -0.7165
 -0.7524 -0.7962 -0.8458 -0.8993 -0.9556 -1.0135 -1.0729 -1.1333 -1.1949 -1.2580
 -1.3234
 -0.9570 -0.8603 -0.7803 -0.7162 -0.6666 -0.6303 -0.6055 -0.5902 -0.5830 -0.5830
 -0.5890 -0.5999 -0.6137 -0.6285 -0.6416 -0.6593 -0.6628 -0.6706 -0.6888 -0.7160
 -0.7517 -0.7954 -0.8452 -0.8992 -0.9561 -1.0153 -1.0759 -1.1376 -1.2001 -1.2636
 -1.3282
 -0.9563 -0.8589 -0.7767 -0.7102 -0.6579 -0.6185 -0.5901 -0.5713 -0.5607 -0.5569
 -0.5590 -0.5659 -0.5764 -0.5896 -0.6041 -0.6381 -0.6557 -0.6662 -0.6854 -0.7134
 -0.7491 -0.7925 -0.8422 -0.8966 -0.9541 -1.0141 -1.0761 -1.1391 -1.2027 -1.2670
 -1.3319
 -0.9426 -0.8504 -0.7709 -0.7038 -0.6514 -0.6114 -0.5823 -0.5624 -0.5503 -0.5445
 -0.5441 -0.5481 -0.5554 -0.5648 -0.5521 -0.6047 -0.6453 -0.6596 -0.6797
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value =  z   
 -1.9931 -2.0118 -1.9677 -1.8674 -1.7166 -1.5204 -1.2833 -1.0336 -0.8595 -0.7535
 -0.7048 -0.6832 -0.6701 -0.6582 -0.6462 -0.6191 -0.6061 -0.6069 -0.6141
 -1.8005 -1.8208 -1.8282 -1.8119 -1.7271 -1.5662 -1.3331 -1.0638 -0.8760 -0.7646
 -0.7127 -0.6909 -0.6793 -0.6693 -0.6587 -0.6340 -0.6215 -0.6221 -0.6331 -0.6535
 -1.6170 -1.6266 -1.6291 -1.6204 -1.5791 -1.4836 -1.3119 -1.0837 -0.8941 -0.7760
 -0.7180 -0.6937 -0.6829 -0.6750 -0.6664 -0.6440 -0.6316 -0.6327 -0.6455 -0.6676
 -0.6983
 -1.4564 -1.4457 -1.4425 -1.4357 -1.4119 -1.3546 -1.2459 -1.0791 -0.9081 -0.7874
 -0.7221 -0.6938 -0.6825 -0.6765 -0.6703 -0.6514 -0.6396 -0.6409 -0.6543 -0.6778
 -0.7102 -0.7501
 -1.3271 -1.2960 -1.2782 -1.2664 -1.2507 -1.2179 -1.1545 -1.0468 -0.9105 -0.7956
 -0.7255 -0.6923 -0.6794 -0.6745 -0.6707 -0.6567 -0.6462 -0.6476 -0.6613 -0.6856
 -0.7190 -0.7598 -0.8060 -0.8559
 -1.2265 -1.1788 -1.1448 -1.1216 -1.1037 -1.0827 -1.0478 -0.9859 -0.8931 -0.7963
 -0.7268 -0.6897 -0.6745 -0.6697 -0.6679 -0.6596 -0.6512 -0.6532 -0.6669 -0.6915
 -0.7256 -0.7672 -0.8143 -0.8650 -0.9179 -0.9725 -1.0302 -1.0915 -1.1536 -1.2147
 -1.1073 -1.0488 -1.0333 -1.0055 -0.9812 -0.9601 -0.9381 -0.9057 -0.8524 -0.7834
 -0.7228 -0.6852 -0.6679 -0.6626 -0.6621 -0.6597 -0.6545 -0.6575 -0.6715 -0.6960
 -0.7303 -0.7725 -0.8202 -0.8718 -0.9257 -0.9811 -1.0384 -1.0984 -1.1623 -1.2259
 -1.2886
 -1.0138 -0.9428 -0.8963 -0.8711 -0.8580 -0.8478 -0.8338 -0.8161 -0.7911 -0.7523
 -0.7089 -0.6762 -0.6590 -0.6535 -0.6537 -0.6568 -0.6555 -0.6602 -0.6748 -0.6992
 -0.7334 -0.7758 -0.8240 -0.8762 -0.9310 -0.9875 -1.0456 -1.1055 -1.1679 -1.2336
 -1.2991
 -0.9900 -0.9016 -0.8317 -0.7808 -0.7467 -0.7257 -0.7144 -0.7088 -0.7041 -0.6942
 -0.6762 -0.6574 -0.6454 -0.6414 -0.6427 -0.6507 -0.6539 -0.6606 -0.6765 -0.7015
 -0.7354 -0.7779 -0.8265 -0.8794 -0.9350 -0.9926 -1.0519 -1.1127 -1.1753 -1.2400
 -1.3072
 -0.9853 -0.8899 -0.8106 -0.7472 -0.6990 -0.6644 -0.6407 -0.6251 -0.6164 -0.6134
 -0.6131 -0.6136 -0.6159 -0.6205 -0.6266 -0.6415 -0.6497 -0.6587 -0.6760 -0.7016
 -0.7354 -0.7774 -0.8260 -0.8792 -0.9353 -0.9936 -1.0539 -1.1157 -1.1790 -1.2437
 -1.3100
 -0.9873 -0.8872 -0.8034 -0.7346 -0.6799 -0.6380 -0.6075 -0.5864 -0.5727 -0.5653
 -0.5632 -0.5663 -0.5734 -0.5837 -0.5959 -0.6256 -0.6425 -0.6545 -0.6731 -0.6997
 -0.7337 -0.7752 -0.8235 -0.8767 -0.9332 -0.9922 -1.0533 -1.1161 -1.1801 -1.2454
 -1.3117
 -0.9849 -0.8858 -0.7996 -0.7283 -0.6706 -0.6257 -0.5921 -0.5680 -0.5520 -0.5428
 -0.5391 -0.5402 -0.5455 -0.5542 -0.5506 -0.6030 -0.6323 -0.6480 -0.6678
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value =  z   
 -2.1079 -1.9983 -1.8719 -1.7307 -1.5763 -1.4101 -1.2335 -1.0475 -0.8665 -0.7418
 -0.6785 -0.6516 -0.6388 -0.6297 -0.6208 -0.5996 -0.5913 -0.5945 -0.6040
 -1.9197 -1.9620 -1.9958 -1.9980 -1.8854 -1.6711 -1.3908 -1.0981 -0.8932 -0.7582
 -0.6893 -0.6604 -0.6481 -0.6404 -0.6330 -0.6144 -0.6050 -0.6081 -0.6206 -0.6407
 -1.7331 -1.7883 -1.7918 -1.8004 -1.7668 -1.6589 -1.4389 -1.1471 -0.9237 -0.7771
 -0.6987 -0.6650 -0.6521 -0.6459 -0.6405 -0.6245 -0.6148 -0.6174 -0.6309 -0.6526
 -0.6823
 -1.5612 -1.5750 -1.5935 -1.6037 -1.5885 -1.5262 -1.3913 -1.1731 -0.9530 -0.7979
 -0.7087 -0.6679 -0.6525 -0.6472 -0.6439 -0.6320 -0.6227 -0.6249 -0.6385 -0.6614
 -0.6927 -0.7312
 -1.4176 -1.4092 -1.4121 -1.4168 -1.4110 -1.3778 -1.2991 -1.1563 -0.9720 -0.8174
 -0.7197 -0.6706 -0.6511 -0.6453 -0.6438 -0.6373 -0.6296 -0.6315 -0.6449 -0.6683
 -0.7004 -0.7401 -0.7856 -0.8352
 -1.3052 -1.2743 -1.2577 -1.2500 -1.2429 -1.2253 -1.1829 -1.0989 -0.9691 -0.8313
 -0.7301 -0.6736 -0.6488 -0.6412 -0.6405 -0.6399 -0.6352 -0.6374 -0.6505 -0.6738
 -0.7064 -0.7469 -0.7934 -0.8440 -0.8973 -0.9527 -1.0118 -1.0746 -1.1366 -1.1992
 -1.2008 -1.1639 -1.1347 -1.1125 -1.0963 -1.0809 -1.0573 -1.0125 -0.9344 -0.8305
 -0.7367 -0.6760 -0.6460 -0.6356 -0.6347 -0.6394 -0.6387 -0.6422 -0.6554 -0.6785
 -0.7110 -0.7519 -0.7990 -0.8504 -0.9045 -0.9605 -1.0186 -1.0799 -1.1448 -1.2090
 -1.2731
 -1.0646 -1.0241 -0.9990 -0.9858 -0.9741 -0.9565 -0.9366 -0.9117 -0.8709 -0.8069
 -0.7331 -0.6753 -0.6425 -0.6290 -0.6269 -0.6355 -0.6398 -0.6454 -0.6593 -0.6822
 -0.7143 -0.7552 -0.8027 -0.8546 -0.9094 -0.9662 -1.0247 -1.0853 -1.1489 -1.2159
 -1.2822
 -1.0166 -0.9392 -0.8833 -0.8473 -0.8287 -0.8212 -0.8161 -0.8054 -0.7863 -0.7554
 -0.7108 -0.6661 -0.6354 -0.6208 -0.6177 -0.6285 -0.6379 -0.6462 -0.6615 -0.6850
 -0.7169 -0.7576 -0.8052 -0.8576 -0.9130 -0.9706 -1.0300 -1.0912 -1.1545 -1.2204
 -1.2893
 -1.0041 -0.9147 -0.8410 -0.7837 -0.7428 -0.7156 -0.6982 -0.6874 -0.6804 -0.6727
 -0.6587 -0.6382 -0.6191 -0.6083 -0.6060 -0.6189 -0.6330 -0.6446 -0.6615 -0.6858
 -0.7177 -0.7577 -0.8049 -0.8574 -0.9131 -0.9711 -1.0311 -1.0929 -1.1565 -1.2222
 -1.2899
 -1.0030 -0.9076 -0.8264 -0.7594 -0.7064 -0.6667 -0.6382 -0.6179 -0.6036 -0.5937
 -0.5876 -0.5833 -0.5804 -0.5805 -0.5844 -0.6055 -0.6251 -0.6403 -0.6590 -0.6845
 -0.7168 -0.7563 -0.8029 -0.8551 -0.9110 -0.9694 -1.0299 -1.0922 -1.1563 -1.2222
 -1.2897
 -1.0056 -0.9069 -0.8210 -0.7492 -0.6906 -0.6444 -0.6093 -0.5838 -0.5658 -0.5534
 -0.5455 -0.5419 -0.5425 -0.5469 -0.5529 -0.5883 -0.6142 -0.6333 -0.6540
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value =  z   
 -2.1949 -2.0801 -1.9471 -1.7979 -1.6343 -1.4578 -1.2699 -1.0718 -0.8774 -0.7362
 -0.6553 -0.6196 -0.6046 -0.5967 -0.5906 -0.5767 -0.5727 -0.5786 -0.5922
 -2.0098 -2.3688 -2.5146 -2.4689 -2.2511 -1.8779 -1.4298 -1.1323 -0.9152 -0.7591
 -0.6699 -0.6301 -0.6143 -0.6073 -0.6022 -0.5903 -0.5845 -0.5902 -0.6048 -0.6256
 -1.8195 -2.0889 -1.9277 -1.9567 -1.9368 -1.8238 -1.5310 -1.1959 -0.9571 -0.7858
 -0.6850 -0.6378 -0.6194 -0.6129 -0.6094 -0.5999 -0.5939 -0.5987 -0.6134 -0.6355
 -0.6646
 -1.6391 -1.6796 -1.7224 -1.7534 -1.7527 -1.6922 -1.5346 -1.2598 -1.0014 -0.8164
 -0.7023 -0.6449 -0.6217 -0.6146 -0.6127 -0.6075 -0.6018 -0.6056 -0.6201 -0.6430
 -0.6734 -0.7110
 -1.4835 -1.5014 -1.5287 -1.5544 -1.5642 -1.5362 -1.4466 -1.2703 -1.0383 -0.8472
 -0.7213 -0.6529 -0.6231 -0.6136 -0.6125 -0.6128 -0.6091 -0.6122 -0.6259 -0.6490
 -0.6801 -0.7188 -0.7638 -0.8136
 -1.3588 -1.3513 -1.3576 -1.3704 -1.3794 -1.3702 -1.3245 -1.2206 -1.0526 -0.8741
 -0.7415 -0.6626 -0.6246 -0.6111 -0.6095 -0.6150 -0.6151 -0.6185 -0.6315 -0.6542
 -0.6856 -0.7249 -0.7708 -0.8213 -0.8749 -0.9320 -0.9929 -1.0558 -1.1186 -1.1826
 -1.2599 -1.2330 -1.2178 -1.2124 -1.2118 -1.2069 -1.1852 -1.1306 -1.0275 -0.8868
 -0.7588 -0.6729 -0.6268 -0.6082 -0.6044 -0.6138 -0.6189 -0.6239 -0.6368 -0.6589
 -0.6900 -0.7295 -0.7759 -0.8272 -0.8813 -0.9380 -0.9978 -1.0608 -1.1261 -1.1909
 -1.2564
 -1.1247 -1.1113 -1.0979 -1.0846 -1.0722 -1.0607 -1.0457 -1.0181 -0.9631 -0.8729
 -0.7666 -0.6809 -0.6292 -0.6051 -0.5982 -0.6092 -0.6199 -0.6278 -0.6413 -0.6631
 -0.6936 -0.7328 -0.7793 -0.8310 -0.8861 -0.9435 -1.0026 -1.0643 -1.1293 -1.1969
 -1.2638
 -1.0356 -0.9775 -0.9447 -0.9319 -0.9320 -0.9312 -0.9208 -0.9011 -0.8721 -0.8235
 -0.7531 -0.6809 -0.6290 -0.6013 -0.5913 -0.6016 -0.6175 -0.6290 -0.6442 -0.6665
 -0.6967 -0.7354 -0.7817 -0.8337 -0.8893 -0.9472 -1.0072 -1.0688 -1.1328 -1.1999
 -1.2698
 -1.0118 -0.9329 -0.8702 -0.8255 -0.7984 -0.7847 -0.7796 -0.7768 -0.7682 -0.7477
 -0.7128 -0.6658 -0.6229 -0.5955 -0.5835 -0.5918 -0.6118 -0.6275 -0.6448 -0.6681
 -0.6983 -0.7362 -0.7818 -0.8334 -0.8890 -0.9471 -1.0073 -1.0693 -1.1333 -1.1998
 -1.2686
 -1.0058 -0.9187 -0.8441 -0.7833 -0.7367 -0.7038 -0.6819 -0.6669 -0.6563 -0.6474
 -0.6365 -0.6199 -0.5982 -0.5798 -0.5704 -0.5799 -0.6031 -0.6230 -0.6429 -0.6676
 -0.6984 -0.7358 -0.7805 -0.8315 -0.8869 -0.9451 -1.0055 -1.0676 -1.1317 -1.1978
 -1.2660
 -1.0075 -0.9147 -0.8342 -0.7660 -0.7102 -0.6663 -0.6336 -0.6099 -0.5927 -0.5792
 -0.5683 -0.5598 -0.5529 -0.5477 -0.5520 -0.5659 -0.5914 -0.6155 -0.6385
