 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.2363  1.2420  1.2427  1.2380  1.2286  1.1902  1.1351  1.0669  0.9879
  1.0464  1.0300  1.0662  1.1015  1.1294  1.1561  1.1748  1.1869  1.1968  1.2079
  1.2162  1.2205  1.2196  1.2133  1.2027  1.1616  1.1062  1.0397  0.9635  0.8788
  1.1559  1.1010  1.0651  1.0931  1.1226  1.1448  1.1627  1.1747  1.1840  1.1939
  1.2012  1.2047  1.2031  1.1962  1.1848  1.1420  1.0858  1.0198  0.9453  0.8631
  0.7758
  1.1938  1.1897  1.1587  1.1093  1.1182  1.1407  1.1567  1.1681  1.1760  1.1835
  1.1901  1.1931  1.1913  1.1842  1.1725  1.1285  1.0715  1.0054  0.9316  0.8509
  0.7653  0.6778
  1.2243  1.2207  1.2185  1.2035  1.1655  1.1436  1.1552  1.1660  1.1723  1.1769
  1.1820  1.1845  1.1827  1.1758  1.1642  1.1195  1.0617  0.9952  0.9215  0.8417
  0.7571  0.6707  0.5842  0.4979
  1.2620  1.2484  1.2440  1.2410  1.2320  1.2116  1.1812  1.1691  1.1726  1.1750
  1.1769  1.1785  1.1766  1.1701  1.1587  1.1138  1.0552  0.9883  0.9145  0.8350
  0.7510  0.6649  0.5790  0.4937  0.4087  0.3232  0.2369  0.1491  0.0607 -0.0251
  1.3077  1.2832  1.2697  1.2628  1.2572  1.2490  1.2360  1.2160  1.1925  1.1799
  1.1764  1.1751  1.1726  1.1663  1.1553  1.1107  1.0514  0.9841  0.9102  0.8307
  0.7470  0.6608  0.5747  0.4895  0.4052  0.3213  0.2374  0.1529  0.0672 -0.0194
 -0.1039
  1.3601  1.3259  1.3023  1.2873  1.2771  1.2683  1.2584  1.2465  1.2317  1.2130
  1.1935  1.1796  1.1719  1.1645  1.1538  1.1096  1.0500  0.9822  0.9082  0.8289
  0.7452  0.6587  0.5717  0.4859  0.4015  0.3183  0.2355  0.1532  0.0705 -0.0133
 -0.0985
