 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.6651 -1.5547 -1.4492 -1.3484 -1.2541 -1.1699 -1.0985 -1.0426 -1.0063 -0.9831
 -0.9512 -0.9056 -0.8574 -0.8109 -0.7668 -0.6712 -0.6025 -0.5625 -0.5467 -0.5499
 -0.5673 -0.5930 -0.6221 -0.6532 -0.6864 -0.7222 -0.7610 -0.8034 -0.8504 -0.9029
 -0.9563
 -1.6155 -1.5041 -1.4057 -1.3128 -1.2243 -1.1410 -1.0648 -0.9981 -0.9420 -0.8978
 -0.8674 -0.8452 -0.8212 -0.7906 -0.7548 -0.6661 -0.6008 -0.5626 -0.5474 -0.5505
 -0.5682 -0.5955 -0.6269 -0.6598 -0.6938 -0.7292 -0.7659 -0.8051 -0.8482 -0.8962
 -0.9498
 -1.5810 -1.4571 -1.3574 -1.2705 -1.1894 -1.1126 -1.0396 -0.9720 -0.9117 -0.8590
 -0.8149 -0.7801 -0.7545 -0.7345 -0.7149 -0.6546 -0.5950 -0.5590 -0.5445 -0.5476
 -0.5655 -0.5944 -0.6287 -0.6647 -0.7008 -0.7374 -0.7748 -0.8134 -0.8537 -0.8973
 -0.9444
 -1.5707 -1.4271 -1.3155 -1.2260 -1.1495 -1.0793 -1.0130 -0.9499 -0.8909 -0.8371
 -0.7893 -0.7481 -0.7136 -0.6862 -0.6647 -0.6239 -0.5843 -0.5521 -0.5384 -0.5411
 -0.5585 -0.5880 -0.6250 -0.6645 -0.7041 -0.7432 -0.7821 -0.8210 -0.8606 -0.9015
 -0.9447
 -1.5954 -1.4200 -1.2896 -1.1882 -1.1069 -1.0395 -0.9790 -0.9222 -0.8683 -0.8173
 -0.7702 -0.7279 -0.6907 -0.6590 -0.6325 -0.5874 -0.5601 -0.5400 -0.5290 -0.5318
 -0.5484 -0.5776 -0.6161 -0.6591 -0.7027 -0.7454 -0.7872 -0.8280 -0.8684 -0.9090
 -0.9501
 -1.6677 -1.4465 -1.2879 -1.1670 -1.0726 -0.9990 -0.9393 -0.8870 -0.8388 -0.7931
 -0.7498 -0.7094 -0.6727 -0.6402 -0.6121 -0.5610 -0.5336 -0.5202 -0.5157
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.3742 -2.1660 -1.9561 -1.7746 -1.6146 -1.4702 -1.3594 -1.2689 -1.1905 -1.1121
 -1.0395 -0.9713 -0.9072 -0.8468 -0.7900 -0.6635 -0.5643 -0.5003 -0.4689
 -2.1965 -2.1294 -1.9505 -1.7638 -1.6018 -1.4577 -1.3415 -1.2486 -1.1673 -1.0917
 -1.0221 -0.9571 -0.8959 -0.8383 -0.7838 -0.6642 -0.5726 -0.5141 -0.4888 -0.4897
 -1.9496 -1.9298 -1.9049 -1.7604 -1.5976 -1.4541 -1.3311 -1.2326 -1.1501 -1.0758
 -1.0089 -0.9468 -0.8886 -0.8337 -0.7818 -0.6676 -0.5814 -0.5274 -0.5041 -0.5045
 -0.5205
 -1.8667 -1.7397 -1.6867 -1.6857 -1.5911 -1.4539 -1.3283 -1.2219 -1.1359 -1.0621
 -0.9970 -0.9375 -0.8820 -0.8298 -0.7804 -0.6714 -0.5891 -0.5383 -0.5163 -0.5163
 -0.5315 -0.5553
 -1.8227 -1.6794 -1.5597 -1.4834 -1.4634 -1.4287 -1.3266 -1.2182 -1.1256 -1.0502
 -0.9852 -0.9276 -0.8745 -0.8248 -0.7779 -0.6739 -0.5952 -0.5468 -0.5258 -0.5257
 -0.5403 -0.5637 -0.5919 -0.6240
 -1.7850 -1.6446 -1.5164 -1.4056 -1.3211 -1.2707 -1.2491 -1.2026 -1.1203 -1.0403
 -0.9735 -0.9167 -0.8655 -0.8180 -0.7734 -0.6745 -0.5992 -0.5527 -0.5327 -0.5326
 -0.5469 -0.5705 -0.5987 -0.6301 -0.6647 -0.7034 -0.7468 -0.7954 -0.8481 -0.9001
 -1.7491 -1.6132 -1.4880 -1.3737 -1.2732 -1.1897 -1.1260 -1.0850 -1.0597 -1.0206
 -0.9615 -0.9045 -0.8547 -0.8091 -0.7665 -0.6726 -0.6007 -0.5562 -0.5367 -0.5367
 -0.5510 -0.5752 -0.6044 -0.6363 -0.6705 -0.7075 -0.7475 -0.7914 -0.8402 -0.8934
 -0.9468
 -1.7209 -1.5811 -1.4601 -1.3497 -1.2492 -1.1585 -1.0803 -1.0153 -0.9648 -0.9297
 -0.9049 -0.8754 -0.8375 -0.7968 -0.7569 -0.6679 -0.5995 -0.5568 -0.5379 -0.5378
 -0.5522 -0.5771 -0.6080 -0.6415 -0.6765 -0.7130 -0.7520 -0.7931 -0.8373 -0.8860
 -0.9402
 -1.7096 -1.5564 -1.4287 -1.3218 -1.2253 -1.1372 -1.0569 -0.9856 -0.9244 -0.8734
 -0.8330 -0.8035 -0.7807 -0.7589 -0.7339 -0.6589 -0.5945 -0.5540 -0.5359 -0.5359
 -0.5503 -0.5760 -0.6089 -0.6450 -0.6821 -0.7198 -0.7587 -0.7988 -0.8407 -0.8854
 -0.9344
 -1.7236 -1.5452 -1.4052 -1.2932 -1.1991 -1.1151 -1.0384 -0.9678 -0.9042 -0.8483
 -0.8002 -0.7601 -0.7278 -0.7031 -0.6836 -0.6381 -0.5866 -0.5484 -0.5311 -0.5308
 -0.5448 -0.5707 -0.6052 -0.6442 -0.6843 -0.7243 -0.7645 -0.8050 -0.8461 -0.8886
 -0.9335
 -1.7709 -1.5603 -1.3990 -1.2716 -1.1711 -1.0883 -1.0153 -0.9488 -0.8875 -0.8315
 -0.7814 -0.7377 -0.7001 -0.6688 -0.6434 -0.5999 -0.5675 -0.5390 -0.5232 -0.5229
