 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
  0.5300  0.5071  0.4794  0.4488  0.4157  0.3799  0.3407  0.2970  0.2486  0.2009
 -0.3366 -0.2123 -0.1051 -0.0156  0.0554  0.1102  0.1514  0.1816  0.2066  0.2314
  0.2596  0.2913  0.3245  0.3568  0.3878  0.4568  0.5047  0.5324  0.5429  0.5389
  0.5236  0.4997  0.4708  0.4393  0.4061  0.3710  0.3337  0.2935  0.2492  0.2001
  0.1508
 -0.3335 -0.2069 -0.0945  0.0031  0.0858  0.1531  0.2068  0.2495  0.2845  0.3130
  0.3340  0.3488  0.3628  0.3804  0.4022  0.4610  0.5057  0.5316  0.5410  0.5364
  0.5204  0.4954  0.4646  0.4312  0.3967  0.3613  0.3244  0.2859  0.2445  0.2000
  0.1504
 -0.3293 -0.2043 -0.0921  0.0081  0.0956  0.1698  0.2314  0.2816  0.3226  0.3567
  0.3850  0.4073  0.4226  0.4321  0.4401  0.4714  0.5106  0.5342  0.5423  0.5371
  0.5202  0.4941  0.4612  0.4252  0.3883  0.3512  0.3136  0.2753  0.2357  0.1938
  0.1483
 -0.3132 -0.1976 -0.0893  0.0090  0.0970  0.1738  0.2392  0.2942  0.3399  0.3778
  0.4094  0.4359  0.4576  0.4742  0.4853  0.4998  0.5197  0.5400  0.5468  0.5412
  0.5241  0.4972  0.4627  0.4238  0.3838  0.3441  0.3046  0.2654  0.2258  0.1851
  0.1426
 -0.2762 -0.1730 -0.0751  0.0173  0.1020  0.1775  0.2432  0.2995  0.3474  0.3878
  0.4222  0.4512  0.4758  0.4962  0.5127  0.5349  0.5426  0.5503  0.5546  0.5482
  0.5311  0.5039  0.4685  0.4273  0.3840  0.3408  0.2984  0.2569  0.2159  0.1749
  0.1334
 -0.2187 -0.1291 -0.0424  0.0402  0.1185  0.1895  0.2523  0.3071  0.3542  0.3947
  0.4298  0.4603  0.4866  0.5092  0.5223  0.5767  0.5793  0.5651  0.5657
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = G_RP 
 -1.3197 -1.2669 -1.2065 -1.1316 -1.0495 -0.9199 -0.7172 -0.4575 -0.2403 -0.0398
  0.0908  0.1895  0.2677  0.3322  0.3876  0.4987
 -1.0804 -1.0242 -0.9685 -0.9056 -0.8324 -0.7279 -0.5700 -0.3604 -0.1646 -0.0089
  0.1098  0.2019  0.2757  0.3365  0.3884  0.4902  0.5618  0.6076  0.6291
 -0.8842 -0.8204 -0.7641 -0.7079 -0.6440 -0.5618 -0.4423 -0.2772 -0.1173  0.0171
  0.1246  0.2105  0.2805  0.3384  0.3876  0.4824  0.5480  0.5890  0.6074  0.6062
  0.5917
 -0.7311 -0.6555 -0.5933 -0.5385 -0.4842 -0.4215 -0.3341 -0.2079 -0.0776  0.0382
  0.1352  0.2153  0.2821  0.3379  0.3852  0.4753  0.5364  0.5739  0.5904  0.5894
  0.5750  0.5521  0.5225
 -0.6179 -0.5293 -0.4573 -0.3978 -0.3455 -0.2939 -0.2324 -0.1402 -0.0361  0.0619
  0.1477  0.2209  0.2836  0.3372  0.3829  0.4694  0.5270  0.5620  0.5769  0.5758
  0.5620  0.5396  0.5122  0.4800  0.4426
 -0.5113 -0.4236 -0.3487 -0.2849 -0.2299 -0.1810 -0.1326 -0.0692  0.0107  0.0913
  0.1651  0.2303  0.2876  0.3380  0.3818  0.4651  0.5200  0.5528  0.5665  0.5649
  0.5514  0.5293  0.5019  0.4706  0.4358  0.3970
 -0.4283 -0.3161 -0.2294 -0.1650 -0.1171 -0.0767 -0.0370  0.0068  0.0641  0.1274
  0.1890  0.2453  0.2961  0.3419  0.3830  0.4631  0.5154  0.5463  0.5589  0.5567
  0.5431  0.5208  0.4930  0.4619  0.4279  0.3913  0.3510  0.3057  0.2564  0.2082
 -0.4018 -0.2740 -0.1656 -0.0782 -0.0101  0.0417  0.0801  0.1101  0.1411  0.1791
  0.2223  0.2672  0.3103  0.3504  0.3876  0.4634  0.5133  0.5424  0.5541  0.5513
  0.5372  0.5144  0.4856  0.4536  0.4195  0.3833  0.3447  0.3034  0.2577  0.2076
  0.1580
 -0.3953 -0.2619 -0.1446 -0.0440  0.0392  0.1060  0.1591  0.2020  0.2380  0.2688
  0.2935  0.3154  0.3394  0.3672  0.3974  0.4664  0.5140  0.5414  0.5522  0.5489
  0.5341  0.5105  0.4804  0.4467  0.4113  0.3747  0.3367  0.2968  0.2545  0.2084
  0.1575
 -0.3935 -0.2593 -0.1394 -0.0336  0.0577  0.1343  0.1971  0.2483  0.2909  0.3276
  0.3589  0.3835  0.4009  0.4139  0.4272  0.4738  0.5181  0.5436  0.5532  0.5493
  0.5339  0.5092  0.4775  0.4415  0.4039  0.3658  0.3270  0.2874  0.2465  0.2032
  0.1565
 -0.3884 -0.2595 -0.1402 -0.0336  0.0608  0.1424  0.2114  0.2689  0.3165  0.3565
  0.3906  0.4198  0.4438  0.4621  0.4746  0.4961  0.5252  0.5486  0.5571  0.5528
  0.5372  0.5118  0.4788  0.4406  0.4002  0.3597  0.3191  0.2786  0.2377  0.1957
  0.1518
 -0.3671 -0.2474 -0.1357 -0.0316  0.0619  0.1446  0.2162  0.2769  0.3281  0.3712
  0.4077  0.4388  0.4655  0.4880  0.5061  0.5314  0.5438  0.5573  0.5640  0.5592
  0.5434  0.5178  0.4839  0.4439  0.4008  0.3571  0.3137  0.2711  0.2289  0.1866
  0.1437
 -0.3264 -0.2188 -0.1162 -0.0200  0.0696  0.1503  0.2212  0.2825  0.3347  0.3791
  0.4172  0.4499  0.4782  0.5025  0.5217  0.5797  0.5739  0.5697  0.5739
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value = G_RP 
 -1.5096 -1.4590 -1.3980 -1.3169 -1.2166 -1.0568 -0.8126 -0.5189 -0.2571 -0.0591
  0.0944  0.1953  0.2747  0.3391  0.3934  0.5018
 -1.2593 -1.2038 -1.1464 -1.0777 -0.9910 -0.8631 -0.6708 -0.4194 -0.1918 -0.0183
  0.1098  0.2061  0.2816  0.3429  0.3944  0.4948  0.5661  0.6128  0.6364
 -1.0505 -0.9860 -0.9273 -0.8659 -0.7920 -0.6924 -0.5456 -0.3459 -0.1553  0.0007
  0.1200  0.2122  0.2850  0.3442  0.3937  0.4883  0.5541  0.5961  0.6162  0.6170
  0.6039
 -0.8832 -0.8056 -0.7407 -0.6815 -0.6197 -0.5446 -0.4370 -0.2835 -0.1250  0.0133
  0.1250  0.2136  0.2849  0.3430  0.3913  0.4823  0.5440  0.5827  0.6005  0.6008
  0.5874  0.5644  0.5350
 -0.7569 -0.6643 -0.5888 -0.5253 -0.4676 -0.4077 -0.3322 -0.2193 -0.0915  0.0283
  0.1305  0.2146  0.2838  0.3410  0.3886  0.4771  0.5358  0.5720  0.5881  0.5880
  0.5752  0.5531  0.5249  0.4920  0.4544
 -0.6476 -0.5519 -0.4692 -0.3992 -0.3387 -0.2839 -0.2269 -0.1487 -0.0498  0.0503
  0.1407  0.2183  0.2841  0.3398  0.3866  0.4732  0.5294  0.5636  0.5785  0.5779
  0.5653  0.5437  0.5161  0.4843  0.4487  0.4089
 -0.5252 -0.4186 -0.3386 -0.2771 -0.2242 -0.1745 -0.1254 -0.0708  0.0013  0.0811
  0.1581  0.2272  0.2879  0.3407  0.3861  0.4709  0.5251  0.5575  0.5715  0.5703
  0.5577  0.5361  0.5085  0.4768  0.4420  0.4042  0.3625  0.3160  0.2658  0.2169
 -0.4781 -0.3472 -0.2396 -0.1554 -0.0911 -0.0430 -0.0060  0.0280  0.0709  0.1254
  0.1851  0.2432  0.2967  0.3450  0.3880  0.4705  0.5229  0.5537  0.5669  0.5653
  0.5523  0.5305  0.5022  0.4698  0.4349  0.3977  0.3578  0.3150  0.2679  0.2168
  0.1666
 -0.4647 -0.3243 -0.2027 -0.1005 -0.0174  0.0483  0.1005  0.1431  0.1800  0.2142
  0.2464  0.2798  0.3168  0.3556  0.3936  0.4723  0.5233  0.5524  0.5649  0.5630
  0.5494  0.5270  0.4978  0.4641  0.4280  0.3905  0.3510  0.3099  0.2661  0.2184
  0.1664
 -0.4628 -0.3193 -0.1919 -0.0808  0.0136  0.0917  0.1552  0.2074  0.2519  0.2916
  0.3261  0.3534  0.3744  0.3932  0.4145  0.4775  0.5265  0.5542  0.5655  0.5631
