 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.5478 -0.4318 -0.3271 -0.2600 -0.2461 -0.2175 -0.1232 -0.0220  0.0636  0.1317
  0.1892  0.2398  0.2864  0.3301  0.3713  0.4614  0.5278  0.5675  0.5829  0.5797
  0.5629  0.5383  0.5099  0.4785
 -0.4996 -0.3962 -0.2890 -0.1903 -0.1140 -0.0699 -0.0533 -0.0122  0.0637  0.1377
  0.1980  0.2484  0.2936  0.3354  0.3746  0.4601  0.5236  0.5616  0.5762  0.5728
  0.5560  0.5309  0.5017  0.4701  0.4361  0.3989  0.3574  0.3111  0.2610  0.2116
 -0.4442 -0.3555 -0.2604 -0.1633 -0.0728  0.0034  0.0611  0.0969  0.1178  0.1523
  0.2065  0.2581  0.3024  0.3428  0.3802  0.4613  0.5217  0.5581  0.5723  0.5687
  0.5518  0.5257  0.4951  0.4624  0.4279  0.3913  0.3524  0.3100  0.2630  0.2118
  0.1605
 -0.3838 -0.3056 -0.2245 -0.1392 -0.0531  0.0287  0.1005  0.1600  0.2057  0.2365
  0.2576  0.2834  0.3170  0.3531  0.3882  0.4651  0.5226  0.5574  0.5711  0.5676
  0.5505  0.5235  0.4910  0.4563  0.4205  0.3835  0.3446  0.3041  0.2609  0.2135
  0.1609
 -0.3244 -0.2505 -0.1774 -0.1044 -0.0293  0.0461  0.1185  0.1840  0.2405  0.2873
  0.3239  0.3499  0.3692  0.3874  0.4086  0.4729  0.5269  0.5599  0.5730  0.5694
  0.5522  0.5243  0.4895  0.4520  0.4138  0.3752  0.3357  0.2953  0.2535  0.2093
  0.1612
 -0.2719 -0.1952 -0.1264 -0.0610  0.0035  0.0686  0.1338  0.1970  0.2555  0.3074
  0.3519  0.3887  0.4176  0.4387  0.4547  0.4916  0.5340  0.5650  0.5776  0.5743
  0.5575  0.5293  0.4929  0.4524  0.4109  0.3697  0.3285  0.2872  0.2455  0.2026
  0.1578
 -0.2313 -0.1471 -0.0766 -0.0130  0.0457  0.1019  0.1577  0.2134  0.2677  0.3191
  0.3657  0.4065  0.4411  0.4692  0.4911  0.5263  0.5516  0.5738  0.5851  0.5819
  0.5657  0.5378  0.5005  0.4575  0.4125  0.3678  0.3237  0.2803  0.2373  0.1942
  0.1510
