 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -4.8353 -4.6485 -4.4735 -4.3097 -4.1572 -3.8277 -3.5587 -3.3256 -3.1156 -2.9270
 -2.7595 -2.6114 -2.4826 -2.3724
 -7.5536 -7.0788 -6.7112 -6.4760 -6.3612 -6.1954 -5.9007 -5.5919 -5.3081 -5.0627
 -4.8484 -4.6577 -4.4795 -4.3120 -4.1552 -3.8137 -3.5374 -3.3041 -3.0987 -2.9170
 -2.7577 -2.6177 -2.4955 -2.3901 -2.2987 -2.2191 -2.1462 -2.0775 -2.0213 -1.9848
 -7.6533 -7.1424 -6.7119 -6.3727 -6.1293 -5.9672 -5.8397 -5.6381 -5.3725 -5.1124
 -4.8828 -4.6821 -4.5004 -4.3295 -4.1688 -3.8147 -3.5282 -3.2917 -3.0887 -2.9120
 -2.7589 -2.6259 -2.5102 -2.4103 -2.3245 -2.2499 -2.1831 -2.1231 -2.0697 -2.0252
 -1.9987
 -7.7844 -7.2515 -6.7850 -6.3923 -6.0781 -5.8380 -5.6523 -5.5014 -5.3544 -5.1628
 -4.9374 -4.7232 -4.5340 -4.3601 -4.1957 -3.8297 -3.5308 -3.2880 -3.0847 -2.9110
 -2.7623 -2.6350 -2.5252 -2.4308 -2.3505 -2.2815 -2.2215 -2.1688 -2.1210 -2.0776
 -2.0436
 -7.9326 -7.3813 -6.8953 -6.4685 -6.1084 -5.8167 -5.5855 -5.3953 -5.2295 -5.0789
 -4.9289 -4.7593 -4.5742 -4.3978 -4.2309 -3.8547 -3.5426 -3.2908 -3.0843 -2.9114
 -2.7657 -2.6424 -2.5378 -2.4489 -2.3740 -2.3108 -2.2565 -2.2091 -2.1672 -2.1303
 -2.0980
 -8.0618 -7.5224 -7.0321 -6.5864 -6.1943 -5.8622 -5.5901 -5.3686 -5.1819 -5.0144
 -4.8595 -4.7143 -4.5720 -4.4237 -4.2704 -3.8945 -3.5696 -3.3064 -3.0935 -2.9187
 -2.7734 -2.6523 -2.5511 -2.4667 -2.3966 -2.3387 -2.2902 -2.2486 -2.2122 -2.1802
 -2.1526
 -8.1761 -7.6546 -7.1711 -6.7223 -6.3128 -5.9518 -5.6443 -5.3887 -5.1769 -4.9958
 -4.8324 -4.6801 -4.5366 -4.4013 -4.2691 -3.9338 -3.6071 -3.3315 -3.1098 -2.9304
 -2.7834 -2.6625 -2.5631 -2.4818 -2.4157 -2.3625 -2.3195 -2.2838 -2.2532 -2.2267
 -2.2023
 -8.2756 -7.7779 -7.2925 -6.8560 -6.4451 -6.0699 -5.7367 -5.4504 -5.2092 -5.0060
 -4.8307 -4.6731 -4.5259 -4.3868 -4.2270 -3.9726 -3.6551 -3.3661 -3.1332
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  B   
 -8.1543 -7.5887 -7.1238 -6.7498 -6.4039 -6.1054 -5.8442 -5.6057 -5.3814 -5.1899
 -5.0088 -4.8390 -4.6810 -4.5345 -4.3988 -4.0986 -3.8264 -3.5729 -3.3360
 -8.1988 -7.6619 -7.1598 -6.7286 -6.3659 -6.0452 -5.7706 -5.5249 -5.2963 -5.1002
 -4.9162 -4.7442 -4.5842 -4.4357 -4.2982 -3.9981 -3.7393 -3.4983 -3.2661 -3.0429
 -7.8825 -7.7121 -7.2238 -6.7808 -6.3821 -6.0353 -5.7399 -5.4844 -5.2512 -5.0489
