 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -3.7187 -3.5240 -3.3865 -3.2935 -3.2303 -3.1857 -3.1527 -3.1271 -3.1059 -3.0877
 -3.0710
-10.4000 -9.7258 -9.1511 -8.6641 -8.2514 -7.8999 -7.5987 -7.3400 -7.1173 -6.9227
 -6.7488 -6.5905 -6.4446 -6.3038 -6.1498 -5.6607 -5.1375 -4.6895 -4.3075 -3.9832
 -3.7184 -3.5133 -3.3650 -3.2650 -3.1995 -3.1564 -3.1277 -3.1076 -3.0930 -3.0819
 -3.0731
-11.2230-10.4428 -9.7469 -9.1493 -8.6364 -8.1985 -7.8230 -7.5001 -7.2204 -6.9762
 -6.7604 -6.5660 -6.3877 -6.2225 -6.0674 -5.6682 -5.1916 -4.7347 -4.3467 -4.0157
 -3.7399 -3.5208 -3.3571 -3.2438 -3.1704 -3.1243 -3.0963 -3.0794 -3.0697 -3.0644
 -3.0618
-12.0803-11.2280-10.4518 -9.7545 -9.1436 -8.6107 -8.1493 -7.7510 -7.4066 -7.1073
 -6.8449 -6.6119 -6.4016 -6.2092 -6.0309 -5.6345 -5.2352 -4.8008 -4.4039 -4.0645
 -3.7775 -3.5436 -3.3627 -3.2323 -3.1456 -3.0916 -3.0603 -3.0436 -3.0364 -3.0352
 -3.0377
-12.9035-12.0086-11.1792-10.4183 -9.7329 -9.1190 -8.5749 -8.0964 -7.6791 -7.3169
 -7.0014 -6.7242 -6.4778 -6.2557 -6.0403 -5.5596 -5.2683 -4.8878 -4.4791
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = UX   
 -9.5086 -9.5181 -9.5228 -9.5164 -9.4944 -9.4485 -9.3709 -9.2570 -9.1102 -8.9391
 -8.7514 -8.5398 -8.3020 -8.0422 -7.7706 -7.0814 -6.4114 -5.7752 -5.1919
 -8.9887 -8.9876 -8.9871 -8.9801 -8.9603 -8.9221 -8.8596 -8.7658 -8.6382 -8.4802
 -8.2950 -8.0826 -7.8426 -7.5831 -7.3145 -6.6525 -6.0250 -5.4516 -4.9452 -4.5130
 -8.5753 -8.5466 -8.5300 -8.5154 -8.4942 -8.4600 -8.4067 -8.3280 -8.2193 -8.0790
 -7.9078 -7.7064 -7.4767 -7.2262 -6.9669 -6.3345 -5.7471 -5.2179 -4.7582 -4.3704
 -4.0578
 -8.3549 -8.2544 -8.1910 -8.1498 -8.1164 -8.0791 -8.0294 -7.9603 -7.8667 -7.7445
 -7.5917 -7.4082 -7.1949 -6.9584 -6.7102 -6.1033 -5.5473 -5.0493 -4.6191 -4.2599
 -3.9700 -3.7506
 -8.3768 -8.1820 -8.0426 -7.9366 -7.8566 -7.7961 -7.7394 -7.6720 -7.5868 -7.4787
 -7.3435 -7.1792 -6.9850 -6.7646 -6.5283 -5.9404 -5.4064 -4.9307 -4.5191 -4.1772
 -3.9019 -3.6923 -3.5401 -3.4274
 -8.5985 -8.2938 -8.0487 -7.8604 -7.7232 -7.6251 -7.5473 -7.4733 -7.3869 -7.2833
 -7.1588 -7.0102 -6.8345 -6.6316 -6.4077 -5.8344 -5.3129 -4.8525 -4.4527 -4.1197
 -3.8521 -3.6468 -3.4983 -3.3921 -3.3129 -3.2496 -3.1961 -3.1481 -3.1023 -3.0580
 -8.9291 -8.5409 -8.2124 -7.9387 -7.7167 -7.5407 -7.4060 -7.3083 -7.2313 -7.1462
 -7.0347 -6.8957 -6.7329 -6.5464 -6.3367 -5.7767 -5.2601 -4.8086 -4.4159 -4.0856
 -3.8195 -3.6136 -3.4639 -3.3590 -3.2846 -3.2288 -3.1843 -3.1471 -3.1140 -3.0823
 -3.0500
 -9.3837 -8.8959 -8.4830 -8.1332 -7.8393 -7.5948 -7.3939 -7.2308 -7.0989 -6.9897
 -6.8918 -6.7874 -6.6558 -6.4917 -6.3013 -5.7600 -5.2436 -4.7948 -4.4052 -4.0738
 -3.8039 -3.5930 -3.4374 -3.3290 -3.2550 -3.2033 -3.1652 -3.1355 -3.1112 -3.0900
 -3.0703
-10.0195 -9.3982 -8.8754 -8.4350 -8.0638 -7.7503 -7.4859 -7.2638 -7.0768 -6.9166
 -6.7754 -6.6473 -6.5269 -6.4019 -6.2543 -5.7727 -5.2555 -4.8042 -4.4142 -4.0794
 -3.8019 -3.5822 -3.4174 -3.3015 -3.2241 -3.1730 -3.1389 -3.1148 -3.0970 -3.0833
 -3.0722
-10.8593-10.1027 -9.4431 -8.8852 -8.4148 -8.0178 -7.6817 -7.3955 -7.1509 -6.9401
 -6.7551 -6.5887 -6.4356 -6.2935 -6.1585 -5.7816 -5.3017 -4.8444 -4.4506 -4.1103
 -3.8227 -3.5902 -3.4117 -3.2830 -3.1966 -3.1414 -3.1073 -3.0862 -3.0732 -3.0653
 -3.0605
-11.7977-10.9423-10.1735 -9.4910 -8.9073 -8.4088 -7.9848 -7.6233 -7.3136 -7.0464
 -6.8134 -6.6072 -6.4210 -6.2501 -6.0917 -5.7353 -5.3470 -4.9059 -4.5053 -4.1583
 -3.8605 -3.6140 -3.4198 -3.2751 -3.1749 -3.1106 -3.0723 -3.0507 -3.0399 -3.0361
 -3.0363
-12.7109-11.8026-10.9632-10.2013 -9.5180 -8.9213 -8.4025 -7.9548 -7.5691 -7.2370
 -6.9489 -6.6968 -6.4732 -6.2717 -6.0539 -5.6338 -5.3914 -4.9887 -4.5783
