 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  w   
 -0.7241 -0.6708 -0.6264 -0.5838 -0.5387 -0.4137 -0.3000 -0.2153 -0.1563 -0.1179
 -0.0923 -0.0815 -0.0723 -0.0646 -0.0576 -0.0513 -0.0461 -0.0416 -0.0402 -0.0447
 -0.0569
 -2.2120 -1.9932 -1.7706 -1.5609 -1.3715 -1.2072 -1.0676 -0.9497 -0.8505 -0.7671
 -0.6966 -0.6364 -0.5846 -0.5402 -0.5007 -0.3990 -0.2948 -0.2114 -0.1529 -0.1154
 -0.0944 -0.0848 -0.0806 -0.0782 -0.0760 -0.0736 -0.0713 -0.0695 -0.0689 -0.0708
 -0.0774
 -2.1596 -1.9575 -1.7531 -1.5543 -1.3714 -1.2099 -1.0710 -0.9520 -0.8502 -0.7629
 -0.6877 -0.6228 -0.5662 -0.5162 -0.4720 -0.3771 -0.2857 -0.2066 -0.1483 -0.1104
 -0.0898 -0.0823 -0.0826 -0.0858 -0.0893 -0.0921 -0.0943 -0.0960 -0.0977 -0.1003
 -0.1036
 -2.0952 -1.9051 -1.7163 -1.5313 -1.3597 -1.2058 -1.0712 -0.9548 -0.8539 -0.7656
 -0.6878 -0.6192 -0.5585 -0.5048 -0.4568 -0.3570 -0.2721 -0.1986 -0.1421 -0.1038
 -0.0826 -0.0755 -0.0784 -0.0865 -0.0958 -0.1046 -0.1124 -0.1189 -0.1246 -0.1299
 -0.1358
 -2.0281 -1.8442 -1.6664 -1.4954 -1.3359 -1.1914 -1.0636 -0.9519 -0.8540 -0.7675
 -0.6899 -0.6200 -0.5568 -0.5000 -0.4551 -0.3387 -0.2540 -0.1874 -0.1343
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  w   
 -3.3402 -3.2051 -3.0783 -2.9509 -2.8278 -2.6648 -2.4131 -2.0625 -1.7070 -1.4039
 -1.1680 -0.9893 -0.8522 -0.7421 -0.6490 -0.4626 -0.3192 -0.2068 -0.1194
 -3.0988 -2.9510 -2.8173 -2.6896 -2.5585 -2.4070 -2.1949 -1.8975 -1.5969 -1.3319
