 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -5.4471 -5.0422 -4.7184 -4.4849 -4.2680 -4.0829 -3.9204 -3.7686 -3.6205 -3.4724
 -3.3190 -3.1545 -2.9744 -2.7883 -2.6149 -2.2592 -1.9829 -1.7548 -1.5661 -1.4141
 -1.2885 -1.1847 -1.0931
 -5.2658 -4.8438 -4.5098 -4.2520 -4.0487 -3.8788 -3.7249 -3.5754 -3.4306 -3.2911
 -3.1529 -3.0109 -2.8571 -2.6881 -2.5220 -2.1801 -1.9241 -1.7196 -1.5511 -1.4137
 -1.3002 -1.2030 -1.1173 -1.0403 -0.9707
 -5.2218 -4.7941 -4.4392 -4.1573 -3.9335 -3.7510 -3.5958 -3.4565 -3.3231 -3.1875
 -3.0465 -2.9090 -2.7717 -2.6243 -2.4677 -2.1328 -1.8869 -1.6973 -1.5439 -1.4184
 -1.3143 -1.2246 -1.1447 -1.0722 -1.0058 -0.9454
 -5.2210 -4.7930 -4.4333 -4.1336 -3.8842 -3.6759 -3.5007 -3.3514 -3.2217 -3.1066
 -2.9886 -2.8556 -2.7190 -2.5821 -2.4385 -2.1088 -1.8658 -1.6840 -1.5409 -1.4251
 -1.3294 -1.2471 -1.1734 -1.1059 -1.0433 -0.9852 -0.9321 -0.8841 -0.8437 -0.8205
 -5.2236 -4.8097 -4.4537 -4.1521 -3.8962 -3.6777 -3.4893 -3.3251 -3.1799 -3.0481
 -2.9260 -2.8089 -2.6875 -2.5601 -2.4254 -2.1016 -1.8565 -1.6771 -1.5396 -1.4309
 -1.3427 -1.2678 -1.2009 -1.1393 -1.0815 -1.0270 -0.9765 -0.9300 -0.8891 -0.8575
 -0.8429
 -5.2094 -4.8197 -4.4780 -4.1817 -3.9252 -3.7021 -3.5058 -3.3312 -3.1744 -3.0319
 -2.8990 -2.7735 -2.6533 -2.5367 -2.4172 -2.1076 -1.8567 -1.6751 -1.5395 -1.4346
 -1.3520 -1.2840 -1.2244 -1.1695 -1.1178 -1.0683 -1.0216 -0.9779 -0.9381 -0.9041
 -0.8815
 -5.1635 -4.8019 -4.4842 -4.2024 -3.9529 -3.7308 -3.5315 -3.3511 -3.1864 -3.0351
 -2.8944 -2.7621 -2.6362 -2.5163 -2.4013 -2.1142 -1.8641 -1.6762 -1.5393 -1.4355
 -1.3559 -1.2933 -1.2408 -1.1935 -1.1488 -1.1057 -1.0643 -1.0246 -0.9875 -0.9542
 -0.9272
 -5.0947 -4.7692 -4.4760 -4.2126 -3.9754 -3.7598 -3.5620 -3.3796 -3.2107 -3.0538
 -2.9073 -2.7696 -2.6393 -2.5154 -2.3976 -2.1206 -1.8783 -1.6852 -1.5433 -1.4379
 -1.3584 -1.2982 -1.2509 -1.2106 -1.1737 -1.1381 -1.1035 -1.0697 -1.0371 -1.0065
 -0.9777
 -5.0155 -4.7188 -4.4489 -4.2037 -3.9806 -3.7756 -3.5847 -3.4051 -3.2358 -3.0764
 -2.9265 -2.7853 -2.6518 -2.5250 -2.4043 -2.1270 -1.8897 -1.6965 -1.5496 -1.4410
 -1.3600 -1.2998 -1.2548 -1.2198 -1.1899 -1.1621 -1.1353 -1.1087 -1.0823 -1.0567
 -1.0325
 -4.9283 -4.6580 -4.4093 -4.1803 -3.9691 -3.7736 -3.5917 -3.4192 -3.2540 -3.0961
 -2.9456 -2.8028 -2.6676 -2.5393 -2.4214 -2.1334 -1.8983 -1.7101 -1.5582
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  g   
 -7.1586 -6.8907 -6.6303 -6.3640 -6.1014 -5.8009 -5.4399 -5.0240 -4.6461 -4.3190
 -4.0257 -3.7590 -3.5165 -3.2978 -3.0997 -2.6739
 -6.6457 -6.3271 -6.0351 -5.7585 -5.4931 -5.2174 -4.9090 -4.5697 -4.2611 -3.9862
 -3.7315 -3.4891 -3.2602 -3.0510 -2.8633 -2.4730 -2.1533 -1.8764 -1.6408
 -6.2484 -5.8904 -5.5702 -5.2807 -5.0129 -4.7563 -4.4911 -4.2120 -3.9559 -3.7223
 -3.5011 -3.2839 -3.0711 -2.8713 -2.6912 -2.3244 -2.0383 -1.7996 -1.5957 -1.4257
 -1.2852
 -5.9667 -5.5806 -5.2356 -4.9306 -4.6608 -4.4175 -4.1862 -3.9509 -3.7305 -3.5273
 -3.3345 -3.1434 -2.9492 -2.7587 -2.5834 -2.2281 -1.9614 -1.7470 -1.5667 -1.4146
 -1.2880 -1.1808 -1.0881
 -5.7208 -5.3072 -4.9723 -4.6762 -4.4088 -4.1710 -3.9575 -3.7538 -3.5600 -3.3798
 -3.2093 -3.0419 -2.8699 -2.6925 -2.5218 -2.1709 -1.9134 -1.7136 -1.5496 -1.4116
 -1.2957 -1.1966 -1.1099 -1.0324 -0.9627
 -5.5615 -5.1178 -4.7499 -4.4451 -4.1914 -3.9790 -3.7945 -3.6145 -3.4387 -3.2723
 -3.1155 -2.9648 -2.8135 -2.6542 -2.4911 -2.1413 -1.8860 -1.6940 -1.5408 -1.4137
 -1.3069 -1.2155 -1.1347 -1.0621 -0.9959 -0.9356
 -5.5421 -5.0675 -4.6633 -4.3255 -4.0477 -3.8198 -3.6338 -3.4809 -3.3441 -3.2067
 -3.0599 -2.9136 -2.7715 -2.6290 -2.4785 -2.1308 -1.8729 -1.6835 -1.5369 -1.4180
 -1.3194 -1.2352 -1.1608 -1.0933 -1.0311 -0.9737 -0.9215 -0.8743 -0.8343 -0.8108
 -5.5913 -5.0950 -4.6690 -4.3113 -4.0141 -3.7686 -3.5654 -3.3947 -3.2483 -3.1212
 -3.0054 -2.8842 -2.7508 -2.6133 -2.4743 -2.1335 -1.8702 -1.6792 -1.5357 -1.4225
 -1.3305 -1.2534 -1.1858 -1.1242 -1.0669 -1.0134 -0.9640 -0.9190 -0.8788 -0.8470
 -0.8318
 -5.6734 -5.1670 -4.7264 -4.3522 -4.0391 -3.7781 -3.5594 -3.3746 -3.2158 -3.0759
 -2.9493 -2.8328 -2.7209 -2.6027 -2.4749 -2.1456 -1.8755 -1.6796 -1.5358 -1.4257
 -1.3377 -1.2679 -1.2072 -1.1524 -1.1012 -1.0526 -1.0072 -0.9640 -0.9251 -0.8932
 -0.8700
 -5.7396 -5.2458 -4.8018 -4.4203 -4.0957 -3.8215 -3.5895 -3.3910 -3.2191 -3.0678
 -2.9313 -2.8051 -2.6864 -2.5736 -2.4615 -2.1594 -1.8856 -1.6825 -1.5358 -1.4264
 -1.3423 -1.2764 -1.2222 -1.1746 -1.1304 -1.0883 -1.0481 -1.0099 -0.9743 -0.9425
 -0.9161
 -5.7742 -5.3070 -4.8810 -4.5033 -4.1748 -3.8919 -3.6486 -3.4379 -3.2534 -3.0900
 -2.9428 -2.8079 -2.6817 -2.5623 -2.4486 -2.1708 -1.9061 -1.6935 -1.5404 -1.4286
 -1.3449 -1.2813 -1.2318 -1.1908 -1.1541 -1.1193 -1.0858 -1.0533 -1.0223 -0.9933
 -0.9662
 -5.7725 -5.3399 -4.9411 -4.5763 -4.2539 -3.9699 -3.7206 -3.5009 -3.3059 -3.1315
 -2.9737 -2.8295 -2.6957 -2.5703 -2.4514 -2.1759 -1.9250 -1.7107 -1.5487 -1.4320
 -1.3465 -1.2830 -1.2358 -1.1997 -1.1697 -1.1424 -1.1165 -1.0910 -1.0660 -1.0419
 -1.0194
 -5.7307 -5.3379 -4.9707 -4.6291 -4.3194 -4.0415 -3.7929 -3.5693 -3.3675 -3.1844
 -3.0176 -2.8648 -2.7235 -2.5918 -2.4699 -2.1747 -1.9423 -1.7341 -1.5607
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  g   
 -7.8314 -7.6249 -7.4187 -7.1945 -6.9706 -6.6363 -6.1088 -5.4068 -4.8407 -4.2781
 -3.9168 -3.6267 -3.3832 -3.1694 -2.9794 -2.5839
