 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -1.4878 -1.4777 -1.4740 -1.4741 -1.4767 -1.4814 -1.4883 -1.4981 -1.5115 -1.5298
 -1.5519
 -3.0430 -2.8819 -2.7366 -2.6077 -2.4965 -2.4022 -2.3216 -2.2504 -2.1860 -2.1298
 -2.0829 -2.0405 -1.9935 -1.9393 -1.8823 -1.7552 -1.6589 -1.5888 -1.5402 -1.5088
 -1.4905 -1.4821 -1.4810 -1.4841 -1.4895 -1.4965 -1.5051 -1.5152 -1.5275 -1.5438
 -1.5655
 -3.0431 -2.8831 -2.7358 -2.6004 -2.4788 -2.3724 -2.2807 -2.2013 -2.1310 -2.0679
 -2.0121 -1.9652 -1.9276 -1.8945 -1.8588 -1.7530 -1.6581 -1.5882 -1.5396 -1.5083
 -1.4907 -1.4838 -1.4850 -1.4915 -1.5004 -1.5106 -1.5217 -1.5336 -1.5467 -1.5620
 -1.5809
 -3.0324 -2.8825 -2.7383 -2.6033 -2.4780 -2.3654 -2.2665 -2.1807 -2.1059 -2.0400
 -1.9813 -1.9291 -1.8839 -1.8460 -1.8144 -1.7402 -1.6569 -1.5873 -1.5382 -1.5064
 -1.4888 -1.4827 -1.4857 -1.4950 -1.5077 -1.5216 -1.5362 -1.5509 -1.5660 -1.5821
 -1.5999
 -3.0039 -2.8660 -2.7328 -2.6021 -2.4794 -2.3660 -2.2641 -2.1746 -2.0965 -2.0279
 -1.9672 -1.9130 -1.8646 -1.8218 -1.7846 -1.7126 -1.6480 -1.5846 -1.5354 -1.5030
 -1.4849 -1.4789 -1.4828 -1.4943 -1.5103 -1.5283 -1.5469 -1.5654 -1.5836 -1.6019
 -1.6208
 -2.9592 -2.8352 -2.7123 -2.5918 -2.4745 -2.3649 -2.2644 -2.1743 -2.0947 -2.0245
 -1.9622 -1.9064 -1.8563 -1.8112 -1.7694 -1.6702 -1.6314 -1.5801 -1.5312
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =F350LP
 -3.9418 -3.8686 -3.7940 -3.7076 -3.6001 -3.4477 -3.2266 -2.9428 -2.6795 -2.4625
 -2.2924 -2.1604 -2.0566 -1.9724 -1.9010 -1.7594 -1.6526 -1.5702 -1.5076
 -3.7361 -3.6524 -3.5755 -3.4962 -3.4043 -3.2837 -3.1062 -2.8747 -2.6427 -2.4404
 -2.2763 -2.1464 -2.0435 -1.9602 -1.8900 -1.7516 -1.6482 -1.5702 -1.5129 -1.4716
 -3.5749 -3.4767 -3.3923 -3.3142 -3.2338 -3.1382 -3.0017 -2.8161 -2.6165 -2.4308
 -2.2726 -2.1436 -2.0400 -1.9559 -1.8857 -1.7484 -1.6470 -1.5719 -1.5176 -1.4791
 -1.4526
 -3.4533 -3.3405 -3.2449 -3.1617 -3.0841 -3.0033 -2.9005 -2.7550 -2.5880 -2.4222
 -2.2729 -2.1462 -2.0420 -1.9566 -1.8856 -1.7484 -1.6480 -1.5745 -1.5222 -1.4855
 -1.4605 -1.4442
 -3.3293 -3.2231 -3.1255 -3.0378 -2.9579 -2.8812 -2.7984 -2.6874 -2.5510 -2.4075
 -2.2710 -2.1497 -2.0462 -1.9599 -1.8879 -1.7501 -1.6504 -1.5776 -1.5264 -1.4912
 -1.4675 -1.4525 -1.4436 -1.4389
 -3.1838 -3.0609 -2.9689 -2.8985 -2.8354 -2.7696 -2.6975 -2.6117 -2.5035 -2.3830
 -2.2622 -2.1497 -2.0498 -1.9640 -1.8912 -1.7526 -1.6531 -1.5807 -1.5301 -1.4959
 -1.4735 -1.4599 -1.4526 -1.4497 -1.4500 -1.4536 -1.4608 -1.4722 -1.4877 -1.5064
 -3.1305 -2.9786 -2.8526 -2.7521 -2.6734 -2.6112 -2.5587 -2.5032 -2.4312 -2.3413
 -2.2420 -2.1428 -2.0499 -1.9669 -1.8944 -1.7550 -1.6557 -1.5834 -1.5330 -1.4994
 -1.4781 -1.4659 -1.4605 -1.4597 -1.4620 -1.4668 -1.4742 -1.4848 -1.4991 -1.5179
 -1.5402
 -3.1182 -2.9537 -2.8095 -2.6858 -2.5827 -2.4972 -2.4244 -2.3588 -2.2965 -2.2367
 -2.1765 -2.1107 -2.0385 -1.9651 -1.8962 -1.7571 -1.6576 -1.5854 -1.5348 -1.5014
 -1.4810 -1.4701 -1.4666 -1.4683 -1.4731 -1.4801 -1.4892 -1.5001 -1.5136 -1.5308
 -1.5531
 -3.1202 -2.9520 -2.7995 -2.6631 -2.5435 -2.4409 -2.3530 -2.2755 -2.2040 -2.1369
 -2.0765 -2.0250 -1.9799 -1.9348 -1.8849 -1.7571 -1.6576 -1.5855 -1.5348 -1.5014
 -1.4816 -1.4721 -1.4705 -1.4748 -1.4826 -1.4925 -1.5040 -1.5168 -1.5310 -1.5474
 -1.5676
 -3.1264 -2.9599 -2.8056 -2.6639 -2.5351 -2.4209 -2.3213 -2.2347 -2.1581 -2.0885
 -2.0246 -1.9674 -1.9182 -1.8774 -1.8420 -1.7517 -1.6577 -1.5854 -1.5343 -1.5004
 -1.4805 -1.4718 -1.4717 -1.4782 -1.4890 -1.5023 -1.5169 -1.5323 -1.5485 -1.5658
 -1.5850
 -3.1200 -2.9618 -2.8121 -2.6704 -2.5390 -2.4189 -2.3118 -2.2180 -2.1360 -2.0638
 -1.9990 -1.9406 -1.8882 -1.8423 -1.8031 -1.7262 -1.6534 -1.5840 -1.5325 -1.4979
 -1.4776 -1.4690 -1.4699 -1.4780 -1.4915 -1.5081 -1.5264 -1.5453 -1.5644 -1.5839
 -1.6042
 -3.0962 -2.9503 -2.8090 -2.6736 -2.5435 -2.4231 -2.3131 -2.2150 -2.1290 -2.0536
 -1.9870 -1.9276 -1.8743 -1.8265 -1.7682 -1.6806 -1.6447 -1.5813 -1.5294
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =F350LP
 -4.1542 -4.0987 -4.0379 -3.9583 -3.8399 -3.6485 -3.3696 -3.0271 -2.7304 -2.4901
 -2.3048 -2.1627 -2.0524 -1.9635 -1.8906 -1.7485 -1.6431 -1.5622 -1.4996
 -3.9386 -3.8708 -3.8057 -3.7319 -3.6341 -3.4904 -3.2675 -2.9805 -2.7069 -2.4767
 -2.2947 -2.1531 -2.0424 -1.9542 -1.8815 -1.7419 -1.6389 -1.5612 -1.5034 -1.4611
