 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.2783 -2.1385 -2.0109 -1.9008 -1.8170 -1.7672 -1.7461 -1.7001 -1.6186 -1.5392
 -1.4730 -1.4164 -1.3655 -1.3182 -1.2738 -1.1755 -1.1005 -1.0544 -1.0346 -1.0348
 -1.0494 -1.0733 -1.1018 -1.1336 -1.1686 -1.2075 -1.2511 -1.3000 -1.3530 -1.4052
 -2.2427 -2.1072 -1.9824 -1.8686 -1.7689 -1.6861 -1.6230 -1.5826 -1.5578 -1.5192
 -1.4607 -1.4042 -1.3547 -1.3093 -1.2669 -1.1736 -1.1021 -1.0578 -1.0387 -1.0389
 -1.0535 -1.0780 -1.1075 -1.1397 -1.1742 -1.2115 -1.2518 -1.2960 -1.3450 -1.3984
 -1.4520
 -2.2148 -2.0751 -1.9545 -1.8446 -1.7447 -1.6546 -1.5771 -1.5128 -1.4628 -1.4283
 -1.4039 -1.3749 -1.3374 -1.2970 -1.2574 -1.1689 -1.1009 -1.0585 -1.0399 -1.0400
 -1.0547 -1.0799 -1.1111 -1.1448 -1.1801 -1.2169 -1.2561 -1.2975 -1.3420 -1.3910
 -1.4453
 -2.2038 -2.0508 -1.9233 -1.8167 -1.7207 -1.6331 -1.5534 -1.4828 -1.4223 -1.3718
 -1.3320 -1.3029 -1.2805 -1.2591 -1.2343 -1.1600 -1.0959 -1.0557 -1.0379 -1.0381
 -1.0529 -1.0788 -1.1120 -1.1484 -1.1857 -1.2236 -1.2627 -1.3031 -1.3453 -1.3902
 -1.4395
 -2.2180 -2.0400 -1.9001 -1.7883 -1.6945 -1.6109 -1.5347 -1.4647 -1.4017 -1.3464
 -1.2989 -1.2593 -1.2275 -1.2032 -1.1840 -1.1391 -1.0881 -1.0502 -1.0331 -1.0330
 -1.0474 -1.0735 -1.1083 -1.1475 -1.1879 -1.2281 -1.2685 -1.3092 -1.3506 -1.3934
 -1.4385
 -2.2653 -2.0555 -1.8943 -1.7670 -1.6666 -1.5841 -1.5115 -1.4455 -1.3848 -1.3294
 -1.2799 -1.2367 -1.1996 -1.1687 -1.1436 -1.1008 -1.0689 -1.0408 -1.0252 -1.0252
 -1.0389 -1.0648 -1.1004 -1.1420 -1.1858 -1.2293 -1.2724 -1.3148 -1.3569 -1.3994
 -1.4421
 -2.3586 -2.1032 -1.9131 -1.7645 -1.6476 -1.5568 -1.4837 -1.4206 -1.3638 -1.3116
 -1.2635 -1.2201 -1.1816 -1.1481 -1.1197 -1.0690 -1.0405 -1.0232 -1.0139
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  i   
 -2.8464 -2.6131 -2.4052 -2.2338 -2.0845 -1.9497 -1.8431 -1.7507 -1.6727 -1.5991
 -1.5290 -1.4631 -1.4016 -1.3439 -1.2898 -1.1690 -1.0718 -1.0024 -0.9655
 -2.6806 -2.6200 -2.4139 -2.2276 -2.0707 -1.9348 -1.8245 -1.7324 -1.6528 -1.5797
 -1.5123 -1.4494 -1.3907 -1.3354 -1.2834 -1.1683 -1.0771 -1.0145 -0.9832 -0.9796
 -2.5197 -2.5312 -2.4133 -2.2346 -2.0697 -1.9279 -1.8126 -1.7169 -1.6367 -1.5642
 -1.4992 -1.4392 -1.3832 -1.3305 -1.2808 -1.1705 -1.0837 -1.0255 -0.9972 -0.9938
 -1.0080
 -2.3869 -2.2875 -2.2921 -2.2244 -2.0755 -1.9311 -1.8077 -1.7064 -1.6231 -1.5508
 -1.4874 -1.4298 -1.3763 -1.3262 -1.2789 -1.1733 -1.0899 -1.0348 -1.0084 -1.0050
 -1.0182 -1.0420
 -2.3488 -2.1958 -2.0904 -2.0616 -2.0422 -1.9334 -1.8098 -1.7015 -1.6129 -1.5394
 -1.4756 -1.4198 -1.3686 -1.3209 -1.2759 -1.1754 -1.0952 -1.0423 -1.0172 -1.0139
 -1.0263 -1.0492 -1.0781 -1.1112
 -2.3278 -2.1670 -2.0301 -1.9251 -1.8650 -1.8467 -1.7981 -1.7017 -1.6078 -1.5296
 -1.4644 -1.4089 -1.3594 -1.3138 -1.2711 -1.1756 -1.0989 -1.0479 -1.0237 -1.0205
 -1.0324 -1.0548 -1.0835 -1.1160 -1.1520 -1.1921 -1.2372 -1.2876 -1.3416 -1.3944
 -2.3128 -2.1506 -2.0084 -1.8862 -1.7861 -1.7130 -1.6694 -1.6438 -1.5962 -1.5232
 -1.4548 -1.3975 -1.3487 -1.3048 -1.2641 -1.1735 -1.1004 -1.0514 -1.0278 -1.0247
 -1.0364 -1.0587 -1.0878 -1.1205 -1.1560 -1.1945 -1.2363 -1.2821 -1.3327 -1.3871
 -1.4409
 -2.3102 -2.1381 -1.9946 -1.8695 -1.7603 -1.6681 -1.5936 -1.5372 -1.4991 -1.4715
 -1.4352 -1.3852 -1.3367 -1.2940 -1.2548 -1.1687 -1.0994 -1.0525 -1.0295 -1.0263
 -1.0379 -1.0604 -1.0903 -1.1243 -1.1603 -1.1983 -1.2388 -1.2819 -1.3283 -1.3788
 -1.4339
 -2.3249 -2.1333 -1.9814 -1.8550 -1.7452 -1.6490 -1.5652 -1.4945 -1.4367 -1.3912
 -1.3578 -1.3325 -1.3055 -1.2744 -1.2409 -1.1603 -1.0948 -1.0502 -1.0282 -1.0251
 -1.0368 -1.0597 -1.0908 -1.1267 -1.1645 -1.2034 -1.2438 -1.2855 -1.3294 -1.3765
 -1.4274
 -2.3664 -2.1490 -1.9786 -1.8435 -1.7322 -1.6360 -1.5512 -1.4763 -1.4115 -1.3564
 -1.3107 -1.2741 -1.2459 -1.2235 -1.2036 -1.1476 -1.0880 -1.0456 -1.0244 -1.0211
 -1.0325 -1.0556 -1.0875 -1.1253 -1.1655 -1.2065 -1.2480 -1.2901 -1.3333 -1.3780
 -1.4250
 -2.4406 -2.1895 -1.9945 -1.8408 -1.7200 -1.6220 -1.5377 -1.4634 -1.3972 -1.3388
 -1.2883 -1.2453 -1.2093 -1.1799 -1.1567 -1.1146 -1.0750 -1.0379 -1.0178 -1.0145
 -1.0255 -1.0483 -1.0807 -1.1200 -1.1629 -1.2067 -1.2505 -1.2942 -1.3379 -1.3822
 -1.4267
 -2.5568 -2.2609 -2.0351 -1.8574 -1.7177 -1.6089 -1.5220 -1.4483 -1.3835 -1.3256
 -1.2738 -1.2284 -1.1891 -1.1555 -1.1274 -1.0783 -1.0477 -1.0242 -1.0082
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.8033 -2.5698 -2.3710 -2.2085 -2.0598 -1.9284 -1.8272 -1.7394 -1.6597 -1.5877
 -1.5197 -1.4554 -1.3955 -1.3395 -1.2872 -1.1708 -1.0792 -1.0106 -0.9617
 -2.7478 -2.5940 -2.3820 -2.2009 -2.0493 -1.9152 -1.8104 -1.7201 -1.6403 -1.5691
 -1.5032 -1.4418 -1.3845 -1.3309 -1.2805 -1.1689 -1.0788 -1.0135 -0.9766 -0.9672
 -2.6340 -2.5785 -2.3991 -2.2098 -2.0477 -1.9098 -1.7966 -1.7043 -1.6252 -1.5537
 -1.4901 -1.4314 -1.3767 -1.3256 -1.2774 -1.1701 -1.0836 -1.0222 -0.9886 -0.9805
 -0.9919
 -2.4789 -2.3868 -2.3679 -2.2211 -2.0559 -1.9125 -1.7917 -1.6931 -1.6117 -1.5403
 -1.4781 -1.4217 -1.3696 -1.3208 -1.2750 -1.1723 -1.0888 -1.0298 -0.9983 -0.9909
 -1.0013 -1.0239
 -2.3670 -2.2190 -2.1588 -2.1608 -2.0597 -1.9194 -1.7936 -1.6878 -1.6013 -1.5292
 -1.4663 -1.4116 -1.3616 -1.3152 -1.2717 -1.1740 -1.0934 -1.0364 -1.0062 -0.9990
 -1.0087 -1.0301 -1.0593 -1.0929
 -2.3572 -2.1837 -2.0476 -1.9656 -1.9486 -1.9069 -1.7978 -1.6886 -1.5955 -1.5195
 -1.4552 -1.4006 -1.3522 -1.3079 -1.2665 -1.1740 -1.0970 -1.0416 -1.0122 -1.0052
