 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.8074  1.7828  1.7504  1.7124  1.6697  1.5481  1.4214  1.2962  1.1738  1.0539
  0.9365  0.8214  0.7092  0.6001  0.4939  0.3903  0.2888  0.1891  0.0908 -0.0061
 -0.0994
  1.9047  1.8846  1.8626  1.8400  1.8189  1.8004  1.7853  1.7725  1.7604  1.7491
  1.7403  1.7321  1.7179  1.6933  1.6588  1.5458  1.4199  1.2945  1.1719  1.0521
  0.9349  0.8201  0.7080  0.5991  0.4934  0.3906  0.2902  0.1921  0.0957  0.0007
 -0.0946
  1.9044  1.8869  1.8656  1.8419  1.8168  1.7918  1.7681  1.7464  1.7263  1.7067
  1.6875  1.6697  1.6553  1.6422  1.6243  1.5396  1.4176  1.2922  1.1694  1.0496
  0.9325  0.8178  0.7056  0.5964  0.4905  0.3878  0.2879  0.1906  0.0955  0.0021
 -0.0901
  1.8957  1.8828  1.8657  1.8439  1.8189  1.7919  1.7642  1.7369  1.7108  1.6858
  1.6616  1.6376  1.6142  1.5925  1.5733  1.5157  1.4156  1.2923  1.1697  1.0500
  0.9333  0.8190  0.7070  0.5975  0.4911  0.3881  0.2883  0.1913  0.0970  0.0046
 -0.0859
  1.8744  1.8680  1.8562  1.8394  1.8178  1.7923  1.7643  1.7353  1.7060  1.6772
  1.6491  1.6214  1.5940  1.5666  1.5399  1.4779  1.4000  1.2914  1.1703  1.0510
  0.9347  0.8209  0.7093  0.5999  0.4931  0.3895  0.2891  0.1919  0.0976  0.0057
 -0.0840
  1.8408  1.8404  1.8349  1.8238  1.8078  1.7865  1.7613  1.7337  1.7045  1.6746
  1.6445  1.6143  1.5840  1.5537  1.5241  1.4262  1.3708  1.2895  1.1712
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F150W2
  2.0939  2.1110  2.1255  2.1353  2.1380  2.1306  2.1106  2.0759  2.0273  1.9731
  1.9178  1.8636  1.8117  1.7615  1.7127  1.5920  1.4707  1.3477  1.2223
  2.0552  2.0724  2.0878  2.0997  2.1054  2.1027  2.0878  2.0569  2.0136  1.9627
  1.9086  1.8543  1.8014  1.7501  1.7001  1.5771  1.4549  1.3327  1.2096  1.0858
  2.0148  2.0301  2.0452  2.0583  2.0670  2.0687  2.0597  2.0355  1.9986  1.9527
  1.9015  1.8482  1.7950  1.7430  1.6921  1.5671  1.4436  1.3212  1.1994  1.0778
  0.9567
  1.9771  1.9885  2.0014  2.0139  2.0242  2.0296  2.0264  2.0098  1.9800  1.9402
  1.8935  1.8428  1.7906  1.7384  1.6870  1.5606  1.4358  1.3129  1.1915  1.0712
  0.9521  0.8345
  1.9423  1.9490  1.9586  1.9695  1.9795  1.9865  1.9877  1.9786  1.9562  1.9232
  1.8823  1.8359  1.7863  1.7351  1.6838  1.5565  1.4307  1.3071  1.1856  1.0661
  0.9482  0.8321  0.7184  0.6071
  1.9154  1.9081  1.9097  1.9189  1.9307  1.9402  1.9445  1.9413  1.9267  1.9009
  1.8664  1.8255  1.7800  1.7314  1.6812  1.5541  1.4276  1.3033  1.1816  1.0623
  0.9452  0.8301  0.7174  0.6073  0.4996  0.3941  0.2904  0.1880  0.0877 -0.0080
  1.9123  1.8949  1.8805  1.8721  1.8707  1.8749  1.8825  1.8877  1.8848  1.8700
  1.8442  1.8100  1.7699  1.7255  1.6779  1.5527  1.4259  1.3011  1.1790  1.0597
  0.9430  0.8285  0.7164  0.6071  0.5005  0.3963  0.2942  0.1940  0.0953 -0.0016
 -0.0946
  1.9144  1.8946  1.8744  1.8556  1.8403  1.8298  1.8228  1.8175  1.8117  1.8042
  1.7939  1.7768  1.7501  1.7142  1.6719  1.5516  1.4253  1.3001  1.1777  1.0584
  0.9417  0.8275  0.7158  0.6068  0.5007  0.3973  0.2964  0.1976  0.1006  0.0052
 -0.0886
  1.9175  1.8978  1.8762  1.8535  1.8310  1.8103  1.7922  1.7764  1.7608  1.7437
  1.7257  1.7087  1.6933  1.6753  1.6497  1.5485  1.4241  1.2986  1.1759  1.0563
  0.9396  0.8254  0.7137  0.6046  0.4984  0.3952  0.2947  0.1967  0.1010  0.0071
 -0.0854
  1.9167  1.8999  1.8798  1.8568  1.8319  1.8061  1.7808  1.7568  1.7339  1.7112
  1.6878  1.6634  1.6396  1.6182  1.5988  1.5335  1.4243  1.2998  1.1770  1.0574
  0.9408  0.8268  0.7152  0.6060  0.4995  0.3961  0.2957  0.1982  0.1032  0.0102
 -0.0809
  1.9077  1.8956  1.8791  1.8591  1.8349  1.8081  1.7798  1.7511  1.7227  1.6949
  1.6674  1.6397  1.6116  1.5837  1.5569  1.4963  1.4149  1.3009  1.1787  1.0591
  0.9427  0.8289  0.7176  0.6085  0.5018  0.3979  0.2971  0.1994  0.1044  0.0120
 -0.0751
  1.8905  1.8807  1.8697  1.8538  1.8337  1.8091  1.7811  1.7513  1.7204  1.6894
  1.6586  1.6278  1.5971  1.5662  1.5240  1.4369  1.3959  1.3019  1.1810
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F150W2
  2.1291  2.1472  2.1606  2.1690  2.1694  2.1587  2.1341  2.0938  2.0390  1.9801
  1.9211  1.8640  1.8097  1.7579  1.7081  1.5874  1.4678  1.3471  1.2237
  2.0927  2.1112  2.1268  2.1377  2.1417  2.1363  2.1173  2.0805  2.0306  1.9740
  1.9154  1.8576  1.8021  1.7491  1.6981  1.5747  1.4536  1.3330  1.2117  1.0894
  2.0520  2.0698  2.0862  2.0993  2.1069  2.1064  2.0940  2.0651  2.0218  1.9692
  1.9124  1.8547  1.7984  1.7443  1.6921  1.5666  1.4438  1.3226  1.2021  1.0818
  0.9617
  2.0118  2.0268  2.0421  2.0559  2.0662  2.0704  2.0650  2.0448  2.0094  1.9628
  1.9094  1.8532  1.7969  1.7420  1.6890  1.5615  1.4373  1.3153  1.1949  1.0757
  0.9575  0.8404
  1.9749  1.9853  1.9977  2.0104  2.0215  2.0288  2.0292  2.0180  1.9913  1.9521
  1.9041  1.8510  1.7961  1.7412  1.6876  1.5587  1.4332  1.3103  1.1897  1.0710
  0.9540  0.8385  0.7249  0.6135
  1.9381  1.9433  1.9530  1.9641  1.9751  1.9836  1.9876  1.9836  1.9664  1.9355
  1.8943  1.8461  1.7941  1.7405  1.6870  1.5572  1.4309  1.3072  1.1862  1.0677
  0.9514  0.8370  0.7246  0.6144  0.5064  0.4004  0.2961  0.1931  0.0923 -0.0037
  1.9228  1.9108  1.9055  1.9084  1.9177  1.9293  1.9381  1.9404  1.9326  1.9113
  1.8783  1.8366  1.7892  1.7385  1.6864  1.5567  1.4299  1.3056  1.1842  1.0656
  0.9496  0.8358  0.7243  0.6149  0.5080  0.4033  0.3007  0.1999  0.1004  0.0030
 -0.0902
  1.9220  1.9041  1.8874  1.8747  1.8681  1.8670  1.8693  1.8728  1.8730  1.8655
  1.8472  1.8175  1.7785  1.7332  1.6843  1.5569  1.4299  1.3051  1.1833  1.0645
  0.9486  0.8352  0.7241  0.6153  0.5089  0.4051  0.3036  0.2042  0.1066  0.0104
 -0.0841
  1.9249  1.9054  1.8849  1.8648  1.8469  1.8328  1.8225  1.8143  1.8053  1.7934
  1.7785  1.7611  1.7396  1.7108  1.6735  1.5558  1.4294  1.3042  1.1818  1.0627
  0.9466  0.8332  0.7223  0.6136  0.5074  0.4038  0.3028  0.2040  0.1073  0.0126
 -0.0802
  1.9277  1.9094  1.8883  1.8656  1.8425  1.8202  1.7999  1.7817  1.7645  1.7459
  1.7245  1.7007  1.6770  1.6545  1.6315  1.5496  1.4310  1.3061  1.1835  1.0641
  0.9480  0.8346  0.7238  0.6151  0.5089  0.4054  0.3046  0.2064  0.1107  0.0170
 -0.0749
  1.9272  1.9112  1.8922  1.8700  1.8455  1.8196  1.7934  1.7678  1.7430  1.7186
  1.6934  1.6662  1.6375  1.6088  1.5817  1.5173  1.4277  1.3084  1.1859  1.0664
  0.9503  0.8369  0.7262  0.6177  0.5114  0.4076  0.3065  0.2083  0.1127  0.0195
 -0.0682
  1.9185  1.9069  1.8914  1.8719  1.8492  1.8232  1.7949  1.7655  1.7357  1.7061
  1.6767  1.6467  1.6159  1.5843  1.5241  1.4589  1.4195  1.3111  1.1890
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =F150W2
  2.1595  2.1771  2.1933  2.2036  2.2034  2.1889  2.1575  2.1085  2.0488  1.9866
  1.9248  1.8652  1.8085  1.7548  1.7037  1.5821  1.4640  1.3456  1.2245
  2.1261  2.1460  2.1610  2.1711  2.1738  2.1657  2.1427  2.1003  2.0448  1.9840
  1.9221  1.8616  1.8036  1.7486  1.6962  1.5718  1.4516  1.3327  1.2134  1.0928
  2.0865  2.1063  2.1235  2.1365  2.1429  2.1403  2.1246  2.0906  2.0412  1.9834
  1.9225  1.8616  1.8026  1.7463  1.6925  1.5656  1.4435  1.3236  1.2046  1.0857
  0.9669
  2.0450  2.0632  2.0806  2.0954  2.1054  2.1080  2.1000  2.0760  2.0348  1.9821
  1.9236  1.8634  1.8038  1.7464  1.6914  1.5622  1.4383  1.3173  1.1981  1.0801
  0.9630  0.8467
  2.0052  2.0198  2.0353  2.0500  2.0620  2.0690  2.0678  2.0539  2.0227  1.9774
  1.9233  1.8650  1.8060  1.7480  1.6920  1.5606  1.4354  1.3133  1.1937  1.0760
  0.9599  0.8452  0.7320  0.6208
  1.9643  1.9780  1.9901  2.0032  2.0153  2.0245  2.0282  2.0229  2.0028  1.9668
  1.9192  1.8649  1.8076  1.7500  1.6936  1.5603  1.4340  1.3109  1.1908  1.0732
  0.9577  0.8440  0.7322  0.6221  0.5138  0.4073  0.3024  0.1992  0.0983  0.0022
  1.9353  1.9335  1.9407  1.9528  1.9653  1.9759  1.9827  1.9833  1.9734  1.9482
  1.9093  1.8609  1.8072  1.7513  1.6953  1.5608  1.4335  1.3098  1.1892  1.0715
  0.9563  0.8433  0.7323  0.6233  0.5163  0.4114  0.3084  0.2069  0.1067  0.0091
 -0.0841
  1.9284  1.9140  1.9035  1.9002  1.9041  1.9128  1.9227  1.9296  1.9292  1.9169
  1.8899  1.8505  1.8029  1.7506  1.6964  1.5622  1.4340  1.3097  1.1886  1.0706
  0.9555  0.8429  0.7326  0.6243  0.5181  0.4140  0.3120  0.2121  0.1138  0.0169
 -0.0778
  1.9293  1.9112  1.8933  1.8776  1.8666  1.8610  1.8595  1.8598  1.8587  1.8531
  1.8395  1.8165  1.7836  1.7417  1.6933  1.5627  1.4341  1.3091  1.1873  1.0689
  0.9536  0.8410  0.7309  0.6229  0.5172  0.4136  0.3121  0.2129  0.1158  0.0204
 -0.0735
  1.9331  1.9140  1.8938  1.8730  1.8532  1.8362  1.8227  1.8121  1.8019  1.7895
  1.7726  1.7513  1.7272  1.7001  1.6687  1.5627  1.4366  1.3114  1.1891  1.0704
  0.9550  0.8424  0.7323  0.6246  0.5191  0.4158  0.3147  0.2160  0.1196  0.0238
 -0.0669
  1.9362  1.9185  1.8984  1.8761  1.8528  1.8294  1.8071  1.7868  1.7679  1.7490
  1.7276  1.7024  1.6741  1.6449  1.6164  1.5410  1.4376  1.3144  1.1920  1.0729
  0.9573  0.8446  0.7347  0.6271  0.5217  0.4184  0.3173  0.2187  0.1225  0.0286
 -0.0579
  1.9348  1.9206  1.9022  1.8814  1.8575  1.8318  1.8050  1.7783  1.7521  1.7264
  1.7004  1.6727  1.6425  1.6103  1.5364  1.4976  1.4371  1.3181  1.1960
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =F150W2
  2.1856  2.2024  2.2188  2.2285  2.2265  2.2092  2.1760  2.1208  2.0573  1.9927
  1.9288  1.8669  1.8080  1.7523  1.6995  1.5762  1.4590  1.3428  1.2246
  2.1551  2.1747  2.1898  2.1988  2.1998  2.1900  2.1636  2.1164  2.0566  1.9929
  1.9289  1.8661  1.8059  1.7487  1.6946  1.5684  1.4487  1.3315  1.2143  1.0958
  2.1171  2.1383  2.1559  2.1684  2.1737  2.1692  2.1504  2.1116  2.0572  1.9957
  1.9320  1.8687  1.8074  1.7489  1.6933  1.5643  1.4424  1.3238  1.2064  1.0892
  0.9718
  2.0753  2.0963  2.1153  2.1305  2.1400  2.1412  2.1307  2.1026  2.0559  1.9984
  1.9363  1.8732  1.8112  1.7514  1.6944  1.5626  1.4387  1.3187  1.2009  1.0842
  0.9683  0.8530
  2.0335  2.0520  2.0703  2.0867  2.0993  2.1056  2.1026  2.0856  2.0496  1.9987
  1.9399  1.8780  1.8159  1.7553  1.6972  1.5625  1.4370  1.3157  1.1972  1.0807
  0.9657  0.8519  0.7393  0.6281
  1.9942  2.0082  2.0239  2.0395  2.0532  2.0629  2.0660  2.0587  2.0351  1.9938
  1.9407  1.8816  1.8205  1.7598  1.7008  1.5635  1.4365  1.3141  1.1950  1.0784
  0.9639  0.8510  0.7399  0.6302  0.5223  0.4159  0.3107  0.2064  0.1053  0.0088
  1.9549  1.9649  1.9774  1.9908  2.0041  2.0152  2.0220  2.0219  2.0099  1.9809
  1.9364  1.8824  1.8238  1.7640  1.7049  1.5653  1.4368  1.3136  1.1938  1.0771
  0.9628  0.8506  0.7403  0.6319  0.5253  0.4204  0.3170  0.2149  0.1141  0.0161
 -0.0773
  1.9344  1.9261  1.9259  1.9345  1.9478  1.9610  1.9709  1.9757  1.9727  1.9566
  1.9240  1.8780  1.8243  1.7669  1.7086  1.5679  1.4378  1.3138  1.1935  1.0765
  0.9623  0.8504  0.7408  0.6333  0.5276  0.4237  0.3215  0.2211  0.1222  0.0245
 -0.0706
  1.9306  1.9162  1.9025  1.8937  1.8919  1.8961  1.9035  1.9114  1.9152  1.9104
  1.8931  1.8610  1.8168  1.7651  1.7097  1.5700  1.4384  1.3134  1.1923  1.0748
  0.9604  0.8486  0.7393  0.6322  0.5272  0.4240  0.3225  0.2229  0.1252  0.0291
 -0.0657
  1.9344  1.9162  1.8980  1.8803  1.8656  1.8557  1.8505  1.8485  1.8465  1.8411
  1.8297  1.8102  1.7820  1.7459  1.7024  1.5735  1.4417  1.3159  1.1942  1.0762
  0.9616  0.8499  0.7407  0.6340  0.5294  0.4268  0.3259  0.2270  0.1300  0.0348
 -0.0586
  1.9384  1.9208  1.9008  1.8798  1.8588  1.8393  1.8226  1.8092  1.7975  1.7851
