 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.7627 -1.6347 -1.5243 -1.4313 -1.3547 -1.2933 -1.2452 -1.2076 -1.1785 -1.1570
 -1.1437 -1.1383 -1.1346 -1.1251 -1.1075 -1.0503 -1.0079 -0.9848 -0.9787 -0.9875
 -1.0086 -1.0387 -1.0740 -1.1112 -1.1494 -1.1884 -1.2288 -1.2709 -1.3152 -1.3632
 -1.4162
 -1.7458 -1.6258 -1.5202 -1.4288 -1.3513 -1.2870 -1.2342 -1.1911 -1.1561 -1.1277
 -1.1048 -1.0874 -1.0764 -1.0712 -1.0673 -1.0410 -1.0037 -0.9825 -0.9772 -0.9863
 -1.0077 -1.0389 -1.0763 -1.1163 -1.1569 -1.1975 -1.2387 -1.2806 -1.3237 -1.3689
 -1.4175
 -1.7100 -1.6038 -1.5061 -1.4207 -1.3463 -1.2831 -1.2297 -1.1845 -1.1463 -1.1141
 -1.0869 -1.0641 -1.0456 -1.0316 -1.0228 -1.0123 -0.9953 -0.9771 -0.9727 -0.9817
 -1.0029 -1.0345 -1.0737 -1.1167 -1.1604 -1.2036 -1.2466 -1.2893 -1.3324 -1.3764
 -1.4222
 -1.6559 -1.5632 -1.4774 -1.3992 -1.3311 -1.2720 -1.2211 -1.1772 -1.1390 -1.1056
 -1.0764 -1.0511 -1.0294 -1.0112 -0.9968 -0.9783 -0.9729 -0.9674 -0.9652 -0.9743
 -0.9951 -1.0266 -1.0667 -1.1121 -1.1592 -1.2059 -1.2518 -1.2966 -1.3410 -1.3853
 -1.4301
 -1.5899 -1.5103 -1.4348 -1.3646 -1.3030 -1.2494 -1.2030 -1.1626 -1.1271 -1.0954
 -1.0667 -1.0410 -1.0182 -0.9983 -0.9893 -0.9390 -0.9365 -0.9534 -0.9547
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -2.4869 -2.4082 -2.3343 -2.2566 -2.1677 -2.0538 -1.9014 -1.7171 -1.5587 -1.4372
 -1.3446 -1.2702 -1.2084 -1.1558 -1.1103 -1.0196 -0.9550 -0.9130 -0.8947
 -2.3047 -2.2185 -2.1449 -2.0759 -2.0035 -1.9163 -1.7975 -1.6559 -1.5265 -1.4210
 -1.3362 -1.2664 -1.2074 -1.1572 -1.1137 -1.0284 -0.9685 -0.9311 -0.9162 -0.9215
 -2.1691 -2.0716 -1.9926 -1.9257 -1.8635 -1.7968 -1.7096 -1.6021 -1.4975 -1.4065
 -1.3297 -1.2643 -1.2079 -1.1591 -1.1170 -1.0354 -0.9794 -0.9454 -0.9325 -0.9379
 -0.9570
 -2.0646 -1.9598 -1.8740 -1.8039 -1.7444 -1.6892 -1.6267 -1.5471 -1.4645 -1.3883
 -1.3208 -1.2611 -1.2078 -1.1608 -1.1197 -1.0410 -0.9882 -0.9566 -0.9453 -0.9508
 -0.9693 -0.9962
 -1.9296 -1.8337 -1.7622 -1.7006 -1.6448 -1.5946 -1.5461 -1.4888 -1.4255 -1.3638
 -1.3066 -1.2540 -1.2055 -1.1610 -1.1214 -1.0449 -0.9948 -0.9653 -0.9551 -0.9609
 -0.9791 -1.0058 -1.0372 -1.0721
 -1.8616 -1.7350 -1.6378 -1.5676 -1.5204 -1.4888 -1.4604 -1.4249 -1.3806 -1.3329
 -1.2861 -1.2416 -1.1990 -1.1586 -1.1211 -1.0470 -0.9991 -0.9715 -0.9622 -0.9684
 -0.9865 -1.0133 -1.0452 -1.0800 -1.1175 -1.1579 -1.2018 -1.2501 -1.3022 -1.3529
 -1.8426 -1.7044 -1.5905 -1.4999 -1.4308 -1.3797 -1.3435 -1.3191 -1.3012 -1.2819
 -1.2553 -1.2225 -1.1873 -1.1521 -1.1180 -1.0472 -1.0012 -0.9753 -0.9667 -0.9733
 -0.9916 -1.0187 -1.0514 -1.0872 -1.1250 -1.1648 -1.2069 -1.2520 -1.3010 -1.3538
 -1.4060
 -1.8399 -1.6984 -1.5780 -1.4778 -1.3970 -1.3335 -1.2842 -1.2458 -1.2160 -1.1947
 -1.1818 -1.1725 -1.1588 -1.1372 -1.1103 -1.0450 -1.0007 -0.9764 -0.9686 -0.9753
 -0.9939 -1.0216 -1.0556 -1.0930 -1.1320 -1.1722 -1.2140 -1.2575 -1.3035 -1.3530
 -1.4068
 -1.8364 -1.6965 -1.5757 -1.4725 -1.3863 -1.3158 -1.2591 -1.2138 -1.1773 -1.1476
 -1.1240 -1.1071 -1.0970 -1.0903 -1.0815 -1.0390 -0.9973 -0.9746 -0.9677 -0.9747
 -0.9936 -1.0221 -1.0576 -1.0971 -1.1383 -1.1800 -1.2225 -1.2658 -1.3105 -1.3573
 -1.4075
 -1.8215 -1.6910 -1.5731 -1.4713 -1.3840 -1.3109 -1.2505 -1.2008 -1.1600 -1.1262
 -1.0980 -1.0746 -1.0558 -1.0423 -1.0339 -1.0185 -0.9912 -0.9701 -0.9641 -0.9711
 -0.9900 -1.0188 -1.0554 -1.0971 -1.1408 -1.1849 -1.2290 -1.2732 -1.3178 -1.3635
 -1.4109
 -1.7879 -1.6692 -1.5614 -1.4632 -1.3787 -1.3064 -1.2454 -1.1943 -1.1514 -1.1151
 -1.0842 -1.0579 -1.0355 -1.0168 -1.0021 -0.9834 -0.9742 -0.9623 -0.9577 -0.9650
 -0.9836 -1.0124 -1.0496 -1.0929 -1.1393 -1.1863 -1.2331 -1.2792 -1.3250 -1.3709
 -1.4174
 -1.7374 -1.6326 -1.5345 -1.4449 -1.3643 -1.2952 -1.2361 -1.1860 -1.1434 -1.1067
 -1.0749 -1.0472 -1.0232 -1.0024 -0.9861 -0.9337 -0.9463 -0.9512 -0.9485
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = G_RP 
 -2.7234 -2.6546 -2.5851 -2.5039 -2.3986 -2.2520 -2.0483 -1.8007 -1.5972 -1.4521
 -1.3484 -1.2698 -1.2068 -1.1545 -1.1094 -1.0207 -0.9569 -0.9138 -0.8918
 -2.5192 -2.4411 -2.3709 -2.2988 -2.2141 -2.1023 -1.9428 -1.7482 -1.5739 -1.4411
 -1.3429 -1.2673 -1.2063 -1.1556 -1.1123 -1.0282 -0.9687 -0.9298 -0.9117 -0.9130
 -2.3588 -2.2671 -2.1908 -2.1220 -2.0516 -1.9674 -1.8503 -1.7003 -1.5543 -1.4339
 -1.3405 -1.2672 -1.2074 -1.1575 -1.1151 -1.0339 -0.9779 -0.9424 -0.9269 -0.9291
 -0.9455
 -2.2381 -2.1323 -2.0457 -1.9735 -1.9086 -1.8423 -1.7595 -1.6478 -1.5296 -1.4241
 -1.3373 -1.2669 -1.2085 -1.1593 -1.1175 -1.0384 -0.9853 -0.9523 -0.9387 -0.9416
 -0.9576 -0.9830
 -2.1164 -2.0177 -1.9295 -1.8534 -1.7879 -1.7285 -1.6671 -1.5878 -1.4960 -1.4075
 -1.3299 -1.2643 -1.2084 -1.1604 -1.1192 -1.0416 -0.9909 -0.9600 -0.9477 -0.9513
 -0.9671 -0.9920 -1.0230 -1.0577
 -1.9766 -1.8635 -1.7820 -1.7232 -1.6738 -1.6253 -1.5760 -1.5203 -1.4527 -1.3820
 -1.3159 -1.2572 -1.2054 -1.1597 -1.1196 -1.0433 -0.9946 -0.9657 -0.9543 -0.9584
 -0.9743 -0.9991 -1.0301 -1.0649 -1.1026 -1.1436 -1.1884 -1.2381 -1.2908 -1.3420
 -1.9267 -1.7887 -1.6782 -1.5938 -1.5316 -1.4874 -1.4561 -1.4276 -1.3908 -1.3439
 -1.2931 -1.2438 -1.1980 -1.1561 -1.1179 -1.0434 -0.9963 -0.9692 -0.9587 -0.9632
 -0.9793 -1.0042 -1.0356 -1.0710 -1.1090 -1.1493 -1.1921 -1.2384 -1.2889 -1.3425
 -1.3949
 -1.9136 -1.7658 -1.6416 -1.5399 -1.4596 -1.3975 -1.3497 -1.3124 -1.2828 -1.2591
 -1.2375 -1.2124 -1.1815 -1.1472 -1.1133 -1.0418 -0.9958 -0.9703 -0.9609 -0.9655
 -0.9819 -1.0072 -1.0392 -1.0758 -1.1148 -1.1555 -1.1981 -1.2425 -1.2898 -1.3408
 -1.3954
 -1.9123 -1.7615 -1.6314 -1.5215 -1.4307 -1.3576 -1.2996 -1.2530 -1.2147 -1.1828
 -1.1579 -1.1404 -1.1278 -1.1146 -1.0963 -1.0372 -0.9926 -0.9685 -0.9603 -0.9654
 -0.9822 -1.0083 -1.0413 -1.0792 -1.1199 -1.1619 -1.2052 -1.2496 -1.2955 -1.3437
 -1.3953
 -1.9138 -1.7643 -1.6327 -1.5194 -1.4234 -1.3438 -1.2788 -1.2261 -1.1831 -1.1473
 -1.1172 -1.0924 -1.0732 -1.0599 -1.0506 -1.0246 -0.9875 -0.9644 -0.9572 -0.9626
 -0.9794 -1.0059 -1.0398 -1.0791 -1.1216 -1.1656 -1.2103 -1.2555 -1.3014 -1.3484
 -1.3973
 -1.9020 -1.7604 -1.6328 -1.5195 -1.4222 -1.3397 -1.2711 -1.2144 -1.1677 -1.1290
 -1.0964 -1.0688 -1.0454 -1.0261 -1.0114 -0.9914 -0.9757 -0.9576 -0.9513 -0.9572
 -0.9740 -1.0006 -1.0351 -1.0756 -1.1200 -1.1663 -1.2132 -1.2601 -1.3071 -1.3544
 -1.4024
 -1.8721 -1.7427 -1.6229 -1.5148 -1.4183 -1.3360 -1.2662 -1.2078 -1.1593 -1.1186
 -1.0843 -1.0550 -1.0298 -1.0082 -0.9787 -0.9376 -0.9572 -0.9481 -0.9426
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -2.9388 -2.8881 -2.8325 -2.7574 -2.6422 -2.4530 -2.1850 -1.8717 -1.6267 -1.4567
 -1.3416 -1.2584 -1.1938 -1.1406 -1.0963 -1.0095 -0.9480 -0.9062 -0.8825
 -2.7243 -2.6623 -2.6037 -2.5360 -2.4432 -2.3047 -2.0944 -1.8368 -1.6140 -1.4519
 -1.3394 -1.2576 -1.1941 -1.1425 -1.0991 -1.0161 -0.9580 -0.9193 -0.8997 -0.8982
