 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Vtycho
 -2.1718 -2.1404 -2.1207 -2.1067 -2.0948 -2.0833 -2.0722 -2.0611 -2.0509 -2.0424
 -2.0367
 -6.3217 -5.7931 -5.3067 -4.8812 -4.5184 -4.2174 -3.9699 -3.7652 -3.5937 -3.4473
 -3.3197 -3.2066 -3.1047 -3.0115 -2.9253 -2.7347 -2.5632 -2.4126 -2.2982 -2.2192
 -2.1674 -2.1357 -2.1181 -2.1087 -2.1029 -2.0980 -2.0930 -2.0875 -2.0818 -2.0764
 -2.0720
 -6.2695 -5.7860 -5.3386 -4.9365 -4.5841 -4.2816 -4.0253 -3.8094 -3.6271 -3.4713
 -3.3362 -3.2172 -3.1107 -3.0141 -2.9301 -2.7194 -2.5648 -2.4221 -2.3022
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =Vtycho
 -8.4986 -8.0510 -7.6371 -7.2426 -6.8511 -6.4037 -5.8411 -5.1765 -4.6078 -4.1730
 -3.8512 -3.6078 -3.4131 -3.2497 -3.1092 -2.8312 -2.6216 -2.4532 -2.3120
 -8.1309 -7.6304 -7.1740 -6.7524 -6.3500 -5.9309 -5.4322 -4.8947 -4.4222 -4.0438
 -3.7500 -3.5205 -3.3341 -3.1766 -3.0401 -2.7701 -2.5733 -2.4203 -2.2973 -2.1964
 -7.8696 -7.3340 -6.8425 -6.3920 -5.9782 -5.5816 -5.1560 -4.7085 -4.3042 -3.9666
 -3.6941 -3.4747 -3.2938 -3.1395 -3.0049 -2.7373 -2.5458 -2.4025 -2.2890 -2.1972
 -2.1232
 -7.5008 -7.0208 -6.5564 -6.1139 -5.6991 -5.3143 -4.9433 -4.5654 -4.2150 -3.9125
 -3.6601 -3.4514 -3.2761 -3.1248 -2.9916 -2.7236 -2.5322 -2.3929 -2.2858 -2.2006
 -2.1324 -2.0762
 -7.1350 -6.5771 -6.0852 -5.7279 -5.4025 -5.0799 -4.7566 -4.4380 -4.1359 -3.8662
 -3.6343 -3.4376 -3.2694 -3.1222 -2.9909 -2.7222 -2.5279 -2.3892 -2.2856 -2.2052
 -2.1418 -2.0901 -2.0460 -2.0078
 -6.8584 -6.2038 -5.7139 -5.3157 -4.9888 -4.7152 -4.4814 -4.2608 -4.0358 -3.8131
 -3.6075 -3.4255 -3.2660 -3.1247 -2.9966 -2.7282 -2.5298 -2.3890 -2.2869 -2.2097
 -2.1504 -2.1031 -2.0632 -2.0282 -1.9974 -1.9703 -1.9487 -1.9345 -1.9284 -1.9290
 -6.7250 -6.0880 -5.5490 -5.1085 -4.7540 -4.4652 -4.2237 -4.0168 -3.8409 -3.6914
 -3.5500 -3.4047 -3.2611 -3.1274 -3.0043 -2.7386 -2.5360 -2.3911 -2.2884 -2.2131
 -2.1570 -2.1140 -2.0788 -2.0480 -2.0205 -1.9959 -1.9750 -1.9582 -1.9479 -1.9469
 -1.9532
 -6.7410 -6.0803 -5.5069 -5.0326 -4.6508 -4.3457 -4.0981 -3.8916 -3.7153 -3.5646
 -3.4382 -3.3316 -3.2297 -3.1214 -3.0095 -2.7510 -2.5453 -2.3952 -2.2898 -2.2148
 -2.1608 -2.1215 -2.0912 -2.0656 -2.0425 -2.0213 -2.0025 -1.9865 -1.9742 -1.9681
 -1.9721
 -6.7649 -6.1062 -5.5212 -5.0255 -4.6220 -4.2999 -4.0421 -3.8318 -3.6561 -3.5062
 -3.3763 -3.2637 -3.1664 -3.0793 -2.9922 -2.7609 -2.5549 -2.3997 -2.2901 -2.2139
 -2.1610 -2.1245 -2.0988 -2.0787 -2.0611 -2.0447 -2.0296 -2.0159 -2.0045 -1.9965
 -1.9944
 -6.7715 -6.1453 -5.5663 -5.0651 -4.6476 -4.3096 -4.0394 -3.8199 -3.6391 -3.4865
