 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -5.0810 -4.9502 -4.8272 -4.7014 -4.5655 -4.2100 -3.8896 -3.6429 -3.4554 -3.3069
 -3.1854 -3.0850 -3.0015 -2.9312 -2.8705 -2.8160 -2.7663 -2.7203 -2.6781 -2.6402
 -2.6068
 -8.4033 -7.8203 -7.2956 -6.8380 -6.4436 -6.1082 -5.8248 -5.5855 -5.3823 -5.2073
 -5.0536 -4.9151 -4.7874 -4.6668 -4.5487 -4.2304 -3.9105 -3.6542 -3.4613 -3.3120
 -3.1921 -3.0945 -3.0149 -2.9498 -2.8954 -2.8479 -2.8050 -2.7654 -2.7287 -2.6954
 -2.6654
 -8.7052 -8.1016 -7.5469 -7.0478 -6.6139 -6.2417 -5.9258 -5.6585 -5.4312 -5.2362
 -5.0665 -4.9160 -4.7794 -4.6521 -4.5310 -4.2395 -3.9399 -3.6735 -3.4720 -3.3189
 -3.1986 -3.1021 -3.0250 -2.9635 -2.9142 -2.8732 -2.8375 -2.8049 -2.7747 -2.7469
 -2.7216
 -8.9389 -8.3523 -7.7966 -7.2855 -6.8247 -6.4221 -6.0760 -5.7799 -5.5266 -5.3084
 -5.1183 -4.9506 -4.8003 -4.6629 -4.5124 -4.2373 -3.9778 -3.7008 -3.4875
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  B   
 -9.9197 -9.8037 -9.6774 -9.5268 -9.3835 -9.0964 -8.5557 -7.8634 -7.1416 -6.5804
 -6.1318 -5.8301 -5.5791 -5.3617 -5.1691 -4.7566
 -9.3116 -9.1813 -9.0470 -8.8955 -8.7225 -8.4527 -8.0060 -7.3741 -6.7518 -6.2669
 -5.9030 -5.6152 -5.3724 -5.1598 -4.9699 -4.5700 -4.2419 -3.9523 -3.6863
 -8.7973 -8.6494 -8.5025 -8.3459 -8.1604 -7.9131 -7.5466 -7.0274 -6.5048 -6.0696
 -5.7300 -5.4548 -5.2195 -5.0111 -4.8234 -4.4308 -4.1162 -3.8481 -3.6100 -3.3957
 -3.2069
 -8.3768 -8.2080 -8.0439 -7.8780 -7.6971 -7.4776 -7.1775 -6.7612 -6.3206 -5.9315
 -5.6128 -5.3489 -5.1204 -4.9156 -4.7296 -4.3390 -4.0316 -3.7772 -3.5568 -3.3616
 -3.1879 -3.0364 -2.9056
 -8.0602 -7.8629 -7.6751 -7.4924 -7.3071 -7.1052 -6.8607 -6.5318 -6.1654 -5.8219
 -5.5266 -5.2758 -5.0557 -4.8558 -4.6718 -4.2806 -3.9758 -3.7296 -3.5210 -3.3393
 -3.1789 -3.0381 -2.9160 -2.8091 -2.7137
 -7.8667 -7.6241 -7.4030 -7.1954 -6.9945 -6.7940 -6.5809 -6.3224 -6.0215 -5.7237
 -5.4555 -5.2207 -5.0115 -4.8189 -4.6383 -4.2460 -3.9401 -3.6984 -3.4979 -3.3262
 -3.1763 -3.0450 -2.9307 -2.8308 -2.7421 -2.6619
 -7.7761 -7.4570 -7.1926 -6.9652 -6.7540 -6.5479 -6.3432 -6.1286 -5.8836 -5.6295
 -5.3900 -5.1738 -4.9778 -4.7951 -4.6207 -4.2290 -3.9194 -3.6790 -3.4840 -3.3195
 -3.1781 -3.0550 -2.9480 -2.8548 -2.7722 -2.6978 -2.6298 -2.5666 -2.5111 -2.4759
 -7.8118 -7.4104 -7.0640 -6.7716 -6.5238 -6.3098 -6.1190 -5.9385 -5.7458 -5.5367
 -5.3274 -5.1306 -4.9487 -4.7777 -4.6124 -4.2255 -3.9104 -3.6684 -3.4764 -3.3173
 -3.1823 -3.0664 -2.9663 -2.8795 -2.8031 -2.7347 -2.6731 -2.6168 -2.5637 -2.5190
 -2.4927
 -7.9337 -7.4721 -7.0645 -6.7114 -6.4103 -6.1547 -5.9349 -5.7431 -5.5712 -5.4093
 -5.2508 -5.0889 -4.9245 -4.7642 -4.6085 -4.2327 -3.9118 -3.6653 -3.4736 -3.3179
 -3.1877 -3.0776 -2.9838 -2.9033 -2.8333 -2.7709 -2.7148 -2.6639 -2.6172 -2.5747
 -2.5400
 -8.1393 -7.6166 -7.1543 -6.7506 -6.4035 -6.1084 -5.8586 -5.6452 -5.4595 -5.2941
 -5.1451 -5.0100 -4.8810 -4.7473 -4.6050 -4.2452 -3.9204 -3.6668 -3.4729 -3.3187
 -3.1918 -3.0862 -2.9978 -2.9233 -2.8598 -2.8040 -2.7540 -2.7084 -2.6669 -2.6296
 -2.5968
 -8.4395 -7.8553 -7.3347 -6.8799 -6.4878 -6.1538 -5.8715 -5.6327 -5.4290 -5.2526
 -5.0966 -4.9562 -4.8277 -4.7071 -4.5881 -4.2647 -3.9418 -3.6790 -3.4793 -3.3238
 -3.1984 -3.0954 -3.0108 -2.9412 -2.8835 -2.8342 -2.7908 -2.7514 -2.7154 -2.6828
 -2.6539
 -8.7653 -8.1490 -7.5859 -7.0813 -6.6442 -6.2699 -5.9529 -5.6851 -5.4578 -5.2631
 -5.0938 -4.9438 -4.8078 -4.6817 -4.5624 -4.2733 -3.9711 -3.6996 -3.4910 -3.3313
 -3.2052 -3.1033 -3.0210 -2.9550 -2.9020 -2.8586 -2.8219 -2.7893 -2.7596 -2.7326
 -2.7082
 -9.0330 -8.4253 -7.8519 -7.3265 -6.8534 -6.4434 -6.0918 -5.7929 -5.5387 -5.3211
 -5.1325 -4.9668 -4.8188 -4.6838 -4.5279 -4.2710 -4.0083 -3.7286 -3.5080
 [Fe/H] = -0.25 [alpha/Fe] = 0.10 BC value =  B   
-10.1617-10.0466 -9.9212 -9.7693 -9.6220 -9.3082 -8.7165 -7.9258 -7.1842 -6.5884
 -6.1659 -5.8465 -5.5889 -5.3664 -5.1564 -4.7522
 -9.5516 -9.4239 -9.2926 -9.1435 -8.9707 -8.6876 -8.2024 -7.5071 -6.8269 -6.2997
 -5.9167 -5.6218 -5.3776 -5.1666 -4.9784 -4.5836 -4.2621 -3.9780 -3.7161
 -9.0313 -8.8877 -8.7457 -8.5942 -8.4120 -8.1599 -7.7656 -7.1939 -6.6071 -6.1262
 -5.7628 -5.4783 -5.2412 -5.0334 -4.8472 -4.4573 -4.1448 -3.8778 -3.6399 -3.4243
 -3.2328
 -8.6008 -8.4380 -8.2805 -8.1214 -7.9458 -7.7251 -7.4061 -6.9473 -6.4489 -6.0105
 -5.6626 -5.3853 -5.1526 -4.9477 -4.7628 -4.3733 -4.0652 -3.8093 -3.5864 -3.3885
 -3.2118 -3.0563 -2.9207
 -8.2686 -8.0797 -7.8999 -7.7250 -7.5462 -7.3458 -7.0890 -6.7278 -6.3123 -5.9208
 -5.5922 -5.3230 -5.0951 -4.8934 -4.7098 -4.3191 -4.0118 -3.7624 -3.5498 -3.3641
 -3.1999 -3.0548 -2.9281 -2.8165 -2.7164
 -8.0526 -7.8220 -7.6108 -7.4116 -7.2178 -7.0201 -6.8007 -6.5190 -6.1794 -5.8386
 -5.5354 -5.2780 -5.0569 -4.8596 -4.6785 -4.2861 -3.9767 -3.7307 -3.5254 -3.3487
 -3.1945 -3.0586 -2.9396 -2.8357 -2.7440 -2.6612
 -7.9194 -7.6314 -7.3911 -7.1731 -6.9632 -6.7563 -6.5475 -6.3178 -6.0441 -5.7541
 -5.4816 -5.2407 -5.0293 -4.8388 -4.6616 -4.2692 -3.9556 -3.7101 -3.5098 -3.3399
 -3.1935 -3.0657 -2.9539 -2.8564 -2.7708 -2.6946 -2.6259 -2.5601 -2.5049 -2.4695
 -7.9172 -7.5310 -7.2049 -6.9346 -6.7067 -6.5062 -6.3153 -6.1210 -5.9033 -5.6637
 -5.4255 -5.2052 -5.0063 -4.8247 -4.6541 -4.2653 -3.9462 -3.6983 -3.5008 -3.3360
 -3.1955 -3.0745 -2.9694 -2.8781 -2.7985 -2.7282 -2.6660 -2.6087 -2.5548 -2.5105
 -2.4845
 -8.0178 -7.5634 -7.1644 -6.8232 -6.5351 -6.2902 -6.0773 -5.8887 -5.7127 -5.5354
 -5.3522 -5.1662 -4.9849 -4.8140 -4.6518 -4.2717 -3.9475 -3.6945 -3.4969 -3.3353
 -3.1994 -3.0838 -2.9846 -2.8994 -2.8259 -2.7615 -2.7045 -2.6535 -2.6068 -2.5642
 -2.5300
 -8.2065 -7.6877 -7.2295 -6.8309 -6.4894 -6.1999 -5.9540 -5.7415 -5.5534 -5.3826
 -5.2274 -5.0839 -4.9435 -4.7983 -4.6489 -4.2835 -3.9560 -3.6961 -3.4955 -3.3352
 -3.2024 -3.0910 -2.9971 -2.9176 -2.8502 -2.7920 -2.7410 -2.6954 -2.6543 -2.6175
 -2.5853
 -8.4999 -7.9119 -7.3930 -6.9391 -6.5480 -6.2155 -5.9345 -5.6962 -5.4916 -5.3122
 -5.1520 -5.0082 -4.8776 -4.7553 -4.6331 -4.3028 -3.9775 -3.7091 -3.5024 -3.3403
 -3.2087 -3.0997 -3.0095 -2.9347 -2.8726 -2.8204 -2.7756 -2.7360 -2.7004 -2.6686
 -2.6408
 -8.8382 -8.2087 -7.6356 -7.1281 -6.6876 -6.3112 -5.9931 -5.7246 -5.4969 -5.3016
 -5.1312 -4.9800 -4.8433 -4.7176 -4.5995 -4.3113 -4.0066 -3.7307 -3.5153 -3.3486
 -3.2159 -3.1079 -3.0198 -2.9484 -2.8907 -2.8439 -2.8052 -2.7719 -2.7425 -2.7163
 -2.6929
 -9.1353 -8.5039 -7.9122 -7.3724 -6.8897 -6.4723 -6.1164 -5.8152 -5.5601 -5.3425
 -5.1547 -4.9900 -4.8431 -4.7096 -4.5481 -4.3090 -4.0433 -3.7609 -3.5342
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  B   
-10.4557-10.3361-10.2020 -9.9799 -9.6481 -9.2030 -8.6421 -7.9645 -7.2193 -6.6021
 -6.1654 -5.8401 -5.5725 -5.3576 -5.1641 -4.7529
 -9.8372 -9.7026 -9.5643 -9.4080 -9.2052 -8.8935 -8.3675 -7.6121 -6.8917 -6.3341
 -5.9358 -5.6353 -5.3911 -5.1799 -4.9939 -4.6033 -4.2861 -4.0073 -3.7493
 -9.3125 -9.1628 -9.0157 -8.8599 -8.6715 -8.4044 -7.9682 -7.3392 -6.6986 -6.1807
 -5.7986 -5.5068 -5.2680 -5.0612 -4.8765 -4.4893 -4.1784 -3.9122 -3.6745 -3.4575
 -3.2629
 -8.8755 -8.7078 -8.5465 -8.3845 -8.2055 -7.9753 -7.6270 -7.1199 -6.5657 -6.0843
 -5.7126 -5.4247 -5.1887 -4.9841 -4.8003 -4.4126 -4.1041 -3.8467 -3.6217 -3.4207
 -3.2407 -3.0805 -2.9403
 -8.5336 -8.3414 -8.1588 -7.9819 -7.8011 -7.5948 -7.3177 -6.9176 -6.4511 -6.0136
 -5.6555 -5.3713 -5.1374 -4.9345 -4.7516 -4.3622 -4.0534 -3.8011 -3.5848 -3.3946
 -3.2262 -3.0766 -2.9451 -2.8296 -2.7236
 -8.2878 -8.0712 -7.8589 -7.6582 -7.4633 -7.2613 -7.0289 -6.7167 -6.3339 -5.9485
 -5.6119 -5.3347 -5.1038 -4.9032 -4.7218 -4.3306 -4.0191 -3.7692 -3.5594 -3.3773
 -3.2180 -3.0774 -2.9535 -2.8448 -2.7499 -2.6627
 -8.1345 -7.8670 -7.6327 -7.4113 -7.1969 -6.9850 -6.7673 -6.5155 -6.2071 -5.8774
 -5.5707 -5.3063 -5.0812 -4.8841 -4.7052 -4.3135 -3.9977 -3.7476 -3.5424 -3.3666
 -3.2145 -3.0814 -2.9646 -2.8622 -2.7725 -2.6941 -2.6220 -2.5539 -2.4988 -2.4630
 -8.0814 -7.7035 -7.3925 -7.1398 -6.9271 -6.7306 -6.5309 -6.3166 -6.0696 -5.7955
 -5.5249 -5.2795 -5.0641 -4.8728 -4.6978 -4.3086 -3.9875 -3.7347 -3.5316 -3.3608
 -3.2143 -3.0875 -2.9772 -2.8808 -2.7969 -2.7244 -2.6600 -2.6006 -2.5455 -2.5016
 -2.4756
 -8.1582 -7.7005 -7.3043 -6.9701 -6.6915 -6.4554 -6.2495 -6.0630 -5.8768 -5.6754
 -5.4613 -5.2481 -5.0483 -4.8658 -4.6969 -4.3136 -3.9879 -3.7297 -3.5263 -3.3587
 -3.2164 -3.0947 -2.9900 -2.8995 -2.8213 -2.7537 -2.6947 -2.6426 -2.5957 -2.5526
 -2.5189
 -8.3315 -7.8054 -7.3424 -6.9424 -6.6025 -6.3162 -6.0722 -5.8593 -5.6676 -5.4908
 -5.3264 -5.1697 -5.0131 -4.8538 -4.6960 -4.3243 -3.9959 -3.7310 -3.5241 -3.3575
 -3.2182 -3.1004 -3.0006 -2.9156 -2.8432 -2.7815 -2.7283 -2.6818 -2.6407 -2.6042
 -2.5722
 -8.6180 -8.0173 -7.4892 -7.0288 -6.6338 -6.2993 -6.0174 -5.7778 -5.5700 -5.3856
 -5.2201 -5.0721 -4.9381 -4.8116 -4.6834 -4.3438 -4.0171 -3.7445 -3.5312 -3.3624
 -3.2241 -3.1086 -3.0122 -2.9316 -2.8642 -2.8079 -2.7605 -2.7198 -2.6841 -2.6529
 -2.6258
 -8.9649 -8.3125 -7.7210 -7.2032 -6.7545 -6.3725 -6.0508 -5.7801 -5.5504 -5.3527
 -5.1792 -5.0252 -4.8868 -4.7610 -4.6433 -4.3532 -4.0458 -3.7670 -3.5453 -3.3715
 -3.2318 -3.1170 -3.0225 -2.9451 -2.8818 -2.8303 -2.7885 -2.7536 -2.7238 -2.6980
 -2.6757
 -9.2805 -8.6199 -8.0018 -7.4404 -6.9448 -6.5178 -6.1558 -5.8509 -5.5939 -5.3752
 -5.1866 -5.0215 -4.8744 -4.7413 -4.5757 -4.3525 -4.0820 -3.7985 -3.5664
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  B   
-10.6815-10.5755-10.4575-10.1653 -9.6713 -9.0495 -8.5034 -8.0752 -7.3475 -6.6920
 -6.2071 -5.8597 -5.5899 -5.3541 -5.1629 -4.7623
-10.0735 -9.9578 -9.8384 -9.6513 -9.3667 -8.9696 -8.4484 -7.7946 -7.0555 -6.4375
 -5.9944 -5.6718 -5.4188 -5.2068 -5.0188 -4.6293 -4.3128 -4.0383 -3.7863
 -9.5391 -9.4109 -9.2853 -9.1497 -8.9773 -8.7156 -8.2603 -7.5811 -6.8870 -6.3026
 -5.8729 -5.5571 -5.3089 -5.1000 -4.9156 -4.5289 -4.2166 -3.9493 -3.7114 -3.4949
 -3.2977
 -9.0783 -8.9348 -8.7982 -8.6605 -8.5031 -8.2875 -7.9390 -7.3939 -6.7753 -6.2246
 -5.8019 -5.4858 -5.2381 -5.0302 -4.8467 -4.4594 -4.1482 -3.8875 -3.6600 -3.4565
 -3.2763 -3.1156 -2.9702
 -8.6982 -8.5355 -8.3818 -8.2336 -8.0800 -7.8952 -7.6277 -7.2057 -6.6811 -6.1723
 -5.7590 -5.4414 -5.1921 -4.9841 -4.8010 -4.4125 -4.1002 -3.8434 -3.6232 -3.4291
 -3.2571 -3.1039 -2.9680 -2.8475 -2.7389
 -8.4118 -8.2207 -8.0433 -7.8757 -7.7131 -7.5386 -7.3228 -7.0041 -6.5768 -6.1250
 -5.7292 -5.4134 -5.1624 -4.9539 -4.7712 -4.3815 -4.0667 -3.8114 -3.5969 -3.4100
 -3.2459 -3.1011 -2.9729 -2.8594 -2.7589 -2.6677
 -8.2363 -8.0017 -7.7895 -7.5947 -7.4105 -7.2287 -7.0340 -6.7869 -6.4518 -6.0665
 -5.7009 -5.3941 -5.1437 -4.9351 -4.7530 -4.3633 -4.0447 -3.7888 -3.5782 -3.3970
 -3.2393 -3.1015 -2.9801 -2.8730 -2.7788 -2.6954 -2.6200 -2.5487 -2.4934 -2.4564
 -8.1014 -7.8027 -7.5588 -7.3573 -7.1662 -6.9748 -6.7792 -6.5674 -6.3051 -5.9893
 -5.6658 -5.3761 -5.1312 -4.9245 -4.7438 -4.3559 -4.0334 -3.7745 -3.5656 -3.3890
 -3.2365 -3.1042 -2.9890 -2.8879 -2.7995 -2.7220 -2.6541 -2.5930 -2.5357 -2.4921
 -2.4656
 -8.1253 -7.7214 -7.3821 -7.1058 -6.8806 -6.6898 -6.5145 -6.3346 -6.1306 -5.8855
 -5.6155 -5.3536 -5.1208 -4.9189 -4.7411 -4.3579 -4.0325 -3.7686 -3.5586 -3.3849
 -3.2364 -3.1087 -2.9987 -2.9033 -2.8204 -2.7485 -2.6864 -2.6321 -2.5838 -2.5394
 -2.5062
 -8.2549 -7.7793 -7.3633 -7.0081 -6.7107 -6.4616 -6.2473 -6.0576 -5.8781 -5.6950
 -5.5000 -5.2983 -5.0989 -4.9117 -4.7404 -4.3652 -4.0392 -3.7691 -3.5552 -3.3821
 -3.2366 -3.1125 -3.0070 -2.9167 -2.8392 -2.7728 -2.7164 -2.6678 -2.6257 -2.5890
 -2.5565
 -8.5016 -7.9531 -7.4693 -7.0482 -6.6868 -6.3808 -6.1215 -5.8975 -5.6979 -5.5136
 -5.3415 -5.1802 -5.0286 -4.8818 -4.7358 -4.3819 -4.0586 -3.7826 -3.5621 -3.3863
 -3.2416 -3.1198 -3.0172 -2.9310 -2.8581 -2.7968 -2.7456 -2.7025 -2.6659 -2.6346
 -2.6081
 -8.8519 -8.2315 -7.6776 -7.1924 -6.7716 -6.4116 -6.1061 -5.8467 -5.6236 -5.4273
 -5.2506 -5.0909 -4.9474 -4.8174 -4.6959 -4.3943 -4.0855 -3.8054 -3.5770 -3.3957
 -3.2493 -3.1281 -3.0273 -2.9438 -2.8748 -2.8179 -2.7716 -2.7338 -2.7026 -2.6766
 -2.6551
 -9.2318 -8.5725 -7.9679 -7.4215 -6.9455 -6.5326 -6.1804 -5.8821 -5.6290 -5.4125
 -5.2240 -5.0578 -4.9096 -4.7766 -4.6207 -4.4024 -4.1199 -3.8375 -3.5999
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value =  B   
-10.8784-11.4640-11.5141-11.0930-10.3293 -9.4778 -8.7376 -8.1649 -7.4890 -6.8131
 -6.2820 -5.9062 -5.6235 -5.3902 -5.1759 -4.7705
-10.2881-10.4202-10.3672-10.1483 -9.7803 -9.2781 -8.6547 -7.9420 -7.2283 -6.5730
 -6.0818 -5.7309 -5.4654 -5.2480 -5.0605 -4.6679 -4.3515 -4.0770 -3.8271
 -9.7558 -9.6525 -9.5438 -9.4260 -9.2651 -8.9768 -8.4804 -7.7774 -7.0766 -6.4491
 -5.9717 -5.6269 -5.3650 -5.1512 -4.9661 -4.5793 -4.2650 -3.9948 -3.7527 -3.5339
 -3.3362
 -9.2815 -9.1607 -9.0439 -8.9262 -8.7838 -8.5741 -8.2147 -7.6360 -6.9832 -6.3840
 -5.9125 -5.5643 -5.3004 -5.0864 -4.9018 -4.5155 -4.2018 -3.9368 -3.7059 -3.4992
 -3.3150 -3.1496 -2.9991
 -8.8725 -8.7332 -8.6029 -8.4777 -8.3444 -8.1740 -7.9099 -7.4709 -6.9048 -6.3455
 -5.8800 -5.5274 -5.2585 -5.0423 -4.8574 -4.4704 -4.1561 -3.8944 -3.6697 -3.4712
 -3.2943 -3.1366 -2.9960 -2.8705 -2.7554
 -8.5404 -8.3792 -8.2291 -8.0882 -7.9518 -7.7988 -7.5961 -7.2757 -6.8152 -6.3106
 -5.8614 -5.5065 -5.2320 -5.0125 -4.8264 -4.4389 -4.1226 -3.8625 -3.6427 -3.4505
 -3.2808 -3.1308 -2.9979 -2.8797 -2.7741 -2.6769
 -8.3090 -8.1100 -7.9317 -7.7677 -7.6132 -7.4595 -7.2865 -7.0476 -6.6957 -6.2645
 -5.8455 -5.4944 -5.2167 -4.9934 -4.8059 -4.4181 -4.0994 -3.8386 -3.6223 -3.4356
 -3.2717 -3.1280 -3.0016 -2.8898 -2.7908 -2.7025 -2.6218 -2.5485 -2.4900 -2.4509
 -8.1491 -7.8864 -7.7129 -7.5224 -7.3443 -7.1739 -7.0025 -6.8066 -6.5416 -6.1941
 -5.8213 -5.4855 -5.2082 -4.9828 -4.7941 -4.4069 -4.0860 -3.8225 -3.6075 -3.4252
 -3.2663 -3.1278 -3.0070 -2.9011 -2.8078 -2.7256 -2.6534 -2.5878 -2.5272 -2.4835
 -2.4559
 -8.0926 -7.7489 -7.4750 -7.2622 -7.0865 -6.9236 -6.7548 -6.5734 -6.3623 -6.0927
 -5.7788 -5.4712 -5.2027 -4.9788 -4.7896 -4.4044 -4.0825 -3.8150 -3.5986 -3.4188
 -3.2640 -3.1297 -3.0137 -2.9130 -2.8252 -2.7485 -2.6820 -2.6243 -2.5729 -2.5262
 -2.4933
 -8.1734 -7.7469 -7.3810 -7.0777 -6.8315 -6.6293 -6.4567 -6.2976 -6.1316 -5.9342
 -5.6952 -5.4365 -5.1906 -4.9745 -4.7880 -4.4069 -4.0861 -3.8139 -3.5936 -3.4141
 -3.2622 -3.1314 -3.0195 -2.9236 -2.8410 -2.7695 -2.7085 -2.6564 -2.6119 -2.5736
 -2.5399
 -8.3690 -7.8720 -7.4354 -7.0582 -6.7391 -6.4725 -6.2477 -6.0516 -5.8737 -5.7024
 -5.5243 -5.3367 -5.1469 -4.9632 -4.7910 -4.4195 -4.1021 -3.8260 -3.5996 -3.4171
 -3.2659 -3.1375 -3.0284 -2.9360 -2.8576 -2.7909 -2.7348 -2.6878 -2.6487 -2.6163
 -2.5894
 -8.6870 -8.1094 -7.6022 -7.1589 -6.7760 -6.4490 -6.1719 -5.9353 -5.7284 -5.5411
 -5.3658 -5.2003 -5.0447 -4.8994 -4.7613 -4.4338 -4.1254 -3.8477 -3.6146 -3.4264
 -3.2733 -3.1455 -3.0380 -2.9480 -2.8730 -2.8103 -2.7587 -2.7165 -2.6826 -2.6551
 -2.6334
 -9.0897 -8.4499 -7.8705 -7.3612 -6.9161 -6.5321 -6.2035 -5.9237 -5.6842 -5.4760
 -5.2906 -5.1226 -4.9700 -4.8325 -4.6989 -4.4498 -4.1560 -3.8790 -3.6386
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value =  B   
-11.0224-11.0327-10.6950-10.0832 -9.4553 -8.9414 -8.5652 -8.2406 -7.6173 -6.9576
 -6.3858 -5.9764 -5.6766 -5.4417 -5.2326 -4.8132
-10.4609-10.4162-10.2528 -9.9832 -9.6183 -9.1677 -8.6399 -8.0425 -7.3869 -6.7285
 -6.1962 -5.8126 -5.5297 -5.3058 -5.1147 -4.7177 -4.3994 -4.1226 -3.8718
 -9.9420 -9.8595 -9.7792 -9.6809 -9.4818 -9.1321 -8.6003 -7.9159 -7.2515 -6.6131
 -6.0956 -5.7171 -5.4369 -5.2151 -5.0277 -4.6401 -4.3224 -4.0486 -3.8057 -3.5856
 -3.3825
 -9.4657 -9.3626 -9.2741 -9.1763 -9.0460 -8.8347 -8.4463 -7.8224 -7.1711 -6.5551
 -6.0436 -5.6612 -5.3766 -5.1532 -4.9658 -4.5804 -4.2649 -3.9953 -3.7595 -3.5489
 -3.3582 -3.1856 -3.0302
 -9.0410 -8.9231 -8.8152 -8.7113 -8.5945 -8.4320 -8.1651 -7.7026 -7.1079 -6.5242
 -6.0190 -5.6305 -5.3379 -5.1100 -4.9210 -4.5355 -4.2206 -3.9548 -3.7247 -3.5213
 -3.3387 -3.1753 -3.0297 -2.8979 -2.7759
 -8.6765 -8.5394 -8.4127 -8.2949 -8.1795 -8.0419 -7.8462 -7.5203 -7.0331 -6.4963
 -6.0084 -5.6156 -5.3147 -5.0802 -4.8882 -4.5018 -4.1864 -3.9227 -3.6974 -3.5000
 -3.3241 -3.1676 -3.0289 -2.9058 -2.7942 -2.6902
 -8.3905 -8.2262 -8.0764 -7.9383 -7.8085 -7.6773 -7.5203 -7.2873 -6.9238 -6.4598
 -5.9993 -5.6097 -5.3024 -5.0612 -4.8652 -4.4772 -4.1609 -3.8972 -3.6756 -3.4833
 -3.3131 -3.1624 -3.0299 -2.9128 -2.8086 -2.7148 -2.6277 -2.5484 -2.4899 -2.4476
 -8.2155 -8.0055 -7.8191 -7.6531 -7.5012 -7.3573 -7.2097 -7.0290 -6.7655 -6.3960
 -5.9832 -5.6061 -5.2967 -5.0508 -4.8509 -4.4613 -4.1442 -3.8787 -3.6585 -3.4706
 -3.3053 -3.1597 -3.0324 -2.9209 -2.8226 -2.7354 -2.6578 -2.5863 -2.5220 -2.4771
 -2.4472
 -8.0742 -7.8099 -7.5943 -7.4185 -7.2590 -7.0982 -6.9393 -6.7742 -6.5716 -6.2934
 -5.9470 -5.5985 -5.2963 -5.0477 -4.8444 -4.4534 -4.1369 -3.8685 -3.6471 -3.4615
 -3.3005 -3.1592 -3.0364 -2.9298 -2.8367 -2.7550 -2.6835 -2.6207 -2.5645 -2.5147
 -2.4816
 -8.0986 -7.7213 -7.4107 -7.1624 -6.9700 -6.8154 -6.6753 -6.5278 -6.3577 -6.1452
 -5.8741 -5.5724 -5.2882 -5.0448 -4.8416 -4.4505 -4.1362 -3.8651 -3.6400 -3.4545
 -3.2964 -3.1587 -3.0398 -2.9376 -2.8494 -2.7727 -2.7065 -2.6497 -2.6013 -2.5595
 -2.5234
 -8.2433 -7.7947 -7.4035 -7.0715 -6.7984 -6.5764 -6.3924 -6.2339 -6.0870 -5.9309
 -5.7413 -5.5130 -5.2711 -5.0453 -4.8473 -4.4581 -4.1470 -3.8746 -3.6444 -3.4557
 -3.2982 -3.1631 -3.0470 -2.9480 -2.8637 -2.7915 -2.7300 -2.6781 -2.6349 -2.5994
 -2.5708
 -8.5037 -7.9825 -7.5232 -7.1229 -6.7795 -6.4901 -6.2481 -6.0422 -5.8608 -5.6937
 -5.5306 -5.3604 -5.1827 -5.0056 -4.8370 -4.4711 -4.1653 -3.8935 -3.6583 -3.4641
 -3.3045 -3.1701 -3.0557 -2.9589 -2.8775 -2.8090 -2.7517 -2.7043 -2.6657 -2.6354
 -2.6126
 -8.8848 -8.2847 -7.7520 -7.2856 -6.8788 -6.5287 -6.2299 -5.9758 -5.7574 -5.5647
 -5.3887 -5.2232 -5.0668 -4.9193 -4.8107 -4.4895 -4.1911 -3.9218 -3.6817
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value =  B   
-11.1190 -9.9183 -8.7170 -8.2773 -8.2383 -8.5024 -8.7036 -8.3011 -7.7395 -7.1016
 -6.5113 -6.0651 -5.7446 -5.4984 -5.2968 -4.8629
-10.5852-10.4931-10.2996-10.0156 -9.6503 -9.2121 -8.7082 -8.1451 -7.5301 -6.8937
 -6.3313 -5.9135 -5.6099 -5.3753 -5.1805 -4.7802 -4.4549 -4.1743 -3.9203
-10.0832-10.4600-10.5525-10.3901 -9.9983 -9.3998 -8.6731 -8.0283 -7.4085 -6.7845
 -6.2380 -5.8259 -5.5236 -5.2908 -5.0988 -4.7101 -4.3873 -4.1084 -3.8621 -3.6392
 -3.4334
 -9.6130 -9.8190 -9.4757 -9.4007 -9.2822 -9.0655 -8.5983 -7.9507 -7.3350 -6.7275
 -6.1919 -5.7759 -5.4672 -5.2309 -5.0383 -4.6526 -4.3355 -4.0608 -3.8196 -3.6045
 -3.4093 -3.2304 -3.0675
 -9.1828 -9.0884 -9.0059 -8.9253 -8.8245 -8.6664 -8.3880 -7.8862 -7.2840 -6.6985
 -6.1728 -5.7509 -5.4315 -5.1881 -4.9922 -4.6067 -4.2925 -4.0228 -3.7869 -3.5778
 -3.3903 -3.2206 -3.0675 -2.9288 -2.7997
 -8.8007 -8.6857 -8.5825 -8.4881 -8.3924 -8.2663 -8.0713 -7.7348 -7.2247 -6.6742
 -6.1644 -5.7402 -5.4116 -5.1587 -4.9575 -4.5696 -4.2568 -3.9908 -3.7601 -3.5570
 -3.3751 -3.2117 -3.0662 -2.9363 -2.8186 -2.7075
