 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -3.0164
 -7.4735 -7.1831 -6.9228 -6.6850 -6.4631 -6.2542 -6.0561 -5.8686 -5.6918 -5.5264
 -5.3713 -5.2251 -5.0863 -4.9532 -4.8233 -4.5094 -4.2496 -4.0475 -3.8836 -3.7525
 -3.6502 -3.5663 -3.4928 -3.4255 -3.3622 -3.3021 -3.2451 -3.1918 -3.1427 -3.0994
 -3.0669
 -7.3562 -7.0938 -6.8565 -6.6388 -6.4330 -6.2355 -6.0446 -5.8602 -5.6833 -5.5150
 -5.3558 -5.2058 -5.0644 -4.9306 -4.8030 -4.5053 -4.2522 -4.0499 -3.8884 -3.7586
 -3.6581 -3.5791 -3.5130 -3.4537 -3.3982 -3.3451 -3.2943 -3.2458 -3.2003 -3.1589
 -3.1241
 -7.2423 -7.0054 -6.7854 -6.5837 -6.3938 -6.2100 -6.0305 -5.8539 -5.6813 -5.5144
 -5.3543 -5.2022 -5.0585 -4.9234 -4.7955 -4.5044 -4.2587 -4.0574 -3.8966 -3.7672
 -3.6659 -3.5883 -3.5269 -3.4748 -3.4275 -3.3825 -3.3392 -3.2973 -3.2571 -3.2192
 -3.1841
 -7.1359 -6.9153 -6.7108 -6.5200 -6.3410 -6.1705 -6.0035 -5.8379 -5.6738 -5.5124
 -5.3552 -5.2038 -5.0595 -4.9230 -4.7941 -4.5045 -4.2635 -4.0644 -3.9041 -3.7751
 -3.6732 -3.5950 -3.5351 -3.4877 -3.4475 -3.4107 -3.3758 -3.3417 -3.3083 -3.2762
 -3.2461
 -7.0369 -6.8235 -6.6312 -6.4491 -6.2784 -6.1166 -5.9603 -5.8066 -5.6533 -5.5011
 -5.3507 -5.2036 -5.0614 -4.9253 -4.7988 -4.5056 -4.2666 -4.0709 -3.9109
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = BX   
 -9.1204 -8.8400 -8.6166 -8.4386 -8.2493 -8.0588 -7.8542 -7.6358 -7.4022 -7.1614
 -6.9088 -6.6512 -6.3989 -6.1586 -5.8949 -5.3682
 -8.6419 -8.3281 -8.0670 -7.8466 -7.6557 -7.4792 -7.3032 -7.1181 -6.9233 -6.7201
 -6.5031 -6.2724 -6.0362 -5.8098 -5.5869 -5.1163 -4.6979 -4.3284 -4.0275
 -8.2591 -7.9096 -7.6200 -7.3833 -7.1862 -7.0141 -6.8540 -6.6921 -6.5258 -6.3525
 -6.1666 -5.9641 -5.7484 -5.5360 -5.3389 -4.9126 -4.5501 -4.2338 -3.9699 -3.7594
 -3.5889
 -7.9720 -7.5845 -7.2756 -7.0487 -6.8409 -6.6636 -6.5066 -6.3578 -6.2097 -6.0586
 -5.8993 -5.7263 -5.5355 -5.3372 -5.1509 -4.7571 -4.4362 -4.1615 -3.9286 -3.7400
 -3.5845 -3.4564 -3.3427
 -7.8127 -7.3969 -7.0670 -6.8114 -6.6084 -6.4375 -6.2813 -6.1286 -5.9804 -5.8366
 -5.6925 -5.5429 -5.3799 -5.2001 -5.0229 -4.6498 -4.3562 -4.1115 -3.9036 -3.7327
 -3.5924 -3.4729 -3.3678 -3.2739 -3.1883
 -7.7896 -7.3627 -7.0063 -6.7222 -6.4952 -6.3083 -6.1471 -5.9998 -5.8564 -5.7092
 -5.5577 -5.4108 -5.2645 -5.1077 -4.9412 -4.5808 -4.3037 -4.0792 -3.8903 -3.7336
 -3.6045 -3.4942 -3.3967 -3.3084 -3.2275 -3.1538
 -7.8141 -7.3795 -7.0132 -6.7064 -6.4493 -6.2328 -6.0489 -5.8904 -5.7507 -5.6244
 -5.4927 -5.3445 -5.1943 -5.0458 -4.8921 -4.5404 -4.2719 -4.0598 -3.8845 -3.7390
 -3.6194 -3.5177 -3.4276 -3.3455 -3.2696 -3.1993 -3.1349 -3.0741 -3.0194 -2.9860
 -7.8532 -7.4218 -7.0519 -6.7380 -6.4705 -6.2403 -6.0401 -5.8640 -5.7068 -5.5629
 -5.4281 -5.2974 -5.1612 -5.0191 -4.8704 -4.5214 -4.2552 -4.0498 -3.8831 -3.7459
 -3.6339 -3.5402 -3.4577 -3.3824 -3.3123 -3.2466 -3.1857 -3.1292 -3.0775 -3.0339
 -3.0100
 -7.8843 -7.4674 -7.1028 -6.7875 -6.5142 -6.2753 -6.0637 -5.8741 -5.7028 -5.5462
 -5.3996 -5.2606 -5.1270 -4.9970 -4.8639 -4.5222 -4.2502 -4.0464 -3.8846 -3.7524
 -3.6459 -3.5589 -3.4840 -3.4162 -3.3529 -3.2930 -3.2367 -3.1842 -3.1358 -3.0928
 -3.0601
 -7.8875 -7.4908 -7.1430 -6.8354 -6.5631 -6.3203 -6.1016 -5.9027 -5.7205 -5.5526
 -5.3963 -5.2492 -5.1094 -4.9763 -4.8491 -4.5307 -4.2553 -4.0468 -3.8865 -3.7571
 -3.6535 -3.5714 -3.5034 -3.4434 -3.3878 -3.3349 -3.2847 -3.2371 -3.1924 -3.1519
 -3.1175
 -7.8651 -7.5003 -7.1723 -6.8781 -6.6132 -6.3721 -6.1505 -5.9457 -5.7559 -5.5794
 -5.4148 -5.2603 -5.1145 -4.9765 -4.8458 -4.5395 -4.2713 -4.0562 -3.8930 -3.7640
 -3.6609 -3.5806 -3.5172 -3.4641 -3.4164 -3.3716 -3.3288 -3.2876 -3.2483 -3.2115
 -3.1774
 -7.8238 -7.4873 -7.1808 -6.9023 -6.6486 -6.4149 -6.1965 -5.9909 -5.7971 -5.6150
 -5.4440 -5.2835 -5.1323 -4.9896 -4.8546 -4.5470 -4.2849 -4.0693 -3.9013 -3.7710
 -3.6676 -3.5871 -3.5254 -3.4770 -3.4362 -3.3994 -3.3648 -3.3314 -3.2989 -3.2678
 -3.2386
 -7.7648 -7.4562 -7.1718 -6.9094 -6.6665 -6.4407 -6.2294 -6.0285 -5.8360 -5.6522
 -5.4777 -5.3128 -5.1574 -5.0108 -4.8755 -4.5532 -4.2961 -4.0861 -3.9114
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = BX   
 -9.5462 -9.3279 -9.1143 -8.8928 -8.6705 -8.4076 -8.0821 -7.6985 -7.3391 -7.0187
 -6.7245 -6.4518 -6.2017 -5.9721 -5.7603 -5.2921
 -8.9726 -8.7243 -8.4898 -8.2609 -8.0348 -7.7922 -7.5131 -7.1989 -6.9045 -6.6347
 -6.3786 -6.1299 -5.8919 -5.6718 -5.4716 -5.0420 -4.6736 -4.3430 -4.0544
 -8.5294 -8.2483 -7.9904 -7.7505 -7.5216 -7.2953 -7.0549 -6.7961 -6.5518 -6.3229
 -6.1007 -5.8778 -5.6558 -5.4454 -5.2539 -4.8520 -4.5232 -4.2384 -3.9882 -3.7763
 -3.6014
 -8.2166 -7.8999 -7.6161 -7.3616 -7.1310 -6.9169 -6.7075 -6.4901 -6.2810 -6.0833
 -5.8908 -5.6955 -5.4934 -5.2929 -5.1072 -4.7221 -4.4185 -4.1643 -3.9435 -3.7537
 -3.5954 -3.4619 -3.3465
 -8.0145 -7.6478 -7.3451 -7.0832 -6.8475 -6.6363 -6.4428 -6.2544 -6.0714 -5.8972
 -5.7284 -5.5587 -5.3808 -5.1945 -5.0143 -4.6382 -4.3496 -4.1150 -3.9152 -3.7431
 -3.5980 -3.4747 -3.3672 -3.2716 -3.1849
 -7.9305 -7.5129 -7.1660 -6.8780 -6.6384 -6.4379 -6.2638 -6.0924 -5.9233 -5.7608
 -5.6053 -5.4531 -5.2977 -5.1313 -4.9594 -4.5879 -4.3067 -4.0843 -3.8990 -3.7407
 -3.6066 -3.4926 -3.3928 -3.3033 -3.2219 -3.1472
 -7.9640 -7.5089 -7.1184 -6.7901 -6.5190 -6.2962 -6.1141 -5.9635 -5.8268 -5.6868
 -5.5349 -5.3833 -5.2358 -5.0872 -4.9290 -4.5612 -4.2820 -4.0663 -3.8908 -3.7431
 -3.6185 -3.5128 -3.4205 -3.3373 -3.2611 -3.1909 -3.1267 -3.0661 -3.0115 -2.9774
 -8.0636 -7.5767 -7.1577 -6.8040 -6.5082 -6.2628 -6.0589 -5.8870 -5.7384 -5.6077
 -5.4854 -5.3541 -5.2090 -5.0608 -4.9126 -4.5517 -4.2702 -4.0570 -3.8875 -3.7475
 -3.6307 -3.5326 -3.4477 -3.3715 -3.3012 -3.2358 -3.1755 -3.1199 -3.0685 -3.0243
 -2.9996
