 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.7956  1.7489  1.7029  1.6585  1.6152  1.5739  1.5351  1.4990  1.4655  1.4340
  1.4040  1.3747  1.3458  1.3173  1.2878  1.2224  1.1612  1.0916  1.0149
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  J   
  1.8042  1.7477  1.6909  1.6353  1.5823  1.5331  1.4885  1.4494  1.4166  1.3912
  1.3726  1.3595  1.3494  1.3397  1.3287  1.2913  1.2384  1.1724  1.0955
  1.8278  1.7706  1.7116  1.6528  1.5957  1.5418  1.4921  1.4474  1.4090  1.3780
  1.3548  1.3381  1.3256  1.3144  1.3023  1.2629  1.2098  1.1449  1.0704  0.9874
  1.8482  1.7933  1.7351  1.6757  1.6167  1.5599  1.5062  1.4568  1.4131  1.3765
  1.3476  1.3263  1.3106  1.2975  1.2844  1.2435  1.1897  1.1250  1.0517  0.9711
  0.8850
  1.8560  1.8094  1.7560  1.6988  1.6403  1.5824  1.5265  1.4738  1.4258  1.3839
  1.3494  1.3226  1.3026  1.2869  1.2724  1.2300  1.1754  1.1106  1.0377  0.9585
  0.8743  0.7875
  1.8270  1.7980  1.7574  1.7104  1.6587  1.6036  1.5482  1.4945  1.4439  1.3981
  1.3586  1.3261  1.3010  1.2816  1.2651  1.2208  1.1655  1.1003  1.0275  0.9489
  0.8659  0.7803  0.6941  0.6077
  1.7773  1.7564  1.7315  1.6997  1.6590  1.6107  1.5594  1.5085  1.4599  1.4142
  1.3724  1.3358  1.3054  1.2815  1.2619  1.2150  1.1588  1.0933  1.0203  0.9418
  0.8595  0.7746  0.6890  0.6037  0.5184  0.4329  0.3465  0.2586  0.1703  0.0849
  1.7481  1.7227  1.6971  1.6700  1.6395  1.6042  1.5633  1.5166  1.4671  1.4210
  1.3809  1.3456  1.3140  1.2863  1.2630  1.2121  1.1549  1.0888  1.0156  0.9372
  0.8550  0.7703  0.6848  0.5997  0.5153  0.4312  0.3471  0.2625  0.1767  0.0903
  0.0064
  1.7374  1.7069  1.6769  1.6475  1.6177  1.5862  1.5519  1.5143  1.4737  1.4312
  1.3894  1.3515  1.3196  1.2924  1.2677  1.2119  1.1534  1.0867  1.0133  0.9348
  0.8525  0.7678  0.6818  0.5962  0.5118  0.4283  0.3454  0.2628  0.1799  0.0963
  0.0116
  1.7373  1.7036  1.6694  1.6361  1.6036  1.5717  1.5394  1.5058  1.4703  1.4337
  1.3972  1.3619  1.3287  1.2989  1.2729  1.2144  1.1537  1.0861  1.0122  0.9335
  0.8510  0.7658  0.6792  0.5925  0.5071  0.4233  0.3407  0.2590  0.1779  0.0967
  0.0147
  1.7450  1.7081  1.6717  1.6353  1.5997  1.5654  1.5323  1.4999  1.4674  1.4343
  1.4011  1.3685  1.3374  1.3080  1.2805  1.2192  1.1569  1.0883  1.0141  0.9354
  0.8529  0.7675  0.6802  0.5925  0.5058  0.4210  0.3379  0.2564  0.1761  0.0964
  0.0170
  1.7590  1.7193  1.6802  1.6421  1.6042  1.5675  1.5323  1.4990  1.4670  1.4357
  1.4048  1.3739  1.3438  1.3149  1.2874  1.2236  1.1617  1.0925  1.0177  0.9388
  0.8564  0.7710  0.6834  0.5948  0.5067  0.4203  0.3359  0.2537  0.1732  0.0941
  0.0159
  1.7789  1.7365  1.6953  1.6550  1.6160  1.5774  1.5404  1.5053  1.4721  1.4406
  1.4102  1.3803  1.3509  1.3219  1.2936  1.2276  1.1681  1.0987  1.0230
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  J   
  1.7969  1.7425  1.6888  1.6371  1.5889  1.5447  1.5050  1.4697  1.4380  1.4108
  1.3888  1.3716  1.3579  1.3456  1.3330  1.2941  1.2414  1.1761  1.1006
  1.8269  1.7702  1.7127  1.6563  1.6025  1.5524  1.5067  1.4655  1.4289  1.3974
  1.3716  1.3513  1.3354  1.3216  1.3080  1.2671  1.2138  1.1493  1.0759  0.9950
  1.8546  1.7986  1.7403  1.6817  1.6246  1.5702  1.5194  1.4728  1.4311  1.3948
  1.3645  1.3403  1.3214  1.3057  1.2910  1.2487  1.1947  1.1302  1.0577  0.9787
  0.8940
  1.8755  1.8234  1.7670  1.7087  1.6504  1.5935  1.5393  1.4884  1.4419  1.4007
  1.3657  1.3369  1.3142  1.2959  1.2796  1.2358  1.1812  1.1165  1.0442  0.9663
  0.8834  0.7972
  1.8702  1.8322  1.7854  1.7321  1.6756  1.6185  1.5627  1.5091  1.4590  1.4134
  1.3737  1.3401  1.3130  1.2912  1.2726  1.2268  1.1716  1.1068  1.0345  0.9569
  0.8752  0.7904  0.7042  0.6174
  1.8238  1.8038  1.7743  1.7343  1.6874  1.6367  1.5836  1.5306  1.4792  1.4309
  1.3872  1.3491  1.3173  1.2914  1.2698  1.2209  1.1650  1.0999  1.0276  0.9501
  0.8690  0.7851  0.6998  0.6141  0.5283  0.4422  0.3551  0.2663  0.1774  0.0918
  1.7812  1.7601  1.7374  1.7107  1.6781  1.6384  1.5921  1.5418  1.4920  1.4454
  1.4020  1.3620  1.3266  1.2963  1.2712  1.2180  1.1609  1.0955  1.0231  0.9456
  0.8646  0.7811  0.6962  0.6110  0.5261  0.4414  0.3566  0.2711  0.1844  0.0975
  0.0135
  1.7611  1.7347  1.7082  1.6816  1.6532  1.6216  1.5858  1.5453  1.5000  1.4531
  1.4089  1.3699  1.3356  1.3046  1.2766  1.2178  1.1593  1.0932  1.0207  0.9432
  0.8621  0.7786  0.6936  0.6083  0.5235  0.4395  0.3558  0.2724  0.1887  0.1040
  0.0188
  1.7551  1.7245  1.6937  1.6633  1.6333  1.6027  1.5704  1.5353  1.4972  1.4568
  1.4161  1.3770  1.3412  1.3100  1.2825  1.2203  1.1596  1.0926  1.0195  0.9417
  0.8603  0.7764  0.6911  0.6051  0.5197  0.4355  0.3521  0.2696  0.1876  0.1054
  0.0225
  1.7555  1.7232  1.6901  1.6566  1.6235  1.5910  1.5587  1.5258  1.4914  1.4555
  1.4190  1.3830  1.3490  1.3173  1.2886  1.2254  1.1627  1.0948  1.0213  0.9434
  0.8619  0.7777  0.6919  0.6053  0.5191  0.4340  0.3503  0.2680  0.1868  0.1061
  0.0256
  1.7596  1.7258  1.6915  1.6569  1.6218  1.5870  1.5530  1.5198  1.4869  1.4538
  1.4203  1.3869  1.3544  1.3236  1.2948  1.2299  1.1677  1.0989  1.0248  0.9467
  0.8652  0.7809  0.6947  0.6075  0.5202  0.4340  0.3493  0.2663  0.1850  0.1048
  0.0255
  1.7686  1.7324  1.6968  1.6612  1.6259  1.5899  1.5544  1.5199  1.4866  1.4543
  1.4225  1.3910  1.3598  1.3295  1.3011  1.2338  1.1746  1.1049  1.0300
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  J   
  1.7812  1.7311  1.6831  1.6383  1.5980  1.5629  1.5317  1.5022  1.4723  1.4436
  1.4181  1.3966  1.3787  1.3631  1.3479  1.3055  1.2514  1.1854  1.1100
  1.8182  1.7639  1.7103  1.6590  1.6114  1.5683  1.5298  1.4946  1.4612  1.4296
  1.4013  1.3772  1.3574  1.3403  1.3244  1.2802  1.2254  1.1601  1.0865  1.0063
  1.8535  1.7983  1.7421  1.6868  1.6339  1.5847  1.5395  1.4984  1.4605  1.4255
  1.3939  1.3667  1.3441  1.3251  1.3081  1.2629  1.2076  1.1423  1.0693  0.9907
  0.9068
  1.8834  1.8300  1.7738  1.7169  1.6611  1.6077  1.5574  1.5108  1.4680  1.4290
  1.3939  1.3632  1.3373  1.3157  1.2969  1.2504  1.1948  1.1296  1.0569  0.9791
  0.8969  0.8108
  1.8950  1.8540  1.8014  1.7457  1.6892  1.6337  1.5803  1.5296  1.4822  1.4389
  1.3999  1.3655  1.3360  1.3112  1.2901  1.2412  1.1855  1.1204  1.0479  0.9705
  0.8892  0.8047  0.7181  0.6304
  1.8729  1.8462  1.8089  1.7640  1.7132  1.6591  1.6047  1.5519  1.5013  1.4541
  1.4112  1.3729  1.3397  1.3114  1.2873  1.2350  1.1786  1.1137  1.0415  0.9643
  0.8835  0.8000  0.7146  0.6282  0.5415  0.4543  0.3657  0.2754  0.1859  0.0995
  1.8194  1.8025  1.7807  1.7512  1.7132  1.6692  1.6214  1.5712  1.5211  1.4724
  1.4267  1.3849  1.3479  1.3159  1.2886  1.2316  1.1741  1.1090  1.0370  0.9600
  0.8795  0.7965  0.7117  0.6260  0.5403  0.4547  0.3687  0.2816  0.1934  0.1059
  0.0213
  1.7878  1.7658  1.7432  1.7190  1.6911  1.6584  1.6206  1.5776  1.5306  1.4836
  1.4394  1.3979  1.3595  1.3246  1.2938  1.2310  1.1718  1.1063  1.0343  0.9574
  0.8770  0.7941  0.7096  0.6242  0.5389  0.4539  0.3691  0.2844  0.1992  0.1130
  0.0271
  1.7752  1.7481  1.7207  1.6935  1.6660  1.6366  1.6045  1.5690  1.5294  1.4866
  1.4435  1.4027  1.3657  1.3322  1.3013  1.2331  1.1715  1.1050  1.0326  0.9555
  0.8750  0.7918  0.7072  0.6217  0.5361  0.4511  0.3668  0.2830  0.1995  0.1158
  0.0314
  1.7713  1.7424  1.7118  1.6810  1.6506  1.6202  1.5891  1.5563  1.5211  1.4834
  1.4443  1.4056  1.3692  1.3358  1.3058  1.2385  1.1739  1.1066  1.0338  0.9566
  0.8760  0.7927  0.7078  0.6220  0.5361  0.4507  0.3662  0.2827  0.2001  0.1179
  0.0360
  1.7693  1.7399  1.7092  1.6768  1.6439  1.6112  1.5787  1.5462  1.5129  1.4784
  1.4426  1.4065  1.3717  1.3388  1.3087  1.2424  1.1786  1.1101  1.0367  0.9594
  0.8787  0.7953  0.7101  0.6239  0.5374  0.4513  0.3661  0.2822  0.1996  0.1180
  0.0372
  1.7680  1.7382  1.7073  1.6756  1.6427  1.6088  1.5748  1.5413  1.5080  1.4748
  1.4414  1.4078  1.3745  1.3424  1.3100  1.2448  1.1856  1.1155  1.0413
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  J   
  1.7511  1.7065  1.6659  1.6338  1.6082  1.5853  1.5625  1.5372  1.5083  1.4778
  1.4486  1.4226  1.4003  1.3807  1.3629  1.3164  1.2608  1.1941  1.1185
  1.7966  1.7458  1.6977  1.6536  1.6149  1.5820  1.5533  1.5259  1.4957  1.4638
  1.4327  1.4046  1.3804  1.3594  1.3405  1.2924  1.2360  1.1702  1.0964  1.0166
  1.8410  1.7875  1.7347  1.6844  1.6380  1.5963  1.5593  1.5257  1.4925  1.4587
  1.4255  1.3949  1.3682  1.3453  1.3251  1.2759  1.2193  1.1534  1.0803  1.0020
  0.9190
  1.8802  1.8269  1.7724  1.7185  1.6669  1.6188  1.5746  1.5344  1.4967  1.4602
  1.4248  1.3917  1.3622  1.3367  1.3146  1.2638  1.2071  1.1415  1.0687  0.9911
  0.9095  0.8241
  1.9102  1.8603  1.8067  1.7520  1.6979  1.6456  1.5962  1.5502  1.5075  1.4674
  1.4293  1.3936  1.3613  1.3329  1.3083  1.2547  1.1979  1.1327  1.0602  0.9830
  0.9023  0.8184  0.7319  0.6437
