 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -9.4495 -8.8432 -8.2770 -7.7595 -7.2960 -6.8920 -6.5427 -6.2438 -5.9890 -5.7712
 -5.5835 -5.4198 -5.2744 -5.1428 -4.9870 -4.7508 -4.4779 -4.1992 -3.9774
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  B   
-10.1069-10.0281-10.0082 -9.9665 -9.8234 -9.5154 -8.9913 -8.2616 -7.5145 -6.8833
 -6.4206 -6.0843 -5.8227 -5.6048 -5.4147 -5.0194 -4.6973 -4.4196 -4.1619
 -9.5673 -9.4790 -9.3852 -9.2823 -9.1460 -8.9351 -8.5817 -7.9866 -7.3145 -6.7277
 -6.2839 -5.9555 -5.6988 -5.4843 -5.2960 -4.9034 -4.5888 -4.3243 -4.0934 -3.8877
 -9.0940 -8.9887 -8.8876 -8.7826 -8.6573 -8.4825 -8.2070 -7.7456 -7.1727 -6.6328
 -6.2027 -5.8765 -5.6206 -5.4074 -5.2201 -4.8277 -4.5160 -4.2599 -4.0417 -3.8511
 -3.6828
 -8.6963 -8.5734 -8.4573 -8.3438 -8.2223 -8.0726 -7.8592 -7.5143 -7.0457 -6.5632
 -6.1515 -5.8278 -5.5717 -5.3588 -5.1722 -4.7793 -4.4676 -4.2165 -4.0068 -3.8268
 -3.6696 -3.5305
 -8.3871 -8.2397 -8.1023 -7.9719 -7.8428 -7.7029 -7.5293 -7.2761 -6.9100 -6.4953
 -6.1124 -5.7963 -5.5414 -5.3291 -5.1436 -4.7503 -4.4364 -4.1876 -3.9840 -3.8115
 -3.6629 -3.5326 -3.4174 -3.3166
 -8.2048 -8.0056 -7.8336 -7.6772 -7.5293 -7.3824 -7.2247 -7.0300 -6.7554 -6.4150
 -6.0725 -5.7718 -5.5217 -5.3116 -5.1281 -4.7359 -4.4185 -4.1693 -3.9695 -3.8029
 -3.6609 -3.5377 -3.4297 -3.3345 -3.2497 -3.1736 -3.1048 -3.0422 -2.9883 -2.9536
