 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -1.9200 -1.9073 -1.9025 -1.9024 -1.9053 -1.9107 -1.9191 -1.9312 -1.9493 -1.9744
 -2.0018
 -6.1673 -5.6476 -5.1952 -4.8173 -4.5077 -4.2474 -4.0135 -3.7871 -3.5549 -3.3246
 -3.1144 -2.9238 -2.7502 -2.5958 -2.4651 -2.2483 -2.1255 -2.0421 -1.9844 -1.9465
 -1.9239 -1.9131 -1.9108 -1.9136 -1.9193 -1.9264 -1.9353 -1.9465 -1.9609 -1.9809
 -2.0085
 -6.2490 -5.6960 -5.1899 -4.7481 -4.3766 -4.0688 -3.8092 -3.5795 -3.3645 -3.1574
 -2.9664 -2.8024 -2.6679 -2.5545 -2.4532 -2.2484 -2.1220 -2.0392 -1.9825 -1.9455
 -1.9243 -1.9154 -1.9158 -1.9222 -1.9313 -1.9414 -1.9525 -1.9645 -1.9782 -1.9949
 -2.0167
 -6.3526 -5.7980 -5.2697 -4.7881 -4.3671 -4.0116 -3.7165 -3.4689 -3.2544 -3.0621
 -2.8873 -2.7320 -2.6001 -2.4932 -2.4075 -2.2427 -2.1184 -2.0350 -1.9788 -1.9422
 -1.9217 -1.9141 -1.9167 -1.9264 -1.9395 -1.9536 -1.9680 -1.9824 -1.9973 -2.0139
 -2.0323
 -6.4020 -5.8712 -5.3535 -4.8592 -4.4137 -4.0256 -3.6990 -3.4281 -3.2025 -3.0109
 -2.8446 -2.6987 -2.5718 -2.4644 -2.3758 -2.2203 -2.1105 -2.0284 -1.9725 -1.9363
 -1.9160 -1.9092 -1.9133 -1.9256 -1.9426 -1.9612 -1.9799 -1.9980 -2.0157 -2.0336
 -2.0553
 -6.3972 -5.8887 -5.3936 -4.9166 -4.4685 -4.0688 -3.7238 -3.4342 -3.1949 -2.9965
 -2.8295 -2.6868 -2.5634 -2.4572 -2.3581 -2.1812 -2.0983 -2.0194 -1.9636
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  r   
 -7.5667 -7.2772 -7.0426 -6.8545 -6.6799 -6.4339 -6.0345 -5.4152 -4.6018 -3.8756
 -3.3469 -2.9882 -2.7483 -2.5829 -2.4621 -2.2544 -2.1114 -2.0059 -1.9272
 -7.3280 -6.9972 -6.7227 -6.5079 -6.3368 -6.1551 -5.8203 -5.1810 -4.4733 -3.8187
 -3.3168 -2.9640 -2.7238 -2.5585 -2.4394 -2.2402 -2.1048 -2.0065 -1.9356 -1.8857
 -7.1996 -6.8218 -6.4979 -6.2350 -6.0281 -5.8381 -5.5511 -5.0215 -4.4102 -3.8194
 -3.3357 -2.9791 -2.7291 -2.5560 -2.4333 -2.2355 -2.1048 -2.0106 -1.9438 -1.8970
 -1.8657
 -7.1338 -6.7231 -6.3537 -6.0377 -5.7794 -5.5619 -5.3186 -4.8902 -4.3658 -3.8355
 -3.3755 -3.0162 -2.7536 -2.5682 -2.4375 -2.2357 -2.1077 -2.0161 -1.9518 -1.9072
 -1.8773 -1.8590
 -7.0262 -6.6233 -6.2447 -5.8999 -5.5962 -5.3346 -5.0941 -4.7602 -4.3153 -3.8469
 -3.4169 -3.0623 -2.7902 -2.5914 -2.4495 -2.2383 -2.1114 -2.0217 -1.9590 -1.9161
 -1.8874 -1.8700 -1.8610 -1.8575
 -6.6670 -6.3437 -6.0364 -5.7362 -5.4432 -5.1611 -4.8933 -4.6156 -4.2477 -3.8401
 -3.4482 -3.1072 -2.8321 -2.6221 -2.4682 -2.2421 -2.1148 -2.0265 -1.9648 -1.9232
 -1.8959 -1.8796 -1.8718 -1.8699 -1.8722 -1.8786 -1.8899 -1.9079 -1.9320 -1.9571
 -6.3047 -5.9198 -5.6141 -5.3679 -5.1515 -4.9384 -4.7060 -4.4441 -4.1483 -3.8059
 -3.4590 -3.1420 -2.8726 -2.6571 -2.4923 -2.2470 -2.1170 -2.0298 -1.9689 -1.9282
 -1.9023 -1.8875 -1.8813 -1.8812 -1.8849 -1.8916 -1.9016 -1.9155 -1.9356 -1.9622
 -1.9903
 -6.1928 -5.7299 -5.3400 -5.0274 -4.7794 -4.5722 -4.3796 -4.1777 -3.9404 -3.6775
