 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3601 -1.4682 -1.5720 -1.6732 -1.7727 -1.8706 -1.9660 -2.0577 -2.1447 -2.2280
 -2.3093 -2.3906 -2.4710 -2.5485 -2.6216 -2.7947 -2.9729 -3.1458 -3.3106 -3.4678
 -3.6182 -3.7630 -3.9027 -4.0371 -4.1660 -4.2900 -4.4097 -4.5256 -4.6381 -4.7473
 -4.8524
 -1.3629 -1.4708 -1.5738 -1.6732 -1.7702 -1.8656 -1.9591 -2.0502 -2.1380 -2.2216
 -2.3013 -2.3783 -2.4549 -2.5323 -2.6104 -2.8002 -2.9774 -3.1504 -3.3155 -3.4728
 -3.6232 -3.7676 -3.9071 -4.0417 -4.1709 -4.2951 -4.4149 -4.5304 -4.6423 -4.7511
 -4.8562
 -1.3629 -1.4711 -1.5738 -1.6728 -1.7687 -1.8622 -1.9540 -2.0435 -2.1309 -2.2152
 -2.2958 -2.3725 -2.4464 -2.5193 -2.5935 -2.7883 -2.9782 -3.1509 -3.3162 -3.4736
 -3.6238 -3.7680 -3.9071 -4.0417 -4.1713 -4.2959 -4.4158 -4.5312 -4.6428 -4.7510
 -4.8558
 -1.3642 -1.4708 -1.5735 -1.6721 -1.7677 -1.8606 -1.9511 -2.0393 -2.1255 -2.2095
 -2.2908 -2.3688 -2.4432 -2.5150 -2.5859 -2.7718 -2.9680 -3.1508 -3.3164 -3.4738
 -3.6239 -3.7678 -3.9065 -4.0411 -4.1711 -4.2962 -4.4165 -4.5322 -4.6438 -4.7518
 -4.8562
 -1.3709 -1.4733 -1.5738 -1.6715 -1.7667 -1.8591 -1.9491 -2.0365 -2.1218 -2.2050
 -2.2860 -2.3647 -2.4405 -2.5134 -2.5876 -2.7507 -2.9468 -3.1501 -3.3161
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3319 -1.4237 -1.5069 -1.5835 -1.6561 -1.7299 -1.8101 -1.8987 -1.9905 -2.0821
 -2.1709 -2.2564 -2.3385 -2.4176 -2.4938 -2.6747 -2.8486 -3.0192 -3.1858
 -1.3853 -1.4862 -1.5780 -1.6608 -1.7364 -1.8071 -1.8804 -1.9601 -2.0439 -2.1296
 -2.2146 -2.2976 -2.3786 -2.4579 -2.5353 -2.7203 -2.8962 -3.0673 -3.2327 -3.3921
 -1.4117 -1.5193 -1.6183 -1.7076 -1.7874 -1.8587 -1.9284 -2.0037 -2.0825 -2.1637
 -2.2453 -2.3257 -2.4048 -2.4831 -2.5607 -2.7480 -2.9257 -3.0971 -3.2620 -3.4200
 -3.5725
 -1.4165 -1.5314 -1.6375 -1.7343 -1.8207 -1.8965 -1.9652 -2.0376 -2.1132 -2.1910
 -2.2695 -2.3474 -2.4241 -2.5005 -2.5771 -2.7652 -2.9442 -3.1158 -3.2806 -3.4380
 -3.5896 -3.7358
 -1.3912 -1.5135 -1.6305 -1.7390 -1.8367 -1.9219 -1.9948 -2.0656 -2.1393 -2.2147
 -2.2907 -2.3663 -2.4406 -2.5144 -2.5889 -2.7761 -2.9560 -3.1277 -3.2925 -3.4499
 -3.6008 -3.7465 -3.8864 -4.0206
 -1.3685 -1.4845 -1.5988 -1.7107 -1.8186 -1.9193 -2.0079 -2.0847 -2.1597 -2.2348
 -2.3098 -2.3839 -2.4564 -2.5276 -2.5992 -2.7831 -2.9635 -3.1356 -3.3003 -3.4578
 -3.6084 -3.7535 -3.8931 -4.0271 -4.1560 -4.2807 -4.4018 -4.5197 -4.6343 -4.7448
 -1.3596 -1.4707 -1.5793 -1.6861 -1.7909 -1.8923 -1.9874 -2.0752 -2.1590 -2.2408
 -2.3202 -2.3968 -2.4705 -2.5411 -2.6100 -2.7883 -2.9685 -3.1409 -3.3056 -3.4631
 -3.6136 -3.7580 -3.8973 -4.0312 -4.1600 -4.2842 -4.4045 -4.5215 -4.6353 -4.7456
 -4.8518
 -1.3592 -1.4676 -1.5723 -1.6746 -1.7754 -1.8742 -1.9695 -2.0592 -2.1440 -2.2263
 -2.3087 -2.3909 -2.4713 -2.5478 -2.6198 -2.7932 -2.9717 -3.1445 -3.3092 -3.4666
 -3.6170 -3.7611 -3.8999 -4.0338 -4.1626 -4.2866 -4.4065 -4.5228 -4.6358 -4.7454
 -4.8513
 -1.3635 -1.4710 -1.5739 -1.6733 -1.7707 -1.8665 -1.9604 -2.0509 -2.1373 -2.2194
 -2.2986 -2.3773 -2.4568 -2.5371 -2.6162 -2.8006 -2.9763 -3.1492 -3.3144 -3.4718
 -3.6221 -3.7660 -3.9044 -4.0382 -4.1672 -4.2914 -4.4113 -4.5272 -4.6395 -4.7487
 -4.8545
 -1.3643 -1.4729 -1.5753 -1.6736 -1.7690 -1.8624 -1.9541 -2.0438 -2.1309 -2.2144
 -2.2940 -2.3706 -2.4458 -2.5214 -2.5986 -2.7947 -2.9780 -3.1501 -3.3153 -3.4727
 -3.6228 -3.7665 -3.9046 -4.0382 -4.1674 -4.2919 -4.4119 -4.5277 -4.6396 -4.7482
 -4.8535
 -1.3634 -1.4724 -1.5760 -1.6741 -1.7689 -1.8612 -1.9513 -2.0396 -2.1261 -2.2100
 -2.2909 -2.3683 -2.4428 -2.5154 -2.5881 -2.7779 -2.9727 -3.1505 -3.3157 -3.4731
 -3.6232 -3.7667 -3.9046 -4.0380 -4.1672 -4.2920 -4.4124 -4.5283 -4.6402 -4.7485
 -4.8535
 -1.3634 -1.4710 -1.5744 -1.6734 -1.7684 -1.8604 -1.9499 -2.0373 -2.1228 -2.2062
 -2.2874 -2.3659 -2.4415 -2.5143 -2.5847 -2.7502 -2.9604 -3.1504 -3.3156
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3170 -1.4061 -1.4874 -1.5632 -1.6354 -1.7092 -1.7900 -1.8801 -1.9749 -2.0702
 -2.1629 -2.2516 -2.3360 -2.4164 -2.4930 -2.6729 -2.8447 -3.0142 -3.1806
 -1.3759 -1.4744 -1.5637 -1.6444 -1.7185 -1.7881 -1.8597 -1.9389 -2.0246 -2.1141
 -2.2035 -2.2907 -2.3748 -2.4558 -2.5340 -2.7186 -2.8932 -3.0635 -3.2292 -3.3883
 -1.4070 -1.5124 -1.6088 -1.6955 -1.7728 -1.8419 -1.9090 -1.9821 -2.0611 -2.1450
 -2.2309 -2.3161 -2.3993 -2.4802 -2.5589 -2.7464 -2.9231 -3.0940 -3.2594 -3.4176
 -3.5696
 -1.4196 -1.5309 -1.6337 -1.7271 -1.8102 -1.8826 -1.9479 -2.0170 -2.0912 -2.1701
 -2.2521 -2.3348 -2.4163 -2.4963 -2.5747 -2.7637 -2.9420 -3.1131 -3.2784 -3.4364
 -3.5875 -3.7334
 -1.4084 -1.5286 -1.6401 -1.7422 -1.8335 -1.9130 -1.9809 -2.0473 -2.1182 -2.1930
 -2.2710 -2.3506 -2.4300 -2.5083 -2.5857 -2.7746 -2.9542 -3.1254 -3.2905 -3.4486
 -3.5994 -3.7445 -3.8842 -4.0183
 -1.3772 -1.4974 -1.6153 -1.7287 -1.8340 -1.9276 -2.0057 -2.0736 -2.1428 -2.2149
 -2.2896 -2.3660 -2.4428 -2.5190 -2.5946 -2.7818 -2.9620 -3.1337 -3.2985 -3.4565
 -3.6073 -3.7519 -3.8910 -4.0249 -4.1536 -4.2781 -4.3993 -4.5174 -4.6323 -4.7432
 -1.3613 -1.4748 -1.5864 -1.6964 -1.8037 -1.9062 -2.0002 -2.0819 -2.1575 -2.2320
 -2.3065 -2.3814 -2.4561 -2.5302 -2.6034 -2.7869 -2.9673 -3.1394 -3.3040 -3.4618
 -3.6126 -3.7568 -3.8954 -4.0288 -4.1574 -4.2814 -4.4018 -4.5190 -4.6330 -4.7437
 -4.8506
 -1.3576 -1.4671 -1.5735 -1.6780 -1.7809 -1.8812 -1.9764 -2.0640 -2.1459 -2.2268
 -2.3076 -2.3875 -2.4653 -2.5405 -2.6132 -2.7915 -2.9707 -3.1433 -3.3079 -3.4654
 -3.6161 -3.7600 -3.8981 -4.0313 -4.1597 -4.2836 -4.4036 -4.5200 -4.6331 -4.7432
 -4.8498
 -1.3619 -1.4696 -1.5730 -1.6735 -1.7721 -1.8691 -1.9633 -2.0528 -2.1368 -2.2170
 -2.2962 -2.3767 -2.4581 -2.5392 -2.6176 -2.7989 -2.9754 -3.1483 -3.3133 -3.4707
 -3.6212 -3.7651 -3.9029 -4.0359 -4.1642 -4.2882 -4.4080 -4.5241 -4.6366 -4.7460
 -4.8523
 -1.3650 -1.4729 -1.5753 -1.6735 -1.7690 -1.8628 -1.9549 -2.0443 -2.1302 -2.2120
 -2.2905 -2.3674 -2.4446 -2.5231 -2.6029 -2.7988 -2.9772 -3.1493 -3.3144 -3.4717
 -3.6220 -3.7658 -3.9035 -4.0362 -4.1645 -4.2885 -4.4083 -4.5242 -4.6363 -4.7451
 -4.8508
 -1.3653 -1.4746 -1.5777 -1.6755 -1.7697 -1.8614 -1.9513 -2.0396 -2.1256 -2.2088
 -2.2886 -2.3656 -2.4404 -2.5147 -2.5899 -2.7841 -2.9762 -3.1499 -3.3150 -3.4724
 -3.6225 -3.7661 -3.9038 -4.0364 -4.1645 -4.2886 -4.4086 -4.5244 -4.6365 -4.7450
 -4.8503
 -1.3633 -1.4732 -1.5774 -1.6763 -1.7705 -1.8616 -1.9504 -2.0373 -2.1226 -2.2059
 -2.2867 -2.3648 -2.4401 -2.5132 -2.5786 -2.7548 -2.9724 -3.1501 -3.3151
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3007 -1.3870 -1.4667 -1.5418 -1.6141 -1.6866 -1.7674 -1.8609 -1.9592 -2.0575
 -2.1531 -2.2445 -2.3310 -2.4125 -2.4899 -2.6691 -2.8389 -3.0073 -3.1738
 -1.3653 -1.4610 -1.5477 -1.6263 -1.6982 -1.7657 -1.8356 -1.9159 -2.0048 -2.0980
 -2.1911 -2.2816 -2.3684 -2.4512 -2.5302 -2.7147 -2.8880 -3.0575 -3.2236 -3.3832
