 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -0.3877 -0.3771 -0.3731 -0.3723 -0.3733 -0.3757 -0.3800 -0.3858 -0.3941 -0.4065
 -0.4257
 -1.9392 -1.8208 -1.7032 -1.5866 -1.4722 -1.3633 -1.2626 -1.1720 -1.0920 -1.0220
 -0.9628 -0.9144 -0.8731 -0.8317 -0.7865 -0.6687 -0.5696 -0.4948 -0.4419 -0.4070
 -0.3868 -0.3782 -0.3774 -0.3807 -0.3858 -0.3917 -0.3986 -0.4063 -0.4153 -0.4266
 -0.4421
 -1.9105 -1.7910 -1.6788 -1.5691 -1.4616 -1.3575 -1.2587 -1.1668 -1.0831 -1.0076
 -0.9404 -0.8816 -0.8314 -0.7896 -0.7524 -0.6598 -0.5675 -0.4929 -0.4393 -0.4039
 -0.3836 -0.3759 -0.3776 -0.3849 -0.3945 -0.4047 -0.4153 -0.4259 -0.4370 -0.4491
 -0.4632
 -1.8944 -1.7675 -1.6555 -1.5495 -1.4475 -1.3489 -1.2543 -1.1647 -1.0811 -1.0040
 -0.9338 -0.8707 -0.8147 -0.7659 -0.7240 -0.6380 -0.5598 -0.4895 -0.4356 -0.3993
 -0.3784 -0.3707 -0.3737 -0.3840 -0.3979 -0.4129 -0.4281 -0.4428 -0.4572 -0.4717
 -0.4859
 -1.8973 -1.7550 -1.6374 -1.5313 -1.4317 -1.3371 -1.2469 -1.1609 -1.0797 -1.0036
 -0.9329 -0.8681 -0.8094 -0.7569 -0.7108 -0.6185 -0.5462 -0.4827 -0.4308
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  G   
 -2.5911 -2.3563 -2.1385 -1.9511 -1.7820 -1.6268 -1.5021 -1.3926 -1.2992 -1.2130
 -1.1302 -1.0517 -0.9779 -0.9087 -0.8438 -0.7003 -0.5831 -0.4904 -0.4192
 -2.4317 -2.3663 -2.1494 -1.9464 -1.7684 -1.6101 -1.4794 -1.3688 -1.2728 -1.1856
 -1.1038 -1.0268 -0.9543 -0.8862 -0.8225 -0.6835 -0.5722 -0.4859 -0.4214 -0.3743
 -2.2751 -2.2830 -2.1541 -1.9587 -1.7728 -1.6073 -1.4691 -1.3532 -1.2551 -1.1673
 -1.0867 -1.0112 -0.9401 -0.8733 -0.8108 -0.6747 -0.5669 -0.4845 -0.4238 -0.3798
 -0.3483
 -2.1454 -2.0388 -2.0368 -1.9559 -1.7869 -1.6193 -1.4713 -1.3472 -1.2440 -1.1547
 -1.0749 -1.0008 -0.9312 -0.8658 -0.8045 -0.6707 -0.5649 -0.4850 -0.4268 -0.3849
 -0.3555 -0.3349
 -2.1119 -1.9511 -1.8335 -1.7945 -1.7625 -1.6323 -1.4843 -1.3514 -1.2402 -1.1471
 -1.0663 -0.9932 -0.9250 -0.8609 -0.8008 -0.6693 -0.5649 -0.4864 -0.4298 -0.3897
 -0.3620 -0.3433 -0.3302 -0.3209
 -2.0937 -1.9292 -1.7789 -1.6587 -1.5848 -1.5531 -1.4852 -1.3641 -1.2457 -1.1450
 -1.0605 -0.9872 -0.9200 -0.8572 -0.7983 -0.6689 -0.5658 -0.4881 -0.4324 -0.3937
 -0.3676 -0.3507 -0.3398 -0.3327 -0.3287 -0.3281 -0.3313 -0.3388 -0.3511 -0.3676
 -2.0764 -1.9190 -1.7666 -1.6275 -1.5102 -1.4208 -1.3611 -1.3181 -1.2480 -1.1504
 -1.0592 -0.9826 -0.9157 -0.8538 -0.7960 -0.6687 -0.5667 -0.4895 -0.4343 -0.3964
 -0.3716 -0.3567 -0.3483 -0.3437 -0.3419 -0.3426 -0.3461 -0.3528 -0.3635 -0.3795
 -0.4001
 -2.0600 -1.9092 -1.7622 -1.6223 -1.4944 -1.3830 -1.2908 -1.2165 -1.1600 -1.1126
 -1.0533 -0.9800 -0.9119 -0.8506 -0.7936 -0.6683 -0.5672 -0.4903 -0.4351 -0.3976
 -0.3738 -0.3606 -0.3548 -0.3534 -0.3546 -0.3576 -0.3627 -0.3695 -0.3793 -0.3936
 -0.4134
 -2.0428 -1.8965 -1.7558 -1.6201 -1.4921 -1.3751 -1.2715 -1.1819 -1.1053 -1.0406
 -0.9877 -0.9418 -0.8934 -0.8417 -0.7886 -0.6661 -0.5660 -0.4892 -0.4339 -0.3965
 -0.3734 -0.3617 -0.3585 -0.3606 -0.3654 -0.3717 -0.3794 -0.3880 -0.3985 -0.4119
 -0.4289
 -2.0317 -1.8859 -1.7494 -1.6189 -1.4944 -1.3779 -1.2712 -1.1753 -1.0907 -1.0161
 -0.9509 -0.8948 -0.8473 -0.8061 -0.7666 -0.6629 -0.5653 -0.4884 -0.4325 -0.3944
 -0.3713 -0.3603 -0.3589 -0.3641 -0.3729 -0.3831 -0.3943 -0.4062 -0.4187 -0.4321
 -0.4484
 -2.0307 -1.8793 -1.7434 -1.6160 -1.4954 -1.3817 -1.2758 -1.1784 -1.0902 -1.0111
 -0.9404 -0.8776 -0.8224 -0.7746 -0.7337 -0.6464 -0.5618 -0.4866 -0.4300 -0.3910
 -0.3673 -0.3563 -0.3559 -0.3635 -0.3758 -0.3903 -0.4058 -0.4214 -0.4372 -0.4533
 -0.4690
 -2.0446 -1.8811 -1.7410 -1.6136 -1.4950 -1.3840 -1.2803 -1.1839 -1.0952 -1.0141
 -0.9405 -0.8743 -0.8150 -0.7624 -0.7162 -0.6247 -0.5502 -0.4825 -0.4268
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  G   
