 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -6.6391 -6.3110 -6.0480 -5.8436 -5.6922 -5.5829 -5.4860 -5.3816 -5.2612 -5.1209
 -4.9567 -4.7636 -4.5355 -4.2775 -4.0107 -3.3950 -2.8666 -2.4053 -2.0121 -1.6932
 -1.4544 -1.2869 -1.1688 -1.0814
 -6.8945 -6.4948 -6.1544 -5.8682 -5.6338 -5.4444 -5.2930 -5.1735 -5.0717 -4.9477
 -4.7885 -4.6028 -4.3941 -4.1584 -3.9032 -3.2958 -2.7790 -2.3332 -1.9520 -1.6417
 -1.4061 -1.2409 -1.1277 -1.0476 -0.9875 -0.9397 -0.8995 -0.8633 -0.8281 -0.7931
 -7.2718 -6.7844 -6.3695 -6.0149 -5.7121 -5.4552 -5.2386 -5.0555 -4.8995 -4.7666
 -4.6428 -4.4951 -4.3081 -4.0918 -3.8542 -3.2521 -2.7360 -2.2971 -1.9212 -1.6122
 -1.3741 -1.2050 -1.0912 -1.0137 -0.9589 -0.9181 -0.8861 -0.8595 -0.8357 -0.8128
 -0.7896
 -7.8077 -7.2095 -6.7003 -6.2667 -5.8946 -5.5741 -5.2977 -5.0595 -4.8517 -4.6678
 -4.5025 -4.3533 -4.2072 -4.0366 -3.8321 -3.2549 -2.7313 -2.2918 -1.9164 -1.6041
 -1.3586 -1.1800 -1.0596 -0.9804 -0.9274 -0.8906 -0.8644 -0.8446 -0.8287 -0.8152
 -0.8036
 -8.4823 -7.7761 -7.1603 -6.6308 -6.1756 -5.7837 -5.4436 -5.1484 -4.8905 -4.6629
 -4.4583 -4.2717 -4.1004 -3.9397 -3.7750 -3.2806 -2.7561 -2.3091 -1.9308 -1.6127
 -1.3572 -1.1653 -1.0330 -0.9472 -0.8925 -0.8574 -0.8350 -0.8204 -0.8107 -0.8038
 -0.7992
 -9.2442 -8.4574 -7.7471 -7.1224 -6.5746 -6.0983 -5.6848 -5.3261 -5.0134 -4.7389
 -4.4950 -4.2751 -4.0737 -3.8874 -3.7129 -3.2873 -2.8125 -2.3569 -1.9714 -1.6456
