 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.6242 -2.5471 -2.4763 -2.4107 -2.3499 -2.2204 -2.1231 -2.0547 -2.0102 -1.9842
 -1.9718 -1.9670 -1.9659 -1.9677 -1.9723 -1.9802 -1.9918 -2.0079 -2.0293 -2.0556
 -3.6177 -3.4686 -3.3254 -3.1891 -3.0624 -2.9487 -2.8499 -2.7682 -2.7079 -2.6614
 -2.6041 -2.5356 -2.4676 -2.4038 -2.3447 -2.2186 -2.1233 -2.0561 -2.0123 -1.9875
 -1.9770 -1.9750 -1.9769 -1.9809 -1.9868 -1.9948 -2.0052 -2.0189 -2.0371 -2.0621
 -2.0917
 -3.5842 -3.4362 -3.2992 -3.1689 -3.0455 -2.9306 -2.8255 -2.7318 -2.6503 -2.5824
 -2.5300 -2.4869 -2.4419 -2.3909 -2.3371 -2.2151 -2.1218 -2.0554 -2.0121 -1.9878
 -1.9787 -1.9796 -1.9852 -1.9926 -2.0011 -2.0106 -2.0205 -2.0326 -2.0486 -2.0703
 -2.0985
 -3.5654 -3.4072 -3.2709 -3.1458 -3.0277 -2.9165 -2.8126 -2.7166 -2.6298 -2.5525
 -2.4857 -2.4304 -2.3863 -2.3481 -2.3097 -2.2074 -2.1172 -2.0518 -2.0088 -1.9847
 -1.9764 -1.9798 -1.9895 -2.0013 -2.0136 -2.0260 -2.0391 -2.0527 -2.0678 -2.0862
 -2.1079
 -3.5699 -3.3936 -3.2491 -3.1238 -3.0096 -2.9029 -2.8029 -2.7090 -2.6220 -2.5423
 -2.4707 -2.4079 -2.3544 -2.3098 -2.2719 -2.1886 -2.1102 -2.0467 -2.0037 -1.9791
 -1.9706 -1.9753 -1.9884 -2.0049 -2.0219 -2.0385 -2.0549 -2.0709 -2.0872 -2.1046
 -2.1241
 -3.6088 -3.4003 -3.2400 -3.1069 -2.9911 -2.8869 -2.7905 -2.7003 -2.6160 -2.5372
 -2.4646 -2.3990 -2.3411 -2.2912 -2.2484 -2.1643 -2.0960 -2.0386 -1.9965 -1.9714
 -1.9622 -1.9668 -1.9819 -2.0025 -2.0246 -2.0462 -2.0671 -2.0869 -2.1060 -2.1250
 -2.1442
 -3.6961 -3.4385 -3.2512 -3.1027 -2.9784 -2.8715 -2.7761 -2.6886 -2.6074 -2.5314
 -2.4603 -2.3946 -2.3350 -2.2822 -2.2362 -2.1461 -2.0798 -2.0270 -1.9874
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  w   
 -4.3233 -4.0778 -3.8292 -3.6094 -3.4123 -3.2343 -3.0969 -2.9838 -2.8855 -2.7901
 -2.7006 -2.6163 -2.5368 -2.4624 -2.3929 -2.2406 -2.1203 -2.0308 -1.9682
 -4.1294 -4.0380 -3.8231 -3.5977 -3.3973 -3.2166 -3.0703 -2.9530 -2.8510 -2.7572
 -2.6698 -2.5877 -2.5105 -2.4383 -2.3709 -2.2258 -2.1136 -2.0316 -1.9760 -1.9409
 -3.8625 -3.8234 -3.7782 -3.5986 -3.3971 -3.2160 -3.0591 -2.9332 -2.8283 -2.7349
 -2.6495 -2.5696 -2.4947 -2.4246 -2.3593 -2.2191 -2.1119 -2.0347 -1.9827 -1.9500
 -1.9310
 -3.7803 -3.6208 -3.5448 -3.5255 -3.3988 -3.2239 -3.0625 -2.9248 -2.8134 -2.7190
 -2.6349 -2.5571 -2.4843 -2.4163 -2.3529 -2.2167 -2.1128 -2.0386 -1.9891 -1.9581
 -1.9407 -1.9316
 -3.7455 -3.5647 -3.4128 -3.3104 -3.2694 -3.2089 -3.0716 -2.9294 -2.8075 -2.7083
 -2.6235 -2.5471 -2.4763 -2.4102 -2.3486 -2.2160 -2.1147 -2.0425 -1.9946 -1.9651
 -1.9492 -1.9417 -1.9390 -1.9401
 -3.7216 -3.5415 -3.3768 -3.2340 -3.1218 -3.0466 -3.0018 -2.9264 -2.8122 -2.7039
 -2.6147 -2.5385 -2.4691 -2.4046 -2.3447 -2.2155 -2.1164 -2.0456 -1.9989 -1.9706
 -1.9560 -1.9504 -1.9496 -1.9519 -1.9568 -1.9653 -1.9783 -1.9966 -2.0198 -2.0457
 -3.7034 -3.5263 -3.3621 -3.2122 -3.0800 -2.9683 -2.8782 -2.8125 -2.7629 -2.6963
 -2.6096 -2.5308 -2.4619 -2.3988 -2.3403 -2.2143 -2.1171 -2.0474 -2.0013 -1.9739
 -1.9605 -1.9571 -1.9589 -1.9635 -1.9702 -1.9792 -1.9905 -2.0056 -2.0258 -2.0516
 -2.0809
 -3.6935 -3.5141 -3.3526 -3.2037 -3.0681 -2.9463 -2.8400 -2.7486 -2.6729 -2.6140
 -2.5656 -2.5116 -2.4518 -2.3917 -2.3349 -2.2118 -2.1164 -2.0475 -2.0017 -1.9746
 -1.9623 -1.9608 -1.9658 -1.9735 -1.9828 -1.9933 -2.0058 -2.0200 -2.0372 -2.0590
 -2.0877
 -3.6997 -3.5095 -3.3428 -3.1959 -3.0615 -2.9389 -2.8279 -2.7288 -2.6415 -2.5657
 -2.5020 -2.4506 -2.4074 -2.3654 -2.3205 -2.2063 -2.1130 -2.0449 -1.9993 -1.9724
 -1.9607 -1.9610 -1.9691 -1.9809 -1.9938 -2.0072 -2.0215 -2.0368 -2.0535 -2.0727
 -2.0966
 -3.7297 -3.5166 -3.3414 -3.1914 -3.0580 -2.9366 -2.8259 -2.7249 -2.6338 -2.5521
 -2.4799 -2.4175 -2.3648 -2.3218 -2.2844 -2.1946 -2.1085 -2.0412 -1.9955 -1.9681
 -1.9563 -1.9573 -1.9679 -1.9836 -2.0009 -2.0184 -2.0359 -2.0533 -2.0712 -2.0903
 -2.1114
 -3.7918 -3.5468 -3.3538 -3.1929 -3.0556 -2.9345 -2.8248 -2.7247 -2.6332 -2.5496
 -2.4741 -2.4068 -2.3478 -2.2974 -2.2549 -2.1706 -2.0977 -2.0353 -1.9897 -1.9617
 -1.9493 -1.9503 -1.9622 -1.9811 -2.0029 -2.0250 -2.0468 -2.0679 -2.0885 -2.1091
 -2.1296
