 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1130W
 -1.3689 -1.4645 -1.5515 -1.6297 -1.7004 -1.7714 -1.8504 -1.9396 -2.0271 -2.1096
 -2.1862 -2.2592 -2.3327 -2.4082 -2.4842 -2.6700 -2.8470 -3.0193 -3.1896
 -1.4146 -1.5184 -1.6138 -1.7003 -1.7786 -1.8518 -1.9275 -2.0108 -2.0941 -2.1730
 -2.2456 -2.3130 -2.3807 -2.4529 -2.5280 -2.7145 -2.8924 -3.0635 -3.2302 -3.3907
 -3.5434
 -1.4298 -1.5417 -1.6451 -1.7397 -1.8255 -1.9031 -1.9778 -2.0576 -2.1388 -2.2168
 -2.2886 -2.3534 -2.4152 -2.4822 -2.5552 -2.7420 -2.9212 -3.0923 -3.2571 -3.4165
 -3.5691 -3.7147 -3.8543
 -1.4143 -1.5304 -1.6457 -1.7524 -1.8495 -1.9364 -2.0145 -2.0920 -2.1716 -2.2495
 -2.3221 -2.3871 -2.4451 -2.5052 -2.5738 -2.7590 -2.9394 -3.1109 -3.2749 -3.4333
 -3.5859 -3.7320 -3.8717 -4.0057 -4.1349
 -1.3917 -1.5071 -1.6216 -1.7331 -1.8398 -1.9402 -2.0323 -2.1148 -2.1948 -2.2735
 -2.3482 -2.4158 -2.4739 -2.5276 -2.5892 -2.7698 -2.9508 -3.1228 -3.2867 -3.4444
 -3.5967 -3.7430 -3.8828 -4.0169 -4.1457 -4.2702
 -1.3841 -1.4951 -1.6038 -1.7107 -1.8161 -1.9188 -2.0171 -2.1100 -2.1979 -2.2815
 -2.3609 -2.4341 -2.4984 -2.5521 -2.6057 -2.7771 -2.9578 -3.1304 -3.2945 -3.4518
 -3.6038 -3.7502 -3.8902 -4.0243 -4.1528 -4.2767 -4.3969 -4.5136 -4.6268 -4.7360
 -1.3848 -1.4933 -1.5982 -1.7010 -1.8025 -1.9026 -2.0002 -2.0938 -2.1828 -2.2682
