 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.0360 -0.0891
 -0.3565 -0.2876 -0.2751 -0.3085 -0.2638 -0.1920 -0.1305 -0.0824 -0.0461 -0.0161
  0.0112  0.0325  0.0490  0.0609  0.0691  0.0775  0.0750  0.0616  0.0360 -0.0007
 -0.0470 -0.1002 -0.1564 -0.2122
 -0.3364 -0.2630 -0.1978 -0.1670 -0.1854 -0.1859 -0.1374 -0.0885 -0.0496 -0.0196
  0.0066  0.0282  0.0446  0.0565  0.0646  0.0721  0.0684  0.0545  0.0286 -0.0086
 -0.0551 -0.1085 -0.1655 -0.2232 -0.2804 -0.3375 -0.3965 -0.4586 -0.5222 -0.5847
 -0.3060 -0.2474 -0.1815 -0.1227 -0.0855 -0.0796 -0.0944 -0.0853 -0.0523 -0.0211
  0.0038  0.0255  0.0421  0.0541  0.0621  0.0689  0.0641  0.0496  0.0235 -0.0139
 -0.0606 -0.1143 -0.1723 -0.2315 -0.2902 -0.3483 -0.4068 -0.4666 -0.5288 -0.5930
 -0.6562
 -0.2563 -0.2197 -0.1679 -0.1115 -0.0606 -0.0240 -0.0063 -0.0073 -0.0168 -0.0136
  0.0049  0.0245  0.0414  0.0534  0.0615  0.0679  0.0620  0.0468  0.0206 -0.0168
 -0.0636 -0.1177 -0.1766 -0.2376 -0.2983 -0.3582 -0.4177 -0.4770 -0.5374 -0.6002
 -0.6653
 -0.1931 -0.1727 -0.1403 -0.0972 -0.0508 -0.0084  0.0242  0.0443  0.0521  0.0495
  0.0419  0.0387  0.0454  0.0557  0.0634  0.0692  0.0623  0.0461  0.0196 -0.0178
 -0.0649 -0.1195 -0.1794 -0.2422 -0.3054 -0.3677 -0.4291 -0.4899 -0.5503 -0.6116
 -0.6750
 -0.1082 -0.1077 -0.0941 -0.0688 -0.0352  0.0012  0.0351  0.0625  0.0810  0.0911
  0.0938  0.0900  0.0824  0.0768  0.0746  0.0728  0.0648  0.0479  0.0213 -0.0158
 -0.0626 -0.1175 -0.1782 -0.2425 -0.3081 -0.3731 -0.4371 -0.4999 -0.5619 -0.6235
 -0.6854
 -0.0127 -0.0271 -0.0295 -0.0212 -0.0037  0.0204  0.0470  0.0727  0.0941  0.1096
  0.1189  0.1225  0.1212  0.1158  0.1089  0.0876  0.0701  0.0521  0.0253 -0.0115
 -0.0580 -0.1127 -0.1738 -0.2392 -0.3069 -0.3748 -0.4418 -0.5074 -0.5717 -0.6350
 -0.6971
  0.0934  0.0692  0.0511  0.0438  0.0463  0.0559  0.0709  0.0886  0.1062  0.1215
