 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  i   
 -3.4250 -3.2556 -3.1017 -2.9512 -2.7934 -2.6057 -2.3661 -2.0824 -1.8416 -1.6661
 -1.5409 -1.4452 -1.3687 -1.3048 -1.2500 -1.1398 -1.0583 -1.0028 -0.9749
 -3.1693 -2.9921 -2.8405 -2.7028 -2.5669 -2.4149 -2.2200 -1.9964 -1.7970 -1.6428
 -1.5266 -1.4361 -1.3626 -1.3015 -1.2491 -1.1455 -1.0699 -1.0198 -0.9955 -0.9939
 -2.9847 -2.7966 -2.6404 -2.5063 -2.3835 -2.2579 -2.1056 -1.9286 -1.7627 -1.6261
 -1.5183 -1.4317 -1.3605 -1.3007 -1.2499 -1.1507 -1.0800 -1.0337 -1.0114 -1.0095
 -1.0231
 -2.8366 -2.6467 -2.4868 -2.3512 -2.2325 -2.1219 -2.0030 -1.8640 -1.7271 -1.6080
 -1.5096 -1.4280 -1.3592 -1.3009 -1.2510 -1.1551 -1.0883 -1.0449 -1.0241 -1.0220
 -1.0345 -1.0569
 -2.6307 -2.4648 -2.3332 -2.2160 -2.1068 -2.0047 -1.9055 -1.7972 -1.6860 -1.5843
 -1.4966 -1.4217 -1.3568 -1.3003 -1.2516 -1.1582 -1.0946 -1.0536 -1.0339 -1.0320
 -1.0438 -1.0653 -1.0929 -1.1252
 -2.5118 -2.3095 -2.1518 -2.0314 -1.9404 -1.8683 -1.7995 -1.7220 -1.6370 -1.5534
 -1.4774 -1.4103 -1.3508 -1.2977 -1.2508 -1.1597 -1.0987 -1.0598 -1.0411 -1.0395
 -1.0510 -1.0722 -1.0995 -1.1308 -1.1658 -1.2046 -1.2479 -1.2964 -1.3490 -1.4004
 -2.4734 -2.2527 -2.0716 -1.9258 -1.8107 -1.7200 -1.6485 -1.5916 -1.5436 -1.4967
 -1.4456 -1.3918 -1.3397 -1.2913 -1.2473 -1.1593 -1.1004 -1.0635 -1.0457 -1.0444
 -1.0559 -1.0772 -1.1050 -1.1366 -1.1710 -1.2082 -1.2485 -1.2925 -1.3411 -1.3940
 -1.4463
 -2.4721 -2.2416 -2.0472 -1.8859 -1.7550 -1.6501 -1.5660 -1.4973 -1.4406 -1.3962
 -1.3639 -1.3383 -1.3104 -1.2765 -1.2393 -1.1565 -1.0995 -1.0645 -1.0475 -1.0463
 -1.0581 -1.0799 -1.1087 -1.1416 -1.1766 -1.2134 -1.2525 -1.2938 -1.3383 -1.3869
 -1.4403
 -2.4837 -2.2477 -2.0466 -1.8763 -1.7350 -1.6201 -1.5276 -1.4528 -1.3914 -1.3403
 -1.2985 -1.2666 -1.2443 -1.2275 -1.2097 -1.1495 -1.0954 -1.0622 -1.0463 -1.0454
 -1.0576 -1.0800 -1.1103 -1.1452 -1.1820 -1.2198 -1.2589 -1.2992 -1.3413 -1.3862
 -1.4350
 -2.5008 -2.2640 -2.0579 -1.8825 -1.7345 -1.6126 -1.5137 -1.4336 -1.3682 -1.3141
 -1.2689 -1.2311 -1.2004 -1.1770 -1.1603 -1.1285 -1.0885 -1.0572 -1.0423 -1.0416
 -1.0536 -1.0765 -1.1078 -1.1448 -1.1842 -1.2241 -1.2644 -1.3050 -1.3464 -1.3892
 -1.4342
 -2.5287 -2.2827 -2.0732 -1.8918 -1.7398 -1.6132 -1.5096 -1.4255 -1.3568 -1.3000
 -1.2525 -1.2124 -1.1785 -1.1501 -1.1272 -1.0925 -1.0707 -1.0486 -1.0352 -1.0349
 -1.0468 -1.0697 -1.1017 -1.1404 -1.1824 -1.2253 -1.2680 -1.3103 -1.3525 -1.3949
 -1.4383
 -2.5807 -2.3191 -2.0950 -1.9057 -1.7461 -1.6151 -1.5078 -1.4205 -1.3493 -1.2907
 -1.2417 -1.2002 -1.1648 -1.1345 -1.1104 -1.0415 -1.0420 -1.0364 -1.0250
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  i   
 -3.7522 -3.5925 -3.4418 -3.2855 -3.1067 -2.8780 -2.5743 -2.2100 -1.9060 -1.6936
 -1.5505 -1.4478 -1.3685 -1.3043 -1.2497 -1.1416 -1.0610 -1.0037 -0.9714
 -3.4759 -3.3022 -3.1497 -3.0052 -2.8531 -2.6709 -2.4258 -2.1342 -1.8722 -1.6770
 -1.5404 -1.4407 -1.3635 -1.3010 -1.2485 -1.1460 -1.0708 -1.0185 -0.9904 -0.9846
 -3.2675 -3.0772 -2.9169 -2.7761 -2.6415 -2.4944 -2.3050 -2.0730 -1.8496 -1.6700
 -1.5376 -1.4392 -1.3624 -1.3004 -1.2487 -1.1497 -1.0789 -1.0306 -1.0052 -1.0000
 -1.0110
 -3.1084 -2.9047 -2.7342 -2.5898 -2.4615 -2.3366 -2.1920 -2.0107 -1.8243 -1.6628
 -1.5365 -1.4395 -1.3631 -1.3010 -1.2496 -1.1528 -1.0856 -1.0404 -1.0169 -1.0122
 -1.0222 -1.0432
 -2.9280 -2.7464 -2.5831 -2.4393 -2.3123 -2.1963 -2.0799 -1.9413 -1.7898 -1.6493
