 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.7152 -2.6578 -2.6038 -2.5465 -2.4774 -2.3839 -2.2394 -2.0175 -1.7780 -1.5555
 -1.3672 -1.2156 -1.0953 -0.9984 -0.9175 -0.7570 -0.6342 -0.5382 -0.4626 -0.4031
 -2.5484 -2.4777 -2.4163 -2.3580 -2.2964 -2.2208 -2.1091 -1.9310 -1.7272 -1.5281
 -1.3514 -1.2037 -1.0838 -0.9866 -0.9057 -0.7471 -0.6272 -0.5347 -0.4630 -0.4068
 -0.3629
 -2.4223 -2.3364 -2.2631 -2.1981 -2.1361 -2.0698 -1.9854 -1.8482 -1.6780 -1.5030
 -1.3403 -1.1987 -1.0799 -0.9821 -0.9006 -0.7425 -0.6242 -0.5337 -0.4647 -0.4112
 -0.3697 -0.3375
 -2.3191 -2.2256 -2.1428 -2.0691 -2.0011 -1.9346 -1.8628 -1.7618 -1.6239 -1.4734
 -1.3269 -1.1942 -1.0789 -0.9814 -0.8993 -0.7411 -0.6236 -0.5344 -0.4671 -0.4158
 -0.3765 -0.3467 -0.3236 -0.3051
 -2.2162 -2.1048 -2.0163 -1.9447 -1.8803 -1.8160 -1.7475 -1.6688 -1.5616 -1.4358
 -1.3073 -1.1859 -1.0767 -0.9816 -0.8999 -0.7413 -0.6242 -0.5358 -0.4696 -0.4200
 -0.3828 -0.3553 -0.3348 -0.3192 -0.3070 -0.2979 -0.2920 -0.2896 -0.2919 -0.2995
 -2.1782 -2.0417 -1.9229 -1.8239 -1.7425 -1.6743 -1.6138 -1.5521 -1.4766 -1.3820
 -1.2764 -1.1703 -1.0703 -0.9801 -0.9004 -0.7423 -0.6254 -0.5373 -0.4718 -0.4234
 -0.3880 -0.3627 -0.3451 -0.3324 -0.3230 -0.3158 -0.3112 -0.3091 -0.3105 -0.3170
 -0.3291
 -2.1701 -2.0231 -1.8878 -1.7665 -1.6614 -1.5713 -1.4924 -1.4201 -1.3488 -1.2751
 -1.2017 -1.1271 -1.0497 -0.9721 -0.8983 -0.7434 -0.6266 -0.5384 -0.4731 -0.4255
 -0.3915 -0.3683 -0.3534 -0.3440 -0.3379 -0.3337 -0.3312 -0.3305 -0.3319 -0.3372
 -0.3480
 -2.1724 -2.0234 -1.8814 -1.7485 -1.6270 -1.5190 -1.4241 -1.3394 -1.2605 -1.1838
 -1.1101 -1.0437 -0.9860 -0.9328 -0.8789 -0.7420 -0.6262 -0.5381 -0.4727 -0.4255
 -0.3926 -0.3711 -0.3587 -0.3528 -0.3505 -0.3499 -0.3507 -0.3524 -0.3554 -0.3606
 -0.3693
 -2.1783 -2.0323 -1.8902 -1.7534 -1.6236 -1.5036 -1.3957 -1.2998 -1.2139 -1.1351
 -1.0615 -0.9934 -0.9324 -0.8801 -0.8354 -0.7324 -0.6264 -0.5382 -0.4725 -0.4249
 -0.3922 -0.3717 -0.3611 -0.3579 -0.3594 -0.3630 -0.3676 -0.3727 -0.3784 -0.3854
 -0.3937
 -2.1706 -2.0340 -1.8989 -1.7637 -1.6328 -1.5075 -1.3917 -1.2870 -1.1939 -1.1108
 -1.0360 -0.9681 -0.9064 -0.8513 -0.8029 -0.7071 -0.6207 -0.5375 -0.4713 -0.4232
 -0.3902 -0.3699 -0.3602 -0.3590 -0.3636 -0.3712 -0.3802 -0.3896 -0.3989 -0.4086
 -0.4212
 -2.1493 -2.0188 -1.8938 -1.7681 -1.6410 -1.5169 -1.3988 -1.2897 -1.1915 -1.1041
 -1.0264 -0.9570 -0.8945 -0.8384 -0.7814 -0.6661 -0.6091 -0.5360 -0.4691
